elevation,area
551,0.001
552,0.002
553,0.003
554,0.003
555,0.004
556,0.004
557,0.007
558,0.008
559,0.012
560,0.018
561,0.027
562,0.03
563,0.039
564,0.046
565,0.053
566,0.062
567,0.075
568,0.092
569,0.105
570,0.114
571,0.121
572,0.129
573,0.143
574,0.152
575,0.162
576,0.168
577,0.175
578,0.19
579,0.2
580,0.209
581,0.219
582,0.228
583,0.24
584,0.246
585,0.256
586,0.262
587,0.272
588,0.278
589,0.291
590,0.306
591,0.311
592,0.322
593,0.333
594,0.342
595,0.351
596,0.362
597,0.369
598,0.377
599,0.386
600,0.393
601,0.405
602,0.416
603,0.43
604,0.44
605,0.451
606,0.457
607,0.468
608,0.472
609,0.48
610,0.49
611,0.505
612,0.514
613,0.526
614,0.533
615,0.543
616,0.56
617,0.574
618,0.583
619,0.597
620,0.603
621,0.611
622,0.621
623,0.63
624,0.646
625,0.659
626,0.666
627,0.678
628,0.684
629,0.697
630,0.709
631,0.722
632,0.731
633,0.742
634,0.752
635,0.757
636,0.764
637,0.772
638,0.785
639,0.803
640,0.813
641,0.829
642,0.842
643,0.859
644,0.875
645,0.89
646,0.906
647,0.921
648,0.943
649,0.955
650,0.971
651,0.987
652,0.997
653,1.016
654,1.034
655,1.049
656,1.064
657,1.079
658,1.093
659,1.114
660,1.129
661,1.149
662,1.16
663,1.177
664,1.19
665,1.207
666,1.225
667,1.235
668,1.263
669,1.274
670,1.292
671,1.302
672,1.324
673,1.336
674,1.363
675,1.385
676,1.399
677,1.419
678,1.439
679,1.458
680,1.476
681,1.493
682,1.509
683,1.529
684,1.554
685,1.568
686,1.583
687,1.599
688,1.628
689,1.646
690,1.675
691,1.699
692,1.728
693,1.747
694,1.768
695,1.795
696,1.812
697,1.836
698,1.861
699,1.889
700,1.914
701,1.94
702,1.963
703,1.989
704,2.01
705,2.029
706,2.056
707,2.072
708,2.102
709,2.122
710,2.149
711,2.173
712,2.199
713,2.231
714,2.263
715,2.306
716,2.349
717,2.386
718,2.45
719,2.543
720,2.653
721,2.798
722,3.005
723,43.103
724,44.479
725,45.211
726,46.026
727,46.925
728,47.924
729,48.964
730,50.015
731,51.098
732,52.125
733,53.201
734,54.271
735,55.378
736,56.423
737,57.47
738,58.523
739,59.585
740,60.651
741,61.702
742,62.664
743,63.7
744,64.7
745,65.72
746,66.748
747,67.768
748,68.788
749,69.8
750,70.793
751,71.854
752,72.854
753,73.872
754,74.887
755,75.921
756,76.956
757,77.909
758,78.892
759,79.801
760,80.748
761,81.706
762,82.609
763,83.56
764,84.52
765,85.468
766,86.372
767,87.292
768,88.212
769,89.115
770,90.001
771,90.835
772,91.729
773,92.587
774,93.412
775,94.245
776,95.109
777,95.934
778,96.792
779,97.643
780,98.441
781,99.341
782,100.177
783,100.988
784,101.782
785,102.549
786,103.257
787,104.071
788,104.824
789,105.59
790,106.344
791,107.098
792,107.813
793,108.518
794,109.191
795,109.852
796,110.58
797,111.281
798,111.916
799,112.586
800,113.217
801,113.833
802,114.471
803,115.074
804,115.707
805,116.298
806,116.844
807,117.481
808,118.066
809,118.639
810,119.269
811,119.789
812,120.347
813,120.892
814,121.43
815,121.965
816,122.496
817,123.018
818,123.566
819,124.084
820,124.546
821,125.046
822,125.553
823,126.055
824,126.562
825,127.089
826,127.582
827,128.051
828,128.493
829,128.976
830,129.424
831,129.91
832,130.383
833,130.853
834,131.322
835,131.764
836,132.201
837,132.645
838,133.113
839,133.565
840,134.017
841,134.444
842,134.869
843,135.336
844,135.735
845,136.182
846,136.562
847,137.007
848,137.38
849,137.778
850,138.178
851,138.567
852,138.919
853,139.285
854,139.63
855,139.935
856,140.275
857,140.607
858,140.904
859,141.19
860,141.48
861,141.791
862,142.076
863,142.332
864,142.621
865,142.876
866,143.134
867,143.395
868,143.659
869,143.897
870,144.098
871,144.335
872,144.595
873,144.826
874,145.044
875,145.25
876,145.456
877,145.684
878,145.886
