elevation,area
834,0.001
835,0.004
836,0.007
837,0.014
838,0.025
839,0.037
840,0.048
841,0.056
842,0.063
843,0.071
844,0.082
845,0.092
846,0.098
847,0.107
848,0.122
849,0.134
850,0.145
851,0.154
852,0.166
853,0.178
854,0.186
855,0.198
856,0.207
857,0.221
858,0.232
859,0.247
860,0.259
861,0.284
862,0.318
863,0.362
864,0.461
865,0.573
866,0.776
867,15.679
868,16.703
869,17.293
870,17.897
871,18.566
872,19.243
873,19.906
874,20.577
875,21.241
876,21.976
877,22.667
878,23.359
879,24.048
880,24.784
881,25.57
882,26.341
883,27.111
884,27.875
885,28.701
886,29.533
887,30.359
888,31.234
889,32.104
890,32.966
891,33.832
892,34.668
893,35.531
894,36.414
895,37.316
896,38.214
897,39.129
898,40.02
899,40.942
900,41.817
901,42.695
902,43.551
903,44.39
904,45.294
905,46.12
906,46.965
907,47.756
908,48.59
909,49.383
910,50.185
911,50.95
912,51.726
913,52.529
914,53.244
915,53.988
916,54.669
917,55.353
918,56.042
919,56.732
920,57.395
921,58.105
922,58.75
923,59.354
924,59.969
925,60.589
926,61.157
927,61.734
928,62.267
929,62.835
930,63.348
931,63.833
932,64.355
933,64.844
934,65.318
935,65.813
936,66.24
937,66.723
938,67.184
939,67.62
940,68.019
941,68.44
942,68.854
943,69.249
944,69.631
945,70.026
946,70.401
947,70.777
948,71.138
949,71.504
950,71.88
951,72.246
952,72.608
953,72.957
954,73.274
955,73.619
956,73.921
957,74.252
958,74.538
959,74.832
960,75.107
961,75.428
962,75.701
963,75.997
964,76.276
965,76.545
966,76.818
967,77.087
968,77.342
969,77.583
970,77.851
971,78.082
972,78.301
973,78.515
974,78.746
975,78.963
976,79.196
977,79.397
978,79.619
979,79.827
980,80.038
981,80.22
982,80.432
983,80.654
984,80.853
985,81.038
986,81.237
987,81.405
988,81.59
989,81.784
990,81.954
991,82.115
992,82.293
993,82.469
994,82.641
995,82.792
996,82.948
997,83.117
998,83.289
999,83.427
1000,83.578
1001,83.727
1002,83.874
1003,84.017
1004,84.14
1005,84.269
1006,84.387
1007,84.502
1008,84.62
1009,84.747
1010,84.88
1011,84.985
1012,85.08
1013,85.172
1014,85.254
1015,85.359
1016,85.449
1017,85.552
1018,85.638
1019,85.717
1020,85.811
1021,85.889
1022,85.965
1023,86.026
1024,86.1
1025,86.176
1026,86.256
1027,86.335
1028,86.399
1029,86.474
1030,86.542
1031,86.593
1032,86.67
1033,86.721
1034,86.789
1035,86.849
1036,86.899
1037,86.947
1038,86.993
1039,87.034
1040,87.077
1041,87.118
1042,87.161
1043,87.217
1044,87.258
1045,87.303
1046,87.356
1047,87.392
1048,87.433
1049,87.474
1050,87.52
1051,87.557
1052,87.595
1053,87.634
1054,87.665
1055,87.696
1056,87.728
1057,87.757
1058,87.785
1059,87.824
1060,87.855
1061,87.884
1062,87.918
1063,87.941
1064,87.96
1065,87.98
1066,88.0
1067,88.034
1068,88.057
1069,88.079
1070,88.101
1071,88.127
1072,88.148
1073,88.163
1074,88.18
1075,88.195
1076,88.215
1077,88.234
1078,88.263
1079,88.281
1080,88.304
1081,88.321
1082,88.343
1083,88.362
1084,88.378
1085,88.394
1086,88.411
1087,88.428
1088,88.447
1089,88.467
1090,88.489
1091,88.502
1092,88.519
1093,88.537
1094,88.552
1095,88.565
1096,88.577
1097,88.594
1098,88.611
1099,88.617
1100,88.622
1101,88.632
1102,88.645
1103,88.65
1104,88.669
1105,88.674
1106,88.681
1107,88.695
1108,88.703
1109,88.714
1110,88.723
1111,88.728
1112,88.734
1113,88.738
1114,88.743
1115,88.752
1116,88.761
1117,88.768
1118,88.776
1119,88.781
1120,88.787
1121,88.793
1122,88.802
1123,88.805
1124,88.811
1125,88.817
1126,88.823
1127,88.827
1128,88.83
1129,88.837
1130,88.845
1131,88.851
1132,88.852
1133,88.855
1134,88.858
1135,88.868
1136,88.873
1137,88.878
1138,88.88
1139,88.882
1140,88.886
1141,88.887
1142,88.894
1143,88.897
1144,88.903
1145,88.905
1146,88.907
1147,88.915
1148,88.917
1149,88.921
1150,88.924
1151,88.927
1152,88.931
1153,88.933
1154,88.936
1155,88.938
1156,88.939
1157,88.94
1158,88.942
1159,88.946
1160,88.95
1161,88.953
1162,88.955
1163,88.959
1164,88.96
1165,88.962
1166,88.964
1167,88.964
1168,88.965
1169,88.965
1170,88.965
1171,88.966
1172,88.969
1173,88.972
1174,88.975
1175,88.975
1176,88.976
1177,88.977
1178,88.978
1179,88.979
1180,88.979
1181,88.98
1182,88.98
1183,88.98
