elevation,area
504,0.002
505,0.002
506,0.004
507,0.005
508,0.007
509,0.012
510,0.017
511,0.021
512,0.025
513,0.034
514,0.046
515,0.055
516,0.08
517,0.105
518,0.117
519,0.131
520,0.143
521,0.155
522,0.172
523,0.18
524,0.188
525,0.199
526,0.223
527,0.238
528,0.253
529,0.263
530,0.284
531,0.3
532,0.324
533,0.339
534,0.351
535,0.372
536,0.395
537,0.411
538,0.434
539,0.455
540,0.471
541,0.484
542,0.508
543,0.53
544,0.549
545,0.565
546,0.589
547,0.61
548,0.626
549,0.647
550,0.664
551,0.691
552,0.723
553,0.746
554,0.782
555,0.829
556,0.9
557,0.999
558,21.625
559,21.97
560,22.103
561,22.244
562,22.436
563,22.64
564,22.871
565,23.119
566,23.403
567,23.684
568,24.004
569,24.289
570,24.602
571,24.888
572,25.21
573,25.544
574,25.858
575,26.157
576,26.475
577,26.793
578,27.087
579,27.359
580,27.666
581,27.949
582,28.221
583,28.508
584,28.766
585,29.035
586,29.313
587,29.562
588,29.822
589,30.09
590,30.336
591,30.574
592,30.815
593,31.072
594,31.309
595,31.561
596,31.807
597,32.053
598,32.306
599,32.538
600,32.791
601,33.031
602,33.257
603,33.474
604,33.688
605,33.909
606,34.097
607,34.299
608,34.482
609,34.681
610,34.875
611,35.052
612,35.238
613,35.421
614,35.591
615,35.758
616,35.93
617,36.091
618,36.271
619,36.439
620,36.605
621,36.787
622,36.93
623,37.107
624,37.267
625,37.441
626,37.578
627,37.766
628,37.951
629,38.109
630,38.264
631,38.417
632,38.56
633,38.727
634,38.875
635,39.035
636,39.176
637,39.327
638,39.499
639,39.649
640,39.794
641,39.932
642,40.078
643,40.219
644,40.367
645,40.502
646,40.651
647,40.809
648,40.952
649,41.111
650,41.281
651,41.434
652,41.574
653,41.721
654,41.869
655,42.027
656,42.166
657,42.33
658,42.461
659,42.581
660,42.733
661,42.883
662,43.007
663,43.138
664,43.282
665,43.424
666,43.549
667,43.657
668,43.802
669,43.92
670,44.047
671,44.181
672,44.311
673,44.428
674,44.558
675,44.69
676,44.792
677,44.901
678,45.027
679,45.132
680,45.24
681,45.352
682,45.465
683,45.573
684,45.696
685,45.805
686,45.902
687,46.005
688,46.116
689,46.217
690,46.303
691,46.383
692,46.461
693,46.55
694,46.633
695,46.712
696,46.795
697,46.889
698,46.968
699,47.063
700,47.145
701,47.223
702,47.307
703,47.393
704,47.481
705,47.554
706,47.629
707,47.708
708,47.78
709,47.858
710,47.923
711,47.993
712,48.07
713,48.145
714,48.209
715,48.279
716,48.332
717,48.393
718,48.472
719,48.547
720,48.604
721,48.658
722,48.706
723,48.767
724,48.813
725,48.86
726,48.903
727,48.959
728,49.012
729,49.065
730,49.114
731,49.162
732,49.202
733,49.241
734,49.289
735,49.32
736,49.358
737,49.402
738,49.43
739,49.452
740,49.486
741,49.52
742,49.557
743,49.585
744,49.62
745,49.644
746,49.682
747,49.724
748,49.76
749,49.791
750,49.819
751,49.847
752,49.873
753,49.907
754,49.931
755,49.95
756,49.975
757,49.995
758,50.018
759,50.038
760,50.055
761,50.077
762,50.098
763,50.107
764,50.127
765,50.141
766,50.158
767,50.17
768,50.186
769,50.21
770,50.219
771,50.231
772,50.239
773,50.248
774,50.25
775,50.256
776,50.264
777,50.264
778,50.273
779,50.28
780,50.284
781,50.291
782,50.292
783,50.299
784,50.303
785,50.307
786,50.31
787,50.312
788,50.317
789,50.32
790,50.323
791,50.323
792,50.327
793,50.33
794,50.334
795,50.338
796,50.34
797,50.343
798,50.344
799,50.348
800,50.355
801,50.36
802,50.362
803,50.364
804,50.365
805,50.368
806,50.372
807,50.376
808,50.377
809,50.379
810,50.382
811,50.385
812,50.386
813,50.389
814,50.392
815,50.394
816,50.395
817,50.399
818,50.401
819,50.403
820,50.403
821,50.404
822,50.406
823,50.406
824,50.409
825,50.41
826,50.41
827,50.414
828,50.414
829,50.416
830,50.419
831,50.42
832,50.421
833,50.423
834,50.423
835,50.425
836,50.427
837,50.43
838,50.432
839,50.434
840,50.434
841,50.437
842,50.438
843,50.438
844,50.44
845,50.441
846,50.441
847,50.441
848,50.442
849,50.444
850,50.448
851,50.449
852,50.45
853,50.45
854,50.451
855,50.452
856,50.455
857,50.455
858,50.455
859,50.456
860,50.458
861,50.458
862,50.458
863,50.461
864,50.464
865,50.464
866,50.465
867,50.466
868,50.467
869,50.468
870,50.468
871,50.468
872,50.469
873,50.47
874,50.472
875,50.474
876,50.475
877,50.475
878,50.475
879,50.476
880,50.477
881,50.479
882,50.481
883,50.481
884,50.483
885,50.484
886,50.484
887,50.485
888,50.485
889,50.485
890,50.485
891,50.487
892,50.488
893,50.489
894,50.491
895,50.491
896,50.491
897,50.492
898,50.492
899,50.492
900,50.493
901,50.494
902,50.494
903,50.494
904,50.496
905,50.496
906,50.498
907,50.499
908,50.501
909,50.501
910,50.501
911,50.501
912,50.501
913,50.501
914,50.501
915,50.501
916,50.502
917,50.504
918,50.504
919,50.504
920,50.504
921,50.505
922,50.505
923,50.506
924,50.507
925,50.507
926,50.509
927,50.51
928,50.51
929,50.51
930,50.51
931,50.51
932,50.511
933,50.511
934,50.511
935,50.511
936,50.512
937,50.512
938,50.512
939,50.512
940,50.512
941,50.513
942,50.514
943,50.514
944,50.514
945,50.514
946,50.515
947,50.515
948,50.515
949,50.515
950,50.515
951,50.515
952,50.515
953,50.516
