elevation,area
42,0.001
43,0.001
44,0.003
45,0.011
46,0.021
47,0.025
48,0.032
49,0.041
50,0.046
51,0.051
52,0.054
53,0.063
54,0.068
55,0.075
56,0.078
57,0.089
58,0.094
59,0.102
60,0.113
61,0.128
62,0.138
63,0.155
64,0.175
65,0.188
66,0.217
67,0.255
68,0.304
69,0.375
70,4.721
71,5.258
72,5.508
73,5.774
74,6.06
75,6.348
76,6.677
77,6.978
78,7.356
79,7.689
80,8.032
81,8.394
82,8.79
83,9.14
84,9.533
85,9.905
86,10.357
87,10.777
88,11.233
89,11.705
90,12.171
91,12.638
92,13.145
93,13.682
94,14.24
95,14.791
96,15.351
97,15.927
98,16.492
99,17.063
100,17.689
101,18.244
102,18.797
103,19.371
104,19.888
105,20.389
106,20.837
107,21.268
108,21.689
109,22.118
110,22.499
111,22.93
112,23.316
113,23.654
114,23.947
115,24.239
116,24.541
117,24.823
118,25.106
119,25.328
120,25.571
121,25.833
122,26.048
123,26.247
124,26.451
125,26.657
126,26.871
127,27.047
128,27.229
129,27.385
130,27.546
131,27.7
132,27.824
133,27.95
134,28.09
135,28.217
136,28.339
137,28.44
138,28.551
139,28.647
140,28.764
141,28.869
142,28.987
143,29.074
144,29.173
145,29.259
146,29.34
147,29.433
148,29.54
149,29.633
150,29.717
151,29.796
152,29.895
153,29.984
154,30.079
155,30.171
156,30.252
157,30.345
158,30.423
159,30.523
160,30.597
161,30.674
162,30.748
163,30.825
164,30.905
165,30.998
166,31.079
167,31.149
168,31.229
169,31.291
170,31.371
171,31.453
172,31.516
173,31.587
174,31.666
175,31.736
176,31.816
177,31.883
178,31.945
179,32.008
180,32.074
181,32.137
182,32.199
183,32.263
184,32.329
185,32.389
186,32.444
187,32.501
188,32.559
189,32.616
190,32.674
191,32.72
192,32.774
193,32.824
194,32.886
195,32.934
196,32.971
197,33.016
198,33.069
199,33.114
200,33.146
201,33.196
202,33.247
203,33.289
204,33.334
205,33.377
206,33.416
207,33.452
208,33.498
209,33.552
210,33.591
211,33.622
212,33.657
213,33.681
214,33.705
215,33.732
216,33.761
217,33.789
218,33.822
219,33.844
220,33.865
221,33.889
222,33.914
223,33.939
224,33.956
225,33.979
226,33.993
227,34.008
228,34.026
229,34.044
230,34.062
231,34.075
232,34.088
233,34.109
234,34.125
235,34.141
236,34.156
237,34.164
238,34.18
239,34.198
240,34.214
241,34.229
242,34.243
243,34.254
244,34.271
245,34.284
246,34.289
247,34.304
248,34.313
249,34.324
250,34.333
251,34.343
252,34.351
253,34.361
254,34.376
255,34.381
256,34.386
257,34.389
258,34.396
259,34.4
260,34.406
261,34.414
262,34.419
263,34.422
264,34.427
265,34.429
266,34.436
267,34.441
268,34.448
269,34.451
270,34.455
271,34.458
272,34.465
273,34.466
274,34.471
275,34.476
276,34.481
277,34.484
278,34.486
279,34.491
280,34.494
281,34.498
282,34.501
283,34.503
284,34.506
285,34.508
286,34.51
287,34.512
288,34.515
289,34.517
290,34.527
291,34.527
292,34.531
293,34.533
294,34.537
295,34.538
296,34.54
297,34.543
298,34.544
299,34.545
300,34.547
301,34.55
302,34.553
303,34.555
304,34.559
305,34.561
306,34.561
307,34.562
308,34.564
309,34.567
310,34.568
311,34.57
312,34.571
313,34.573
314,34.573
315,34.575
316,34.576
317,34.579
318,34.579
319,34.581
320,34.582
321,34.583
322,34.584
323,34.585
324,34.585
325,34.585
326,34.586
327,34.586
328,34.587
