elevation,area
567,0.001
568,0.003
569,0.003
570,0.003
571,0.005
572,0.006
573,0.007
574,0.009
575,0.01
576,0.011
577,0.012
578,0.014
579,0.016
580,0.018
581,0.018
582,0.022
583,0.025
584,0.027
585,0.028
586,0.029
587,0.03
588,0.033
589,0.035
590,0.039
591,0.041
592,0.044
593,0.045
594,0.046
595,0.049
596,0.053
597,0.055
598,0.058
599,0.062
600,0.067
601,0.067
602,0.072
603,0.074
604,0.076
605,0.079
606,0.087
607,0.089
608,0.093
609,0.095
610,0.098
611,0.099
612,0.105
613,0.11
614,0.113
615,0.115
616,0.116
617,0.121
618,0.123
619,0.127
620,0.132
621,0.135
622,0.137
623,0.14
624,0.144
625,0.149
626,0.151
627,0.155
628,0.159
629,0.162
630,0.168
631,0.171
632,0.173
633,0.18
634,0.186
635,0.188
636,0.191
637,0.196
638,0.204
639,0.206
640,0.211
641,0.217
642,0.221
643,0.224
644,0.229
645,0.234
646,0.24
647,0.242
648,0.246
649,0.254
650,0.258
651,0.263
652,0.268
653,0.273
654,0.276
655,0.28
656,0.286
657,0.291
658,0.293
659,0.298
660,0.303
661,0.309
662,0.314
663,0.319
664,0.322
665,0.326
666,0.331
667,0.335
668,0.341
669,0.344
670,0.346
671,0.35
672,0.356
673,0.365
674,0.368
675,0.372
676,0.375
677,0.379
678,0.384
679,0.387
680,0.391
681,0.394
682,0.397
683,0.399
684,0.403
685,0.41
686,0.417
687,0.422
688,0.426
689,0.429
690,0.436
691,0.438
692,0.444
693,0.447
694,0.452
695,0.457
696,0.462
697,0.465
698,0.471
699,0.474
700,0.48
701,0.484
702,0.487
703,0.489
704,0.493
705,0.496
706,0.504
707,0.51
708,0.518
709,0.528
710,0.532
711,0.536
712,0.543
713,0.549
714,0.554
715,0.562
716,0.57
717,0.575
718,0.578
719,0.583
720,0.586
721,0.595
722,0.6
723,0.603
724,0.607
725,0.615
726,0.619
727,0.628
728,0.633
729,0.639
730,0.64
731,0.647
732,0.656
733,0.66
734,0.666
735,0.67
736,0.675
737,0.681
738,0.685
739,0.692
740,0.696
741,0.701
742,0.706
743,0.712
744,0.72
745,0.727
746,0.734
747,0.738
748,0.747
749,0.755
750,0.76
751,0.766
752,0.771
753,0.777
754,0.781
755,0.789
756,0.795
757,0.798
758,0.8
759,0.807
760,0.812
761,0.821
762,0.823
763,0.832
764,0.837
765,0.841
766,0.847
767,0.853
768,0.866
769,0.884
770,0.892
771,0.901
772,0.912
773,0.922
774,0.928
775,0.937
776,0.954
777,0.968
778,0.976
779,0.988
780,1.006
781,1.021
782,1.033
783,1.052
784,1.065
785,1.087
786,1.107
787,1.126
788,1.143
789,1.166
790,1.185
791,1.213
792,1.249
793,1.275
794,1.312
795,1.345
796,1.4
797,1.46
798,1.569
799,1.699
800,6.467
801,6.967
802,7.228
803,7.487
804,7.745
805,7.981
806,8.202
807,8.427
808,8.634
809,8.857
810,9.058
811,9.296
812,9.501
813,9.72
814,9.929
815,10.134
816,10.35
817,10.533
818,10.746
819,10.99
820,11.213
821,11.44
822,11.673
823,11.896
824,12.108
825,12.349
826,12.592
827,12.848
828,13.066
829,13.298
830,13.541
831,13.777
832,13.988
833,14.177
834,14.391
835,14.597
836,14.771
837,14.949
838,15.134
839,15.324
840,15.534
841,15.722
842,15.919
843,16.147
844,16.365
845,16.577
846,16.817
847,17.069
848,17.3
849,17.537
850,17.789
851,18.055
852,18.318
853,18.583
854,18.843
855,19.095
856,19.376
857,19.673
858,19.946
859,20.223
860,20.507
861,20.811
862,21.075
863,21.361
864,21.629
865,21.892
866,22.15
867,22.4
868,22.671
869,22.915
870,23.15
871,23.387
872,23.638
873,23.911
874,24.151
875,24.397
876,24.689
877,24.991
878,25.232
879,25.504
880,25.766
881,26.031
882,26.281
883,26.548
884,26.787
885,27.025
886,27.248
887,27.479
888,27.728
889,27.962
890,28.179
891,28.396
892,28.601
893,28.833
894,29.044
895,29.236
896,29.412
897,29.61
898,29.775
899,29.951
900,30.144
901,30.337
902,30.494
903,30.669
904,30.836
905,30.983
906,31.138
907,31.256
908,31.401
909,31.542
910,31.69
911,31.835
912,31.964
913,32.094
914,32.202
915,32.313
916,32.423
917,32.512
918,32.623
919,32.718
920,32.828
921,32.94
922,33.045
923,33.16
924,33.235
925,33.312
926,33.424
927,33.518
928,33.591
929,33.688
930,33.777
931,33.87
932,33.959
933,34.046
934,34.11
935,34.185
936,34.25
937,34.318
938,34.38
939,34.441
940,34.498
941,34.557
942,34.614
943,34.663
944,34.711
945,34.757
946,34.8
947,34.834
948,34.866
949,34.903
950,34.932
951,34.961
952,34.995
953,35.029
954,35.058
955,35.085
956,35.122
957,35.146
958,35.169
959,35.203
960,35.24
961,35.264
962,35.28
963,35.305
964,35.329
965,35.356
966,35.371
967,35.401
968,35.421
969,35.444
970,35.461
971,35.476
972,35.49
973,35.513
974,35.527
975,35.55
976,35.564
977,35.583
978,35.596
979,35.606
980,35.623
981,35.639
982,35.656
983,35.67
984,35.681
985,35.692
986,35.699
987,35.71
988,35.726
989,35.749
990,35.757
991,35.764
992,35.773
993,35.779
994,35.781
995,35.789
996,35.796
997,35.803
998,35.807
999,35.814
1000,35.819
1001,35.824
1002,35.83
1003,35.834
1004,35.842
1005,35.846
1006,35.849
1007,35.854
1008,35.86
1009,35.866
1010,35.867
1011,35.873
1012,35.877
1013,35.879
1014,35.886
1015,35.892
1016,35.897
1017,35.902
1018,35.905
1019,35.906
1020,35.914
1021,35.915
1022,35.921
1023,35.928
1024,35.931
1025,35.934
1026,35.935
1027,35.94
1028,35.944
1029,35.948
