date,dS (m3)
2017-02-10,
2017-02-16,-47674073.1210244
2017-02-26,-13751846.0479709
2017-03-08,-2790985.6451617
2017-03-14,54173942.2058829
2017-03-18,-95965468.8298523
2017-03-28,86895857.4512007
2017-03-30,-13686249.1616108
2017-04-15,-12945470.6305786
2017-04-17,-11285971.5696358
2017-04-27,-5598664.5443778
2017-05-01,-14992012.4153313
2017-05-07,-10100439.5501358
2017-05-17,-8482199.2389393
2017-05-27,-4650417.085387399
2017-06-02,-2011058.7019927
2017-06-06,1566972.1451991
2017-06-18,1580114.5362424
2017-06-26,1609668.9765648
2017-07-01,1151590.282368
2017-07-04,1358275.2802417
2017-07-06,2294880.8521667
2017-07-16,742059.5238306
2017-07-20,1548674.0283773
2017-07-21,1150325.2696406
2017-07-31,1429700.2114113
2017-08-05,1368575.8167984
2017-08-15,1435509.3385319998
2017-08-20,1414580.8871699
2017-08-21,1438241.446593
2017-08-30,1480095.8338771
2017-09-06,1553817.3646621
2017-09-09,1560559.8571191002
2017-09-14,729039.3130271999
2017-09-19,1986900.669686
2017-09-22,1360893.3310611
2017-09-24,1471001.6307853002
2017-09-29,1332931.0908418002
2017-10-04,1412282.8760146
2017-10-08,1382705.2636667
2017-10-09,1408325.1020561
2017-10-14,1402753.5112949
2017-10-19,1361001.2551407
2017-10-24,1365201.967592
2017-10-29,1372859.4158106002
2017-11-03,1378671.7785468
2017-11-08,1385329.9779132002
2017-11-09,8758289.40702
2017-11-13,-2213124.4111544
2017-11-18,1980643.3585229
2017-11-23,1566881.0526313998
2017-11-25,1531563.1710478
2017-11-28,1647370.7070854
2017-12-03,1636467.4224397
2017-12-08,1652281.6075838
2017-12-11,1591971.0905545
2017-12-13,1694113.5957065
2017-12-18,-763453.8446692
2017-12-23,1817461.0269707
2017-12-27,0.0
2017-12-28,2592998.5579414
2018-01-02,1298150.4979394
2018-01-07,1968765.359047
2018-01-12,1639574.1059605
2018-01-17,1815791.4807055
2018-01-22,1701201.5653934
2018-01-27,1672216.7603784
2018-01-28,-731899.4274822
2018-02-06,-1959563.0354792
2018-02-11,-1418203.3297839002
2018-02-13,-1727021.8902279
2018-02-16,-1565900.6935282
2018-02-21,-1637317.0135391
2018-02-26,-1593603.9272275
2018-03-01,-1606800.0859206
2018-03-03,-1517380.5384866
2018-03-08,-1501555.4761059
2018-03-13,-1493948.6835361
2018-03-17,-1489520.7513352
2018-03-18,-1483460.1243269
2018-03-23,-1478145.030847
2018-03-28,-1452635.4485383
2018-04-02,-2756028.3223329
2018-04-07,-3406356.8953269
2018-04-12,-3041198.2421533
2018-04-17,-3091267.1047987
2018-04-18,-2984943.3280262
2018-04-22,-8305354.7362244
2018-04-27,-300096.61211700004
