date,dS (m3)
2017-07-29,
2017-08-02,-11071650.4587967
2017-08-14,132788.49200569998
2017-08-17,275754.3340607
2017-08-30,115653.3146234
2017-09-06,297323.8549942
2017-09-11,208447.0380588
2017-09-15,263743.8262289
2017-09-26,2009850.4338416
2017-10-01,4458388.4739378
2017-10-16,7753883.6602801
2017-10-17,2707955.5174854
2017-10-21,1186816.2686845
2017-11-02,488835.5001768
2017-11-05,-488835.5001768
2017-11-10,1325158.0701138
2017-11-18,425290.0458159
2017-11-25,894446.2033945001
2017-12-04,-501568.8168356
2017-12-05,-5078568.4024502
2017-12-15,1347357.9210684
2017-12-20,-1833283.9020942
2017-12-25,-246886.713993
2018-01-04,-9626949.8289094
2018-01-05,18176606.869579
2018-01-14,-22446740.7778042
2018-01-21,16880819.339959
2018-01-24,-16867862.5147346
2018-01-29,4159760.658981301
2018-02-03,-3788940.9262898
2018-02-06,8755156.9060314
2018-02-08,-6902020.4692917
2018-02-13,5543425.7173579
2018-02-18,-680841.4402173
2018-02-22,-678774.8641304
2018-02-23,-2493418.7905108
2018-02-28,-2311825.4447853
2018-03-05,-1760391.6801612
2018-03-10,-131582.0703124
2018-03-15,-128908.7981467
2018-03-20,-126235.525981
2018-03-25,-73390.26997752795
2018-03-26,-171060.9654876
2018-03-30,-118215.7094839
2018-04-04,-85699.84284155308
2018-04-09,-84237.9805596501
2018-04-11,-82776.11827760017
2018-04-14,-49921.51738775354
2018-04-24,-510128.6397706
2018-04-27,-83137.40809384357
2018-04-29,-377173.3477201
2018-05-04,-6584.254656179677
2018-05-09,-173211.61386019998
2018-05-13,-90995.69393752184
2018-05-14,-124125.835554
2018-05-19,-103989.6171813
2018-05-24,-107874.1792452
2018-05-29,-217266.8179201
2018-06-03,-28839.140195405344
2018-06-08,54169.05334734356
2018-06-13,174618.8496553
2018-06-14,115161.885273
2018-06-18,160633.34265799998
2018-06-23,144464.505373
2018-06-28,162487.4579873
2018-06-30,160772.828799
2018-07-03,169457.0802923
2018-07-08,172005.4590995
2018-07-13,177509.7347296
2018-07-18,181084.2668138
2018-07-23,185400.5553885
2018-07-28,189057.0927368
2018-08-01,192828.1735416
2018-08-02,90794.48575831152
2018-08-07,34571.186853973726
2018-08-12,63508.42062735145
2018-08-17,49223.26889669848
2018-08-22,56851.3326991639
2018-08-27,53363.020812165785
2018-09-01,55506.70857527371
2018-09-02,16407.80259934938
2018-09-06,-2622.8767748311543
2018-09-11,-83.22773229623085
2018-09-21,-8338.001454615838
2018-09-26,-4211.964504505278
2018-10-01,-6268.260093817325
2018-10-04,-5020.648567365556
2018-10-06,-5423.370668777731
2018-10-11,-5218.842219577282
2018-10-16,-5317.543802403174
2018-10-20,-5264.82493392264
2018-10-21,-5287.714476435559
2018-10-26,-7959.682220122128
2018-10-31,-9300.78490094446
2018-11-05,-8621.975862347288
2018-11-10,-8950.902668286259
2018-11-15,-8777.056066920924
2018-11-20,-8854.029696094549
2018-11-21,-8805.854688162119
2018-11-25,-8820.10211083747
2018-11-30,-8803.192884776228
2018-12-07,-8801.812783758214
2018-12-10,-8792.670465694926
2018-12-15,-14920.73984494472
2018-12-20,-17953.957345202587
2018-12-23,-16407.00548052428
2018-12-25,-17140.11643946999
2018-12-30,-16738.08261048651
2019-01-04,-16901.022507829864
2019-01-08,-16782.612427490476
2019-01-09,-16804.144682178587
2019-01-14,-16755.904620728765
2019-01-19,-16742.282200553123
2019-01-24,-16711.31610047086
2019-01-29,-16688.86865947257
2019-02-03,-2491.403077815785
2019-02-08,4553.75287605392
2019-02-09,1030.0899778140713
2019-02-13,2793.7450959614766
2019-02-18,1912.0738863639308
2019-02-23,2353.8467931340697
2019-02-25,2133.493127056044
2019-02-28,-86141.79429982539
2019-03-05,-129216.7483723
2019-03-10,122014.1334982
2019-03-13,-237598.1860581
2019-03-15,-60882.03035547602
