date,dS (m3)
2017-07-29,
2017-08-02,-24863279.651160497
2017-08-14,52128111.8173342
2017-08-17,-21302800.8929387
2017-08-30,97221131.3187556
2017-09-06,-100451151.641903
2017-09-11,97487134.3011703
2017-09-15,-2513088.4997121
2017-09-26,44548429.5618417
2017-10-01,-137753129.1173524
2017-10-16,1392418.2558151002
2017-10-17,30347099.248024706
2017-10-21,-30347099.248024706
2017-11-02,87071.17369035877
2017-11-05,-1943327.4527617
2017-11-18,18841134.5873133
2017-11-25,9886228.1765831
2017-11-30,-26869715.3313843
2017-12-04,-25489712.2751333
2017-12-05,652732.5048787999
2017-12-15,11692520.8131314
2017-12-20,3062667.8338628
2017-12-25,29707860.084723502
2018-01-04,-3864697.4299679
2018-01-05,19095130.0383031
2018-01-09,-43682876.2165051
2018-01-14,-12548056.4280521
2018-01-21,1679168.279212
2018-01-24,-5400103.3480608
2018-01-29,23353122.874081302
2018-02-03,-22059825.795786
2018-02-06,7841958.9557276
2018-02-08,-5549622.7167504
2018-02-13,67282599.0929788
2018-02-18,-78511787.00438489
2018-02-22,177317748.045782
2018-02-23,-184421025.1156835
2018-02-28,62093003.2439914
2018-03-05,-32643165.5986106
2018-03-10,47896462.45335911
2018-03-15,0.0
2018-03-20,-14615286.7965149
2018-03-25,-62965027.421961
2018-03-26,6876467.906281699
2018-03-30,-7761187.8778606
2018-04-04,769730.4771315
2018-04-09,-870437.397685
2018-04-11,-303088.09563919995
2018-04-14,-577354.7055942001
2018-04-24,-230808.1875345
2018-04-27,-196171.808487
2018-04-29,-212549.9758388
2018-05-04,-203615.3215988
2018-05-09,-207234.1512338
2018-05-13,-204621.4052885
2018-05-14,-205095.3658431
2018-05-19,-204033.8852692
2018-05-24,-203729.4456973
2018-05-29,-203045.0102302
2018-06-03,-202544.3991513
2018-06-08,354906.6939281
2018-06-14,634364.5960061001
2018-06-18,497538.7800997
2018-06-23,573243.6509747
2018-06-28,540320.0646846
2018-06-30,562763.3917797001
2018-07-03,556881.0089827
2018-07-08,41153494.861795
2018-07-13,0.0
2018-07-18,47763070.3751578
2018-07-23,22756821.8556019
2018-07-28,33613894.5733341
2018-08-01,26159159.9594742
2018-08-02,-846533.6408178
2018-08-07,-17490087.3125731
2018-08-12,-9180758.4947018
2018-08-17,-102810813.3399816
2018-08-22,0.0
2018-08-27,0.0
2018-09-01,-10959596.7970893
2018-09-02,29351416.3670958
2018-09-06,59934309.232334994
2018-09-11,7573821.8417076
2018-09-21,-8474969.1279039
2018-09-26,122214573.3181148
2018-10-01,-62033263.7579267
2018-10-04,29740450.7814666
2018-10-06,-13545531.765849
2018-10-11,7999577.950488499
2018-10-16,113879933.1976732
2018-10-20,-55661875.0259434
2018-10-21,-29639233.3994688
2018-10-26,58755851.85772
2018-10-31,-31317433.5030098
2018-11-05,-38377633.949634105
2018-11-10,12142423.3733104
2018-11-15,24560935.2692333
2018-11-20,29829566.624230303
2018-11-21,0.0
2018-11-25,-128657009.75942229
2018-11-30,63957106.5660373
2018-12-07,-32815014.8497951
2018-12-10,48712704.481991
2018-12-15,-17455497.5718554
2018-12-20,6591798.2432451
2018-12-23,0.0
2018-12-25,19333705.2825696
2018-12-30,-10314269.6796705
2019-01-04,4491128.8993406
2019-01-08,-2905225.3866748
2019-01-09,792946.1342745001
2019-01-14,-72233043.44248891
2019-01-19,-3732307.0077852
2019-01-24,1150506.2577047
2019-01-29,-46141830.5920014
2019-02-03,8698867.2883394
2019-02-08,-14061994.0339425
2019-02-09,-2703923.8030112
2019-02-13,-15052893.7458684
2019-02-18,75740412.9847353
2019-02-23,-46290361.936973
2019-02-25,14384287.015359
2019-02-28,-23366810.12014
2019-03-05,-68677121.616247
2019-03-10,110679285.3830753
2019-03-13,-76153782.51205091
2019-03-15,16132758.668938998
2019-03-20,-33087706.2609158
2019-03-25,-8592475.2853104
2019-03-29,-16291774.260098798
2019-03-30,-38778198.05861691
2019-04-04,0.0
2019-04-09,-429388.0113481
2019-04-14,-215201.3417215
2019-04-19,-319822.39470540005
2019-04-24,-266612.9099425
2019-04-29,-291542.2844376
2019-04-30,-231038.8348404
2019-05-04,-213721.5534583
2019-05-09,-221438.9046945
2019-05-14,-216733.9857839
2019-05-16,-379008.2033294
