date,dS (m3)
2017-07-29,
2017-08-02,-17322347.968031798
2017-08-14,26081793.3628015
2017-08-17,-29391135.688715898
2017-08-30,45071314.926139
2017-09-06,-15683703.4935189
2017-09-11,22026001.3859876
2017-09-15,2790403.3554985
2017-09-26,13026205.5513727
2017-10-01,7664894.8074888
2017-10-16,11192871.7825527
2017-10-17,6184311.1029885
2017-10-21,4807751.6285654
2017-11-02,5416252.482605
2017-11-05,5228198.7117096
2017-11-18,5932291.8048553
2017-11-25,5879504.587156099
2017-11-30,-14188441.1340805
2017-12-04,-22306873.6079575
2017-12-05,2682434.1838362003
2017-12-15,9752995.8052543
2017-12-20,6014940.360138601
2017-12-25,8137395.3742123
2018-01-04,7795524.4719434995
2018-01-05,8334650.558180599
2018-01-09,8048874.5107745
2018-01-14,2234371.5863348
2018-01-21,-917030.4675043
2018-01-24,659956.4549329
2018-01-29,-128609.03391230002
2018-02-03,265878.619178
2018-02-06,198186.5229659
2018-02-08,361804.6042283
2018-02-13,280054.7386916
2018-02-18,321084.014592
2018-02-22,300674.84770040005
2018-02-23,311009.3137254
2018-02-28,-3409292.4726126
2018-03-05,-5247969.059271701
2018-03-10,-4311382.254793
2018-03-15,-4788834.2877816
2018-03-20,-4571121.5550539
2018-03-25,-4663690.6288353
2018-03-26,-4502533.063175299
2018-03-30,-4129127.8953789
2018-04-04,-4098919.3317638
2018-04-09,-8061853.133075499
2018-04-11,-10300464.0925921
2018-04-14,-8707522.4690103
2018-04-24,-6942457.3758501
2018-04-27,-5973008.2054856
2018-04-29,-28486035.2160353
2018-05-04,5173405.6479772
2018-05-09,-11029343.2021069
2018-05-13,-3069591.7806865
2018-05-14,-6987101.9757619
2018-05-19,-5023226.7139614
2018-05-24,-5926029.344404
2018-05-29,-5435298.5216552
2018-06-03,29811598.8627746
2018-06-08,2492807.3274681
2018-06-14,13862576.0480333
2018-06-18,8186081.8593323
2018-06-23,11559369.1343823
2018-06-28,9668090.6214835
2018-06-30,42167973.9958611
2018-07-03,-3928173.4575073
2018-07-08,21954135.1646911
2018-07-13,9063906.4594049
2018-07-18,16862633.021828998
2018-07-23,11302367.7164123
2018-07-28,14027898.4727488
2018-08-01,13577100.9213737
2018-08-02,-2805132.595962
2018-08-07,-11771921.8407968
2018-08-12,-7247793.4401618
2018-08-17,-8809613.4111987
2018-08-22,-7544551.0869345
2018-08-27,-8889613.0923198
2018-09-01,-9343496.5234592
2018-09-02,95761844.77823652
2018-09-06,5127171.954112
2018-09-11,-17015444.759645797
2018-09-18,-5825954.8867922
2018-09-21,-3291385.2658793
2018-09-26,-8257909.496250999
2018-10-01,-2090019.2836246
2018-10-04,2209178.8948556
2018-10-06,-1041305.647512
2018-10-11,584685.8950339999
2018-10-16,-228228.5830753
2018-10-20,178304.1525174
2018-10-21,-24968.87307777461
2018-10-26,-46449.46807622476
2018-10-31,-158826.3972633
2018-11-05,-102636.1046188
2018-11-10,-130708.7872966
2018-11-15,-116660.6941153
2018-11-20,-123667.7234272
2018-11-21,-120149.9372478
2018-11-25,-121893.4783498
2018-11-30,-121006.5888547
2018-12-07,-121435.0843604
2018-12-10,-121205.593066
2018-12-15,-310182.078363
2018-12-20,-404441.7335473
2018-12-23,-357204.2926499
2018-12-25,-380660.8091763
2018-12-30,-368797.4931269
2019-01-04,-374580.6566288
2019-01-08,-371547.2782703
2019-01-09,-372918.8875401
2019-01-14,-372089.5080702
2019-01-24,-372359.4371229
2019-01-29,-372080.1666665
2019-02-03,15786.38624919102
2019-02-08,209590.9766971
2019-02-09,112683.2407851
2019-02-18,161174.3091383
2019-02-23,136943.8036087
2019-02-25,149084.6486029
2019-02-28,-4395360.6927711
2019-03-05,-2232631.4252253
2019-03-06,-2241699.071155
2019-03-10,-2236933.1097323
2019-03-15,-2224881.9635464
2019-03-20,-2213901.1027417
2019-03-22,-2214355.872134
2019-03-25,-2213997.7065378004
2019-03-30,-2214076.1985801
2019-04-04,-33551284.6766015
2019-04-07,2336032.1959368
2019-04-09,-28738457.0701697
2019-04-14,-474147.357036
2019-04-19,-13731029.4529112
2019-04-23,-6638191.1281294
2019-04-24,-24783082.7419698
2019-04-29,-227332.5959597
2019-05-04,-11277908.0524425
2019-05-09,-6273917.5254691
2019-05-14,-9011720.9022619
2019-05-19,-7653626.8619033
2019-05-24,-8353460.5542559
2019-05-25,-8263992.1309905
2019-05-29,1200334.8951486
2019-06-03,5227651.1934054
2019-06-08,3109911.9412899003
2019-06-10,4133957.4898169
2019-06-13,3546348.2686722
2019-06-18,3808748.7445275
2019-06-23,3652605.6828023
2019-06-26,3799788.0191846
2019-06-28,3745887.7194933
2019-07-03,3752248.8320591
2019-07-08,3668035.4750122
2019-07-12,3561874.4762162003
2019-07-13,3549366.3125166
2019-07-18,3541548.5929380003
2019-07-23,3636457.1704863
