date,dS (m3)
2017-08-02,
2017-08-14,17526274.323785897
2017-08-17,8015278.496575699
2017-08-30,15010906.2225538
2017-09-06,3128449.9268662
2017-09-11,9700415.4520269
2017-09-15,6498384.766641
2017-09-26,8473651.4675415
2017-10-01,15683662.1011147
2017-10-17,-16318571.694976
2017-10-21,16038688.2257777
2017-11-02,-6149898.177931
2017-11-05,6511227.860528099
2017-11-18,-4968977.0088533005
2017-11-25,5874745.6007929
2017-11-30,-10179247.3056848
2017-12-04,-12469217.4737274
2017-12-05,-3666286.1643902
2017-12-20,-727251.0937319
2017-12-25,-2493933.61682
2018-01-04,-1609282.7584848
2018-01-05,-2036106.361522
2018-01-09,-1814453.0877735
2018-01-14,-6764186.554841
2018-01-21,-3412585.1612903
2018-01-24,-3361384.3354837
2018-01-29,-3301808.9902119003
2018-02-06,252851.9957748
2018-02-08,253909.3639281
2018-02-13,162212.43006820002
2018-02-18,354124.4215446
2018-02-22,258639.4451612
2018-02-23,-1049420.2511877
2018-02-28,-1029896.8838027
2018-03-05,-1024758.7147889
2018-03-10,-634946.4567278
2018-03-15,-1399156.4658073
2018-03-20,-1009344.2077464
2018-03-25,-1004206.0387323
2018-03-26,-999067.8697182
2018-03-30,-993929.7007041
2018-04-04,-485978.2130282
2018-04-09,-484740.3169014
2018-04-11,-305083.9849907
2018-04-14,-5083633.1835281
2018-04-19,-4421321.194440001
2018-04-24,-4291532.426515301
2018-04-27,-16310964.337807098
2018-04-29,3555671.7414369
2018-05-04,-40203.22505085979
2018-05-09,-4143695.4381643
2018-05-13,-2656813.6354043
2018-05-14,-5721002.697539399
2018-05-19,-4108522.7986207
2018-05-24,-4730209.6722914
2018-05-29,-4557538.4085312
2018-06-03,-3492165.8612253
2018-06-08,4284202.270273601
2018-06-13,7691586.9762461
2018-06-14,4968636.722165
2018-06-18,5734912.5512448
2018-06-23,5161712.8255303
2018-06-28,5380069.3894589
2018-06-30,5239852.428765399
2018-07-03,5068330.3994296
2018-07-08,5121570.9655888
2018-07-13,5472643.6331629
2018-07-16,5727321.3930085
2018-07-18,5818573.8584123
2018-07-23,4582247.8480027
2018-07-28,3872884.5579132
2018-08-01,4294815.8886078
2018-08-02,850414.9833681
2018-08-07,-747016.5670918
2018-08-12,-874974.5628335
2018-08-17,116838.6161868
2018-08-22,-378078.5278315
2018-08-27,-130767.6119461
2018-09-01,22387536.4758104
2018-09-02,0.0
2018-09-06,0.0
2018-09-11,4188283.9923881
2018-09-18,-4173081.1837758
2018-09-21,-15202.808612360352
2018-09-26,0.0
2018-10-01,-410385.5945222
2018-10-04,425588.4031346
2018-10-06,2304519.3732057
2018-10-11,-2319722.181818
2018-10-16,-912893.5915136
2018-10-20,684944.476681
2018-10-21,-2337418.5815268
