date,dS (m3)
2017-07-29,
2017-08-02,2439050.6051851
2017-08-14,5000235.1851851
2017-08-17,-119791.8411652
2017-08-30,-119461.2134316
2017-09-06,-69677.3156074486
2017-09-11,-94362.5651442124
2017-09-15,-81926.65397252292
2017-09-26,-87995.55653469915
2017-10-01,-84839.88700937288
2017-10-16,-86282.27565986702
2017-10-17,-9304.046998958373
2017-10-21,28238.050416744103
2017-11-02,-19836.36617904024
2017-11-05,21617.866614385213
2017-11-10,12752.630512703909
2017-11-18,30516.424159208946
2017-11-25,8319.057417994985
2017-12-04,-1491149.0383025
2017-12-05,255753.4947351
2017-12-15,-1218388.3518779
2017-12-20,389722.8515625
2017-12-25,-588395.1883171999
2018-01-04,-102508.1280027
2018-01-05,-407463.4638139
2018-01-14,-1226432.0664682
2018-01-21,-1116208.8541666
2018-01-24,-585319.2548822
2018-01-29,-1435358.9283446
2018-02-03,-323216.93196210003
2018-02-06,81310.43196215354
2018-02-08,-172956.6499104
2018-02-13,-46333.48034709442
2018-02-18,-139964.28317
2018-02-22,-121352.536307
2018-02-23,-47148.46473029726
2018-02-28,-47008.87966802881
2018-03-05,-46869.29460581588
2018-03-10,-46729.7095435752
2018-03-15,-46590.12448133451
2018-03-20,-46450.53941906641
2018-03-25,-46310.95435685315
2018-03-26,-46171.36929461247
2018-03-30,-28970.167929682902
2018-04-04,-781251.2428586
2018-04-09,-700885.1555625
2018-04-11,-363477.8830195
2018-04-14,-487212.656428
2018-04-24,240641.3319004
2018-04-27,-344687.09433959995
2018-04-29,355660.3018867
2018-05-04,-173341.3354702
2018-05-09,92551.68190815458
2018-05-13,-40174.46145865273
2018-05-14,26309.155462699888
2018-05-19,-6933.70478772893
2018-05-24,9704.56632213256
2018-05-29,1382.6009699229585
2018-06-03,5547.907526020579
2018-06-08,1124299.1543499
2018-06-13,25201.69838671812
2018-06-14,1151786.9861585
2018-06-18,116717.2334766
2018-06-23,1128978.5919603
2018-06-28,160607.5985471
2018-06-30,672061.3552127
2018-07-03,-334212.3746456
2018-07-08,907471.691455
2018-07-13,2137141.884022
2018-07-18,-256466.9679528
2018-07-23,2083726.7922788
2018-07-28,978169.4784156
2018-08-01,115648.1675546
2018-08-02,115978.7647683
2018-08-07,116309.3920506
2018-08-12,116640.00432
2018-08-17,116970.6165893
2018-08-22,69544.95571689018
2018-08-27,165388.099
2018-09-01,45803.937504810885
2018-09-02,-141894.68750479998
2018-09-06,18561.15871364197
2018-09-11,-66523.84621363728
2018-09-21,7127.238392094904
2018-09-26,-29664.39255892132
2018-10-01,-11273.287840203064
2018-10-04,-114296.1204929
2018-10-06,-50008.74999999329
2018-10-11,-29400.190802003217
2018-10-16,-39666.58543292664
2018-10-20,-80596.47376505008
2018-10-21,-141737.2637637
2018-10-26,-33213.093950702576
2018-10-31,-137007.5238997
2018-11-05,-227651.5894165
2018-11-10,-908052.8383369
2018-11-15,668868.8699837
2018-11-20,-1561008.6556979
2018-11-21,647417.7676295
2018-11-25,-445994.8030488
2018-11-30,886276.6428118
2018-12-07,-117273.3216782
2018-12-10,-68966.17309904532
2018-12-15,-451388.3465575
2018-12-20,-613171.2073056999
2018-12-23,-1650601.2524052002
2018-12-25,101381.4956681
2018-12-30,-708027.0640652
2019-01-04,-1132553.4886198
2019-01-08,-537326.4599999
2019-01-09,-521601.2999999001
2019-01-14,-1666432.2921161
2019-01-19,651039.0871368999
2019-01-24,283229.7171524
2019-01-29,-216048.6171523
2019-02-03,0.0
2019-02-08,122648.7782203
2019-02-09,18602.525812688287
2019-02-13,70997.8041560298
2019-02-18,44587.39771407403
2019-02-23,57857.81762298016
2019-02-25,51147.25024052245
2019-02-28,54498.39199398678
2019-03-05,52024.76650936913
2019-03-10,51692.10814602286
2019-03-13,51262.74467430228
2019-03-15,51457.16211448276
2019-03-20,-63890.03247911616
2019-03-25,-122880.5541924
2019-03-29,-97146.1559551266
2019-03-30,-184216.1243414
2019-04-04,-212498.6250582
2019-04-09,-199277.1647323
2019-04-14,-206330.4139358
2019-04-19,-203649.1689256
2019-04-24,-205815.6280891
2019-04-29,-205779.1158677
2019-04-30,-206976.2443588
2019-05-04,-200950.6657958
2019-05-09,-128990.64072650002
2019-05-14,-101414.1421207
2019-05-16,-115484.3408825
2019-05-19,-109286.9647861
2019-05-24,-113041.9415039
2019-05-29,-112022.6137729
2019-06-01,-66622.11677149957
2019-06-03,-44563.7659834012
2019-06-08,-55657.05978380416
2019-06-13,-50406.49108397647
2019-06-17,-53228.6649557592
2019-06-18,-52082.16879424909
2019-06-23,198286.2017097
2019-06-28,315361.81969890004
2019-07-03,247480.344168
2019-07-08,279369.9336201
2019-07-13,281915.7498754
2019-07-18,293740.4381094
2019-07-19,286780.236508
2019-07-23,288524.4448284
2019-07-28,286093.4600784
2019-08-02,286150.3096907
2019-08-04,281180.8588541
2019-08-07,274690.8284057
2019-08-12,274277.1256498
2019-08-17,274119.420631
2019-08-20,273961.15744369995
2019-08-22,273917.2881452
2019-08-27,273913.78124339995
2019-09-01,273976.3780574
2019-09-05,279496.0312607
2019-09-06,282131.3398682
2019-09-11,282323.2129811
2019-09-16,282550.30427130003
2019-09-21,282807.5970664
2019-09-26,283092.42125210003
2019-10-01,283401.6012313
2019-10-07,283732.7132602
2019-10-23,299649.6048117
2019-10-31,329151.41481040005
2019-11-05,329596.0582182
2019-11-08,330057.2429463
2019-11-10,330533.33481120004
2019-11-15,100971.3041108
2019-11-20,-18292.016681624824
2019-11-24,41434.77214032264
2019-11-25,-79771.9613403278
2019-11-30,-110627.9610882
2019-12-05,-95220.45228968014
2019-12-10,-102812.2086114
2019-12-15,-98972.17649419536
2019-12-20,-100815.1248637
2019-12-25,-99833.99081920725
2019-12-26,-100257.100553
2019-12-30,-99982.93702287327
2020-01-04,-459860.3108672
2020-01-09,-578924.1906206
2020-01-11,-475173.8470863
2020-01-14,-509977.1819164
2020-01-19,-492052.4217634
2020-01-24,-499658.3488460999
2020-01-27,-320794.2690516
2020-01-29,-248743.348164
2020-02-03,-283529.5398788
2020-02-08,-266666.307063
2020-02-12,-274972.92706719995
2020-02-13,-271186.6279897
2020-02-18,-64582.01933083184
2020-02-23,33469.86078301718
2020-02-28,-15536.90525694573
2020-03-04,8974.937944158304
2020-03-09,-3280.706601892369
2020-03-14,2848.108160363216
2020-03-15,-216.5193179393467
2020-03-19,1315.9628072902033
2020-03-24,549.6510988107237
2020-03-29,-170942.5096796
2020-03-31,-257923.2921143
2020-04-03,-224086.5059893
2020-04-08,-158761.3084589
2020-04-13,-107951.8795878
2020-04-16,-133122.0194456
2020-04-18,-120981.2417432
2020-04-23,-127193.80287820002
2020-04-28,-124420.8083465
2020-05-02,-126086.0993876
2020-05-03,-125604.7606534
2020-05-08,-126209.3062838
2020-05-13,-126318.1657519
2020-05-18,-126709.74067210002
2020-05-23,-127006.8092225
2020-05-28,220584.6373988
2020-06-02,382849.2291499
2020-06-03,294633.5479884
2020-06-07,338874.3665322
2020-06-12,314052.5463681
2020-06-17,321611.5842274
2020-06-19,307241.2332676
2020-06-22,310120.3290943
2020-06-27,308188.7792388
2020-07-02,308934.7209215
2020-07-05,308448.6829227
2020-07-07,308732.5187803
2020-07-12,578349.2249968
2020-07-17,725218.2052685
2020-07-21,651674.0778766
2020-07-22,432695.5121848
2020-07-27,291442.0350245
2020-08-06,408666.0798096
2020-08-22,359155.0723054
2020-08-26,385396.3344453
2020-08-31,97055.60990805169
2020-09-05,-40175.93711188554
2020-09-07,28486.775668717863
2020-09-10,-5849.371117793085
2020-09-15,11325.99825566302
2020-09-20,2736.1282425087
2020-09-23,4809.289139323168
2020-09-25,1548.2919585400657
2020-09-30,3179.09523095014
2020-10-05,2363.626455915584
2020-10-09,2771.465577203553
2020-10-10,2567.562769514824
2020-10-15,3493.172294145292
2020-10-20,3854.145893366492
2020-10-25,3673.7189536940414
2020-10-30,3764.035759020012
2020-11-04,3718.958566320469
2020-11-09,3741.604598312352
2020-11-10,3730.372513554858
2020-11-14,3736.081257207368
2020-11-19,3733.3184106052777
2020-11-24,-17509.67359100511
2020-11-26,-28135.37710075186
2020-11-29,-22825.845051043987
2020-12-04,-250721.1914532
2020-12-09,-361486.0887102
2020-12-12,-306475.914853
2020-12-14,-332784.5425341
2020-12-19,-296213.4551173
2020-12-24,-281112.1377861
2020-12-28,-278074.56265680003
2020-12-29,-279098.8160385
2021-01-03,-278169.44708340004
2021-01-08,-278231.6046453
2021-01-13,-277850.418081
2021-01-18,-277731.4647549
2021-01-23,-216926.5178254
2021-01-28,-184031.2337074
2021-01-29,-196469.345772
2021-02-02,-189698.3508916
2021-02-07,-192987.6395443
2021-02-12,-191375.5618694
2021-02-14,-192195.835071
2021-02-17,-191860.0489392
2021-02-22,-192128.0907814
2021-02-27,-192143.092852
2021-03-02,-192328.4546651
2021-03-04,-192482.5041233
2021-03-09,-4472.598234299618
2021-03-14,84459.71894097244
2021-03-18,39670.44932167467
2021-03-19,-178617.01212990002
2021-03-24,-324110.99166590004
2021-03-29,-257825.255213
2021-04-03,-290776.0235901
2021-04-08,-276299.4666643
2021-04-13,-284901.12577720004
2021-04-18,-282854.67636299995
2021-04-19,-273049.338139
2021-04-23,-261784.6144918
2021-04-28,-28520.683733084494
2021-05-03,73435.15087634113
2021-05-05,21966.327543737018
2021-05-08,47852.777704226544
2021-05-13,34722.76642940953
2021-05-18,41267.936588640885
2021-05-21,365663.7143925
2021-05-23,559227.499243
2021-05-28,458472.6212031
2021-06-02,508056.45816330006
2021-06-06,467680.2684051
2021-06-07,474453.3374808
2021-06-12,450065.9526988
2021-06-17,444727.7926668
2021-06-22,447535.000786
2021-06-27,459088.2647467
2021-07-02,460538.8004552
2021-07-07,460782.680972
2021-07-08,461751.2231211
2021-07-12,462507.7447161
2021-07-17,526764.9846418
2021-07-22,254599.8542709
2021-07-24,103921.0028217
2021-07-27,180154.1167496
2021-08-01,71097.33437549061
2021-08-06,54417.92549140491
2021-08-09,62811.30503053572
2021-08-11,58623.612641118285
2021-08-16,60748.76218760605
2021-08-21,59706.48070094785
2021-08-25,60253.57974073276
2021-08-26,60003.34036043743
2021-08-31,60153.25065690226
2021-09-10,60102.51955648874
2021-09-26,60152.55747124474
2021-09-30,-6682.027982541214
2021-10-05,-40306.98726594343
2021-10-10,-23515.09194975561
2021-10-12,-31891.019792727613
2021-10-15,-27704.158259413423
2021-10-20,-29788.35514613776
2021-10-25,-28742.265584643657
2021-10-28,-29258.73388444094
2021-10-30,-28995.23707735624
2021-11-04,52060.32139706404
2021-11-09,92602.19203437628
2021-11-14,72283.64189337169
2021-11-19,30210.22753443232
2021-11-24,-1289.147317699478
2021-11-29,14470.615971005249
2021-12-04,6587.522377045553
2021-12-09,10531.791166463132
2021-12-14,8559.219541815477
2021-12-15,9546.6084935796
2021-12-19,9053.243996260186
2021-12-24,-46665.8055553912
2021-12-29,-74788.30180084388
2021-12-31,-60749.11051907899
2022-01-03,-67713.31243608483
2022-01-08,-64215.34550036385
2022-01-13,-65929.04929946465
2022-01-16,-362385.2714632
2022-01-18,-509935.375545
2022-01-23,-436849.0364662
2022-01-28,-412722.3681406
2022-02-01,-391751.3359222
2022-02-02,-398277.2685472
2022-02-07,-300380.4765678
2022-02-12,-257707.8888886
2022-02-17,-278233.85040169995
2022-02-22,-267957.4671368
2022-02-27,-267714.407715
2022-03-04,-262701.7277794
2022-03-05,-263796.9644152
2022-03-09,-263253.6897487
2022-03-14,-263588.5706752
2022-03-19,-598459.1165122
2022-03-21,-779214.5729915
2022-03-24,-719361.4224015999
2022-03-29,-222626.6912211
2022-04-03,40.08097026383594
2022-04-06,-109940.2368911
2022-04-08,-55745.46911943171
2022-04-13,-82658.38832874097
2022-04-18,-69544.74880604976
2022-04-22,-76199.20919880299
2022-04-23,-69824.38715316736
2022-04-28,-68060.41108824972
2022-05-03,-67481.92166579643
2022-05-08,-67975.2314436011
2022-05-13,-67952.28747231839
2022-05-18,366823.821062
2022-05-23,619181.729585
2022-05-24,489281.3303376
2022-05-28,554071.0224212001
2022-06-02,502163.3290578
2022-06-07,514689.5424105
2022-06-09,504148.9196026
2022-06-12,509352.1874272
2022-06-17,514949.9718509
2022-06-22,523490.374626
2022-06-27,523485.1359543
2022-07-02,524868.3091581999
2022-07-07,530584.9164291
2022-07-12,609960.34098
2022-07-17,221237.3058679
2022-07-22,11659.615361934522
2022-07-27,117068.497936
2022-08-01,64163.54826854591
2022-08-06,90792.71931536924
2022-08-11,77458.53097927853
2022-08-16,84202.48861294003
2022-08-21,80859.12038144736
2022-08-26,82583.82554550435
2022-08-31,81762.71219316452
2022-09-05,82220.8280051849
2022-09-10,82036.60502648284
2022-09-15,38672.07024291509
2022-09-20,16679.63640323998
2022-09-25,27695.31968659807
2022-09-29,22184.15412978052
2022-09-30,24947.48368455256
2022-10-05,15962.428880460013
2022-10-10,12842.83255307552
2022-10-15,14405.188691441304
2022-10-20,13624.74432601891
2022-10-25,14016.601026643935
2022-10-30,13821.850407555916
2022-10-31,13920.642622553449
2022-11-04,13872.542337560157
2022-11-09,13897.95378719216
2022-11-14,-41980.247831536886
2022-11-16,-69938.3624003287
2022-11-19,-55980.16663197756
2022-11-24,-63897.02172750243
2022-11-29,-60908.58017634332
2022-12-02,-62371.407504128416
2022-12-04,-61616.48278439896
2022-12-09,-61966.67054946439
2022-12-14,-61766.37571986622
2022-12-18,-61840.45587735402
2022-12-19,-61777.974138369565
2022-12-24,-61783.66137616793
2022-12-29,-61755.500452634704
2023-01-03,-61744.33030376627
2023-01-08,-61724.85096533575
2023-01-13,-440279.1211434
2023-01-18,-627590.0360476001
2023-01-19,-462622.1622353
2023-01-23,-499579.3908645001
2023-01-28,-480477.6285889
2023-02-02,-488521.3233958
2023-02-04,-482170.3687803
2023-02-07,-471867.6908434
2023-02-12,-470875.2436572
2023-02-17,-471573.4611765
2023-02-20,-472028.4525371
2023-02-22,-484697.1068533
2023-02-27,-772925.2477509
2023-03-04,-898733.5704924001
2023-03-08,-799746.8081738
2023-03-09,-63281.37108423738
2023-03-14,174673.0192761
2023-03-19,78003.92855226505
2023-03-24,97946.2553735138
2023-03-29,98892.278380862
2023-04-03,90436.85665410991
2023-04-08,110185.7378706
2023-04-09,101730.3288148
2023-04-13,88644.51364785664
2023-04-18,-214596.6853087
2023-04-23,-909881.7323572
2023-04-25,-321384.0998536
2023-04-28,-246443.96823490004
2023-05-03,-295595.26802980003
2023-05-08,-293485.7262782
2023-05-11,43201.00600903577
2023-05-13,150716.97198300002
2023-05-18,89928.63878434437
2023-05-23,118545.1677169
2023-05-27,100701.9067223
2023-05-28,107555.6410419
2023-06-02,117098.4438349
2023-06-07,125755.7878483
2023-06-12,117797.3101283
2023-06-17,119440.8131983
2023-06-22,116825.9357078
2023-06-27,116623.0717087
2023-06-28,115344.8100353
2023-07-02,114769.7855698
2023-07-07,113959.3936241
2023-07-12,1354789.5689027
2023-07-14,2170740.784644
2023-07-17,1590835.3139057
2023-07-22,776318.5352546
2023-07-27,-226552.5308647
2023-07-28,281622.6233908
2023-07-30,25664.53419869604
2023-08-01,155026.2861475
2023-08-06,89844.12979731467
2023-08-11,122810.9544533
2023-08-13,106252.1315831
2023-08-16,114680.2627245
2023-08-21,110505.0471658
2023-08-26,112689.0292303
2023-08-27,111667.4531985
2023-08-29,112264.2902002
2023-08-31,116662.2724446
2023-09-05,129879.3620586
2023-09-10,-26836.05701301039
2023-09-12,-106415.4076104
2023-09-15,-61875.651901835095
2023-09-20,18249.602650067427
2023-09-25,82202.05823601133
2023-09-28,52579.80375462422
2023-09-30,68499.35695410543
2023-10-05,60531.718232487656
2023-10-10,64555.64751631232
2023-10-14,62559.91915733744
2023-10-15,63586.17920436256
2023-10-20,63095.63934532191
