date,inflow (m3/d)
2015-10-24,409155.6068005409
2015-10-25,10122203.523017852
2015-10-26,20811209.810401738
2015-10-27,18574475.86727643
2015-10-28,12941405.238035206
2015-10-29,12230700.109212508
2015-10-30,15917221.23491194
2015-10-31,17951103.23553661
2015-11-01,19310008.722764306
2015-11-02,22815519.073351044
2015-11-03,23364940.14150328
2015-11-04,20068081.585489023
2015-11-05,23583746.20336632
2015-11-06,31344986.38197892
2015-11-07,31025875.614454243
2015-11-08,28205274.89858828
2015-11-09,25816217.82037777
2015-11-10,20635101.77702692
2015-11-11,14622144.115491156
2015-11-12,9588082.506712245
2015-11-13,6621306.777866854
2015-11-14,7473752.623757562
2015-11-15,9899095.671776854
2015-11-16,9744392.165446073
2015-11-17,7798205.219939596
2015-11-18,5833295.022965354
2015-11-19,11945619.10396176
2015-11-20,25687987.656379327
2015-11-21,32015211.81685827
2015-11-22,27480957.14556279
2015-11-23,18593596.907467883
2015-11-24,10703167.2625716
2015-11-25,5772882.0502034845
2015-11-26,3224605.1360715465
2015-11-27,2145111.5959533
2015-11-28,1768885.1961002983
2015-11-29,2012056.501106748
2015-11-30,2687551.336219966
2015-12-01,3361935.9006551635
2015-12-02,3899583.729057763
2015-12-03,5049577.888975365
2015-12-04,6335212.743531125
2015-12-05,6953382.2429832565
2015-12-06,6335921.149490545
2015-12-07,5693556.485489648
2015-12-08,5442341.077291361
2015-12-09,4114311.349427604
2015-12-10,3100081.8521328364
2015-12-11,2517180.4247190976
2015-12-12,1813258.7961270816
2015-12-13,1773244.3527824816
2015-12-14,3915111.067775844
2015-12-15,8365254.648055681
2015-12-16,10673255.25826045
2015-12-17,10381476.042850344
2015-12-18,8609801.718782451
2015-12-19,5373525.756615082
2015-12-20,2989870.350300643
2015-12-21,1594787.8392747736
2015-12-22,932933.744410922
2015-12-23,699641.7703175576
2015-12-24,615992.6368099359
2015-12-25,499968.8591950994
2015-12-26,312933.335443444
2015-12-27,202869.98672951915
2015-12-28,112333.14819942188
2015-12-29,96656.78685011038
2015-12-30,100256.8863632814
2015-12-31,87600.8619583344
2016-01-01,75346.80771939478
2016-01-02,63942.279876636814
2016-01-03,56766.90184887706
2016-01-04,52759.42841821328
2016-01-05,50724.41700490325
2016-01-06,49417.40348360735
2016-01-07,48460.84185234128
2016-01-08,48171.95461159646
2016-01-09,47889.81037780988
2016-01-10,47271.39069153885
2016-01-11,46183.15998963796
2016-01-12,44994.740060442855
2016-01-13,43897.232433254685
2016-01-14,43110.245646727
2016-01-15,42589.56543162114
2016-01-16,42066.48170066472
2016-01-17,41519.52452984839
2016-01-18,41249.727673703
2016-01-19,41299.04770152123
2016-01-20,41436.06939021173
2016-01-21,41818.51001130297
2016-01-22,41891.2511071562
2016-01-23,43819.87611722584
2016-01-24,44350.81335579664
2016-01-25,42039.40226816374
2016-01-26,40732.402692348645
2016-01-27,40875.47207121733
2016-01-28,40849.24649359407
2016-01-29,39607.92744116356
2016-01-30,38950.53111465725
2016-01-31,38459.074510891376
2016-02-01,41460.40963669244
2016-02-02,44755.03730722909
2016-02-03,69505.4712673447
2016-02-04,88998.86264685003
2016-02-05,77419.21137059397
2016-02-06,66152.65742374255
2016-02-07,56893.34454475618
2016-02-08,51442.60119294767
2016-02-09,48661.64013929939
2016-02-10,57610.73995683334
2016-02-11,77245.46462517521
2016-02-12,92812.6492517964
2016-02-13,86472.72369418976
2016-02-14,66995.0256290899
2016-02-15,55028.6686165326
2016-02-16,46563.3233381786
2016-02-17,43010.79381731284
2016-02-18,42841.53164493368
2016-02-19,47868.745851374304
2016-02-20,51274.67338289028
2016-02-21,47994.175909620535
2016-02-22,45871.612321206216
2016-02-23,43594.14037468775
2016-02-24,40856.60554828355
2016-02-25,39769.98934160843
2016-02-26,44322.968634454
2016-02-27,47962.23855664632
2016-02-28,44978.43534679973
2016-02-29,45389.01501227597
2016-03-01,46492.67773431032
2016-03-02,44512.38080331663
2016-03-03,42037.29307535554
2016-03-04,40104.14605963991
2016-03-05,39497.87337647
2016-03-06,39916.42789970942
2016-03-07,40139.62532008244
2016-03-08,39243.23794919882
2016-03-09,38400.22800707664
2016-03-10,39462.27741437226
2016-03-11,96269.10541946752
2016-03-12,1642348.8257353457
2016-03-13,8574455.967969365
2016-03-14,16133347.758267373
2016-03-15,17609802.345548905
2016-03-16,18164982.6770841
2016-03-17,19542972.163348954
2016-03-18,17361214.510592885
2016-03-19,11994926.923367845
2016-03-20,7106952.030655654
2016-03-21,3978056.931305004
2016-03-22,2250190.4048553524
