date,inflow (m3/d)
2015-10-24,388806.7257415332
2015-10-25,9433360.504270071
2015-10-26,15296407.452106323
2015-10-27,10802255.971238067
2015-10-28,7500056.883251509
2015-10-29,7442481.717971566
2015-10-30,10849632.09689433
2015-10-31,11327643.740281966
2015-11-01,11710456.363190264
2015-11-02,13923363.669446545
2015-11-03,12733059.26541032
2015-11-04,10241987.7655908
2015-11-05,14666589.855245514
2015-11-06,20686804.7939266
2015-11-07,18723816.13741352
2015-11-08,15782157.834247831
2015-11-09,13373207.91911315
2015-11-10,9302681.954224894
2015-11-11,6188853.650204995
2015-11-12,4070281.64985076
2015-11-13,3548936.4799677986
2015-11-14,5802562.290409867
2015-11-15,7307285.125732836
2015-11-16,6348756.716823119
2015-11-17,4833246.489380798
2015-11-18,3524930.6559032327
2015-11-19,11717913.158574205
2015-11-20,23582501.41017656
2015-11-21,25596377.10170162
2015-11-22,20032357.76535144
2015-11-23,12307306.133907994
2015-11-24,6756582.834880448
2015-11-25,3399193.9194079577
2015-11-26,1937229.2763133105
2015-11-27,1408221.368100318
2015-11-28,1233158.6855204818
2015-11-29,1210439.236644243
2015-11-30,1560916.1159970623
2015-12-01,2069789.5023171348
2015-12-02,1839688.50133736
2015-12-03,2032521.185927721
2015-12-04,2656543.5596376853
2015-12-05,2556300.8502012645
2015-12-06,2138050.365355838
2015-12-07,2880327.570971951
2015-12-08,3078405.216952704
2015-12-09,2103094.22925742
2015-12-10,1703370.4575702057
2015-12-11,1270030.1673506896
2015-12-12,841975.755051579
2015-12-13,1228592.1888975522
2015-12-14,1846671.0378312648
2015-12-15,1802734.07080866
2015-12-16,1927368.309396536
2015-12-17,2840602.963650105
2015-12-18,2762041.3666271297
2015-12-19,1737084.9394353393
2015-12-20,1078790.3551511157
2015-12-21,556841.8107984168
2015-12-22,302133.3997310894
2015-12-23,212693.0422450667
2015-12-24,169830.3714531421
2015-12-25,140997.85182550532
2015-12-26,127966.36320973572
2015-12-27,101901.24864976908
2015-12-28,55681.29363134123
2015-12-29,59213.33259240268
2015-12-30,57949.203871174825
2015-12-31,49414.94418583353
2016-01-01,43294.89800279719
2016-01-02,37558.92357279182
2016-01-03,34484.54422042308
2016-01-04,32868.62410903489
2016-01-05,32061.73712139055
2016-01-06,31484.611227087385
2016-01-07,31039.75405909389
2016-01-08,30573.188425971955
2016-01-09,30368.916001689107
2016-01-10,30459.074513759613
2016-01-11,30068.873354926072
2016-01-12,29497.91185245629
2016-01-13,28943.58853188129
2016-01-14,28586.60819957165
2016-01-15,28349.61894333456
2016-01-16,27998.07734854102
2016-01-17,27654.14411448868
2016-01-18,27395.69863506552
2016-01-19,27744.832310172413
2016-01-20,28075.15328700831
2016-01-21,28387.55505497532
2016-01-22,28309.034658285127
2016-01-23,27551.59369710142
2016-01-24,27144.9270846091
2016-01-25,26754.595278639536
2016-01-26,26444.323744030746
2016-01-27,26261.87648653153
2016-01-28,26118.86778273727
2016-01-29,25968.913006211547
2016-01-30,25833.44048917881
2016-01-31,25782.87001658124
2016-02-01,26994.59896064975
2016-02-02,28248.932816539866
2016-02-03,43275.07486881131
2016-02-04,50739.13046578861
