date,inflow (m3/d)
2015-10-24,94666.806862283
2015-10-25,2314318.040233881
2015-10-26,4147443.1695318674
2015-10-27,3292758.021943568
2015-10-28,2247166.8288895763
2015-10-29,1641223.1979024045
2015-10-30,1635092.573705187
2015-10-31,3732059.922026028
2015-11-01,5348298.4307602905
2015-11-02,4289399.209716742
2015-11-03,3308687.3574953303
2015-11-04,2686826.7828617115
2015-11-05,2482968.5393589344
2015-11-06,2402497.9479143773
2015-11-07,2204399.8387754657
2015-11-08,4387345.856902095
2015-11-09,7326727.523626825
2015-11-10,7203442.451589558
2015-11-11,5145230.284375578
2015-11-12,3049592.850502099
2015-11-13,1957727.7091978453
2015-11-14,3158337.0430954625
2015-11-15,4363844.149735952
2015-11-16,3660386.462824748
2015-11-17,2709827.651540708
2015-11-18,1777655.325488891
2015-11-19,969026.5570776043
2015-11-20,773659.9419253309
2015-11-21,732202.4006538495
2015-11-22,581703.8433463902
2015-11-23,523850.2993571369
2015-11-24,700216.4562420341
2015-11-25,920398.477104862
2015-11-26,825104.7031998588
2015-11-27,737151.8475195635
2015-11-28,1018621.3793719196
2015-11-29,997310.680947983
2015-11-30,667488.9547716781
2015-12-01,828903.1365644054
2015-12-02,875530.7544409023
2015-12-03,1346033.6396258343
2015-12-04,2107781.457045535
2015-12-05,1795436.1560429365
2015-12-06,1125967.6451633505
2015-12-07,837890.6148344452
2015-12-08,713213.3678944353
2015-12-09,1733218.2612915412
2015-12-10,3003740.158528489
2015-12-11,2656265.212733858
2015-12-12,1780574.075477332
2015-12-13,1184113.1634824164
2015-12-14,1040611.9640237312
2015-12-15,907820.8791481028
2015-12-16,671036.5187227451
2015-12-17,725665.9800910737
2015-12-18,682266.1416112044
2015-12-19,522581.98968289903
2015-12-20,555934.4639922191
2015-12-21,538622.1477687459
2015-12-22,354121.4695982701
2015-12-23,240088.2975606369
2015-12-24,138013.16662516186
2015-12-25,70322.92061108649
2015-12-26,45825.80141674353
2015-12-27,37008.006864055526
2015-12-28,27608.478047300367
2015-12-29,27022.6467477656
2015-12-30,26450.525568470515
2015-12-31,14418.57899620871
2016-01-01,10906.198587993817
2016-01-02,8896.08051850604
2016-01-03,8005.9765408920575
2016-01-04,7594.221002260164
2016-01-05,7404.721955498659
2016-01-06,7269.243175232441
2016-01-07,7164.301792927337
2016-01-08,7039.660877634698
2016-01-09,6828.200854679065
2016-01-10,6745.212888649546
2016-01-11,6673.946515159156
2016-01-12,6615.2207009178055
2016-01-13,6564.688052378714
2016-01-14,6582.520407814491
2016-01-15,6563.477682507375
2016-01-16,6477.674686614597
2016-01-17,6420.49229457839
2016-01-18,6362.215647147925
2016-01-19,6317.538265617569
2016-01-20,6280.984615974494
2016-01-21,6249.063606125164
2016-01-22,6218.951447465753
2016-01-23,6190.951441970995
2016-01-24,6165.043185200556
2016-01-25,6137.935054368025
2016-01-26,6115.343497783692
2016-01-27,6094.146636074957
2016-01-28,6074.0259740327
2016-01-29,6054.975664341293
2016-01-30,6036.911177814407
2016-01-31,6058.134291279122
2016-02-01,6927.604878006386
2016-02-02,7369.123767017143
2016-02-03,6976.874090449803
2016-02-04,6731.422863251391
2016-02-05,6323.216180362473
2016-02-06,6118.607694457837
2016-02-07,6005.355906548656
