date,outflow (m3/d)
2017-02-16,7948110.186684127
2017-02-26,1377381.963019709
2017-03-08,283133.75068594405
2017-03-14,0.0
2017-03-18,24005507.732926168
2017-03-28,0.0
2017-03-30,6846948.231643441
2017-04-15,1289972.5761238425
2017-04-17,7434664.121874219
2017-04-27,763855.2224052721
2017-05-01,3756720.543176415
2017-05-07,1700680.923399713
2017-05-17,1253218.6796442473
2017-05-27,2137863.722275001
2017-06-02,1525518.1104135225
2017-06-06,734804.7365837874
2017-06-18,2487585.6890870454
2017-06-26,134807.64799527964
2017-07-01,1345278.6633881007
2017-07-04,1222452.5942304935
2017-07-06,482062.5701581475
2017-07-16,642743.5453608115
2017-07-20,1175748.107697617
2017-07-21,1205902.3998868847
2017-07-31,172899.19521052507
2017-08-05,0.0
2017-08-15,1015187.4080510158
2017-08-20,1935043.0426771736
2017-08-21,1836735.010823847
2017-08-30,1398077.7982345792
2017-09-06,2145580.193125701
2017-09-09,3167378.9864738127
2017-09-14,1694905.2543095415
2017-09-19,1642881.7871500675
2017-09-22,2308260.7101565786
2017-09-24,51002.63973109773
2017-09-29,126294.93560592104
2017-10-04,415334.9689064518
2017-10-08,0.0
2017-10-09,0.0
2017-10-14,296340.28795538604
2017-10-19,1259382.28446042
2017-10-24,681059.1887017442
2017-10-29,0.0
2017-11-03,0.0
2017-11-08,0.0
2017-11-09,0.0
2017-11-13,1089506.89161315
2017-11-18,0.0
2017-11-23,0.0
2017-11-25,0.0
2017-11-28,0.0
2017-12-03,0.0
2017-12-08,0.0
2017-12-11,0.0
2017-12-13,0.0
2017-12-18,154983.5374032645
2017-12-23,0.0
2017-12-27,2208.0773440254843
2017-12-28,0.0
2018-01-02,0.0
2018-01-07,0.0
2018-01-12,0.0
2018-01-17,0.0
2018-01-22,0.0
2018-01-27,0.0
2018-01-28,735295.0565501538
2018-02-06,219613.4824004047
2018-02-11,302440.8266832049
2018-02-13,889962.0527961483
2018-02-16,530598.4159943253
2018-02-21,331382.3477131759
2018-02-26,321289.7697770453
2018-03-01,538257.9694717729
2018-03-03,761601.4933010242
2018-03-08,302578.79379552725
2018-03-13,301013.44540685834
2018-03-17,399668.9417148741
2018-03-18,1567205.3551641568
2018-03-23,438077.9294583991
2018-03-28,326297.6723746397
2018-04-02,558630.0391520753
2018-04-07,684158.2926524269
2018-04-12,610791.1376314934
2018-04-17,623667.1088281512
2018-04-18,3012688.8254134776
2018-04-22,2124949.222308236
2018-04-27,114434.22674660824
2018-05-02,327669.3133636315
2018-05-04,3451875.5753235314
2018-05-07,7593905.886999585
2018-05-12,782252.1621705551
2018-05-17,4011173.702735222
2018-05-20,2430393.0414343667
2018-05-22,5376420.3588487655
2018-06-01,1603913.325450235
2018-06-05,468070.2569917043
2018-06-06,0.0
2018-06-11,342079.4027415219
2018-06-16,2766666.580107094
2018-06-21,3245180.14058886
2018-06-26,2372644.0204975656
2018-07-01,1195298.566406599
2018-07-06,128725.71705198614
2018-07-07,0.0
2018-07-11,2607365.622315524
2018-07-16,3277877.4608876305
2018-07-23,1847550.785263981
2018-07-26,86659.906938933
2018-07-31,0.0
2018-08-05,2103106.1296219784
2018-08-08,157344.93048383127
2018-08-10,496975.36979187
2018-08-15,8241432.636447448
2018-08-20,9020834.574849728
2018-08-24,355282.5435591331
2018-08-25,0.0
2018-08-30,0.0
2018-09-04,27659.62284482116
2018-09-09,0.0
2018-09-14,0.0
2018-09-19,0.0
2018-09-24,261125.5000091025
2018-09-25,13282974.179120611
2018-09-29,253907.7341001511
2018-10-04,0.0
2018-10-09,5173552.631839815
2018-10-11,5608578.17733475
2018-10-14,3455284.8556827987
2018-10-19,1981160.4587721168
2018-10-24,1309454.3804585575
2018-10-27,535552.2789783257
2018-10-29,899104.3560172851
2018-11-03,244627.1472855404
2018-11-08,249412.8357891436
2018-11-12,171287.93821152917
2018-11-18,267203.76408311434
2018-11-23,225641.60762423696
2018-11-28,141091.95631443805
2018-12-03,318663.52997219603
2018-12-08,229797.5530742941
2018-12-13,226753.88301878897
2018-12-14,1103448.6455955554
2018-12-18,276520.86601305706
2018-12-23,220664.9673852281
2018-12-28,219950.8560918056
2018-12-30,544939.2866646943
2019-01-02,213106.737508481
2019-01-07,173297.73941746427
2019-01-12,152023.3532280747
2019-01-15,271978.6947498752
2019-01-17,392544.4577810045
2019-01-22,160653.18439819594
2019-01-27,159083.93326239474
2019-01-31,199071.49925471647
2019-02-01,788449.2553666723
2019-02-06,159063.33449824556
2019-02-11,158879.725400179
2019-02-16,158597.18710678062
2019-02-21,158367.39264893834
2019-02-26,588598.2955089647
2019-03-03,787115.7692555203
2019-03-04,3382956.264983855
2019-03-08,905059.794527731
2019-03-13,643186.6231640999
2019-03-18,636425.8824268823
2019-03-20,1564541.9538600757
2019-03-23,1066314.1316011597
2019-03-28,661821.5012722424
2019-04-02,3879005.677203945
2019-04-05,940417.3691515736
2019-04-07,1368615.779491902
2019-04-12,542551.1012480297
2019-04-17,543257.3083569527
2019-04-21,1989498.4183471345
2019-04-22,5347649.780205585
2019-04-27,1740684.0608878036
2019-05-02,2099677.399003492
2019-05-07,1587312.577096593
2019-05-12,729151.9937054602
2019-05-17,635394.2423593992
2019-05-22,592256.980240268
2019-05-23,0.0
2019-05-27,0.0
2019-06-01,225650.93723736945
2019-06-06,0.0
2019-06-08,0.0
2019-06-11,0.0
2019-06-16,577729.3435820224
2019-06-21,0.0
2019-06-24,77287.16654860966
2019-06-26,39037.49603764328
2019-07-01,282230.5593775428
2019-07-06,0.0
2019-07-11,422863.4430170402
2019-07-16,720227.6340400928
2019-08-15,3819412.0852401936
2019-08-20,1980377.4208673288
2019-08-25,434104.3790450366
2019-08-27,0.0
2019-08-30,0.0
2019-09-04,920137.560343813
2019-09-09,972861.5050398356
2019-09-14,0.0
2019-09-19,0.0
2019-09-24,572602.7330259278
2019-09-28,1321669.0265676812
2019-09-29,483399.60853120254
2019-10-04,266152.239042266
2019-10-09,463486.3321762808
2019-10-14,967455.9946906838
2019-10-19,4140526.86199422
2019-10-24,5147102.460299968
2019-10-29,3207644.2876638942
2019-10-30,2557595.5982862986
2019-11-03,1011995.7698339152
2019-11-08,645202.4700971588
2019-11-13,520650.1454221341
2019-11-15,943365.9446181748
2019-11-18,541855.8366365689
2019-11-23,431270.564520326
2019-11-28,352504.0413932405
2019-12-03,664332.4627983981
2019-12-08,1325827.5442602476
2019-12-13,365679.19471612165
2019-12-17,320841.7153163407
2019-12-18,1203322.2028498768
2019-12-23,241658.9917447959
2019-12-28,262783.37494269176
2020-01-02,260465.6972291663
2020-01-07,239219.46236496355
2020-01-12,236861.1620822147
2020-01-17,236300.0289559888
2020-01-18,1762429.2231113173
2020-01-22,514466.4237831364
2020-01-27,382181.1799426621
2020-02-01,370233.7897762083
2020-02-03,875234.7999679432
2020-02-06,588368.1217456408
2020-02-11,351401.1002496607
2020-02-16,351378.462296813
2020-02-19,582666.1100704861
2020-02-21,902631.0864760748
2020-02-26,374433.4332796509
2020-03-02,374083.13963468577
2020-03-06,463747.5657097589
2020-03-07,1845660.975312664
2020-03-12,369722.7038590225
2020-03-17,349813.22311104875
2020-03-22,485580.7905860135
2020-03-27,961669.8571370149
2020-04-01,297083.7275076308
2020-04-06,590667.9651163146
2020-04-07,2322823.281527325
2020-04-11,939014.0177634604
2020-04-16,524289.2260707581
2020-04-21,578279.9724616361
2020-04-23,1466241.6641424862
2020-04-26,1029439.253359334
2020-05-01,1869807.2755099465
2020-05-06,1237303.309932407
2020-05-09,2397111.7007941464
2020-05-11,3673028.647401761
2020-05-16,1042366.6767831712
2020-05-21,1409943.5414278898
2020-05-25,264937.3452123019
2020-05-26,0.0
2020-05-31,820343.1521607861
2020-06-05,4287728.650456117
2020-06-10,1223354.7452941737
2020-06-15,601318.6589857319
2020-06-20,397988.8851434925
2020-06-25,345506.7823987579
2020-06-26,0.0
2020-06-30,0.0
2020-07-05,1037893.0140018688
2020-07-10,2198129.291214078
2020-07-12,1710110.2865477544
2020-07-15,0.0
2020-07-20,958687.0934360148
2020-07-25,914005.3641054298
2020-07-28,0.0
2020-07-30,0.0
2020-08-04,758468.444409021
2020-08-09,3532858.105827725
2020-08-13,5285764.377047373
2020-08-14,0.0
2020-08-19,0.0
2020-08-24,0.0
2020-08-29,0.0
2020-09-03,0.0
2020-09-08,395650.3445453828
2020-09-13,2619039.3870843304
2020-09-18,2941269.157761092
2020-09-23,2073430.049301745
2020-09-28,517539.8394383913
2020-09-30,0.0
2020-10-03,0.0
2020-10-08,0.0
2020-10-13,746884.6080589952
2020-10-16,3089769.75095518
2020-10-18,1137927.723080308
2020-10-23,98703.91343179016
2020-10-28,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-07,0.0
2020-11-12,123706.29552231535
2020-11-17,938279.1238452122
2020-11-22,1508668.7463034831
2020-11-27,325815.4576310145
2020-12-02,217214.20976552108
2020-12-03,894715.2218110207
2020-12-07,292276.24701376626
2020-12-12,350991.56552535
2020-12-17,420639.9021960375
2020-12-19,486423.9801352166
2020-12-22,320275.44708275027
2020-12-27,187211.767382284
2021-01-01,184654.8135492902
2021-01-04,319126.68004358694
2021-01-06,607173.2960379454
2021-01-11,3135603.420552086
2021-01-16,4108761.369515827
2021-01-20,1584297.4839973887
2021-01-21,2552369.19243865
2021-01-26,550450.8652080174
2021-01-31,460535.88968598953
2021-02-05,480011.4234553482
2021-02-10,491870.38944405183
2021-02-15,492070.3889558101
2021-02-20,489776.5945261728
2021-02-21,2403348.561839531
2021-02-25,574694.8136203287
2021-03-02,459054.1931348266
2021-03-07,457699.47659948526
2021-03-09,1138530.7320704332
2021-03-12,794225.7043537374
2021-03-17,1055345.9958396754
2021-03-22,569462.3904777649
2021-03-25,899456.9335852974
2021-03-27,1324429.6356228266
2021-04-01,813678.4707204006
2021-04-06,804055.1444525535
2021-04-10,697820.4131084668
2021-04-11,1592484.2076834464
2021-04-16,429078.5185316657
2021-04-21,1206397.985786892
2021-04-26,753434.1569590565
2021-05-01,376760.78505354456
2021-05-06,539461.7763634332
2021-05-11,604627.172435333
2021-05-12,0.0
2021-05-16,1008344.008450766
2021-05-21,3862583.934841811
2021-05-26,603016.2900695503
2021-05-28,0.0
2021-05-31,0.0
2021-06-05,0.0
2021-06-10,426813.6117016788
2021-06-15,373663.5742060243
2021-06-20,2299100.296108936
2021-06-25,809070.9389766037
2021-06-29,369625.6422033748
2021-06-30,0.0
2021-07-05,49308.990080743424
2021-07-10,785105.2309152436
2021-07-15,3323028.116287711
2021-07-20,4805016.632410167
2021-07-25,1591866.5397159825
2021-07-30,1486866.433842277
2021-07-31,0.0
2021-08-04,0.0
2021-08-09,118070.21712536972
2021-08-14,0.0
2021-08-16,0.0
2021-08-19,0.0
2021-08-24,337379.6994919406
2021-08-29,775768.2063464283
2021-09-01,835650.4761196931
2021-09-03,0.0
2021-09-08,1112032.8500149057
2021-09-13,1154356.5811319186
2021-09-17,398949.796006797
2021-09-18,337088.74293310207
2021-09-23,127352.60734499693
2021-09-28,95911.70335532984
2021-10-03,406135.84269051935
2021-10-08,2668829.700523086
2021-10-13,1286127.6521704362
2021-10-18,3250386.3225283627
2021-10-19,10573065.07307826
2021-10-23,4493077.521892634
2021-10-28,3129309.098072179
2021-11-02,1115793.9728555651
2021-11-04,4498816.128838551
2021-11-07,5105417.910600142
2021-11-12,1573568.3371405404
2021-11-17,689539.5933557779
2021-11-22,797921.5294593349
2021-11-27,333247.471760418
2021-12-02,169797.62409989844
2021-12-06,279347.6970470055
2021-12-07,159332.90282387784
2021-12-12,35660.205428379806
2021-12-17,18965.119889052345
2021-12-22,16328.452154579503
2021-12-27,15987.70437037464
2022-01-01,15764.259190057104
2022-01-06,15595.3052475871
2022-01-07,757411.61075653
2022-01-11,276413.93326800445
2022-01-16,187099.8347567426
2022-01-21,203738.9182554297
2022-01-23,479481.5042117346
2022-01-26,312208.53931004467
2022-01-31,185853.40349937248
2022-02-05,186613.43881129063
2022-02-08,308751.0608240847
2022-02-10,462617.8308291946
2022-02-15,186028.9094849745
2022-02-20,185545.1437361467
2022-02-24,231193.0144331926
2022-02-25,918757.2983356668
