date,outflow (m3/d)
2017-08-02,4378585.140850491
2017-08-14,0.0
2017-08-17,9933175.33311168
2017-08-30,0.0
2017-09-06,3609702.29377118
2017-09-11,0.0
2017-09-15,1711924.1065400434
2017-09-26,1072130.565350924
2017-10-01,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-21,0.0
2017-11-02,31920.73382242606
2017-11-05,3336151.437461313
2017-11-18,1427834.2488857233
2017-11-25,0.0
2017-11-30,3004114.756443409
2017-12-04,8715059.591670632
2017-12-05,2026284.0844163653
2017-12-15,0.0
2017-12-20,0.0
2017-12-25,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-09,0.0
2018-01-14,0.0
2018-01-21,139110.94543390677
2018-01-24,0.0
2018-01-29,33008.11303147519
2018-02-03,0.0
2018-02-06,0.0
2018-02-08,0.0
2018-02-13,2830095.446205454
2018-02-18,727167.3600101464
2018-02-22,56178.149507133385
2018-02-23,0.0
2018-02-28,689371.0087276261
2018-03-05,1057872.2000290293
2018-03-10,870005.3856675833
2018-03-15,1323420.003266052
2018-03-20,3674353.61227466
2018-03-25,2630066.146446173
2018-03-26,5311824.100023704
2018-03-30,1228399.1853571727
2018-04-04,854652.3776225655
2018-04-09,1628960.4712127629
2018-04-11,5180979.613797132
2018-04-14,3119863.489184205
2018-04-24,883331.7159509594
2018-04-27,2108674.9983585696
2018-04-29,14577964.01850359
2018-05-04,0.0
2018-05-09,2660184.8543515955
2018-05-13,3309460.829509864
2018-05-14,11338760.136214856
2018-05-19,2923134.841509088
2018-05-24,2665269.274194381
2018-05-29,1874134.902809416
2018-06-03,0.0
2018-06-08,0.0
2018-06-14,0.0
2018-06-18,0.0
2018-06-23,0.0
2018-06-28,0.0
2018-06-30,0.0
2018-07-03,1377029.1574405525
2018-07-08,0.0
2018-07-13,0.0
2018-07-18,0.0
2018-07-23,32750.04106745421
2018-07-28,0.0
2018-08-01,0.0
2018-08-02,4521681.398336527
2018-08-07,3057986.080130786
2018-08-12,2393802.916024769
2018-08-17,6444039.180557321
2018-08-22,8771697.323959736
2018-08-27,2572917.597347105
2018-09-01,1989436.385795196
2018-09-02,0.0
2018-09-06,0.0
2018-09-11,3414464.09833688
2018-09-18,843605.9492159074
2018-09-21,1122354.430504868
2018-09-26,2052858.911739682
2018-10-01,3107460.6638083165
2018-10-04,4409520.240220832
2018-10-06,7584126.331614532
2018-10-11,5278266.284388519
2018-10-16,1577184.417298254
2018-10-20,1639018.4884609503
2018-10-21,4792151.854579131
