date,outflow (m3/d)
2017-08-02,0.0
2017-08-14,2366180.497595522
2017-08-17,0.0
2017-08-30,4106991.0956606274
2017-09-06,7022404.494891571
2017-09-11,12485753.698214008
2017-09-15,2215806.7366179945
2017-09-26,5584669.010548341
2017-10-01,0.0
2017-10-16,2568815.771779441
2017-10-17,12836372.012129838
2017-10-21,3876584.9820704097
2017-11-02,2468481.589537068
2017-11-05,14784349.98883275
2017-11-18,4108876.677967912
2017-11-25,225202.8030461301
2017-11-30,10298028.246998506
2017-12-04,13667578.911892084
2017-12-05,26965725.75836313
2017-12-15,1325827.186479918
2017-12-20,723695.2357269339
2017-12-25,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-09,8350145.928620238
2018-01-14,0.0
2018-01-21,1682344.8537214536
2018-01-24,115196.49433448075
2018-01-29,366839.96267126646
2018-02-03,221772.1109624045
2018-02-06,70362.25618436073
2018-02-08,0.0
2018-02-13,16680517.853299398
2018-02-18,3917599.8573907902
2018-02-22,879875.3317053906
2018-02-23,0.0
2018-02-28,128047.41917475434
2018-03-05,117521.73484393068
2018-03-10,121288.25515065364
2018-03-15,4440384.039622249
2018-03-20,8431049.710338635
2018-03-25,6215934.216934487
2018-03-26,425918.1911524634
2018-03-30,851594.8572448922
2018-04-04,1192506.5143672738
2018-04-09,277454.1750342948
2018-04-11,2687392.83257147
2018-04-14,1688033.3585018795
2018-04-24,100934.37148592518
2018-04-27,1914990.599169136
2018-04-29,0.0
2018-05-04,1189049.430630644
2018-05-09,986095.9058748388
2018-05-13,9950638.909481162
2018-05-14,16381055.078626022
2018-05-19,9428568.692202004
2018-05-24,7272034.736378274
2018-05-29,1828899.3581864145
2018-06-03,78419.57442917935
2018-06-08,451142.97065075854
2018-06-14,430925.2315987296
2018-06-18,217300.33788580247
2018-06-23,752055.2106228882
2018-06-28,251805.457961806
2018-06-30,0.0
2018-07-03,0.0
2018-07-08,0.0
2018-07-13,0.0
2018-07-18,3575273.717426112
2018-07-23,6066547.026510122
2018-07-28,240926.48523511903
2018-08-01,0.0
2018-08-02,20272.494746895503
2018-08-07,485756.1376410595
2018-08-12,1799192.2691713606
2018-08-17,21172853.4571672
2018-08-22,37006344.01279759
2018-08-27,4399614.568602248
2018-09-01,1393173.1106316487
2018-09-02,2648119.5715627065
2018-09-06,1240311.4120176102
2018-09-11,1123456.738493011
2018-09-21,881118.1315464219
2018-09-26,3244363.316802439
2018-10-01,7608491.612312168
2018-10-04,25324003.59030023
2018-10-06,21124872.683768783
2018-10-11,24305329.554977365
2018-10-16,6849524.877549388
2018-10-20,11168043.50245335
2018-10-21,20546821.55128541
