date,outflow (m3/d)
2017-07-28,7750.656125467387
2017-08-02,34634.18466920661
2017-08-07,0.0
2017-08-17,841339.4243332293
2017-08-23,0.0
2017-09-06,746664.777293436
2017-09-08,4390424.5482140295
2017-09-11,0.0
2017-09-24,681057.582642213
2017-09-26,0.0
2017-10-01,0.0
2017-10-10,0.0
2017-10-16,745373.7653564512
2017-10-21,2341493.2054424216
2017-10-26,341232.1808881348
2017-11-11,1975554.4703365136
2017-11-25,772458.4017840512
2017-11-27,879468.0737366648
2017-11-30,2004803.244720824
2017-12-05,7665976.303548475
2017-12-13,1158208.9437970652
2017-12-15,102876.88974195516
2017-12-20,33301.96741913125
2017-12-25,0.0
2017-12-29,0.0
2018-01-04,0.0
2018-01-09,0.0
2018-01-14,0.0
2018-01-24,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-02-03,37866.03576643806
2018-02-08,101946.87733487276
2018-02-13,864136.0970995433
2018-02-15,2282126.052023549
2018-02-18,0.0
2018-02-23,287165.4194720016
2018-02-28,0.0
2018-03-03,188577.1328275285
2018-03-05,95266.11028878606
2018-03-15,299542.946637705
2018-03-19,1257424.5851130425
2018-03-20,2009211.302519188
2018-03-25,871193.1374586355
2018-03-30,127316.01628267676
2018-04-04,75414.06617164132
2018-04-09,146784.26551371682
2018-04-14,389165.6524994177
2018-04-19,1681565.6942412884
2018-04-20,933182.3788636194
2018-04-24,220510.9893432365
2018-04-29,92448.63982571424
2018-05-04,111714.03034405186
2018-05-06,200315.7357291
2018-05-09,406447.4227564479
2018-05-14,2003865.1012185432
2018-05-19,5136753.288922599
2018-05-22,1353733.092870276
2018-05-24,1239167.511933808
2018-05-29,1178424.8738775528
2018-06-03,607956.9383628353
2018-06-07,971852.4322317822
2018-06-08,1419803.3109293487
2018-06-13,734768.6012324933
2018-06-18,45181.77407873071
2018-06-23,53466.458286104295
2018-06-28,0.0
2018-07-03,0.0
2018-07-09,0.0
2018-07-13,0.0
2018-07-18,474145.12509533705
2018-07-23,977663.5590367748
2018-07-25,0.0
2018-07-28,0.0
2018-08-02,2080625.9033161304
2018-08-07,2815810.076387152
2018-08-10,473410.3108009892
2018-08-12,1414181.110438862
2018-08-17,3184873.709084653
2018-08-22,4436198.242644987
2018-08-27,609398.9023037107
2018-09-01,56613.40930536124
2018-09-06,11460.151914111171
2018-09-11,0.0
2018-09-21,5902.477121391514
2018-09-26,164949.59119319933
2018-09-27,2900807.672348348
2018-10-01,749221.8832897901
2018-10-06,3203201.069769698
2018-10-11,3949209.6461698585
2018-10-13,1892353.1900307275
2018-10-16,0.0
2018-10-21,1429174.736416434
2018-10-26,3511644.828819088
2018-10-29,865543.176455185
2018-10-31,374099.6017646898
2018-11-05,2799825.387170257
2018-11-10,3864902.334155884
2018-11-14,1278558.4235664192
2018-11-15,411942.6408743504
2018-11-20,135506.6702417628
2018-11-25,642987.109610089
2018-11-30,248990.2429014033
2018-12-10,13343.84353097958
2018-12-15,0.0
2018-12-16,0.0
2018-12-20,1727381.4238650806
2018-12-25,0.0
2018-12-30,2163916.524487029
2019-01-01,0.0
2019-01-04,936591.3620801317
2019-01-09,0.0
2019-01-14,137448.17019256036
2019-01-17,0.0
2019-01-19,68529.79726401593
2019-01-24,0.0
2019-01-29,5850.872980235767
2019-02-02,44525.11858808644
2019-02-03,306906.507332872
2019-02-08,1209574.1485492347
2019-02-13,0.0
2019-02-18,354091.80544121744
2019-02-23,0.0
2019-02-28,0.0
2019-03-05,482382.7959867519
2019-03-06,0.0
2019-03-10,282205.1668682616
2019-03-15,231821.5817517936
2019-03-20,226254.25257536143
2019-03-22,608923.16812347
2019-03-25,465231.0694107279
2019-03-30,281188.8927487214
2019-04-04,357514.2738291012
2019-04-07,653724.5851294169
2019-04-09,550887.737810727
2019-04-14,214607.4510708165
2019-04-19,945263.123247892
2019-04-23,4018452.703230216
2019-04-24,7662684.513247539
2019-04-29,1687991.6718563358
2019-05-04,317932.07851196715
2019-05-09,39854.02842984093
2019-05-14,34986.93975598739
2019-05-19,34609.70675538773
2019-05-24,35080.21300017234
2019-05-25,182061.8520411825
2019-05-29,47901.636226987335
2019-06-03,0.0
2019-06-08,1434.6949874593506
2019-06-10,68654.01743713918
2019-06-13,2312605.3816694343
2019-06-18,2047488.6162906028
2019-06-23,219031.83514443567
2019-06-26,92847.53604967326
2019-06-28,25725.522397501823
2019-07-03,0.0
2019-07-08,0.0
2019-07-12,0.0
2019-07-13,0.0
2019-07-18,0.0
2019-07-23,49172.13526189562
2019-07-28,17927.134451679834
2019-08-02,0.0
2019-08-07,0.0
2019-08-12,1206080.137934131
2019-08-13,6437911.081309986
2019-08-17,1626339.2750980065
2019-08-22,18723.709528093805
2019-08-27,0.0
2019-09-01,0.0
2019-09-06,0.0
2019-09-11,0.0
2019-09-16,0.0
2019-09-21,0.0
2019-09-26,0.0
2019-10-01,4992.211341937374
2019-10-06,617554.1656353076
2019-10-11,27658.19726013089
2019-10-16,1218361.4701226193
2019-10-21,2938012.0232683746
2019-10-26,3528612.2929743114
2019-10-31,2094726.6267770696
2019-11-05,4444265.368687789
2019-11-10,505474.18108159147
2019-11-15,139070.7002749803
2019-11-17,0.0
2019-11-20,725948.1131602686
2019-11-25,1294747.059118931
2019-11-30,924981.653317022
2019-12-03,4672449.871907364
2019-12-05,5074338.117783735
2019-12-10,2480549.7650709297
2019-12-15,390756.9213790998
2019-12-19,40429.74692568136
2019-12-20,52440.941084331054
2019-12-25,4028203.8374639326
2019-12-30,652999.4978661772
2020-01-04,87460.05927339733
2020-01-09,0.0
2020-01-14,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-24,64808.91192125144
2020-01-29,88771.55878577242
2020-02-03,70732.5213577434
2020-02-05,189683.278839298
2020-02-08,120985.78242241
2020-02-13,77081.97768380522
2020-02-18,84022.62093062588
2020-02-21,128510.14376697464
2020-02-23,184510.55444037737
2020-02-28,78485.0757479929
2020-03-04,76821.97110686987
2020-03-08,102828.13908335973
2020-03-09,365886.5916344992
2020-03-14,77809.56775212081
2020-03-19,76601.55257166093
2020-03-24,86301.06192410368
2020-03-29,193854.32946032708
2020-04-03,248717.56170609256
2020-04-08,252317.1009535525
2020-04-09,1270854.5942174722
2020-04-13,550960.4849143384
2020-04-18,290943.41236146895
2020-04-23,261999.47924942384
2020-04-25,894357.3814483905
2020-04-28,734815.5630362033
2020-05-03,2280845.2618479133
2020-05-08,2810607.9140793346
2020-05-11,8958795.152312012
2020-05-13,13181571.132980691
2020-05-18,4255111.995275198
2020-05-23,1984428.368902233
2020-05-27,2883807.4461678206
2020-05-28,723646.5145852044
2020-06-02,1124926.329137805
2020-06-07,1163427.7563381454
2020-06-12,784599.6444670002
2020-06-17,120150.80787817272
2020-06-22,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-07-02,0.0
2020-07-07,0.0
2020-07-12,0.0
2020-07-14,0.0
2020-07-17,0.0
2020-07-22,0.0
2020-07-27,0.0
2020-07-30,0.0
2020-08-01,0.0
2020-08-06,0.0
2020-08-11,640449.0385760299
2020-08-15,1424927.3419447255
2020-08-16,0.0
2020-08-21,0.0
2020-08-26,0.0
2020-08-31,0.0
2020-09-05,0.0
2020-09-10,0.0
2020-09-15,0.0
2020-09-16,0.0
