date,outflow (m3/d)
2017-07-26,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-08-02,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-17,0.0
2017-08-30,0.0
2017-09-06,247058.047040616
2017-09-11,0.0
2017-09-15,0.0
2017-09-19,1438581.2128544983
2017-09-24,0.0
2017-09-26,0.0
2017-10-01,0.0
2017-10-09,0.0
2017-10-14,62198.20561229605
2017-10-16,131920.935485849
2017-10-17,328965.4827690342
2017-10-21,175770.51862375636
2017-11-02,43744.98973484486
2017-11-03,5820.39183431418
2017-11-05,160311.72252922712
2017-11-08,187380.9990333453
2017-11-10,112713.8024133394
2017-11-18,0.0
2017-11-23,354483.45374329976
2017-11-25,2705061.770630609
2017-11-28,203201.9075221273
2017-12-04,0.0
2017-12-05,1807980.4021369885
2017-12-08,0.0
2017-12-13,106259.52089368722
2017-12-15,150645.78563194178
2017-12-18,244713.2257214982
2017-12-20,95881.57348634086
2017-12-25,92465.65222445272
2017-12-28,295951.6890722437
2018-01-02,102308.51919019838
2018-01-04,4760390.938688995
2018-01-05,0.0
2018-01-14,131982.72352591212
2018-01-17,109359.47046446597
2018-01-21,306459.1829258902
2018-01-22,374501.416968174
2018-01-24,2105860.508816561
2018-01-27,0.0
2018-01-29,1096817.1077543693
2018-02-03,0.0
2018-02-06,103681.83744622898
2018-02-08,3199795.1336169494
2018-02-11,0.0
2018-02-13,312036.07176895346
2018-02-16,207249.65055343352
2018-02-18,181201.09023316475
2018-02-21,290785.9318288926
2018-02-22,612716.0485016252
2018-02-23,357966.7153177697
2018-02-26,642909.2366459029
2018-02-28,564349.9458472016
2018-03-03,455945.4388204224
2018-03-05,407666.0597988773
2018-03-08,652680.7588955791
2018-03-10,684057.862635457
2018-03-13,265845.6574263978
2018-03-15,3676174.798269492
2018-03-18,0.0
2018-03-20,4641746.246062314
2018-03-23,0.0
2018-03-25,658783.1241166107
2018-03-26,8234.35018122136
2018-03-28,728230.1938390315
2018-03-30,0.0
2018-04-02,624632.7325909819
2018-04-04,793552.2450983203
2018-04-07,2073437.8273415803
2018-04-09,1633294.2641928175
2018-04-11,1651803.14935941
2018-04-12,1574529.089768394
2018-04-14,777586.2738028269
2018-04-17,269163.872381606
2018-04-22,143858.06034902265
2018-04-24,358570.8675235035
2018-04-27,232268.44580156988
2018-04-29,339321.99256854976
2018-05-04,163365.42033774717
2018-05-07,687668.0076521278
2018-05-09,0.0
2018-05-12,583737.2320562408
2018-05-13,666598.4341408036
2018-05-14,638817.1306990811
2018-05-17,791921.088498552
2018-05-19,1459815.1276365612
2018-05-22,550388.1149152264
2018-05-24,253895.58224757964
2018-05-29,370184.8923495153
2018-06-01,751992.4381314092
2018-06-03,146783.92310406355
2018-06-06,785656.0123619245
2018-06-08,1173975.2580146347
2018-06-11,439346.5106139411
2018-06-13,178536.88960126325
2018-06-14,811882.2405684224
2018-06-16,1514177.211096292
2018-06-18,1123794.187734312
2018-06-21,537764.3362642864
2018-06-23,1051925.010745549
2018-06-26,531225.7881045248
2018-06-28,0.0
2018-06-30,0.0
2018-07-01,0.0
2018-07-03,0.0
2018-07-06,0.0
2018-07-08,0.0
2018-07-11,0.0
2018-07-13,0.0
2018-07-16,0.0
2018-07-18,185753.06763410897
2018-07-21,0.0
2018-07-23,0.0
2018-07-26,0.0
2018-07-28,0.0
2018-08-01,0.0
2018-08-02,229286.74215870805
2018-08-05,518546.8255596446
2018-08-07,78539.05834225014
2018-08-10,362678.08521778666
2018-08-12,772106.7639149568
2018-08-15,834737.0036417288
2018-08-17,4242085.749766669
2018-08-20,3823481.843569541
2018-08-22,1097028.8512867952
2018-08-25,284581.03719409875
2018-08-27,190042.60015021576
2018-08-30,34908.813720222046
2018-09-01,0.0
2018-09-02,0.0
2018-09-04,0.0
2018-09-06,0.0
2018-09-09,48220.01644321036
2018-09-11,0.0
2018-09-14,20224.67102308345
2018-09-19,4068.541204081007
2018-09-21,0.0
2018-09-24,1122147.57564691
2018-09-26,0.0
2018-09-29,350166.30133899266
2018-10-01,198153.30968214903
2018-10-04,1427405.3656879126
2018-10-06,3343983.830928347
2018-10-11,653224.3170841921
2018-10-14,349810.6440380551
2018-10-16,1259188.8039193058
2018-10-19,266363.41370267665
2018-10-20,3057200.3075740384
2018-10-21,3101083.0088800946
2018-10-24,0.0
2018-10-26,2495107.8772035763
2018-10-29,0.0
2018-10-31,438029.9641125243
2018-11-03,0.0
2018-11-05,76452.77785217972
2018-11-08,0.0
2018-11-10,0.0
2018-11-15,0.0
2018-11-18,0.0
2018-11-20,0.0
2018-11-21,0.0
2018-11-23,0.0
2018-11-25,0.0
2018-11-28,123774.54057800646
2018-11-30,0.0
2018-12-03,435095.5715102878
2018-12-07,0.0
2018-12-08,243722.58773985947
2018-12-10,0.0
2018-12-13,64843.85147808781
2018-12-15,13141.51896895364
2018-12-18,36847.56877811411
2018-12-20,34085.05378971183
2018-12-23,29798.28633037412
2018-12-25,39255.218779128016
2018-12-28,28024.658042604533
2018-12-30,40523.69213451824
2019-01-02,529970.9875608579
2019-01-04,0.0
2019-01-07,2514001.988706365
2019-01-08,0.0
2019-01-09,1895272.9630608808
2019-01-12,0.0
2019-01-14,1765768.098421077
2019-01-17,0.0
2019-01-19,0.0
2019-01-22,167839.39727227375
2019-01-24,0.0
2019-01-27,4833438.883943366
2019-01-29,0.0
2019-02-01,6023105.820853887
2019-02-03,0.0
2019-02-06,1462339.7803136946
2019-02-08,0.0
2019-02-09,1806656.08107746
2019-02-11,184338.8958801028
2019-02-13,0.0
2019-02-16,846214.5495464439
2019-02-18,849564.2840505395
2019-02-21,466452.2595915619
2019-02-25,202673.97955196345
2019-02-26,1843283.9278453744
2019-03-03,92775.32820223732
2019-03-08,227126.09902918423
2019-03-13,160465.9379096435
2019-03-18,192698.1186874949
2019-03-23,270985.70516998094
2019-03-28,366804.5753477054
2019-03-29,1691817.302427204
2019-04-02,440198.3229984564
2019-04-07,344479.4520999792
2019-04-12,348157.0553365079
2019-04-14,861979.0702136938
2019-04-17,575553.1411365566
2019-04-22,1505406.8024955618
2019-04-27,1223897.148822121
2019-04-30,791416.9951779475
2019-05-02,1015763.7717289084
2019-05-07,729769.2444523361
2019-05-12,415094.1941043983
2019-05-16,457502.4019579662
2019-05-17,781104.8879396198
2019-05-22,56812.64471551859
2019-05-27,43670.14990518768
2019-06-01,17413.072101013222
2019-06-06,13725.92023651001
2019-06-11,126035.69417361678
2019-06-16,619937.6340344406
2019-06-17,949962.75812812
2019-06-21,218942.0324544545
2019-06-26,116087.91073225444
2019-07-01,23183.772548939145
2019-07-03,0.0
2019-07-06,0.0
2019-07-11,2022.684960454373
2019-07-16,3250.3401056785333
2019-07-19,0.0
2019-07-21,0.0
2019-07-26,987836.280703819
2019-07-31,168555.7799313683
2019-08-04,0.0
2019-08-05,0.0
2019-08-10,832056.1815144883
2019-08-15,2415299.321002336
2019-08-20,303514.2193590513
2019-08-25,0.0
2019-08-30,58576.113136059
2019-09-04,190598.15148549303
2019-09-05,0.0
2019-09-09,91891.54951127771
2019-09-14,0.0
2019-09-19,0.0
2019-09-21,0.0
2019-09-24,0.0
2019-09-29,0.0
2019-10-04,0.0
2019-10-07,0.0
2019-10-09,0.0
2019-10-14,0.0
2019-10-19,580157.1307542967
2019-10-23,1185913.1251636755
2019-10-24,94778.4345384033
2019-10-29,293172.13808045955
2019-11-03,0.0
2019-11-08,0.0
2019-11-13,0.0
2019-11-18,73581.08987049069
2019-11-23,91656.36268196542
2019-11-24,109697.89344036698
2019-11-28,64768.40728145659
2019-12-03,41193.218817551286
2019-12-08,57963.52548962737
2019-12-10,101623.13748160262
2019-12-13,70769.63022063336
2019-12-18,41526.386237076986
2019-12-23,41802.39202236751
2019-12-26,68622.19284499438
2019-12-28,102678.76333306212
2020-01-02,66063.38413877938
2020-01-07,78377.63151421433
2020-01-11,90061.69451093473
2020-01-12,488392.6375586586
2020-01-17,107654.38743201594
2020-01-22,119591.62472778231
2020-01-27,131642.37970382549
2020-02-01,129973.36836430668
2020-02-06,130538.00745245536
2020-02-11,129980.57371625149
2020-02-12,648499.38909655
2020-02-16,162059.49501402554
2020-02-21,117219.62704849734
2020-02-26,110984.99734608235
2020-02-28,284157.70143273857
2020-03-02,186782.5149343121
2020-03-07,107608.68597143864
2020-03-12,102857.171365658
2020-03-15,214706.84215425223
2020-03-17,353169.0724569851
2020-03-22,134907.67912171592
2020-03-27,142530.93515756508
2020-03-31,171704.907993174
2020-04-01,682135.6579091278
2020-04-06,375200.0970759649
2020-04-11,571561.9675571234
2020-04-16,491305.0333768015
2020-04-21,515396.8727660708
2020-04-26,499702.1797581532
2020-05-01,850103.7721402927
2020-05-02,3222997.599916876
2020-05-06,786462.610095963
2020-05-11,579768.7774185056
2020-05-16,484874.6888762061
2020-05-18,697597.1417164282
2020-05-21,475494.8054304383
2020-05-26,107511.8084192868
2020-05-31,24442.54875540844
2020-06-03,102258.7674921082
2020-06-05,108646.575783255
2020-06-10,69616.23263503115
2020-06-15,65864.82319208155
2020-06-19,74691.95495080894
2020-06-20,230537.4185053405
2020-06-25,40010.32166785309
2020-06-30,26920.721779449133
2020-07-05,390638.8315620851
2020-07-10,543342.5731399856
2020-07-15,16165.887639806022
2020-07-20,0.0
2020-07-21,0.0
2020-07-25,0.0
2020-07-30,0.0
2020-08-04,0.0
2020-08-06,0.0
2020-08-09,0.0
2020-08-14,362172.12997372326
2020-08-19,0.0
2020-08-22,0.0
2020-08-24,0.0
2020-08-29,0.0
2020-09-03,0.0
2020-09-07,0.0
2020-09-08,169801.18105224878
2020-09-13,246141.7202430685
2020-09-18,306756.1831110552
2020-09-23,254568.68174980188
2020-09-28,9534.158116330556
2020-10-03,22682.8717512138
2020-10-08,0.0
2020-10-09,0.0
2020-10-13,0.0
2020-10-18,0.0
2020-10-23,0.0
2020-10-25,0.0
2020-10-28,0.0
2020-11-02,0.0
2020-11-07,0.0
2020-11-10,885.7189988895946
2020-11-12,16591.57919285124
2020-11-17,5997.64647838799
2020-11-22,19203.92626049077
2020-11-26,7916.925841722815
2020-11-27,21273.51866074087
2020-12-02,110178.63346362782
2020-12-07,181294.00836106527
2020-12-12,145080.6855006355
2020-12-17,149574.2205608389
2020-12-22,141875.25695386247
2020-12-27,145222.8881471216
2020-12-28,718700.6193010058
2021-01-01,225778.36045031456
2021-01-06,182858.9019190303
2021-01-11,391676.39450373367
2021-01-16,602170.8738735543
2021-01-21,333312.99119862553
2021-01-26,161626.77814971557
2021-01-29,241758.114006094
2021-01-31,359699.37302143365
2021-02-05,143077.25847156043
2021-02-10,131633.36814067
2021-02-14,164281.941290954
2021-02-15,654727.6821947219
2021-02-20,131060.62377809217
2021-02-25,130837.33720943965
2021-03-02,130630.52333783168
2021-03-07,130417.03383909762
2021-03-12,797728.8088563166
2021-03-17,1887163.334888343
2021-03-18,2530167.6434565475
2021-03-22,698149.6455423669
2021-03-27,571639.0661867526
2021-04-01,554345.704371464
2021-04-03,1251500.106511721
2021-04-06,839677.2824636383
2021-04-11,515268.9011196013
2021-04-16,543844.1314953428
2021-04-19,704157.0010276245
2021-04-21,728665.8043209547
2021-04-26,191347.1302114943
2021-05-01,0.0
2021-05-05,18855.89183252755
2021-05-06,0.0
2021-05-11,2801.858951105108
2021-05-16,707399.4898040514
2021-05-21,1767838.4856506828
2021-05-26,445244.0657233754
2021-05-31,411178.25128396135
2021-06-05,106464.82907457367
2021-06-06,423268.1939771635
2021-06-10,352033.29286060366
2021-06-15,0.0
2021-06-20,0.0
2021-06-22,0.0
2021-06-25,0.0
2021-06-30,0.0
2021-07-05,0.0
2021-07-08,0.0
2021-07-10,0.0
2021-07-15,0.0
2021-07-20,654064.9958521215
2021-07-24,0.0
2021-07-25,0.0
2021-07-30,0.0
2021-08-04,0.0
2021-08-09,0.0
2021-08-14,0.0
2021-08-19,82431.19277685563
2021-08-24,222109.44860727573
2021-08-25,0.0
2021-08-29,116163.38601303055
2021-09-03,487128.3132192936
2021-09-08,214934.9410391924
2021-09-10,165771.66759159727
2021-09-13,0.0
2021-09-18,87712.3470235611
2021-09-23,15422.818927896991
2021-09-26,0.0
2021-09-28,10934.842623316446
2021-10-03,87172.06928611989
2021-10-08,500529.96700939
2021-10-12,796254.8697524202
2021-10-13,1503725.1734882214
2021-10-18,908993.8022518776
2021-10-23,1411879.7231506363
2021-10-28,871243.3061741303
2021-11-02,216838.0885982306
2021-11-07,624467.1937513695
2021-11-12,217218.70450949323
2021-11-17,176653.32416263237
2021-11-22,255165.8870509317
2021-11-27,219479.08086401245
2021-11-29,259856.1551235945
2021-12-02,149291.96403749395
2021-12-07,107983.041595153
2021-12-12,0.0
2021-12-15,0.0
2021-12-17,0.0
2021-12-22,0.0
2021-12-27,3629.821245273769
2021-12-31,485.6758086372106
2022-01-01,236255.8828297008
2022-01-06,69490.07844221445
2022-01-11,58485.2836127705
2022-01-16,63887.02406189998
2022-01-21,61117.66964802493
2022-01-26,62421.55823985918
2022-01-31,61698.49246583112
2022-02-01,308485.0303091461
2022-02-05,77124.1526114505
2022-02-10,38415.31798987815
2022-02-15,26753.207384143105
2022-02-17,80846.67494990012
2022-02-20,49144.60981714429
2022-02-25,31067.95004259817
2022-03-02,30331.336325363456
2022-03-05,333430.36195515067
2022-03-07,815910.8296026944
2022-03-12,303058.65314568824
2022-03-17,679898.110486779
2022-03-21,166065.1320467915
2022-03-22,1844536.1733981287
2022-03-27,128689.28750143576
2022-04-01,128932.76034578796
2022-04-06,126861.32286135392
2022-04-11,283230.57053089835
2022-04-16,1008944.2323685798
2022-04-21,316815.53997715603
2022-04-22,735517.5551093915
2022-04-26,359990.90683641646
2022-05-01,262791.764276214
2022-05-06,393781.4583548333
2022-05-08,1324118.37742916
2022-05-11,1064928.6015324218
2022-05-16,248519.73570875567
2022-05-21,72065.04661680019
2022-05-24,236442.0231799456
2022-05-26,93711.29429275812
2022-05-31,13837.408734108194
2022-06-05,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-15,0.0
2022-06-20,0.0
2022-06-25,0.0
2022-06-30,0.0
2022-07-05,0.0
2022-07-10,0.0
2022-07-11,0.0
2022-07-15,0.0
2022-07-20,0.0
2022-07-25,0.0
2022-07-27,0.0
2022-07-30,0.0
2022-08-04,90976.16779650464
2022-08-09,309890.50909404963
2022-08-12,0.0
2022-08-14,0.0
2022-08-19,0.0
2022-08-24,0.0
2022-08-28,0.0
2022-08-29,0.0
2022-09-03,505335.8709547794
2022-09-08,413103.8800970793
2022-09-13,96159.76283179408
2022-09-18,0.0
2022-09-23,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-10-03,0.0
2022-10-08,0.0
2022-10-13,0.0
2022-10-15,0.0
2022-10-18,242530.420874668
2022-10-23,484748.0000744744
2022-10-28,126206.5669853778
2022-10-31,47127.72199529535
2022-11-02,92732.29572322046
2022-11-07,48489.51381399073
2022-11-12,87898.66624062898
2022-11-16,302518.6162609974
2022-11-17,1174548.2643590074
2022-11-22,257954.465989202
2022-11-27,70698.27020198508
2022-12-02,48355.216234321655
2022-12-07,50025.89784708245
2022-12-12,83141.91541625561
2022-12-17,234686.8856221402
2022-12-18,296987.08439594344
2022-12-22,75852.12364486106
2022-12-27,52014.55028427915
2023-01-01,51977.22449190746
2023-01-03,140399.58579096207
2023-01-06,95056.46256842
2023-01-11,119497.73715996048
2023-01-16,155115.083840836
2023-01-19,228370.2360433557
2023-01-21,356348.7362819616
2023-01-26,138728.25861295493
2023-01-31,140158.70744670826
2023-02-04,176343.25998007384
2023-02-05,703717.7142791136
2023-02-10,139063.40557269275
2023-02-15,127111.51878718295
2023-02-20,126711.87854085886
2023-02-25,126536.22916489864
2023-03-02,265590.56115090026
2023-03-07,333250.8507601988
2023-03-08,1490185.1692932912
2023-03-12,444971.2447231538
2023-03-17,356944.8886902239
2023-03-22,362342.2905421661
2023-03-24,871474.5468189047
2023-03-27,591087.1668126301
2023-04-01,351604.39353076264
2023-04-06,347272.34111761226
2023-04-09,617414.6448432304
2023-04-11,922121.0536795162
2023-04-16,277263.4870377351
2023-04-21,241272.11880104552
2023-04-25,337542.7394790293
2023-04-26,1296293.4789487708
2023-05-01,392219.64740209474
2023-05-06,939729.2193058444
2023-05-11,292612.3863283748
2023-05-16,140934.25046734387
2023-05-21,120695.48517702462
2023-05-26,120246.1808655018
2023-05-27,597366.9014284908
2023-05-31,149201.15738711477
2023-06-05,128213.03206162513
2023-06-10,114388.74650622557
2023-06-12,54698.10382050496
2023-06-15,37477.036532582526
2023-06-20,18432.33111798693
2023-06-25,24307.06817415656
2023-06-28,0.0
2023-06-30,0.0
2023-07-05,8434.22568640105
2023-07-10,603883.6629980849
2023-07-12,919595.977942692
2023-07-14,438775.8485846557
2023-07-15,0.0
2023-07-20,0.0
2023-07-25,0.0
2023-07-28,0.0
2023-07-30,0.0
2023-08-04,0.0
2023-08-09,0.0
2023-08-11,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-19,0.0
2023-08-24,0.0
2023-08-27,59430.76054204613
2023-08-29,596874.7001500374
2023-09-03,148914.68721570182
2023-09-08,203274.9451287473
2023-09-12,229364.7398160768
2023-09-13,967322.3466652707
2023-09-18,0.0
2023-09-23,0.0
2023-09-28,0.0
2023-10-03,0.0
2023-10-08,0.0
2023-10-13,0.0
2023-10-14,0.0
2023-10-18,305352.17603985954
2023-10-23,0.0
2023-10-28,91362.16938699242
2023-10-30,372853.2761637271
2023-11-02,2003258.767091145
2023-11-07,2216446.1637439546
2023-11-12,736976.6949598851
2023-11-17,122139.52601177969
2023-11-22,27908.85111506239
2023-11-25,474134.5778464622
2023-11-27,0.0
2023-12-02,277280.43662172835
2023-12-03,19094086.97490837
2023-12-07,0.0
2023-12-11,151832.48967946696
2023-12-12,0.0
2023-12-17,0.0
2023-12-19,1141310.163016195
2023-12-22,0.0
2023-12-27,1133316.2530452968
2024-01-01,93471.4267445164
2024-01-04,6182070.185516066
2024-01-06,0.0
2024-01-11,2960667.312324085
2024-01-12,464127.622496868
2024-01-16,0.0
2024-01-20,3446084.900402077
2024-01-21,0.0
2024-01-26,211620.7713956625
2024-01-28,187767.0991082825
2024-01-31,543999.5534744102
2024-02-05,0.0
2024-02-10,261649.56237030303
2024-02-13,542129.5299577799
2024-02-15,0.0
2024-02-20,258128.04888430136
2024-02-21,533582.7218032362
2024-02-25,431863.5681945775
2024-02-29,261368.9326763281
2024-03-01,0.0
2024-03-08,62.47383416849664
2024-03-11,4310941.800085048
2024-03-16,0.0
2024-03-24,2021218.5258312768
2024-04-01,
2024-04-05,218371.6157752172
2024-04-07,0.0
2024-04-10,142976.26992251555
2024-04-15,0.0
2024-05-01,745.103034823726
2024-05-05,0.0
2024-05-10,17196.49747856293
2024-05-15,0.0
2024-05-20,218143.7092245717
2024-05-25,1278221.1140553432
2024-05-30,1277713.6139857515
2024-06-04,2228659.2696779966
2024-06-09,3999824.0277201487
2024-06-10,6849357.684748965
2024-06-14,1190147.0678784112
2024-06-18,0.0
2024-06-19,0.0
2024-06-24,407382.522784089
2024-06-26,333213.1836277996
2024-06-29,3648204.6834815126
2024-07-04,1378979.8698462653
2024-07-09,267718.97689146595
2024-07-14,1161854.193893227
2024-07-19,349385.2687067539
2024-07-20,0.0
2024-07-24,216743.317224725
2024-07-29,0.0
2024-08-03,0.0
2024-08-08,0.0
2024-08-13,0.0
2024-08-18,0.0
2024-08-23,0.0
2024-08-28,4368911.900524619
2024-09-02,476530.7251210687
2024-09-07,285830.2955921755
2024-09-12,28873.570870994743
2024-09-17,255394.11621246173
2024-09-22,0.0
2024-09-27,0.0
2024-10-02,17010.715938964746
2024-10-07,0.0
2024-10-08,937966.7541279972
2024-10-12,0.0
2024-10-17,998884.8815632524
2024-10-22,190905.86735403887
2024-10-27,0.0
2024-11-09,0.0
2024-11-25,14759.550088313015
2024-12-11,2663.731284441889
2024-12-16,0.0
2024-12-21,0.0
2024-12-26,0.0
2024-12-27,
2024-12-31,
2025-01-05,0.0
2025-01-10,453722.48185352
2025-01-15,1967489.55509744
2025-01-20,0.0
2025-01-25,284054.90677052
2025-01-30,0.0
2025-02-04,263844.56301024003
2025-02-09,1031355.4722388
2025-02-14,546787.5451152602
2025-02-19,777888.6748330201
