date,area (km2)
2017-07-29,2.407
2017-08-02,1.541
2017-08-14,1.868
2017-08-17,2.202
2017-08-30,2.396
2017-09-06,2.546
2017-09-11,2.71
2017-09-15,2.86
2017-09-26,3.011
2017-10-01,3.156
2017-10-16,3.049
2017-10-17,3.237
2017-10-21,3.087
2017-11-02,3.221
2017-11-05,3.212
2017-11-10,3.274
2017-11-18,3.301
2017-11-25,3.345
2017-11-30,3.207
2017-12-04,2.979
2017-12-05,3.408
2017-12-15,3.322
2017-12-20,3.496
2017-12-25,3.507
2018-01-04,3.628
2018-01-05,3.692
2018-01-14,3.783
2018-01-21,3.798
2018-01-24,3.789
2018-01-29,3.702
2018-02-03,4.01
2018-02-06,3.863
2018-02-08,4.04
2018-02-13,3.967
2018-02-18,4.0
2018-02-22,4.084
2018-02-23,4.017
2018-02-28,4.022
2018-03-05,3.948
2018-03-10,3.817
2018-03-15,3.75
2018-03-20,3.683
2018-03-25,3.617
2018-03-26,3.579
2018-03-30,3.483
2018-04-04,3.459
2018-04-09,3.299
2018-04-11,3.101
2018-04-14,2.912
2018-04-19,2.776
2018-04-24,2.668
2018-04-27,2.543
2018-04-29,2.422
2018-05-09,2.294
2018-05-13,2.164
2018-05-14,2.03
2018-05-19,1.891
2018-05-24,1.746
2018-05-29,1.596
2018-06-03,1.438
2018-06-08,1.511
2018-06-13,1.671
2018-06-14,1.777
2018-06-18,1.905
2018-06-23,2.016
2018-06-28,2.131
2018-06-30,2.239
2018-07-03,2.346
2018-07-08,2.45
2018-07-13,2.552
2018-07-18,2.652
2018-07-23,2.751
2018-07-28,2.847
2018-08-01,2.942
2018-08-02,3.04
2018-08-07,3.138
2018-08-12,3.233
2018-08-17,3.328
2018-08-22,3.421
2018-08-27,3.513
2018-09-01,3.786
2018-09-02,3.928
2018-09-06,3.927
2018-09-11,4.006
2018-09-21,3.965
2018-09-26,3.922
2018-10-01,3.931
2018-10-04,3.94
2018-10-06,3.949
2018-10-11,3.954
2018-10-16,3.961
2018-10-20,3.975
2018-10-21,3.977
2018-10-26,3.976
2018-10-31,3.968
2018-11-05,3.944
2018-11-10,3.948
2018-11-15,3.938
2018-11-20,3.921
2018-11-21,3.913
2018-11-25,3.909
2018-11-30,3.898
2018-12-07,3.89
2018-12-10,3.886
2018-12-15,3.922
2018-12-20,3.921
2018-12-23,3.954
2018-12-25,3.97
2018-12-30,3.986
2019-01-04,3.996
2019-01-08,4.009
2019-01-09,4.035
2019-01-14,4.039
2019-01-19,4.067
2019-01-24,4.07
2019-01-29,4.086
2019-02-03,4.081
2019-02-08,4.049
2019-02-09,4.052
2019-02-13,4.026
2019-02-18,4.015
2019-02-23,4.008
2019-02-25,3.749
2019-02-28,3.818
2019-03-05,3.434
2019-03-10,3.584
2019-03-13,3.402
2019-03-15,3.374
2019-03-20,3.278
2019-03-25,3.164
2019-03-29,3.059
2019-03-30,2.954
2019-04-04,2.894
2019-04-09,2.811
2019-04-14,2.737
2019-04-19,2.657
2019-04-24,2.579
2019-04-29,2.498
2019-04-30,2.438
2019-05-04,2.387
2019-05-09,2.331
2019-05-14,2.276
2019-05-16,2.22
2019-05-19,2.166
2019-05-24,2.0
2019-05-29,2.184
2019-06-01,2.184
2019-06-03,2.0
2019-06-08,2.378
2019-06-13,2.38
2019-06-17,2.383
2019-06-18,2.441
2019-06-23,2.499
2019-06-28,2.327
2019-07-03,2.503
2019-07-08,2.489
2019-07-13,2.571
2019-07-18,2.599
2019-07-19,2.653
2019-07-23,2.691
2019-07-28,2.735
2019-08-02,2.775
2019-08-04,2.815
2019-08-07,2.853
2019-08-12,2.891
2019-08-17,2.928
2019-08-20,2.964
2019-08-22,3.0
2019-08-27,3.035
2019-09-01,3.069
2019-09-05,3.103
2019-09-06,3.136
2019-09-11,3.169
2019-09-16,3.201
2019-09-21,3.233
2019-09-26,3.264
2019-10-01,3.296
2019-10-06,3.326
2019-10-07,3.357
2019-10-11,3.387
2019-10-16,3.417
2019-10-21,3.446
2019-10-23,3.475
2019-10-26,3.504
2019-10-31,3.533
2019-11-05,3.561
2019-11-08,3.589
2019-11-10,3.617
2019-11-15,3.621
2019-11-20,3.613
2019-11-24,3.611
2019-11-25,3.61
2019-11-30,3.614
2019-12-05,3.615
2019-12-10,3.617
2019-12-15,3.619
2019-12-20,3.621
2019-12-25,3.623
2019-12-26,3.625
2019-12-30,3.627
2020-01-04,3.635
2020-01-09,3.645
2020-01-11,3.654
2020-01-14,3.664
2020-01-19,3.673
2020-01-24,3.683
2020-01-27,3.673
2020-01-29,3.653
2020-02-03,3.638
2020-02-08,3.621
2020-02-12,3.605
2020-02-13,3.588
2020-02-18,3.59
2020-02-23,3.602
2020-02-28,3.609
2020-03-04,3.619
2020-03-09,3.627
2020-03-14,3.636
2020-03-15,3.644
2020-03-19,3.653
2020-03-24,3.661
2020-03-29,3.651
2020-03-31,3.63
2020-04-03,3.614
2020-04-08,3.563
2020-04-13,3.495
2020-04-16,3.434
2020-04-18,3.368
2020-04-23,3.301
2020-04-28,3.233
2020-05-02,3.162
2020-05-03,3.089
2020-05-08,3.014
2020-05-13,2.936
2020-05-18,2.854
2020-05-23,2.768
2020-05-28,2.731
2020-06-02,2.713
2020-06-03,2.685
2020-06-07,2.662
2020-06-12,2.636
2020-06-17,2.61
2020-06-19,2.583
2020-06-22,2.556
2020-06-27,2.528
2020-07-02,2.499
2020-07-05,2.47
2020-07-07,2.439
2020-07-12,2.449
2020-07-17,2.477
2020-07-21,2.495
2020-07-22,2.598
2020-07-27,2.733
2020-08-01,2.834
2020-08-06,2.941
2020-08-11,3.036
2020-08-16,3.13
2020-08-21,3.218
2020-08-22,3.305
2020-08-26,3.388
2020-08-31,3.401
2020-09-05,3.374
2020-09-07,3.368
2020-09-10,3.351
2020-09-15,3.339
2020-09-20,3.325
2020-09-23,3.357
2020-09-25,3.411
2020-09-30,3.452
2020-10-05,3.499
2020-10-09,3.542
2020-10-10,3.586
2020-10-15,3.6
2020-10-20,3.599
2020-10-25,3.605
2020-10-30,3.608
2020-11-04,3.612
2020-11-09,3.616
2020-11-10,3.62
2020-11-14,3.624
2020-11-19,3.628
2020-11-24,3.632
2020-11-26,3.636
2020-11-29,3.639
2020-12-04,3.643
2020-12-09,3.646
2020-12-12,3.65
2020-12-14,3.654
2020-12-19,3.657
2020-12-24,3.661
2020-12-28,3.664
2020-12-29,3.668
2021-01-03,3.671
2021-01-08,3.675
2021-01-13,3.678
2021-01-18,3.682
2021-01-23,3.677
2021-01-28,3.669
2021-01-29,3.662
2021-02-02,3.655
2021-02-07,3.648
2021-02-12,3.64
2021-02-14,3.633
2021-02-17,3.626
2021-02-22,3.618
2021-02-27,3.611
2021-03-02,3.604
2021-03-04,3.596
2021-03-09,3.595
2021-03-14,3.597
2021-03-18,3.597
2021-03-19,3.544
2021-03-24,3.461
2021-03-29,3.39
2021-04-03,3.311
2021-04-08,3.232
2021-04-13,3.149
2021-04-18,3.063
2021-04-19,2.974
2021-04-23,2.88
2021-04-28,2.827
2021-05-03,2.79
2021-05-05,2.743
2021-05-08,2.699
2021-05-13,2.652
2021-05-18,2.604
2021-05-21,2.658
2021-05-23,2.749
2021-05-28,2.815
2021-06-02,2.889
2021-06-06,2.954
2021-06-07,3.02
2021-06-12,3.027
2021-06-17,3.003
2021-06-22,2.994
2021-06-27,2.978
2021-07-02,2.965
2021-07-07,2.95
2021-07-08,2.936
2021-07-12,2.921
2021-07-17,2.907
2021-07-22,2.992
2021-07-24,3.118
2021-07-27,3.213
2021-08-01,3.269
2021-08-06,3.287
2021-08-09,3.323
2021-08-11,3.35
2021-08-16,3.381
2021-08-21,3.409
2021-08-25,3.438
2021-08-26,3.467
2021-08-31,3.495
2021-09-05,3.523
2021-09-10,3.551
2021-09-15,3.578
2021-09-20,3.592
2021-09-25,3.599
2021-09-26,3.609
2021-09-30,3.618
2021-10-05,3.627
2021-10-10,3.636
2021-10-12,3.646
2021-10-15,3.655
2021-10-20,3.664
2021-10-25,3.673
2021-10-28,3.682
2021-10-30,3.691
2021-11-04,3.701
2021-11-09,3.712
2021-11-14,3.723
2021-11-19,3.721
2021-11-24,3.713
2021-11-29,3.708
2021-12-04,3.701
2021-12-09,3.696
2021-12-14,3.689
2021-12-15,3.683
2021-12-19,3.677
2021-12-24,3.685
2021-12-29,3.7
2021-12-31,3.712
2022-01-03,3.725
2022-01-08,3.737
2022-01-13,3.75
2022-01-16,3.753
2022-01-18,3.752
2022-01-23,3.754
2022-01-28,3.754
2022-02-01,3.754
2022-02-02,3.755
2022-02-07,3.753
2022-02-12,3.749
2022-02-17,3.746
2022-02-22,3.742
2022-02-27,3.739
2022-03-04,3.736
2022-03-05,3.732
2022-03-09,3.729
2022-03-14,3.726
2022-03-19,3.682
2022-03-21,3.617
2022-03-24,3.561
2022-03-29,3.488
2022-04-03,3.41
2022-04-06,3.332
2022-04-08,3.25
2022-04-13,3.166
2022-04-18,3.078
2022-04-22,2.987
2022-04-23,2.892
2022-04-28,2.791
2022-05-03,2.683
2022-05-08,2.565
2022-05-13,2.433
2022-05-18,2.447
2022-05-23,2.499
2022-05-24,2.529
2022-05-28,2.568
2022-06-02,2.601
2022-06-07,2.635
2022-06-09,2.667
2022-06-12,2.699
2022-06-17,2.73
2022-06-22,2.761
2022-06-27,2.791
2022-07-02,2.82
2022-07-07,2.849
2022-07-11,2.878
2022-07-12,2.947
2022-07-17,3.036
2022-07-22,3.11
2022-07-27,3.188
2022-08-01,3.26
2022-08-06,3.331
2022-08-11,3.4
2022-08-12,3.468
2022-08-16,3.534
2022-08-21,3.582
2022-08-26,3.622
2022-08-28,3.665
2022-08-31,3.706
2022-09-05,3.747
2022-09-10,3.787
2022-09-13,3.799
2022-09-15,3.796
2022-09-20,3.8
2022-09-25,3.801
2022-09-29,3.803
2022-09-30,3.805
2022-10-05,3.804
2022-10-10,3.802
2022-10-15,3.801
2022-10-20,3.8
2022-10-25,3.798
2022-10-30,3.797
2022-10-31,3.796
2022-11-04,3.794
2022-11-09,3.793
2022-11-14,3.795
2022-11-16,3.799
2022-11-19,3.802
2022-11-24,3.799
2022-11-29,3.793
2022-12-02,3.788
2022-12-04,3.783
2022-12-09,3.778
2022-12-14,3.773
2022-12-18,3.767
2022-12-19,3.762
2022-12-24,3.757
2022-12-29,3.752
2023-01-03,3.747
2023-01-08,3.742
2023-01-13,3.749
2023-01-18,3.763
2023-01-19,3.774
2023-01-23,3.786
2023-01-28,3.797
2023-02-02,3.809
2023-02-04,3.82
2023-02-07,3.832
2023-02-12,3.843
2023-02-17,3.854
2023-02-20,3.866
2023-02-22,3.877
2023-02-27,3.868
2023-03-04,3.847
2023-03-08,3.833
2023-03-09,3.793
2023-03-14,3.743
2023-03-19,3.697
2023-03-24,3.648
2023-03-29,3.599
2023-04-03,3.549
2023-04-08,3.499
2023-04-09,3.448
2023-04-13,3.395
2023-04-18,3.345
2023-04-23,3.294
2023-04-25,3.243
2023-04-28,3.19
2023-05-03,3.136
2023-05-08,3.081
2023-05-11,2.992
2023-05-13,2.882
2023-05-18,2.774
2023-05-23,2.653
2023-05-27,2.521
2023-05-28,2.369
2023-06-02,2.424
2023-06-07,2.516
2023-06-12,2.578
2023-06-17,2.649
