date,area (km2)
2017-07-29,44.185
2017-08-02,43.403
2017-08-14,44.772
2017-08-17,44.373
2017-08-30,46.091
2017-09-06,44.271
2017-09-11,46.033
2017-09-15,45.988
2017-09-26,46.847
2017-10-01,44.33
2017-10-16,44.373
2017-10-17,44.92
2017-10-21,44.373
2017-11-02,44.375
2017-11-05,44.315
2017-11-18,44.702
2017-11-25,44.863
2017-11-30,44.373
2017-12-04,43.575
2017-12-05,43.596
2017-12-15,43.963
2017-12-20,44.059
2017-12-25,44.745
2018-01-04,44.682
2018-01-05,44.994
2018-01-09,44.097
2018-01-14,43.704
2018-01-21,43.757
2018-01-24,43.587
2018-01-29,44.318
2018-02-03,43.628
2018-02-06,43.874
2018-02-08,43.7
2018-02-13,45.173
2018-02-18,43.342
2018-02-22,47.023
2018-02-23,42.822
2018-02-28,44.78
2018-03-05,44.032
2018-03-10,45.029
2018-03-15,45.029
2018-03-20,44.791
2018-03-25,42.266
2018-03-26,43.295
2018-03-30,41.359
2018-04-04,42.098
2018-04-09,41.261
2018-04-11,40.965
2018-04-14,40.396
2018-04-24,40.166
2018-04-27,39.97
2018-04-29,39.756
2018-05-04,39.55
2018-05-09,39.34
2018-05-13,39.131
2018-05-14,38.92
2018-05-19,38.709
2018-05-24,38.497
2018-05-29,38.285
2018-06-03,38.073
2018-06-08,38.445
2018-06-14,39.101
2018-06-18,39.608
2018-06-23,40.184
2018-06-28,40.719
2018-06-30,41.27
2018-07-03,41.807
2018-07-08,44.373
2018-07-13,44.373
2018-07-18,45.203
2018-07-23,45.611
2018-07-28,46.226
2018-08-01,46.732
2018-08-02,46.716
2018-08-07,46.378
2018-08-12,46.2
2018-08-17,44.373
2018-08-22,44.373
2018-08-27,44.373
2018-09-01,44.032
2018-09-02,44.725
2018-09-06,45.75
2018-09-11,45.885
2018-09-21,45.734
2018-09-26,48.178
2018-10-01,46.87
2018-10-04,47.494
2018-10-06,47.208
2018-10-11,47.377
2018-10-16,49.801
2018-10-20,48.615
2018-10-21,47.977
2018-10-26,49.237
2018-10-31,48.568
2018-11-05,47.747
2018-11-10,48.003
2018-11-15,48.532
2018-11-20,49.17
2018-11-21,49.17
2018-11-25,46.48
2018-11-30,47.787
2018-12-07,47.096
2018-12-10,48.126
2018-12-15,47.754
2018-12-20,47.892
2018-12-23,47.892
2018-12-25,48.308
