date,area (km2)
2017-07-11,3.796
2017-07-13,3.813
2017-07-16,3.416
2017-07-20,3.813
2017-07-21,5.622
2017-07-29,5.607
2017-07-31,5.593
2017-08-05,5.584
2017-08-14,5.572
2017-08-15,5.562
2017-08-20,5.557
2017-08-21,5.554
2017-08-30,5.551
2017-09-06,5.547
2017-09-09,5.543
2017-09-14,5.541
2017-09-15,5.536
2017-09-19,5.533
2017-09-22,5.522
2017-09-24,5.519
2017-10-01,5.5
2017-10-04,5.501
2017-10-08,5.501
2017-10-09,5.501
2017-10-14,5.501
2017-10-17,5.502
2017-10-19,5.502
2017-10-24,5.502
2017-10-29,5.502
2017-11-02,5.502
2017-11-03,5.503
2017-11-08,5.503
2017-11-09,5.503
2017-11-13,5.092
2017-11-18,5.504
2017-11-23,5.298
2017-11-25,5.332
2017-11-28,5.047
2017-12-03,5.494
2017-12-04,5.268
2017-12-08,5.378
2017-12-11,5.486
2017-12-13,5.155
2017-12-18,5.318
2017-12-20,5.234
2017-12-23,5.273
2017-12-27,5.474
2017-12-28,5.371
2018-01-02,5.419
2018-01-05,5.209
2018-01-12,5.481
2018-01-17,5.495
2018-01-21,5.504
2018-01-22,5.49
2018-01-27,5.421
2018-01-28,5.409
2018-02-06,5.398
2018-02-11,5.391
2018-02-13,5.382
2018-02-16,5.374
2018-02-21,5.365
2018-02-22,5.357
2018-02-26,5.348
2018-03-01,5.345
2018-03-03,5.345
2018-03-08,5.343
2018-03-10,5.342
2018-03-13,5.341
2018-03-17,5.332
2018-03-18,5.335
2018-03-23,5.075
2018-03-26,5.15
2018-03-28,5.078
2018-04-02,5.332
2018-04-07,5.154
2018-04-11,5.399
2018-04-12,4.892
2018-04-17,5.395
2018-04-18,5.142
2018-04-22,5.391
2018-04-27,5.265
2018-05-02,5.326
2018-05-04,5.086
2018-05-07,5.204
2018-05-12,5.108
2018-05-13,5.381
2018-05-17,5.379
2018-05-20,5.34
2018-05-22,5.008
2018-05-29,5.375
2018-06-01,5.396
