date,area (km2)
2017-07-29,16.338
2017-08-02,16.88
2017-08-14,16.338
2017-08-17,18.07
2017-08-30,16.338
2017-09-06,17.528
2017-09-11,17.246
2017-09-15,17.703
2017-09-26,17.786
2017-10-01,18.055
2017-10-16,18.229
2017-10-17,18.293
2017-10-21,18.255
2017-11-02,18.267
2017-11-05,18.254
2017-11-18,18.254
2017-11-25,18.247
2017-11-30,16.361
2017-12-04,16.58
2017-12-05,16.205
2017-12-15,16.564
2017-12-20,16.432
2017-12-25,17.424
2018-01-04,17.563
2018-01-05,17.669
2018-01-09,16.363
2018-01-14,17.044
2018-01-21,16.594
2018-01-24,16.579
2018-01-29,16.476
2018-02-03,16.416
2018-02-06,16.41
2018-02-08,17.217
2018-02-13,17.067
2018-02-18,17.181
2018-02-22,17.163
2018-02-23,17.211
2018-02-28,17.196
2018-03-05,17.183
2018-03-10,17.169
2018-03-15,16.381
2018-03-20,16.755
2018-03-25,16.548
2018-03-26,16.631
2018-03-30,16.57
2018-04-04,16.265
2018-04-09,16.245
2018-04-11,15.931
2018-04-14,15.76
2018-04-24,16.263
2018-04-27,15.951
2018-04-29,16.451
2018-05-04,16.14
2018-05-09,16.233
2018-05-13,16.125
2018-05-14,16.117
2018-05-19,16.059
2018-05-24,16.026
2018-05-29,15.98
2018-06-03,16.361
2018-06-08,16.361
2018-06-14,16.338
2018-06-18,16.361
2018-06-23,16.361
2018-06-28,16.383
2018-06-30,16.692
2018-07-03,16.942
2018-07-08,17.134
2018-07-13,17.353
2018-07-18,17.556
2018-07-23,17.765
2018-07-28,17.97
2018-08-01,18.175
2018-08-02,18.234
2018-08-07,18.219
2018-08-12,18.241
2018-08-17,18.244
2018-08-22,18.257
2018-08-27,18.265
2018-09-01,18.275
2018-09-02,18.273
2018-09-06,18.265
2018-09-11,18.093
2018-09-21,17.834
2018-09-26,17.616
2018-10-01,18.642
2018-10-04,18.04
2018-10-06,18.525
2018-10-11,18.465
2018-10-16,18.677
2018-10-20,18.752
2018-10-21,18.896
2018-10-26,18.895
2018-10-31,18.857
2018-11-05,18.837
2018-11-10,18.808
2018-11-15,18.784
2018-11-20,18.758
2018-11-21,18.732
2018-11-25,18.94
2018-11-30,18.797
2018-12-07,18.829
2018-12-10,18.774
2018-12-15,18.725
2018-12-20,18.636
2018-12-23,18.566
2018-12-25,18.487
2018-12-30,18.797
2019-01-04,18.526
2019-01-08,18.545
2019-01-09,18.419
2019-01-14,18.365
2019-01-19,18.275
2019-01-24,18.203
2019-01-29,18.121
2019-02-03,18.11
2019-02-08,18.129
2019-02-09,18.133
2019-02-13,18.144
2019-02-18,17.129
2019-02-23,17.649
2019-02-25,17.402
2019-02-28,17.116
2019-03-05,16.366
2019-03-10,16.626
2019-03-13,16.382
2019-03-15,16.39
2019-03-20,16.271
2019-03-25,16.215
2019-03-29,16.128
2019-03-30,16.056
2019-04-04,15.977
2019-04-09,15.9
2019-04-14,15.822
2019-04-19,15.745
2019-04-24,15.667
2019-04-29,15.588
2019-04-30,15.551
2019-05-04,15.535
2019-05-09,15.508
2019-05-14,15.487
2019-05-16,15.463
2019-05-19,15.44
2019-05-24,15.416
2019-05-29,15.421
2019-06-01,15.421
2019-06-03,15.385
2019-06-08,15.368
2019-06-13,15.341
2019-06-17,15.319
2019-06-18,15.295
2019-06-23,15.272
2019-06-28,15.311
2019-07-03,15.368
2019-07-08,15.425
2019-07-12,15.482
2019-07-13,15.538
2019-07-18,15.595
2019-07-23,15.651
2019-07-28,15.707
2019-08-02,15.763
2019-08-07,15.819
2019-08-12,15.875
2019-08-13,15.931
2019-08-17,15.986
2019-08-22,16.042
2019-08-27,16.097
2019-08-29,16.152
2019-09-01,16.207
2019-09-06,16.262
2019-09-11,16.317
2019-09-14,16.372
2019-09-16,16.427
2019-09-21,16.481
2019-09-26,16.535
2019-09-30,16.59
2019-10-01,16.644
2019-10-06,16.698
2019-10-11,16.752
2019-10-16,16.806
2019-10-21,16.86
2019-10-26,16.913
2019-10-31,16.967
2019-11-01,17.02
2019-11-05,17.074
2019-11-10,17.127
2019-11-15,17.18
2019-11-17,17.233
2019-11-20,17.286
2019-11-25,17.339
2019-11-30,17.287
2019-12-03,17.183
2019-12-05,17.105
2019-12-10,17.013
2019-12-15,16.928
2019-12-19,16.839
2019-12-20,16.751
2019-12-25,16.663
2019-12-30,16.574
2020-01-04,16.485
2020-01-09,16.396
2020-01-14,16.306
2020-01-19,16.216
2020-01-20,16.126
2020-01-24,16.103
2020-01-29,16.114
2020-02-03,16.108
2020-02-05,16.11
2020-02-08,16.108
2020-02-13,16.108
2020-02-18,16.107
2020-02-21,16.107
2020-02-23,16.106
2020-02-28,16.106
2020-03-04,16.105
2020-03-08,16.104
2020-03-09,16.104
2020-03-14,16.103
2020-03-19,16.103
2020-03-24,16.102
2020-03-29,16.061
2020-04-03,15.999
2020-04-08,15.948
2020-04-09,15.891
2020-04-13,15.837
2020-04-18,15.781
2020-04-23,15.726
2020-04-25,15.67
2020-04-28,15.614
2020-05-03,15.559
2020-05-08,15.503
2020-05-11,15.447
2020-05-13,15.39
2020-05-18,15.334
2020-05-23,15.278
2020-05-27,15.192
2020-05-28,15.091
2020-06-02,14.997
2020-06-07,14.899
2020-06-12,14.803
2020-06-17,14.705
2020-06-22,14.607
2020-06-27,14.509
2020-06-28,14.41
2020-07-02,14.311
2020-07-07,14.211
2020-07-12,14.111
2020-07-14,14.01
2020-07-17,13.909
2020-07-22,13.808
2020-07-27,13.924
2020-07-30,14.144
2020-08-01,14.31
2020-08-06,14.501
2020-08-11,14.677
2020-08-15,14.858
2020-08-16,15.035
2020-08-21,15.212
2020-08-26,15.387
2020-08-31,15.561
2020-09-05,15.734
2020-09-10,15.905
2020-09-15,16.075
2020-09-16,16.245
2020-09-20,16.274
2020-09-25,16.232
2020-09-30,16.226
2020-10-02,16.201
2020-10-05,16.186
2020-10-10,16.166
2020-10-15,16.148
2020-10-18,16.13
2020-10-20,16.111
2020-10-25,16.093
2020-10-30,16.075
2020-11-03,16.056
2020-11-04,16.038
2020-11-09,16.019
2020-11-14,16.001
2020-11-19,15.982
2020-11-24,16.078
2020-11-29,16.229
2020-12-04,16.352
2020-12-05,16.488
2020-12-09,16.616
