date,area (km2)
2017-07-22,6.068
2017-07-28,6.068
2017-08-02,5.97
2017-08-07,7.057
2017-08-17,6.412
2017-08-23,6.885
2017-09-06,6.794
2017-09-08,6.986
2017-09-11,7.506
2017-09-24,7.903
2017-09-26,8.044
2017-10-01,8.131
2017-10-10,8.179
2017-10-16,8.23
2017-10-21,8.167
2017-10-26,8.162
2017-11-11,8.158
2017-11-25,8.153
2017-11-27,8.149
2017-11-30,8.145
2017-12-05,8.157
2017-12-13,8.176
2017-12-15,8.195
2017-12-20,8.214
2017-12-25,8.226
2017-12-29,8.252
2018-01-04,8.26
2018-01-09,8.277
2018-01-14,8.31
2018-01-24,8.329
2018-01-29,8.348
2018-01-30,8.359
2018-02-03,8.351
2018-02-08,8.329
2018-02-13,8.314
2018-02-15,8.069
2018-02-18,8.166
2018-02-23,8.092
2018-02-28,8.104
2018-03-03,8.073
2018-03-05,8.063
2018-03-15,8.088
2018-03-19,8.064
2018-03-20,8.05
2018-03-25,8.031
2018-03-30,8.015
2018-04-04,7.997
2018-04-09,7.957
2018-04-14,7.939
2018-04-19,7.92
2018-04-20,7.902
2018-04-24,7.892
2018-04-29,7.877
2018-05-04,7.848
2018-05-06,7.83
2018-05-09,7.811
2018-05-14,7.793
2018-05-19,7.775
2018-05-22,7.757
2018-05-24,7.739
2018-05-29,7.72
2018-06-03,7.71
2018-06-07,7.725
2018-06-08,7.756
2018-06-13,7.779
2018-06-18,7.806
2018-06-23,7.831
2018-06-28,7.857
2018-07-03,7.882
2018-07-09,7.908
2018-07-13,7.933
2018-07-18,7.959
2018-07-23,7.984
2018-07-25,8.009
2018-07-28,8.035
2018-08-02,8.06
2018-08-07,8.066
2018-08-10,8.062
2018-08-12,8.063
2018-08-17,8.061
2018-08-22,8.075
2018-08-27,8.067
2018-09-01,8.07
2018-09-06,8.07
2018-09-11,8.074
2018-09-21,8.077
2018-09-26,8.138
2018-09-27,8.112
2018-10-01,8.24
2018-10-06,8.246
2018-10-11,8.139
2018-10-13,8.139
2018-10-16,8.262
2018-10-21,8.156
2018-10-26,8.214
2018-10-29,8.277
2018-10-31,8.283
2018-11-05,8.288
2018-11-10,8.291
2018-11-14,8.299
2018-11-15,8.304
2018-11-20,8.309
