date,area (km2)
2017-07-29,17.385
2017-08-02,17.123
2017-08-14,16.329
2017-08-17,18.941
2017-08-30,17.569
2017-09-06,19.31
2017-09-11,18.648
2017-09-15,19.267
2017-09-26,19.167
2017-10-01,19.3
2017-10-16,19.31
2017-10-17,19.428
2017-10-21,19.406
2017-11-02,19.453
2017-11-05,19.314
2017-11-10,19.31
2017-11-18,19.085
2017-11-25,19.234
2017-12-04,18.096
2017-12-05,18.584
2017-12-15,18.26
2017-12-20,18.341
2017-12-25,18.219
2018-01-04,18.199
2018-01-05,17.468
2018-01-14,17.754
2018-01-21,17.524
2018-01-24,17.543
2018-01-29,17.438
2018-02-03,17.395
2018-02-06,16.505
2018-02-08,16.505
2018-02-13,16.512
2018-02-18,16.515
2018-02-22,16.52
2018-02-23,16.524
2018-02-28,16.474
2018-03-05,16.396
2018-03-10,16.332
2018-03-15,16.261
2018-03-20,16.193
2018-03-25,16.123
2018-03-26,16.054
2018-03-30,15.984
2018-04-04,15.915
2018-04-09,15.976
2018-04-11,16.103
2018-04-14,16.197
2018-04-24,16.106
2018-04-27,15.905
2018-04-29,15.757
2018-05-04,15.581
2018-05-09,15.418
2018-05-13,15.248
2018-05-14,15.08
2018-05-19,14.909
2018-05-24,14.738
2018-05-29,14.565
2018-06-03,14.392
2018-06-08,14.553
2018-06-13,14.874
2018-06-14,15.11
2018-06-18,15.385
2018-06-23,15.638
2018-06-28,15.899
2018-06-30,16.152
2018-07-03,16.406
2018-07-08,16.657
2018-07-13,16.906
2018-07-18,17.154
2018-07-23,17.4
2018-07-28,17.644
2018-08-01,17.886
2018-08-02,17.951
2018-08-07,17.925
2018-08-12,17.945
2018-08-17,17.941
2018-08-22,17.95
2018-08-27,17.952
2018-09-01,17.958
2018-09-02,17.961
2018-09-06,17.964
2018-09-11,17.96
2018-09-21,17.954
2018-09-26,17.949
2018-10-01,17.943
2018-10-04,17.938
2018-10-06,17.933
2018-10-11,17.929
2018-10-16,17.924
2018-10-20,17.919
2018-10-21,17.915
2018-10-26,17.915
2018-10-31,17.918
2018-11-05,17.919
2018-11-10,17.921
2018-11-15,17.923
2018-11-20,17.925
2018-11-21,17.927
2018-11-25,17.929
2018-11-30,17.931
2018-12-07,17.933
2018-12-10,17.935
2018-12-15,17.932
2018-12-20,17.928
2018-12-23,17.924
2018-12-25,17.92
2018-12-30,17.916
2019-01-04,17.913
2019-01-08,17.909
2019-01-09,17.905
2019-01-14,17.901
2019-01-19,17.897
2019-01-24,17.893
2019-01-29,17.889
2019-02-03,17.903
2019-02-08,19.019
2019-02-09,18.492
2019-02-13,18.787
2019-02-18,18.403
2019-02-23,18.358
2019-02-25,18.333
2019-02-28,18.268
2019-03-05,18.223
2019-03-10,18.198
2019-03-13,18.163
2019-03-15,18.132
2019-03-20,18.067
2019-03-25,17.987
2019-03-29,17.618
2019-03-30,17.645
2019-04-04,17.428
2019-04-09,17.331
2019-04-14,17.174
2019-04-19,17.046
2019-04-24,16.903
2019-04-29,16.767
2019-04-30,16.626
2019-05-04,16.487
2019-05-09,16.352
2019-05-14,16.22
2019-05-16,16.085
2019-05-19,15.951
2019-05-24,15.816
2019-05-29,15.681
2019-06-01,15.475
2019-06-03,15.233
2019-06-08,15.006
2019-06-13,14.769
2019-06-17,14.534
2019-06-18,14.296
2019-06-23,14.338
2019-06-28,14.515
2019-07-03,14.623
2019-07-08,14.765
2019-07-13,14.889
2019-07-18,15.021
2019-07-19,15.149
2019-07-23,15.278
2019-07-28,15.405
2019-08-02,15.533
2019-08-04,15.659
2019-08-07,15.786
2019-08-12,15.912
2019-08-17,16.037
2019-08-20,16.162
2019-08-22,16.286
2019-08-27,16.41
2019-09-01,16.534
2019-09-05,16.657
2019-09-06,16.78
2019-09-11,16.902
2019-09-16,17.024
2019-09-21,17.145
2019-09-26,17.266
2019-10-01,17.387
2019-10-06,17.507
2019-10-07,17.627
2019-10-11,17.747
2019-10-16,17.866
2019-10-21,17.985
2019-10-23,18.103
2019-10-26,18.221
2019-10-31,18.338
2019-11-05,18.456
2019-11-08,18.573
2019-11-10,18.689
2019-11-15,18.716
2019-11-20,18.697
2019-11-24,18.701
2019-11-25,18.698
2019-11-30,18.702
2019-12-05,18.703
2019-12-10,18.705
2019-12-15,18.707
2019-12-20,18.666
2019-12-25,18.689
2019-12-26,18.627
2019-12-30,18.661
2020-01-04,18.645
2020-01-09,18.652
2020-01-11,18.647
2020-01-14,18.648
2020-01-19,18.646
2020-01-24,18.646
2020-01-27,18.609
2020-01-29,18.554
2020-02-03,18.508
2020-02-08,18.458
2020-02-12,18.41
2020-02-13,18.36
2020-02-18,18.322
2020-02-23,18.288
2020-02-28,18.252
2020-03-04,18.217
2020-03-09,18.182
2020-03-14,18.147
2020-03-15,18.111
2020-03-19,18.076
2020-03-24,18.04
2020-03-29,17.966
2020-03-31,17.872
2020-04-03,17.788
2020-04-08,17.649
2020-04-13,17.322
2020-04-16,17.254
2020-04-18,17.056
2020-04-23,16.921
2020-04-28,16.754
2020-05-02,16.603
2020-05-03,16.442
2020-05-08,16.285
2020-05-13,16.125
2020-05-18,15.965
2020-05-23,15.804
2020-05-28,15.691
2020-06-02,15.601
2020-06-03,15.498
2020-06-07,15.401
2020-06-12,15.301
2020-06-17,15.202
2020-06-19,15.102
2020-06-22,15.002
2020-06-27,14.902
2020-07-02,14.801
2020-07-05,14.7
2020-07-07,14.599
2020-07-12,14.645
2020-07-17,14.764
2020-07-21,14.845
2020-07-22,15.192
2020-07-27,15.649
2020-08-01,16.356
2020-08-06,16.622
2020-08-11,17.104
2020-08-16,17.47
2020-08-21,17.888
2020-08-22,18.273
2020-08-26,18.669
2020-08-31,18.765
2020-09-05,18.715
2020-09-07,18.738
2020-09-10,18.724
2020-09-15,18.729
2020-09-20,18.724
2020-09-23,18.734
2020-09-25,18.746
2020-09-30,18.757
2020-10-05,18.769
2020-10-09,18.78
2020-10-10,18.792
2020-10-15,18.787
2020-10-20,18.774
2020-10-25,18.765
2020-10-30,18.754
2020-11-04,18.744
2020-11-09,18.733
2020-11-10,18.723
2020-11-14,18.713
2020-11-19,18.702
2020-11-24,18.719
2020-11-26,18.749
2020-11-29,18.772
2020-12-04,18.774
2020-12-09,18.762
2020-12-12,18.757
2020-12-14,18.748
2020-12-19,18.741
2020-12-24,18.733
2020-12-28,18.725
2020-12-29,18.717
2021-01-03,18.71
2021-01-08,18.702
2021-01-13,18.695
2021-01-18,18.687
2021-01-23,18.657
2021-01-28,18.615
2021-01-29,18.579
2021-02-02,18.54
2021-02-07,18.502
2021-02-12,18.464
2021-02-14,18.426
2021-02-17,18.387
2021-02-22,18.349
2021-02-27,18.311
2021-03-02,18.273
2021-03-04,18.234
2021-03-09,18.186
2021-03-14,18.132
2021-03-18,18.08
2021-03-19,17.997
2021-03-24,17.899
2021-03-29,17.808
2021-04-03,17.714
2021-04-08,17.621
2021-04-13,17.526
2021-04-18,17.432
2021-04-19,17.338
2021-04-23,17.243
2021-04-28,17.099
2021-05-03,16.93
2021-05-05,16.772
2021-05-08,16.607
2021-05-13,16.445
2021-05-18,16.281
2021-05-21,16.206
2021-05-23,16.175
2021-05-28,16.123
2021-06-02,16.081
2021-06-06,16.033
2021-06-07,15.989
2021-06-12,16.06
2021-06-17,16.191
2021-06-22,16.292
2021-06-27,16.407
2021-07-02,16.514
2021-07-07,16.625
2021-07-08,16.733
2021-07-12,16.843
2021-07-17,16.951
2021-07-22,17.082
2021-07-24,17.223
2021-07-27,17.41
2021-08-01,17.58
2021-08-06,17.749
2021-08-09,17.919
2021-08-11,18.089
2021-08-16,18.259
2021-08-21,18.428
2021-08-25,18.598
2021-08-26,18.768
2021-08-31,18.863
2021-09-05,19.107
2021-09-10,19.165
2021-09-15,19.316
2021-09-20,19.324
2021-09-25,19.241
2021-09-26,19.27
2021-09-30,19.216
2021-10-05,19.23
2021-10-10,19.21
2021-10-12,19.207
2021-10-15,19.196
2021-10-20,19.189
2021-10-25,19.18
2021-10-28,19.172
2021-10-30,19.163
2021-11-04,19.176
2021-11-09,19.199
2021-11-14,19.217
2021-11-19,19.225
2021-11-24,19.226
2021-11-29,19.231
2021-12-04,19.239
2021-12-09,19.244
2021-12-14,19.248
2021-12-15,19.251
2021-12-19,19.253
2021-12-24,19.252
2021-12-29,19.252
2021-12-31,19.252
2022-01-03,19.251
2022-01-08,19.25
2022-01-13,19.247
2022-01-16,19.243
2022-01-18,19.24
2022-01-23,19.236
2022-01-28,19.232
2022-02-01,19.23
2022-02-02,19.227
2022-02-07,19.198
2022-02-12,19.196
2022-02-17,19.181
2022-02-22,19.172
2022-02-27,19.16
2022-03-04,19.15
2022-03-05,19.139
2022-03-09,19.128
2022-03-14,19.117
2022-03-19,19.062
2022-03-21,18.984
2022-03-24,18.917
2022-03-29,18.87
2022-04-03,18.838
2022-04-06,18.799
2022-04-08,18.763
2022-04-13,18.726
2022-04-18,18.689
2022-04-22,18.652
2022-04-23,18.615
2022-04-28,18.578
2022-05-03,18.541
2022-05-08,18.504
2022-05-13,18.467
2022-05-18,18.455
2022-05-23,18.454
2022-05-24,18.448
2022-05-28,18.445
2022-06-02,18.44
2022-06-07,18.435
2022-06-09,18.431
2022-06-12,18.427
2022-06-17,18.422
2022-06-22,18.418
2022-06-27,18.413
2022-07-02,18.409
2022-07-07,18.405
2022-07-11,18.4
2022-07-12,18.457
2022-07-17,18.545
2022-07-22,18.617
2022-07-27,18.696
2022-08-01,18.772
2022-08-06,18.849
2022-08-11,18.925
2022-08-12,19.002
2022-08-16,19.078
2022-08-21,19.111
2022-08-26,19.135
2022-08-28,19.162
2022-08-31,19.189
2022-09-05,19.216
2022-09-10,19.231
2022-09-13,18.97
2022-09-15,18.971
2022-09-20,18.842
2022-09-25,18.777
2022-09-29,18.68
2022-09-30,18.599
2022-10-05,18.541
2022-10-10,18.503
2022-10-15,18.455
2022-10-20,18.411
2022-10-25,18.366
2022-10-30,18.321
2022-10-31,18.276
2022-11-04,18.231
2022-11-09,18.186
2022-11-14,18.136
2022-11-16,18.084
2022-11-19,18.033
2022-11-24,18.048
2022-11-29,18.095
2022-12-02,18.125
2022-12-04,18.164
2022-12-09,18.199
2022-12-14,18.235
2022-12-18,18.271
2022-12-19,18.307
2022-12-24,18.343
2022-12-29,18.379
2023-01-03,18.415
2023-01-08,18.201
2023-01-13,18.102
2023-01-18,18.004
2023-01-19,17.949
2023-01-23,17.806
2023-01-28,17.707
2023-02-02,17.608
2023-02-04,17.51
2023-02-07,17.411
2023-02-12,17.312
2023-02-17,17.213
2023-02-20,17.159
2023-02-22,17.082
2023-02-27,16.233
2023-03-04,16.196
2023-03-08,15.753
2023-03-09,15.705
2023-03-14,15.652
2023-03-19,15.502
2023-03-24,15.429
2023-03-29,15.357
2023-04-03,15.316
2023-04-08,15.26
2023-04-09,15.211
2023-04-13,15.158
2023-04-18,15.007
2023-04-23,14.803
2023-04-25,14.624
2023-04-28,14.431
2023-05-03,14.244
2023-05-08,14.051
2023-05-11,14.059
2023-05-13,14.162
2023-05-18,14.217
2023-05-23,14.296
2023-05-27,14.362
2023-05-28,14.435
2023-06-02,14.469
2023-06-07,14.486
2023-06-12,14.511
2023-06-17,14.533
2023-06-22,14.556
2023-06-27,14.579
2023-06-28,14.601
2023-07-02,14.624
2023-07-07,14.647
2023-07-12,14.764
2023-07-14,14.927
2023-07-17,15.066
2023-07-22,15.208
2023-07-27,15.339
2023-07-28,15.474
2023-07-30,15.607
2023-08-01,15.74
2023-08-06,15.872
2023-08-11,16.004
2023-08-13,16.135
2023-08-16,16.265
2023-08-21,16.396
2023-08-26,16.525
2023-08-27,16.654
2023-08-29,16.896
2023-08-31,16.969
2023-09-05,17.125
2023-09-10,17.003
2023-09-12,16.78
2023-09-15,16.605
2023-09-20,16.559
2023-09-25,16.599
2023-09-28,16.596
2023-09-30,16.614
2023-10-05,16.622
2023-10-10,16.635
2023-10-14,16.645
2023-10-15,16.657
2023-10-20,16.668
2023-10-25,16.679
2023-10-30,16.69
2023-11-04,16.702
2023-11-09,16.705
2023-11-14,17.048
2023-11-17,17.289
2023-11-19,17.448
2023-11-24,17.298
2023-11-25,17.291
2023-11-29,17.048
2023-12-03,16.983
2023-12-04,18.098
2023-12-09,18.148
2023-12-11,18.104
2023-12-14,18.198
2023-12-19,17.477
2023-12-24,18.103
2023-12-27,18.044
2023-12-29,18.04
2024-01-03,18.444
2024-01-04,17.171
2024-01-08,17.502
2024-01-12,17.499
2024-01-13,17.775
2024-01-18,17.542
2024-01-20,16.864
2024-01-23,17.494
2024-01-28,17.385
2024-02-02,17.414
2024-02-05,16.112
2024-02-07,17.412
2024-02-12,17.232
2024-02-13,17.203
