date,area (km2)
2017-07-16,
2017-07-20,5.782
2017-07-21,6.016
2017-07-31,6.185
2017-08-05,5.822
2017-08-15,5.782
2017-08-20,5.782
2017-08-21,5.782
2017-08-30,5.862
2017-09-06,5.777
2017-09-09,5.782
2017-09-14,6.646
2017-09-19,6.3
2017-09-22,6.3
2017-09-24,7.211
2017-09-29,5.782
2017-10-04,5.782
2017-10-08,5.742
2017-10-09,6.853
2017-10-14,5.782
2017-10-19,5.923
2017-10-24,6.868
2017-10-29,6.868
2017-11-03,5.782
2017-11-08,7.12
2017-11-09,7.901
2017-11-13,6.294
2017-11-18,5.782
2017-11-23,7.395
2017-11-25,7.395
2017-11-28,6.64
2017-12-03,6.952
2017-12-08,7.078
2017-12-11,5.782
2017-12-13,8.569
2017-12-18,6.52
2017-12-23,6.533
2017-12-27,11.23
2017-12-28,6.668
2018-01-02,6.239
2018-01-07,9.231
2018-01-12,8.145
2018-01-17,5.104
2018-01-22,8.47
2018-01-27,8.376
2018-01-28,8.283
2018-02-06,8.189
2018-02-11,8.137
2018-02-13,8.002
2018-02-16,7.909
2018-02-21,7.816
2018-02-26,7.722
2018-03-01,7.629
2018-03-03,7.535
2018-03-08,7.482
2018-03-13,7.408
2018-03-17,7.344
2018-03-18,7.275
2018-03-23,7.208
2018-03-28,7.139
2018-04-02,7.076
2018-04-07,7.08
2018-04-12,7.084
2018-04-17,7.088
2018-04-18,7.092
2018-04-22,7.096
2018-04-27,7.1
2018-05-02,7.102
2018-05-04,7.105
2018-05-07,7.108
2018-05-12,7.111
2018-05-17,7.114
2018-05-20,7.117
2018-05-22,7.12
2018-06-01,7.139
2018-06-05,7.15
2018-06-06,7.157
2018-06-11,7.173
2018-06-16,7.184
2018-06-21,7.196
2018-06-26,7.207
2018-07-01,7.214
2018-07-06,7.223
2018-07-07,7.231
2018-07-11,7.239
2018-07-16,7.247
2018-07-23,7.255
2018-07-26,7.264
2018-07-31,7.272
2018-08-05,7.309
2018-08-08,7.32
2018-08-10,7.332
2018-08-15,6.955
2018-08-20,7.354
2018-08-24,7.366
2018-08-25,7.372
2018-08-30,7.388
2018-09-04,7.4
2018-09-09,7.406
2018-09-14,7.415
2018-09-19,7.434
2018-09-24,7.437
2018-09-25,7.443
2018-09-29,7.443
2018-10-04,7.446
2018-10-09,7.449
2018-10-11,7.453
2018-10-14,7.456
2018-10-19,7.458
2018-10-24,7.46
2018-10-27,7.462
2018-10-29,7.468
2018-11-03,7.472
2018-11-08,7.475
2018-11-12,7.478
2018-11-18,7.48
2018-11-23,7.484
2018-11-28,7.487
2018-12-03,7.49
2018-12-08,7.494
2018-12-13,7.497
2018-12-14,7.131
2018-12-18,7.503
2018-12-23,7.32
2018-12-28,7.509
2018-12-30,7.418
2019-01-02,7.516
2019-01-07,7.519
2019-01-12,7.522
2019-01-15,7.525
2019-01-17,7.528
2019-01-22,7.53
2019-01-27,7.359
2019-01-31,7.328
2019-02-01,7.286
2019-02-06,7.249
2019-02-11,7.209
2019-02-16,7.17
2019-02-21,7.131
2019-02-26,7.091
2019-03-03,7.051
2019-03-04,7.011
2019-03-08,6.971
2019-03-13,6.931
2019-03-18,6.891
2019-03-20,6.85
2019-03-23,6.814
2019-03-28,6.781
2019-04-02,6.746
2019-04-05,6.712
2019-04-07,6.677
2019-04-12,6.642
2019-04-17,6.607
2019-04-21,6.572
2019-04-22,6.537
2019-04-27,6.501
2019-05-02,6.466
2019-05-07,6.43
2019-05-12,6.394
2019-05-17,6.357
2019-05-22,6.321
2019-05-23,6.35
2019-05-27,6.411
2019-06-01,6.455
2019-06-06,6.507
2019-06-08,6.554
2019-06-11,6.603
2019-06-16,6.651
2019-06-21,6.699
2019-06-24,6.747
2019-07-21,6.794
2019-07-26,6.841
2019-07-31,6.888
2019-08-05,6.934
2019-08-10,6.98
2019-08-15,7.026
2019-08-20,7.072
2019-08-25,7.117
2019-08-27,7.162
2019-08-30,7.207
2019-09-04,7.251
2019-09-09,7.296
2019-09-14,7.34
2019-09-19,7.384
2019-09-24,7.396
2019-09-28,7.393
2019-09-29,7.398
2019-10-04,7.399
2019-10-09,7.402
2019-10-14,7.404
2019-10-19,7.406
2019-10-24,7.408
2019-10-29,7.41
2019-10-30,7.412
2019-11-03,7.415
2019-11-08,7.417
2019-11-13,7.419
2019-11-15,7.421
2019-11-18,7.423
2019-11-23,7.425
2019-11-28,7.427
2019-12-03,7.428
2019-12-08,7.43
2019-12-13,7.432
2019-12-17,7.434
2019-12-18,7.435
2019-12-23,7.437
2019-12-28,7.439
2020-01-02,7.441
2020-01-07,7.442
2020-01-12,7.444
2020-01-17,7.446
2020-01-18,7.436
2020-01-22,7.42
2020-01-27,7.407
2020-02-01,7.393
2020-02-03,7.379
2020-02-06,7.365
2020-02-11,7.351
2020-02-16,7.337
2020-02-19,7.323
2020-02-21,7.309
2020-02-26,7.295
2020-03-02,7.281
2020-03-06,7.267
2020-03-07,7.252
2020-03-12,7.238
2020-03-17,7.224
2020-03-22,7.201
2020-03-27,7.173
2020-04-01,7.148
2020-04-06,7.121
2020-04-07,7.095
2020-04-11,7.069
2020-04-16,7.042
2020-04-21,7.016
2020-04-23,6.989
2020-04-26,6.962
2020-05-01,6.935
2020-05-06,6.908
2020-05-09,6.881
2020-05-11,6.854
2020-05-16,6.827
2020-05-21,6.849
2020-05-25,6.895
2020-05-26,6.928
2020-05-31,6.967
2020-06-05,7.004
2020-06-10,7.041
2020-06-15,7.078
2020-06-20,7.114
2020-06-25,7.151
2020-06-26,7.187
2020-06-30,7.223
2020-07-05,7.26
2020-07-10,7.295
2020-07-12,7.331
2020-07-15,7.338
2020-07-20,7.33
2020-07-25,7.33
2020-07-28,7.326
2020-07-30,7.324
2020-08-04,7.32
2020-08-09,7.318
2020-08-13,7.315
2020-08-14,7.312
2020-08-19,7.309
2020-08-24,7.306
2020-08-29,7.303
2020-09-03,7.301
2020-09-08,7.32
2020-09-13,7.316
2020-09-18,7.312
2020-09-23,7.307
2020-09-28,7.303
2020-09-30,7.299
2020-10-03,7.296
2020-10-08,7.293
2020-10-13,7.29
2020-10-16,7.287
2020-10-18,7.283
2020-10-23,7.28
2020-10-28,7.277
2020-11-01,7.274
2020-11-02,7.271
2020-11-07,7.268
2020-11-12,7.264
2020-11-17,7.279
2020-11-22,7.301
2020-11-27,7.32
2020-12-02,7.34
2020-12-03,7.359
2020-12-07,7.379
2020-12-12,7.399
2020-12-17,7.418
2020-12-19,7.438
2020-12-22,7.457
2020-12-27,7.477
2021-01-01,7.496
2021-01-04,7.515
2021-01-06,7.535
2021-01-11,7.554
2021-01-16,7.556
2021-01-20,7.55
2021-01-21,7.549
2021-01-26,7.545
2021-01-31,7.542
2021-02-05,7.539
2021-02-10,7.536
2021-02-15,7.533
2021-02-20,7.53
2021-02-21,7.526
2021-02-25,7.523
2021-03-02,7.52
2021-03-07,7.517
2021-03-09,7.514
2021-03-12,7.494
2021-03-17,7.467
2021-03-22,7.443
2021-03-25,7.417
2021-03-27,7.392
2021-04-01,7.366
2021-04-06,7.34
2021-04-10,7.315
2021-04-11,7.289
2021-04-16,7.263
2021-04-21,7.237
2021-04-26,7.211
2021-05-01,7.185
2021-05-06,7.159
2021-05-11,7.133
2021-05-12,7.133
2021-05-16,7.146
2021-05-21,7.153
2021-05-26,7.162
2021-05-28,7.17
2021-05-31,7.179
2021-06-05,7.188
2021-06-10,7.197
2021-06-15,7.205
