date,area (km2)
2017-07-29,1.981
2017-08-02,1.634
2017-08-14,2.012
2017-08-17,2.037
2017-08-30,2.062
2017-09-06,2.078
2017-09-11,2.03
2017-09-15,2.138
2017-09-26,2.111
2017-10-01,2.188
2017-10-16,2.187
2017-10-17,2.186
2017-10-21,2.184
2017-11-02,2.183
2017-11-05,2.181
2017-11-10,2.18
2017-11-18,2.179
2017-11-25,2.178
2017-11-30,2.171
2017-12-04,2.161
2017-12-05,2.164
2017-12-15,2.171
2017-12-20,2.185
2017-12-25,2.186
2018-01-04,2.194
2018-01-05,2.208
2018-01-14,2.204
2018-01-21,2.201
2018-01-24,2.197
2018-01-29,2.193
2018-02-03,2.191
2018-02-06,2.191
2018-02-08,2.139
2018-02-13,2.113
2018-02-18,2.129
2018-02-22,2.209
2018-02-23,1.911
2018-02-28,2.037
2018-03-05,1.928
2018-03-10,2.02
2018-03-15,1.925
2018-03-20,1.925
2018-03-25,1.877
2018-03-26,1.83
2018-03-30,1.783
2018-04-04,1.755
2018-04-09,1.755
2018-04-11,1.777
2018-04-14,1.696
2018-04-19,1.738
2018-04-24,1.616
2018-04-27,1.66
2018-04-29,1.616
2018-05-09,1.621
2018-05-13,1.601
2018-05-14,1.594
2018-05-19,1.58
2018-05-24,1.57
2018-05-29,1.558
2018-06-03,1.546
2018-06-08,1.612
2018-06-13,1.612
2018-06-14,1.649
2018-06-18,1.693
2018-06-23,1.708
2018-06-28,1.737
2018-06-30,1.759
2018-07-03,1.784
2018-07-08,1.807
2018-07-13,1.831
2018-07-18,1.854
2018-07-23,1.878
2018-07-28,1.901
2018-08-01,1.924
2018-08-02,1.922
2018-08-07,1.908
2018-08-12,1.9
2018-08-17,1.889
2018-08-22,1.88
2018-08-27,1.869
2018-09-01,1.859
2018-09-02,1.881
2018-09-06,1.919
2018-09-11,1.927
2018-09-21,1.927
2018-09-26,1.931
2018-10-01,1.932
2018-10-04,1.934
2018-10-06,1.934
2018-10-11,1.935
2018-10-16,1.936
2018-10-20,1.937
2018-10-21,1.938
2018-10-26,1.937
2018-10-31,1.951
2018-11-05,1.951
2018-11-10,1.922
2018-11-15,1.935
2018-11-20,1.927
2018-11-21,1.93
2018-11-25,1.927
2018-11-30,1.927
2018-12-07,1.926
2018-12-10,1.922
2018-12-15,1.991
2018-12-20,1.992
2018-12-23,1.993
2018-12-25,1.995
2018-12-30,1.996
2019-01-04,1.997
2019-01-08,1.999
2019-01-09,1.892
2019-01-14,1.947
2019-01-19,1.993
2019-01-24,1.886
2019-01-29,1.941
2019-02-03,1.773
2019-02-08,1.826
2019-02-09,1.805
2019-02-13,1.784
2019-02-18,1.762
2019-02-23,1.741
2019-02-25,1.719
2019-02-28,1.707
2019-03-05,1.701
2019-03-10,1.692
2019-03-13,1.684
2019-03-15,1.676
2019-03-20,1.667
2019-03-25,1.659
2019-03-29,1.651
2019-03-30,1.642
2019-04-04,1.634
2019-04-09,1.626
2019-04-14,1.617
2019-04-19,1.609
2019-04-24,1.612
2019-04-29,1.598
2019-04-30,1.584
2019-05-04,1.562
2019-05-09,1.544
2019-05-14,1.523
2019-05-16,1.504
2019-05-19,1.484
2019-05-24,1.464
2019-05-29,1.444
2019-06-01,1.423
2019-06-03,1.403
2019-06-08,1.382
2019-06-13,1.362
2019-06-17,1.341
2019-06-18,1.348
2019-06-23,1.36
2019-06-28,1.388
2019-07-03,1.407
2019-07-08,1.431
2019-07-13,1.451
2019-07-18,1.473
2019-07-19,1.493
2019-07-23,1.514
2019-07-28,1.534
2019-08-02,1.554
2019-08-04,1.574
2019-08-07,1.594
2019-08-12,1.613
2019-08-17,1.632
2019-08-20,1.651
2019-08-22,1.67
2019-08-27,1.688
2019-09-01,1.707
2019-09-05,1.725
2019-09-06,1.743
2019-09-11,1.761
2019-09-16,1.778
2019-09-21,1.796
2019-09-26,1.813
2019-10-01,1.831
2019-10-06,1.848
2019-10-07,1.865
2019-10-11,1.881
2019-10-16,1.898
2019-10-21,1.915
2019-10-23,1.931
2019-10-26,1.948
2019-10-31,1.964
2019-11-05,1.98
2019-11-08,1.996
2019-11-10,2.012
2019-11-15,2.02
2019-11-20,2.024
2019-11-24,2.03
2019-11-25,2.032
2019-11-30,2.033
2019-12-05,2.034
2019-12-10,2.035
2019-12-15,2.036
2019-12-20,2.037
2019-12-25,2.038
2019-12-26,2.039
2019-12-30,2.04
2020-01-04,2.043
2020-01-09,2.047
2020-01-11,2.051
2020-01-14,2.055
2020-01-19,2.059
2020-01-24,2.063
2020-01-27,2.062
2020-01-29,2.058
2020-02-03,2.056
2020-02-08,2.053
2020-02-12,2.05
2020-02-13,2.047
2020-02-18,2.038
2020-02-23,2.027
2020-02-28,2.017
2020-03-04,2.007
2020-03-09,1.996
2020-03-14,1.986
2020-03-15,1.975
2020-03-19,1.964
2020-03-24,1.954
2020-03-29,1.909
2020-03-31,1.847
2020-04-03,1.791
2020-04-08,1.776
2020-04-13,1.782
2020-04-16,1.777
2020-04-18,1.778
2020-04-23,1.776
2020-04-28,1.775
2020-05-02,1.773
2020-05-03,1.772
2020-05-08,1.771
2020-05-13,1.77
2020-05-18,1.769
2020-05-23,1.768
2020-05-28,1.753
2020-06-02,1.73
2020-06-03,1.712
2020-06-07,1.691
2020-06-12,1.67
2020-06-17,1.649
2020-06-19,1.629
2020-06-22,1.607
2020-06-27,1.586
2020-07-02,1.564
2020-07-05,1.542
2020-07-07,1.519
2020-07-12,1.522
2020-07-17,1.536
2020-07-21,1.544
2020-07-22,1.595
2020-07-27,1.664
2020-08-01,1.72
2020-08-06,1.78
2020-08-11,1.835
2020-08-16,1.891
2020-08-21,1.944
2020-08-22,1.997
2020-08-26,2.048
2020-08-31,2.06
2020-09-05,2.049
2020-09-07,2.05
2020-09-10,2.045
2020-09-15,2.043
2020-09-20,2.039
2020-09-23,2.039
2020-09-25,2.039
2020-09-30,2.039
2020-10-05,2.039
2020-10-09,2.039
2020-10-10,2.039
2020-10-15,2.038
2020-10-20,2.037
2020-10-25,2.035
2020-10-30,2.034
2020-11-04,2.032
2020-11-09,2.031
2020-11-10,2.029
2020-11-14,2.028
2020-11-19,2.026
2020-11-24,2.029
2020-11-26,2.035
2020-11-29,2.039
2020-12-04,2.042
2020-12-09,2.043
2020-12-12,2.044
2020-12-14,2.046
2020-12-19,2.047
2020-12-24,2.049
2020-12-28,2.05
2020-12-29,2.052
2021-01-03,2.053
2021-01-08,2.054
2021-01-13,2.056
2021-01-18,2.057
2021-01-23,2.051
2021-01-28,2.041
2021-01-29,2.033
2021-02-02,2.024
2021-02-07,2.016
2021-02-12,2.007
2021-02-14,1.999
2021-02-17,1.99
2021-02-22,1.981
2021-02-27,1.972
2021-03-02,1.963
2021-03-04,1.954
2021-03-09,1.952
2021-03-14,1.952
2021-03-18,1.951
2021-03-19,1.953
2021-03-24,1.956
2021-03-29,1.959
2021-04-03,1.962
2021-04-08,1.965
2021-04-13,1.967
2021-04-18,1.97
2021-04-19,1.973
2021-04-23,1.976
2021-04-28,1.983
2021-05-03,1.993
2021-05-05,2.001
2021-05-08,2.01
2021-05-13,2.019
2021-05-18,2.028
2021-05-21,2.018
2021-05-23,1.998
2021-05-28,1.983
2021-06-02,1.965
2021-06-06,1.948
2021-06-07,1.931
2021-06-12,1.918
2021-06-17,1.906
2021-06-22,1.893
2021-06-27,1.881
2021-07-02,1.868
2021-07-07,1.855
2021-07-08,1.843
2021-07-12,1.83
2021-07-17,1.817
2021-07-22,1.848
2021-07-24,1.898
2021-07-27,1.938
2021-08-01,1.954
2021-08-06,1.953
2021-08-09,1.961
2021-08-11,1.964
2021-08-16,1.969
2021-08-21,1.973
2021-08-25,1.978
2021-08-26,1.983
2021-08-31,1.987
2021-09-05,1.992
2021-09-10,1.996
2021-09-15,2.001
2021-09-20,2.005
2021-09-25,2.008
2021-09-26,2.011
2021-09-30,2.014
2021-10-05,2.018
2021-10-10,2.021
2021-10-12,2.024
2021-10-15,2.028
2021-10-20,2.031
2021-10-25,2.034
2021-10-28,2.037
2021-10-30,2.041
2021-11-04,2.045
2021-11-09,2.05
2021-11-14,2.054
2021-11-29,2.053
2021-12-14,2.048
2021-12-15,2.044
2021-12-19,2.04
2021-12-24,2.04
2021-12-29,2.041
2021-12-31,2.042
2022-01-03,2.043
2022-01-08,2.043
2022-01-13,2.044
2022-01-16,2.036
2022-01-18,2.024
2022-01-23,2.013
2022-01-28,2.002
2022-02-01,1.99
2022-02-02,1.979
2022-02-07,1.955
2022-02-12,1.925
2022-02-17,1.861
2022-02-22,1.821
2022-02-27,1.782
2022-03-04,1.743
2022-03-05,1.721
2022-03-09,1.689
2022-03-14,1.661
2022-03-19,1.663
2022-03-21,1.679
2022-03-24,1.688
2022-03-29,1.699
2022-04-03,1.707
2022-04-06,1.716
2022-04-08,1.725
2022-04-13,1.734
2022-04-18,1.742
2022-04-22,1.751
2022-04-23,1.76
2022-04-28,1.768
2022-05-03,1.777
2022-05-08,1.786
2022-05-13,1.794
2022-05-18,1.797
2022-05-23,1.797
2022-05-24,1.798
2022-05-28,1.799
2022-06-02,1.8
2022-06-07,1.8
2022-06-09,1.801
2022-06-12,1.802
2022-06-17,1.803
2022-06-22,1.804
2022-06-27,1.805
2022-07-02,1.806
2022-07-07,1.806
2022-07-11,1.807
2022-07-12,1.82
2022-07-17,1.838
2022-07-22,1.853
2022-07-27,1.869
2022-08-01,1.885
2022-08-06,1.9
2022-08-11,1.916
2022-08-12,1.931
2022-08-16,1.947
2022-08-21,1.953
2022-08-26,1.955
2022-08-28,1.96
2022-08-31,1.963
2022-09-05,1.967
2022-09-10,1.97
2022-09-13,1.972
2022-09-15,1.973
2022-09-20,1.974
2022-09-25,1.975
2022-09-29,1.976
2022-09-30,1.977
2022-10-05,1.977
2022-10-10,1.975
2022-10-15,1.974
2022-10-20,1.973
2022-10-25,1.972
2022-10-30,1.971
2022-10-31,1.97
2022-11-04,1.969
2022-11-09,1.968
2022-11-14,1.968
2022-11-16,1.968
2022-11-19,1.968
2022-11-24,1.967
2022-11-29,1.966
2022-12-02,1.965
2022-12-04,1.963
2022-12-09,1.962
2022-12-14,1.961
2022-12-18,1.96
2022-12-19,1.958
2022-12-24,1.957
2022-12-29,1.956
2023-01-03,1.955
2023-01-08,1.953
2023-01-13,1.948
2023-01-18,1.94
2023-01-19,1.934
2023-01-23,1.927
2023-01-28,1.92
2023-02-02,1.914
2023-02-04,1.907
2023-02-07,1.9
2023-02-12,1.893
2023-02-17,1.886
2023-02-20,1.879
2023-02-22,1.872
2023-02-27,1.878
2023-03-04,1.891
2023-03-08,1.851
2023-03-09,1.875
2023-03-14,1.855
2023-03-19,1.857
2023-03-24,1.848
2023-03-29,1.845
2023-04-03,1.838
2023-04-08,1.833
2023-04-09,1.828
2023-04-13,1.823
2023-04-18,1.807
2023-04-23,1.786
2023-04-25,1.767
2023-04-28,1.747
2023-05-03,1.728
2023-05-08,1.708
2023-05-11,1.692
2023-05-13,1.679
2023-05-18,1.665
2023-05-23,1.651
2023-05-27,1.637
2023-05-28,1.623
2023-06-02,1.604
2023-06-07,1.583
2023-06-12,1.562
2023-06-17,1.54
2023-06-22,1.519
2023-06-27,1.497
2023-06-28,1.475
2023-07-02,1.452
2023-07-07,1.429
2023-07-12,1.502
2023-07-14,1.614
2023-07-17,1.697
2023-07-22,1.721
2023-07-27,1.698
2023-07-28,1.698
2023-07-30,1.686
2023-08-01,1.68
2023-08-06,1.671
2023-08-11,1.663
2023-08-13,1.655
2023-08-16,1.647
2023-08-21,1.639
2023-08-26,1.631
2023-08-27,1.623
2023-08-29,1.615
2023-08-31,1.606
2023-09-05,1.598
2023-09-10,1.635
2023-09-12,1.693
2023-09-15,1.739
2023-09-20,1.767
2023-09-25,1.78
2023-09-28,1.8
2023-09-30,1.816
2023-10-05,1.834
2023-10-10,1.851
2023-10-14,1.869
2023-10-15,1.886
2023-10-20,1.903
2023-10-25,1.919
2023-10-30,1.936
2023-11-04,1.953
2023-11-09,1.957
2023-11-14,1.976
2023-11-17,1.977
2023-11-19,1.976
2023-11-24,1.972
2023-11-25,1.971
2023-11-29,1.995
2023-12-03,1.99
2023-12-04,2.018
2023-12-09,2.041
2023-12-11,2.041
2023-12-14,2.064
2023-12-19,2.051
2023-12-24,2.063
2023-12-27,2.045
2023-12-29,2.051
2024-01-03,2.038
2024-01-04,1.731
2024-01-08,2.065
2024-01-12,2.075
2024-01-13,2.098
2024-01-18,2.086
2024-01-20,1.765
2024-01-23,2.083
2024-01-28,2.05
2024-02-02,1.819
2024-02-05,1.799
2024-02-07,1.755
2024-02-12,1.746
2024-02-13,1.74
2024-02-17,1.676
2024-02-21,1.649
2024-02-22,1.618
2024-02-27,1.567
