elevation,area
719,0.001
720,0.001
721,0.003
722,0.004
723,0.011
724,0.026
725,0.062
726,0.138
727,0.552
728,0.895
729,1.33
730,1.875
731,2.489
732,3.088
733,3.714
734,4.267
735,4.776
736,5.245
737,5.725
738,6.169
739,6.643
740,7.15
741,7.62
742,8.059
743,8.565
744,9.092
745,9.605
746,10.087
747,10.542
748,11.028
749,11.468
750,11.901
751,12.34
752,12.781
753,13.193
754,13.622
755,14.049
756,14.474
757,14.845
758,15.22
759,15.6
760,16.015
761,16.462
762,16.84
763,17.237
764,17.633
765,18.021
766,18.42
767,18.839
768,19.187
769,19.585
770,19.97
771,20.344
772,20.741
773,21.118
774,21.445
775,21.822
776,22.154
777,22.474
778,22.84
779,23.149
780,23.459
781,23.762
782,24.078
783,24.385
784,24.697
785,24.995
786,25.314
787,25.578
788,25.862
789,26.147
790,26.408
791,26.683
792,26.982
793,27.265
794,27.57
795,27.849
796,28.124
797,28.417
798,28.716
799,29.005
800,29.271
801,29.518
802,29.797
803,30.06
804,30.341
805,30.573
806,30.818
807,31.07
808,31.284
809,31.496
810,31.678
811,31.898
812,32.111
813,32.304
814,32.495
815,32.669
816,32.838
817,33.005
818,33.155
819,33.322
820,33.478
821,33.62
822,33.751
823,33.89
824,34.009
825,34.161
826,34.284
827,34.397
828,34.517
829,34.637
830,34.743
831,34.863
832,34.969
833,35.092
834,35.213
835,35.334
836,35.457
837,35.555
838,35.645
839,35.756
840,35.851
841,35.938
842,36.029
843,36.125
844,36.208
845,36.281
846,36.366
847,36.437
848,36.511
849,36.584
850,36.648
851,36.708
852,36.779
853,36.846
854,36.905
855,36.952
856,37.029
857,37.075
858,37.146
859,37.212
860,37.27
861,37.323
862,37.375
863,37.425
864,37.484
865,37.529
866,37.563
867,37.612
868,37.67
869,37.726
870,37.768
871,37.813
872,37.855
873,37.896
874,37.936
875,37.982
876,38.012
877,38.064
878,38.093
879,38.136
880,38.175
881,38.207
882,38.238
883,38.273
884,38.307
885,38.345
886,38.373
887,38.415
888,38.449
889,38.475
890,38.514
891,38.551
892,38.573
893,38.598
894,38.626
895,38.65
896,38.673
897,38.696
898,38.71
899,38.736
900,38.763
901,38.783
902,38.803
903,38.822
904,38.836
905,38.85
906,38.861
907,38.878
908,38.887
909,38.904
910,38.924
911,38.938
912,38.955
913,38.969
914,38.984
915,38.992
916,39.003
917,39.023
918,39.036
919,39.045
920,39.054
921,39.065
922,39.07
923,39.076
924,39.089
925,39.097
926,39.111
927,39.119
928,39.124
929,39.134
930,39.142
931,39.154
932,39.162
933,39.167
934,39.172
935,39.178
936,39.192
937,39.203
938,39.207
939,39.21
940,39.218
941,39.223
942,39.227
943,39.238
944,39.246
945,39.25
946,39.258
947,39.263
948,39.267
949,39.27
950,39.273
951,39.278
952,39.289
953,39.297
954,39.301
955,39.305
956,39.309
957,39.311
958,39.316
959,39.324
960,39.326
961,39.331
962,39.334
963,39.339
964,39.343
965,39.346
966,39.347
967,39.351
968,39.354
969,39.358
970,39.36
971,39.363
972,39.368
973,39.372
974,39.376
975,39.378
976,39.383
977,39.387
978,39.393
979,39.398
980,39.399
981,39.404
982,39.407
983,39.41
984,39.414
985,39.416
986,39.416
987,39.421
988,39.428
989,39.433
990,39.439
991,39.44
992,39.446
993,39.449
994,39.45
995,39.455
996,39.458
997,39.46
998,39.463
999,39.468
1000,39.469
1001,39.469
1002,39.473
1003,39.475
1004,39.477
1005,39.478
1006,39.48
1007,39.484
1008,39.486
1009,39.488
1010,39.49
1011,39.491
1012,39.494
1013,39.496
1014,39.497
1015,39.501
1016,39.501
1017,39.503
1018,39.504
1019,39.507
1020,39.509
1021,39.511
1022,39.511
1023,39.511
1024,39.513
1025,39.515
1026,39.519
1027,39.52
1028,39.524
1029,39.524
1030,39.524
1031,39.525
1032,39.527
1033,39.529
1034,39.53
1035,39.53
1036,39.53
1037,39.533
1038,39.534
1039,39.537
1040,39.537
1041,39.538
1042,39.539
1043,39.54
1044,39.541
1045,39.541
1046,39.541
1047,39.543
1048,39.544
1049,39.546
1050,39.546
1051,39.548
1052,39.549
1053,39.549
1054,39.55
1055,39.552
1056,39.553
1057,39.553
1058,39.553
1059,39.553
1060,39.554
1061,39.554
1062,39.554
1063,39.556
