elevation,area
33,0.001
34,0.006
35,0.009
36,0.014
37,0.02
38,0.023
39,0.029
40,0.04
41,0.048
42,0.058
43,0.066
44,0.075
45,0.082
46,0.087
47,0.095
48,0.108
49,0.118
50,0.136
51,0.152
52,0.168
53,0.182
54,0.201
55,0.211
56,0.232
57,0.254
58,0.283
59,0.304
60,0.334
61,0.365
62,0.403
63,0.445
64,0.496
65,0.556
66,6.06
67,6.386
68,6.57
69,6.748
70,6.922
71,7.117
72,7.29
73,7.493
74,7.671
75,7.846
76,8.023
77,8.199
78,8.353
79,8.518
80,8.687
81,8.83
82,8.996
83,9.151
84,9.304
85,9.455
86,9.592
87,9.73
88,9.862
89,9.992
90,10.137
91,10.283
92,10.426
93,10.586
94,10.716
95,10.863
96,11.01
97,11.17
98,11.314
99,11.478
100,11.641
101,11.818
102,11.964
103,12.126
104,12.309
105,12.471
106,12.656
107,12.811
108,13.016
109,13.178
110,13.353
111,13.522
112,13.724
113,13.907
114,14.064
115,14.271
116,14.449
117,14.604
118,14.772
119,14.968
120,15.147
121,15.297
122,15.445
123,15.617
124,15.786
125,15.917
126,16.066
127,16.208
128,16.361
129,16.52
130,16.656
131,16.81
132,16.949
133,17.11
134,17.26
135,17.425
136,17.553
137,17.707
138,17.852
139,17.986
140,18.124
141,18.256
142,18.375
143,18.506
144,18.641
145,18.783
146,18.905
147,19.023
148,19.154
149,19.288
150,19.417
151,19.519
152,19.646
153,19.748
154,19.854
155,19.96
156,20.075
157,20.172
158,20.27
159,20.381
160,20.491
161,20.587
162,20.684
163,20.774
164,20.872
165,20.964
166,21.067
167,21.148
168,21.244
169,21.336
170,21.42
171,21.507
172,21.583
173,21.659
174,21.76
175,21.85
176,21.925
177,22.006
178,22.089
179,22.162
180,22.242
181,22.31
182,22.384
183,22.468
184,22.541
185,22.598
186,22.688
187,22.762
188,22.823
189,22.886
190,22.949
191,23.017
192,23.09
193,23.162
194,23.24
195,23.314
196,23.377
197,23.448
198,23.505
199,23.57
200,23.638
201,23.697
202,23.755
203,23.816
204,23.873
205,23.926
206,23.979
207,24.037
208,24.085
209,24.143
210,24.189
211,24.237
212,24.286
213,24.328
214,24.371
215,24.404
216,24.434
217,24.464
218,24.506
219,24.541
220,24.58
221,24.602
222,24.644
223,24.672
224,24.699
225,24.718
226,24.738
227,24.758
228,24.799
229,24.823
230,24.848
231,24.87
232,24.9
233,24.923
234,24.939
235,24.957
236,24.974
237,24.993
238,25.011
239,25.026
240,25.038
241,25.05
242,25.059
243,25.075
244,25.085
245,25.095
246,25.105
247,25.116
248,25.126
249,25.135
250,25.141
251,25.147
252,25.154
253,25.16
254,25.17
255,25.174
256,25.182
257,25.183
258,25.185
259,25.189
260,25.193
261,25.195
262,25.197
263,25.201
264,25.203
265,25.208
266,25.209
267,25.211
268,25.214
269,25.216
270,25.217
271,25.22
272,25.221
273,25.224
274,25.224
275,25.225
276,25.226
277,25.227
278,25.228
279,25.229
280,25.229
281,25.23
282,25.231
283,25.232
284,25.233
285,25.234
286,25.235
287,25.235
288,25.235
289,25.237
290,25.237
291,25.237
292,25.237
293,25.238
294,25.238
295,25.238
296,25.238
297,25.238
298,25.239
299,25.239
300,25.239
301,25.239
302,25.239
303,25.239
304,25.24
305,25.24
306,25.24
307,25.241
