elevation,area
87,0.001
88,0.004
89,0.008
90,0.016
91,0.044
92,0.093
93,0.15
94,0.21
95,0.283
96,0.36
97,0.423
98,0.486
99,0.572
100,0.708
101,8.659
102,9.265
103,9.953
104,10.816
105,11.875
106,13.004
107,14.233
108,15.369
109,16.485
110,17.587
111,18.632
112,19.674
113,20.594
114,21.503
115,22.357
116,23.164
117,23.915
118,24.69
119,25.413
120,26.188
121,26.936
122,27.644
123,28.368
124,28.988
125,29.607
126,30.17
127,30.735
128,31.263
129,31.763
130,32.246
131,32.673
132,33.127
133,33.537
134,33.932
135,34.283
136,34.668
137,35.059
138,35.401
139,35.695
140,35.964
141,36.219
142,36.455
143,36.65
144,36.831
145,37.006
146,37.157
147,37.329
148,37.471
149,37.597
150,37.719
151,37.827
152,37.933
153,38.027
154,38.117
155,38.21
156,38.301
157,38.379
158,38.468
159,38.534
160,38.6
161,38.673
162,38.733
163,38.798
164,38.852
165,38.919
166,38.967
167,39.012
168,39.056
169,39.11
170,39.162
171,39.207
172,39.255
173,39.298
174,39.333
175,39.373
176,39.41
177,39.45
178,39.492
179,39.529
180,39.567
181,39.61
182,39.642
183,39.678
184,39.705
185,39.735
186,39.765
187,39.802
188,39.834
189,39.875
190,39.918
191,39.946
192,39.977
193,40.015
194,40.036
195,40.072
196,40.105
197,40.131
198,40.162
199,40.19
200,40.211
201,40.244
202,40.258
203,40.286
204,40.308
205,40.345
206,40.372
207,40.4
208,40.426
209,40.456
210,40.478
211,40.503
212,40.533
213,40.556
214,40.584
215,40.607
216,40.63
217,40.654
218,40.687
219,40.705
220,40.725
221,40.749
222,40.77
223,40.793
224,40.822
225,40.844
226,40.866
227,40.899
228,40.915
229,40.931
230,40.952
231,40.968
232,40.988
233,41.008
234,41.024
235,41.04
236,41.054
237,41.077
238,41.097
239,41.114
240,41.127
241,41.152
242,41.162
243,41.183
244,41.201
245,41.215
246,41.24
247,41.253
248,41.275
249,41.286
250,41.3
251,41.314
252,41.324
253,41.346
254,41.359
255,41.372
256,41.386
257,41.404
258,41.421
259,41.435
260,41.448
261,41.47
262,41.482
263,41.487
264,41.496
265,41.511
266,41.522
267,41.533
268,41.549
269,41.556
270,41.567
271,41.583
272,41.602
273,41.61
274,41.621
275,41.639
276,41.653
277,41.663
278,41.673
279,41.683
280,41.695
281,41.701
282,41.716
283,41.726
284,41.736
285,41.74
286,41.761
287,41.771
288,41.78
289,41.786
290,41.794
291,41.803
292,41.812
293,41.824
294,41.838
295,41.853
296,41.861
297,41.87
298,41.877
299,41.886
300,41.896
301,41.902
302,41.911
303,41.921
304,41.926
305,41.936
306,41.944
307,41.956
308,41.966
309,41.974
310,41.984
311,41.997
312,42.007
313,42.013
314,42.019
315,42.03
316,42.039
317,42.047
318,42.055
319,42.064
320,42.07
321,42.084
322,42.096
323,42.104
324,42.111
325,42.119
326,42.129
327,42.139
328,42.147
329,42.158
330,42.167
331,42.177
332,42.186
333,42.196
334,42.208
335,42.217
336,42.23
337,42.236
338,42.243
339,42.255
340,42.266
341,42.278
342,42.288
343,42.302
344,42.314
345,42.325
346,42.333
347,42.344
348,42.353
349,42.363
350,42.372
351,42.385
352,42.389
353,42.396
354,42.402
355,42.407
356,42.417
357,42.421
358,42.434
359,42.441
360,42.45
361,42.453
362,42.455
363,42.461
364,42.467
365,42.477
366,42.482
367,42.488
368,42.494
369,42.499
370,42.504
371,42.509
372,42.521
373,42.527
374,42.532
375,42.533
376,42.539
377,42.541
378,42.546
379,42.552
380,42.555
381,42.56
382,42.563
383,42.569
384,42.57
385,42.579
386,42.586
387,42.59
388,42.594
389,42.598
390,42.602
391,42.606
392,42.608
393,42.609
394,42.615
395,42.619
396,42.623
397,42.629
398,42.635
399,42.639
400,42.639
401,42.647
402,42.65
403,42.652
404,42.657
405,42.659
406,42.662
407,42.668
408,42.673
409,42.675
410,42.678
411,42.681
412,42.69
413,42.691
414,42.694
415,42.695
416,42.698
417,42.701
418,42.704
419,42.704
420,42.706
421,42.71
422,42.715
423,42.717
424,42.717
425,42.721
426,42.724
427,42.726
428,42.73
429,42.733
430,42.736
431,42.736
432,42.738
433,42.74
434,42.742
435,42.743
436,42.747
437,42.748
438,42.749
439,42.75
440,42.75
441,42.752
442,42.756
443,42.759
444,42.761
445,42.762
446,42.768
447,42.77
448,42.771
449,42.773
450,42.776
451,42.777
452,42.779
453,42.784
454,42.787
455,42.791
456,42.792
457,42.792
458,42.794
459,42.797
460,42.798
461,42.8
462,42.802
463,42.803
464,42.811
465,42.813
466,42.816
467,42.816
468,42.816
469,42.818
470,42.819
471,42.82
472,42.822
473,42.822
474,42.823
475,42.824
476,42.826
477,42.829
478,42.83
479,42.831
480,42.832
481,42.836
482,42.836
483,42.836
484,42.837
485,42.837
486,42.838
487,42.838
488,42.84
489,42.841
490,42.841
491,42.842
