elevation,area
48,0.002
49,0.002
50,0.003
51,0.004
52,0.004
53,0.006
54,0.006
55,0.007
56,0.007
57,0.01
58,0.014
59,0.019
60,0.027
61,0.043
62,0.058
63,0.092
64,0.15
65,0.212
66,0.331
67,0.501
68,0.729
69,0.96
70,1.219
71,1.481
72,1.746
73,1.987
74,2.237
75,2.48
76,2.69
77,2.87
78,3.065
79,3.252
80,3.418
81,3.579
82,3.764
83,3.934
84,4.104
85,4.246
86,4.445
87,4.605
88,4.797
89,4.969
90,5.131
91,5.294
92,5.464
93,5.621
94,5.815
95,5.995
96,6.2
97,6.386
98,6.578
99,6.786
100,6.974
101,7.176
102,7.37
103,7.55
104,7.748
105,7.912
106,8.101
107,8.276
108,8.459
109,8.631
110,8.797
111,8.957
112,9.104
113,9.241
114,9.4
115,9.542
116,9.672
117,9.802
118,9.928
119,10.071
120,10.203
121,10.312
122,10.442
123,10.551
124,10.661
125,10.774
126,10.859
127,10.972
128,11.062
129,11.149
130,11.226
131,11.292
132,11.353
133,11.402
134,11.455
135,11.506
136,11.567
137,11.613
138,11.655
139,11.697
140,11.738
141,11.778
142,11.805
143,11.837
144,11.875
145,11.911
146,11.932
147,11.963
148,11.985
149,12.007
150,12.026
151,12.044
152,12.062
153,12.085
154,12.096
155,12.109
156,12.125
157,12.142
158,12.155
159,12.17
160,12.18
161,12.188
162,12.194
163,12.204
164,12.208
165,12.214
166,12.221
167,12.224
168,12.229
169,12.233
170,12.236
171,12.242
172,12.245
173,12.247
174,12.252
175,12.253
176,12.256
177,12.26
178,12.263
179,12.265
180,12.265
181,12.266
182,12.267
183,12.268
184,12.268
185,12.269
