elevation,area
24,0.003
25,0.007
26,0.011
27,0.029
28,0.062
29,0.087
30,0.129
31,0.176
32,0.236
33,0.291
34,0.349
35,0.413
36,0.497
37,0.566
38,0.659
39,0.763
40,0.872
41,0.992
42,1.112
43,1.244
44,1.408
45,1.573
46,1.839
47,7.561
48,8.545
49,9.201
50,9.972
51,10.79
52,11.596
53,12.44
54,13.227
55,14.07
56,14.91
57,15.701
58,16.462
59,17.205
60,17.952
61,18.722
62,19.426
63,20.161
64,20.849
65,21.5
66,22.11
67,22.724
68,23.316
69,23.868
70,24.415
71,25.002
72,25.548
73,26.065
74,26.574
75,27.069
76,27.557
77,28.003
78,28.429
79,28.831
80,29.186
81,29.553
82,29.892
83,30.219
84,30.505
85,30.829
86,31.089
87,31.373
88,31.627
89,31.895
90,32.146
91,32.362
92,32.564
93,32.762
94,32.922
95,33.122
96,33.279
97,33.433
98,33.598
99,33.728
100,33.885
101,34.049
102,34.192
103,34.344
104,34.485
105,34.627
106,34.753
107,34.884
108,34.994
109,35.119
110,35.243
111,35.362
112,35.488
113,35.6
114,35.697
115,35.775
116,35.878
117,35.963
118,36.057
119,36.143
120,36.213
121,36.293
122,36.368
123,36.439
124,36.506
125,36.578
126,36.64
127,36.707
128,36.767
129,36.812
130,36.871
131,36.931
132,36.987
133,37.037
134,37.075
135,37.125
136,37.167
137,37.228
138,37.28
139,37.314
140,37.344
141,37.387
142,37.42
143,37.466
144,37.496
145,37.531
146,37.553
147,37.596
148,37.632
149,37.673
150,37.702
151,37.737
152,37.765
153,37.798
154,37.822
155,37.85
156,37.874
157,37.899
158,37.93
159,37.953
160,37.984
161,38.011
162,38.03
163,38.056
164,38.077
165,38.101
166,38.123
167,38.148
168,38.174
169,38.186
170,38.202
171,38.221
172,38.249
173,38.266
174,38.285
175,38.302
176,38.317
177,38.336
178,38.348
179,38.363
180,38.384
181,38.396
182,38.416
183,38.437
184,38.452
185,38.463
186,38.473
187,38.487
188,38.5
189,38.511
190,38.528
191,38.541
192,38.549
193,38.554
194,38.564
195,38.569
196,38.58
197,38.593
198,38.604
199,38.612
200,38.629
201,38.634
202,38.644
203,38.649
204,38.657
205,38.659
206,38.664
207,38.674
208,38.68
209,38.686
210,38.687
211,38.694
212,38.698
213,38.707
214,38.712
215,38.722
216,38.724
217,38.727
218,38.729
219,38.732
220,38.736
221,38.741
222,38.745
223,38.748
224,38.752
225,38.752
226,38.758
227,38.761
228,38.764
229,38.768
230,38.772
231,38.777
232,38.779
233,38.781
234,38.785
235,38.786
236,38.787
237,38.791
238,38.793
239,38.796
240,38.8
241,38.801
242,38.804
243,38.807
244,38.811
245,38.811
246,38.811
247,38.812
248,38.814
249,38.814
250,38.815
251,38.817
252,38.817
253,38.818
254,38.818
255,38.818
256,38.82
257,38.822
258,38.822
259,38.826
260,38.826
261,38.826
262,38.827
263,38.827
264,38.827
265,38.827
266,38.828
267,38.829
268,38.829
269,38.83
270,38.831
271,38.833
272,38.834
273,38.834
274,38.834
275,38.834
276,38.834
277,38.835
278,38.837
279,38.838
280,38.838
281,38.838
282,38.838
283,38.838
284,38.841
285,38.841
286,38.841
287,38.842
288,38.842
289,38.844
290,38.844
291,38.844
292,38.844
293,38.844
294,38.844
295,38.844
296,38.845
297,38.847
298,38.847
299,38.847
300,38.847
301,38.847
302,38.847
303,38.847
304,38.847
305,38.847
306,38.849
307,38.849
308,38.849
309,38.849
310,38.849
311,38.849
312,38.849
313,38.849
314,38.849
315,38.849
316,38.85
