elevation,area
605,0.001
606,0.002
607,0.002
608,0.002
609,0.002
610,0.002
611,0.003
612,0.003
613,0.004
614,0.005
615,0.006
616,0.007
617,0.008
618,0.009
619,0.01
620,0.011
621,0.011
622,0.012
623,0.013
624,0.014
625,0.018
626,0.019
627,0.021
628,0.021
629,0.021
630,0.023
631,0.026
632,0.027
633,0.028
634,0.03
635,0.03
636,0.035
637,0.037
638,0.043
639,0.043
640,0.048
641,0.054
642,0.056
643,0.06
644,0.06
645,0.067
646,0.069
647,0.073
648,0.077
649,0.082
650,0.085
651,0.093
652,0.097
653,0.105
654,0.109
655,0.116
656,0.12
657,0.125
658,0.129
659,0.131
660,0.136
661,0.141
662,0.148
663,0.154
664,0.156
665,0.166
666,0.166
667,0.169
668,0.171
669,0.176
670,0.179
671,0.182
672,0.187
673,0.19
674,0.197
675,0.201
676,0.207
677,0.21
678,0.214
679,0.216
680,0.222
681,0.229
682,0.235
683,0.237
684,0.245
685,0.251
686,0.257
687,0.26
688,0.264
689,0.27
690,0.275
691,0.287
692,0.303
693,0.318
694,1.903
695,2.016
696,2.07
697,2.121
698,2.186
699,2.249
700,2.328
701,2.394
702,2.463
703,2.54
704,2.622
705,2.71
706,2.802
707,2.891
708,2.975
709,3.093
710,3.189
711,3.308
712,3.414
713,3.51
714,3.6
715,3.726
716,3.83
717,3.958
718,4.052
719,4.163
720,4.287
721,4.377
722,4.49
723,4.589
724,4.701
725,4.817
726,4.906
727,5.008
728,5.109
729,5.213
730,5.305
731,5.415
732,5.516
733,5.631
734,5.739
735,5.83
736,5.938
737,6.014
738,6.096
739,6.188
740,6.287
741,6.375
742,6.482
743,6.577
744,6.692
745,6.781
746,6.858
747,6.934
748,7.018
749,7.1
750,7.179
751,7.257
752,7.347
753,7.446
754,7.508
755,7.582
756,7.675
757,7.738
758,7.816
759,7.892
760,7.961
761,8.025
762,8.114
763,8.19
764,8.259
765,8.328
766,8.385
767,8.457
768,8.513
769,8.587
770,8.648
771,8.717
772,8.792
773,8.856
774,8.927
775,8.997
776,9.07
777,9.121
778,9.181
779,9.233
780,9.301
781,9.362
782,9.423
783,9.482
784,9.546
785,9.6
786,9.658
787,9.718
788,9.762
789,9.818
790,9.879
791,9.935
792,9.986
793,10.032
794,10.092
795,10.146
796,10.193
797,10.245
798,10.289
799,10.327
800,10.363
801,10.401
802,10.444
803,10.477
804,10.509
805,10.546
806,10.589
807,10.618
808,10.648
809,10.679
810,10.713
811,10.738
812,10.773
813,10.794
814,10.82
815,10.845
816,10.87
817,10.889
818,10.91
819,10.94
820,10.959
821,10.98
822,11.007
823,11.025
824,11.05
825,11.069
826,11.092
827,11.124
828,11.143
829,11.165
830,11.182
831,11.2
832,11.219
833,11.237
834,11.245
835,11.281
836,11.299
837,11.314
838,11.335
839,11.362
840,11.372
841,11.393
842,11.413
843,11.427
844,11.441
845,11.456
846,11.472
847,11.49
848,11.507
849,11.53
850,11.543
851,11.566
852,11.581
853,11.594
854,11.604
855,11.617
856,11.626
857,11.637
858,11.655
859,11.67
860,11.678
861,11.691
862,11.705
863,11.719
864,11.727
865,11.74
866,11.751
867,11.762
868,11.774
869,11.791
870,11.801
871,11.817
872,11.829
873,11.836
874,11.845
875,11.855
876,11.862
877,11.87
878,11.876
879,11.886
880,11.893
881,11.903
882,11.905
883,11.909
884,11.92
885,11.929
886,11.941
887,11.948
888,11.957
889,11.973
890,11.981
891,11.99
892,11.996
893,12.009
894,12.019
895,12.03
896,12.042
897,12.049
898,12.061
899,12.078
900,12.084
901,12.1
902,12.11
903,12.121
904,12.138
905,12.147
906,12.157
907,12.161
908,12.167
909,12.171
910,12.178
911,12.183
912,12.189
913,12.194
914,12.198
915,12.203
916,12.205
917,12.205
918,12.205
919,12.209
920,12.211
921,12.211
922,12.212
923,12.214
924,12.216
925,12.217
926,12.219
927,12.22
928,12.222
929,12.223
930,12.223
931,12.227
932,12.23
933,12.232
934,12.232
935,12.236
936,12.238
937,12.238
938,12.239
