date,dS (m3)
2017-07-16,
2017-07-20,43454.064080941454
2017-07-21,252696.2099494
2017-07-31,-610949.3296795
2017-08-05,340873.2925801
2017-08-15,-10220.843170317085
2017-08-20,0.0
2017-08-21,-101403.4401349
2017-08-25,111624.2833052
2017-08-30,0.0
2017-09-06,-578941.3532883
2017-09-09,69690.84738617238
2017-09-14,367340.3499156
2017-09-19,141910.1559865
2017-09-22,-224782.0573355
2017-09-24,-95702.36509274723
2017-10-04,391664.8229342
2017-10-08,-208968.7310286
2017-10-09,137788.33052269998
2017-10-14,0.0
2017-10-19,-478677.1037099
2017-10-24,655735.1812816
2017-10-29,0.0
2017-11-03,-177058.0775716
2017-11-08,-194478.7689713
2017-11-09,226794.5362563
2017-11-13,0.0
2017-11-18,-32315.767284995825
2017-11-23,0.0
2017-11-25,-112823.1197301
2017-11-28,-509388.010118
2017-12-03,785300.2360876
2017-12-08,-623140.3077571
2017-12-11,427465.7883642
2017-12-13,-287384.6205733
2017-12-18,122091.4502529
2017-12-23,26851.226812812984
2017-12-27,0.0
2017-12-28,67542.41068488244
2018-01-02,-90993.82299516795
2018-01-07,44300.401916046896
2018-01-12,161101.8704279
2018-01-17,-10923.503372680554
2018-01-22,-224782.0573355
2018-01-27,0.0
2018-01-28,168.10540165589958
2018-02-06,710.3078663138476
2018-02-11,108087.4172547
2018-02-13,-54186.71271346416
2018-02-16,27739.85106949741
2018-02-21,-13061.737122612409
2018-02-26,107918.3120886
2018-03-01,-70202.84569983376
2018-03-03,43600.67453625492
2018-03-08,51726.28583473878
2018-03-13,-92337.26812815676
2018-03-17,46499.68707398116
2018-03-18,31974.24209971229
2018-03-23,10071.50084316705
2018-03-28,-4029.155623860548
2018-04-02,47483.21970480206
2018-04-07,0.0
2018-04-12,55797.913153462505
2018-04-17,-73177.74030354508
2018-04-18,0.0
2018-04-22,0.0
2018-04-27,-8253.248617219546
2018-05-02,8253.248617219546
2018-05-04,0.0
2018-05-07,-78911.48397975917
2018-05-12,30968.97781810957
2018-05-17,47942.50616164957
2018-05-20,17379.827150082627
2018-05-22,-17319.168295337287
2018-06-01,-60.65885474532291
2018-06-05,-27783.8052856752
2018-06-06,-32882.448182682136
2018-06-11,-29979.235470948188
2018-06-16,-30961.584411398693
2018-06-21,-30046.93723074601
2018-06-26,-30045.101029519697
2018-07-01,-29591.18413051037
2018-07-06,-29346.90343950772
2018-07-07,-28990.9956546496
2018-07-11,-28678.46065445341
2018-07-16,-28333.7029588569
2018-07-21,-27992.570862297627
2018-07-23,-27637.01946657401
2018-07-26,-12784.847421830784
2018-07-31,-5847.416949099184
2018-08-05,-9223.486377843325
2018-08-08,-7506.025055077676
2018-08-10,-8304.209979087955
2018-08-15,-7859.780026643424
2018-08-24,-8028.483705531671
2018-08-25,-7894.072689887981
2018-08-30,-7908.832002918943
2018-09-04,72706.97921469263
2018-09-09,-10510.144256368316
2018-09-14,-10402.094774462055
2018-09-19,-8547.894265393901
2018-09-24,23067.64526288928
2018-09-25,-1517.3928200488003
2018-09-29,53001.21339340586
2018-10-04,26670.024283305847
2018-10-09,27288.76694772408
2018-10-11,23639.458019872203
2018-10-14,25895.55057590442
2018-10-19,36043.748233897335
2018-10-24,20647.005298716173
2018-10-27,39499.21257649597
2018-10-29,31001.22293423344
2018-11-03,31619.965598651663
2018-11-08,32238.70826306989
2018-11-12,32857.45092748811
2018-11-18,25830.76144872893
2018-11-23,-13403.083877062749
2018-11-28,48715.26902800925
2018-12-03,17349.65907553405
2018-12-08,33714.493359199725
2018-12-13,97931.202483293
2018-12-14,37188.64957841571
2018-12-18,27688.18708507852
2018-12-23,48545.34006500764
2018-12-28,-106573.3107925
2018-12-30,97919.49297000028
2019-01-02,-5262.046945324612
2019-01-07,47776.17642041894
2019-01-12,21088.98435769739
2019-01-15,34961.135399683044
2019-01-17,28173.575648987164
2019-01-22,31894.38053097338
2019-01-27,1521.8225868891277
2019-01-31,-12242.707812166744
2019-02-01,-5370.39513470442
2019-02-06,-8775.00912435018
2019-02-11,-7063.474540182911
2019-02-16,-7899.195204051447
2019-02-21,-7466.729093837091
