date,dS (m3)
2017-07-21,
2017-07-26,1904976.9553072
2017-07-28,1988277.2346368
2017-07-29,1899245.4725796
2017-08-02,5926716.7772369
2017-08-14,2301058.11184
2017-08-15,7207093.8197051
2017-08-17,1635493.6888111
2017-08-30,4786811.350423399
2017-09-06,2871151.1054098
2017-09-11,3600937.9936378
2017-09-15,14316370.890211
2017-09-19,-1738540.7582597
2017-09-24,8539423.4990765
2017-09-26,1571538.2160585
2017-10-01,1559983.3819242
2017-10-09,933896.7727629
2017-10-14,-125681.43926729998
2017-10-16,405486.185429
2017-10-17,406405.2283688
2017-10-21,407324.2255283
2017-11-02,408243.2685716
2017-11-03,239242.3558605
2017-11-05,324316.4215218
2017-11-08,282037.51767180004
2017-11-10,303588.2919449
2017-11-18,905816.9879338
2017-11-23,-527204.8653061
2017-11-25,-3956658.1084548
2017-11-28,0.0
2017-12-04,2384041.4553935
2017-12-05,-1749993.6097147
2017-12-08,709080.7933882
2017-12-13,-518206.92244890006
2017-12-15,-299627.9713065
2017-12-18,-732286.9021628001
2017-12-20,-190477.8924383
2017-12-25,-459878.0645411
2017-12-28,-886268.9246532
2018-01-02,-509208.9795917
2018-01-04,-9519632.0829932
2018-01-05,8476531.1261262
2018-01-14,-1183944.4256757
2018-01-17,-326507.23599330004
2018-01-21,-1223985.1437362998
2018-01-22,-373766.6594594
2018-01-24,-4210623.6844272
2018-01-27,3465813.1392534
2018-01-29,-2192546.1086476003
2018-02-03,694751.5087122
2018-02-06,-309602.14721150004
2018-02-08,-6398509.1216216
2018-02-11,5047174.3783068
2018-02-13,-622967.7777777
2018-02-16,-620224.8148147
2018-02-18,-361305.0089815
2018-02-21,-870915.7317591
2018-02-22,-611995.925926
2018-02-23,-357246.6829376
2018-02-26,-1927290.8170623
2018-02-28,-1127623.6607142
2018-03-03,-1366402.0397287
2018-03-05,-814256.6530085
2018-03-08,-1956609.3768918
2018-03-10,-1367041.507475
2018-03-13,-796100.995639
2018-03-15,-7350930.1734781
2018-03-18,4338326.6850303
2018-03-20,-9271750.2659573
2018-03-23,3405980.3880047
2018-03-25,-1307100.2317547
2018-03-26,0.0
2018-03-28,-1449751.8506504
2018-03-30,823662.3194003999
2018-04-02,-1871324.217537
2018-04-04,-1584206.5822088
2018-04-07,-6216386.0496378
2018-04-09,-3264965.3571429
2018-04-11,-3302316.2909774003
2018-04-12,-1573089.6850917
2018-04-14,-1551681.8148039998
2018-04-17,-801693.8497829
2018-04-22,-702451.607891
2018-04-24,-692485.1975016
2018-04-27,-682518.7774422
2018-04-29,-672552.3573827
2018-05-04,-662585.9373232999
2018-05-07,-1354420.5060042
2018-05-09,405626.5756299
2018-05-12,-287332.75985910004
2018-05-13,132212.299862
2018-05-14,-75713.02589883919
2018-05-17,-74481.55613993478
2018-05-19,-390052.462034
2018-05-22,-352310.8605614
2018-05-24,-314569.2590888
2018-05-29,-276827.6576161
2018-06-01,-142318.0818446
2018-06-03,426667.7130112
2018-06-06,-45276.16404717413
2018-06-08,222364.3509043
2018-06-11,83925.55324821433
2018-06-13,163751.2824747
2018-06-14,125817.5771772
2018-06-16,150593.5693518
2018-06-18,141778.49058850002
2018-06-21,150616.62324739998
2018-06-23,149970.5265809
2018-06-26,154188.3583065
2018-06-28,543186.8499424
2018-06-30,1283171.6843400002
2018-07-01,1299718.563629
2018-07-03,1318772.7836732
2018-07-06,2128005.1457669
2018-07-08,2906553.0101339
2018-07-11,2824795.1652252
2018-07-13,2798086.9968761
2018-07-16,6306876.4514568
2018-07-18,944976.2830912
2018-07-21,3271594.7706543
2018-07-23,1658638.113969
2018-07-26,2318138.674084
2018-07-28,1840382.2179065
2018-08-01,2047377.8459769
2018-08-02,463920.9537244
2018-08-05,-258040.938079
2018-08-07,103034.3083857
2018-08-10,-77425.99383820561
2018-08-12,12798.506775871992
2018-08-15,-32300.77789281583
2018-08-17,-9753.208180421012
2018-08-20,-21022.969771735257
2018-08-22,-15387.449600473945
2018-08-25,-18202.98184942742
2018-08-27,-16793.813492979516
2018-08-30,-17496.592284802915
2018-09-01,509219.1665515
2018-09-02,787369.7285691
2018-09-04,703008.9059639999
2018-09-06,190682.5614276
2018-09-09,-142171.0243438
2018-09-11,24239.46811684768
2018-09-14,-58927.23859689579
2018-09-19,-17350.089528469813
2018-09-21,6197592.0465931
2018-09-24,-3363566.8754752
2018-09-26,1433593.9028406
2018-09-29,-983323.1346565
2018-10-01,218456.6719341
2018-10-04,-387156.8251207
2018-10-06,-84625.53066042041
2018-10-11,2348711.9171341
2018-10-14,0.0
2018-10-16,-2270421.9269102
2018-10-19,847730.6280194
2018-10-20,-705817.3323322
2018-10-21,70371.52289869459
2018-10-24,6974938.1210776
2018-10-26,-3089155.7486940003
2018-10-29,1703261.7404317
2018-10-31,-688714.9248953
2018-11-03,510619.9366402
2018-11-05,-89276.49758996128
2018-11-08,211225.0104357
2018-11-10,60884.724180173136
2018-11-15,136223.7302136
2018-11-18,98578.07719660577
2018-11-20,117493.2215017
2018-11-21,108092.6587261
2018-11-23,112867.2739641
2018-11-25,110545.4961419
2018-11-28,-328516.1268241
2018-11-30,330746.082485
2018-12-03,-1298178.582485
2018-12-07,812520.2431813
2018-12-08,-242673.8886227
2018-12-10,142905.49225339998
2018-12-13,-192836.7188605
2018-12-15,-25045.553173406483
2018-12-18,-108820.2442224
2018-12-20,-66932.01033919195
2018-12-23,-87820.09390927486
2018-12-25,-77348.79583917641
2018-12-28,-82543.06130764892
2018-12-30,-79911.6405971674
2019-01-02,-1588409.7999918
2019-01-04,6136207.5
2019-01-07,-7540520.0498338
2019-01-08,3665087.5034675
2019-01-09,-1894534.4352984
2019-01-12,6660588.3439008
2019-01-14,-3530437.3678513
2019-01-17,1693258.1465576
2019-01-19,1153653.0289059998
2019-01-22,-502013.585507
2019-01-24,6722654.3882219
2019-01-27,-14498861.6813325
2019-01-29,12596926.0465116
2019-02-01,-18067875.7973421
2019-02-03,8154657.7535229
2019-02-06,-4385580.187743
2019-02-08,1082874.5910325
2019-02-09,-1805872.6849244
2019-02-11,-367528.5531224
2019-02-13,3756063.0755859
2019-02-16,-2537201.9219202003
2019-02-18,-1698048.5764186
2019-02-21,-1397921.1867533
2019-02-25,-808903.6622184
2019-02-26,-1842567.527803
2019-03-03,-461728.5568993
2019-03-08,-1133484.6576461
2019-03-13,-798393.6620281
2019-03-18,-960900.6721689
2019-03-23,-1352727.8902536
2019-03-28,-1831885.5859199
2019-03-29,-1691105.1191239
2019-04-02,-1759014.1945417
2019-04-07,-1720263.9448577
2019-04-12,-1738654.2875698002
2019-04-14,-1722893.6049788
2019-04-17,-1720161.2401956
2019-04-22,-1834463.8323972
