date,dS (m3)
2017-07-29,
2017-08-02,-1553129.5050391
2017-08-14,2069822.7051171
2017-08-17,868510.6932154
2017-08-30,956619.9999998
2017-09-06,603768.9208861
2017-09-11,-1820133.5375023
2017-09-15,4161018.0769231
2017-09-26,-954936.8199515
2017-10-01,2635962.947298
2017-10-16,-49113.72711991648
2017-10-17,-48731.08570990936
2017-10-21,-47540.9907723171
2017-11-02,-47510.2183891488
2017-11-05,-47479.44600622891
2017-11-10,-47448.64008475367
2017-11-18,-27749.50010684344
2017-11-25,-37579.85962683168
2017-11-30,-235807.8526198
2017-12-04,-325721.2509586
2017-12-05,77500.2244267037
2017-12-15,246061.46466390003
2017-12-20,463019.1573799001
2017-12-25,55188.1149143009
2018-01-04,268418.5323195
2018-01-05,495420.7590709
2018-01-14,-133959.2410712
2018-01-21,-133727.0089286
2018-01-24,-133494.7767857
2018-01-29,-133262.5446429
2018-02-03,-77617.65850269451
2018-02-06,17707.85326874027
2018-02-08,-1737088.6247467
2018-02-13,-923812.3303167
2018-02-18,588144.4567674
2018-02-22,2698232.8748212
2018-02-23,-8858016.4875684
2018-02-28,2619859.0694482
2018-03-05,-2335687.4123799
2018-03-10,1676635.5445176
2018-03-15,-1723343.2357798
2018-03-20,140.90187071691577
2018-03-25,-397466.3486782
2018-03-26,-55435.5709779613
2018-03-30,-54018.0567823766
2018-04-04,-30398.81245526405
2018-04-09,-519.2444746125728
2018-04-11,24884.01922967348
2018-04-14,-89424.44810412747
2018-04-19,46395.79889496056
2018-04-24,-130061.1332798
2018-04-27,45852.25367539906
2018-04-29,-45852.25367539906
2018-05-09,5261.918579764492
2018-05-13,-19903.82978965178
2018-05-14,-7376.290800764733
2018-05-19,-13507.995185402273
2018-05-24,-10412.197099682358
2018-05-29,-11880.67162856506
2018-06-03,-11091.619602160088
2018-06-08,65245.49940653337
2018-06-13,0.0
2018-06-14,38144.84197665546
2018-06-18,46299.57442720365
2018-06-23,15865.633023802053
2018-06-28,31723.55891783037
2018-06-30,23911.00542731809
2018-07-03,28177.89887424276
2018-07-08,26274.21584848888
2018-07-13,27514.998777252968
2018-07-18,27148.47453615435
2018-07-23,27597.974640927667
2018-07-28,27628.31188229393
2018-08-01,358348.7046945
2018-08-02,-27152.25107509428
2018-08-07,-241140.0708836
2018-08-12,-91006.37159834128
2018-08-17,-13302.815597407704
2018-08-22,-11403.748368560538
2018-08-27,-12297.312349949443
2018-09-01,-11805.5580062699
2018-09-02,26247.361018559364
2018-09-06,301528.1683406
2018-09-11,127125.5586487
2018-09-21,-224.9466417116793
2018-09-26,63635.04144056344
2018-10-01,31689.40592476824
2018-10-04,25924.39785540044
2018-10-06,6979.44645238761
2018-10-11,16462.106152333672
2018-10-16,11722.03781730237
2018-10-20,14097.51239826168
2018-10-21,12913.076379762855
2018-10-26,-6677.91916285661
2018-10-31,241246.345173
2018-11-05,0.0
2018-11-10,-508934.4690264
2018-11-15,233063.1878524
2018-11-20,-137009.8072057
2018-11-21,48090.06708290136
2018-11-25,-44355.34664234662
2018-11-30,1853.8479689589617
2018-12-07,-21229.609770860592
2018-12-10,-65104.77291372271
2018-12-15,1184349.0265484
2018-12-20,15859.513274339892
2018-12-23,29178.30643613996
2018-12-25,22525.150854763328
2018-12-30,25868.35464862996
2019-01-04,24208.038719321343
2019-01-08,25052.12223687165
2019-01-09,-1664410.098596
2019-01-14,767551.8581297
2019-01-19,788263.1220056
2019-01-24,-1558921.2817899
2019-01-29,665891.0355778
2019-02-03,-778122.9354946
2019-02-08,59611.386796621366
2019-02-09,-23037.20383137008
2019-02-13,-24735.801217675544
2019-02-18,-23687.269166818816
2019-02-23,-23985.43642762979
2019-02-25,-23619.73820654462
2019-02-28,-12487.969278552944
2019-03-05,-6996.5087985005775
2019-03-10,-9690.149923570923
2019-03-13,-8321.032026303004
2019-03-15,-8968.546312162669
2019-03-20,-8614.975961812805
2019-03-25,-8758.118198424214
2019-03-29,-8654.58463167359
2019-03-30,-8673.304309270126
2019-04-04,-8631.1929533601
2019-04-09,-8619.09852611153
2019-04-14,-8591.940322048149
2019-04-19,-8572.0854093629
2019-04-24,3012.3100293979464
2019-04-29,-14393.05346044144
2019-04-30,-13803.557386089678
2019-05-04,-21948.85372365208
2019-05-09,-17771.78301675712
2019-05-14,-19641.811548987505
2019-05-16,-18542.92511670089
2019-05-19,-18897.89326505952
2019-05-24,-18537.64330044034
2019-05-29,-18525.3856466161
2019-06-01,-18340.036356996297
2019-06-03,-18236.73727830748
2019-06-08,-18090.47113362853
2019-06-13,-17962.315529168958
2019-06-17,-17822.283914469783
2019-06-18,5823.443066814268
2019-06-23,10286.073970560305
2019-06-28,24425.574711779613
2019-07-03,17066.477142371667
2019-07-08,20835.06573920303
2019-07-13,18863.796665432004
2019-07-18,19861.90304066945
2019-07-19,19337.283387238047
2019-07-23,19602.93746476921
2019-07-28,19467.97554376832
2019-08-02,19543.89093672008
2019-08-04,19516.07431535457
2019-08-07,19545.462967771044
2019-08-12,19549.11102305074
2019-08-17,19569.13694547458
2019-08-20,19583.64768862042
2019-08-22,19603.55264359636
2019-08-27,19623.01753693828
2019-09-01,19644.79359631041
2019-09-05,19667.2755253434
2019-09-06,19691.101344295526
2019-09-11,19715.78142708236
2019-09-16,19741.421816099944
2019-09-21,19767.838026176745
2019-09-26,19795.00750783105
2019-10-01,19822.834174476942
2019-10-06,19851.27060248755
2019-10-07,19880.25537883448
2019-10-11,19909.738661179945
2019-10-16,19939.67692871569
2019-10-21,204905.0036437
2019-10-23,280541.4172835
2019-10-26,280977.0538703
2019-10-31,281416.9651932
2019-11-05,281860.7305664
2019-11-08,282308.0082337
2019-11-10,282758.4059037
2019-11-15,226711.0971764
2019-11-20,155397.90616050002
2019-11-24,230018.7519962
2019-11-25,66862.2605997325
2019-11-30,22149.94126415167
2019-12-05,44532.20299376072
2019-12-10,33337.26802314636
2019-12-15,38945.24734804695
2019-12-20,36144.40093382316
2019-12-25,37551.65267732791
2019-12-26,36853.03197858646
2019-12-30,37208.27698699725
2020-01-04,121845.3697586
2020-01-09,164456.05601220002
2020-01-11,143169.7240893
2020-01-14,153942.24419549998
2020-01-19,148629.77084840002
2020-01-24,151387.5587628
2020-01-27,-44834.92441926887
2020-01-29,-142203.5597065
2020-02-03,-93586.46082258684
2020-02-08,-117783.8880758
2020-02-12,-105666.1639723
2020-02-13,-111660.6918254
2020-02-18,-319444.3053927
2020-02-23,-425530.3871974
2020-02-28,-372345.9747056
2020-03-04,-214146.6058732
2020-03-09,-183847.3069802
2020-03-14,-186717.6198245
2020-03-15,-185005.5937094
2020-03-19,-185564.297448
2020-03-24,-185000.0467818
2020-03-29,-757527.8109115
2020-03-31,-172249.267048
2020-04-03,-63954.78925227975
2020-04-08,-17759.376831127123
2020-04-13,6911.534236214161
2020-04-16,-5396.209453045163
2020-04-18,753.5607235345177
2020-04-23,-2316.6447447959367
2020-04-28,-783.0357013760835
2020-05-02,-1548.690798661224
2020-05-03,-1166.146396664688
2020-05-08,-1357.014372201637
2020-05-13,-1261.5281912708622
2020-05-18,-1309.044137585083
2020-05-23,-1285.1484056396107
2020-05-28,-16718.987828362297
2020-06-02,-24391.7546566942
2020-06-03,-20590.64984639788
2020-06-07,-22406.81868150348
2020-06-12,-21478.552624939537
2020-06-17,-21894.22688472315
2020-06-19,-21656.42324483516
2020-06-22,-21740.838267399013
2020-06-27,-21671.7712558082
2020-07-02,-21681.644028932773
2020-07-05,-21657.756247372243
2020-07-07,-21655.59913852053
2020-07-12,2233.916434344754
2020-07-17,13452.981721957056
2020-07-21,7775.439218568355
2020-07-22,51013.244975507776
2020-07-27,70377.48845046348
2020-08-01,60236.41694139929
2020-08-06,66011.69305694572
2020-08-11,63342.72212646036
2020-08-16,65201.75636034422
2020-08-21,715951.4816458
2020-08-22,918119.4806054
2020-08-26,1552306.3638773002
2020-08-31,429127.2851334
2020-09-05,-390136.4819073
2020-09-07,18811.71660419037
2020-09-10,-184967.5812989
2020-09-15,-83274.50512556113
