date,dS (m3)
2017-07-29,
2017-08-02,9830935.7818767
2017-08-14,-16054443.8783724
2017-08-17,16525459.418372
2017-08-30,-26257.499999737312
2017-09-06,5810461.944408201
2017-09-11,3078889.0382002
2017-09-15,4841530.3784598
2017-09-26,4254884.8514357
2017-10-01,36184541.6091364
2017-10-16,-10961444.7541059
2017-10-17,11525418.8310684
2017-10-21,282470.3731338
2017-11-02,282667.8358214
2017-11-05,282865.2985069
2017-11-10,283062.7611945
2017-11-18,283260.22388
2017-11-25,163992.9137798
2017-12-04,-21412088.375412498
2017-12-05,-2033696.7391305
2017-12-15,1352454.0184457998
2017-12-20,-340777.2918435
2017-12-25,24248049.0356802
2018-01-04,-12193099.8827892
2018-01-05,12813698.7993155
2018-01-14,-6026819.0020849
2018-01-21,1332840.603738
2018-01-24,-3314695.6277609
2018-01-29,-998201.5893009
2018-02-03,-3021623.6418734
2018-02-06,-2248458.2959647
2018-02-08,-1280963.686195
2018-02-13,-1755650.3810834
2018-02-18,-3731898.3022526
2018-02-22,-607671.9376578999
2018-02-23,-6191548.2797336
2018-02-28,-4047983.3478263
2018-03-05,-3980313.7999995
2018-03-10,-3990618.0479640006
2018-03-15,-2261762.4216253
2018-03-20,-5369751.55863
2018-03-25,-3595995.9533898
2018-03-26,-3347211.9708317
2018-03-30,-3198439.0116279
2018-04-04,-4509987.727843599
2018-04-09,-11367185.261616
2018-04-11,1104420.3353261
2018-04-14,-2027849.476612
2018-04-24,-1620801.0040465998
2018-04-27,-5109008.137160599
2018-04-29,1250037.3713024
2018-05-04,-1329696.4373272
2018-05-09,-45402.85479297468
2018-05-13,-169391.76709719998
2018-05-14,-107253.1373013
2018-05-19,-136028.0474257
2018-05-24,-120428.0265526
2018-05-29,-126446.0401991
2018-06-03,-121901.253005
2018-06-08,134695.9716165
2018-06-13,263332.1505347
2018-06-14,201146.7235412
2018-06-18,238542.9949614
2018-06-23,675010.5646168999
2018-06-28,2251478.3949101004
2018-06-30,2233498.831426
2018-07-03,2794485.4818304
2018-07-08,4404268.911631
2018-07-13,10155658.6815139
2018-07-18,1856755.4455369
2018-07-23,6412782.109270399
2018-07-28,4444782.0361175
2018-08-01,6044053.3978137
2018-08-02,1801325.5678056
2018-08-07,229640.2564336
