date,dS (m3)
2017-07-29,
2017-08-02,819251.5662649999
2017-08-14,9504124.3039854
2017-08-17,57800037.3098728
2017-08-30,-3605608.3444352
2017-09-06,45790780.4188068
2017-09-11,16383256.6324205
2017-09-15,23421694.278514706
2017-09-26,17156716.050557
2017-10-01,19221624.504517
2017-10-10,17943251.8220814
2017-10-16,7529866.862177299
2017-10-17,1657590.7880392
2017-10-21,4568388.7776531
2017-10-26,3115359.8638897003
2017-11-02,3856700.6892821
2017-11-11,3494353.6978044
2017-11-18,3618080.677592
2017-11-25,-109268142.454378
2017-11-30,0.0
2017-12-04,-101208139.9874374
2017-12-05,-5464368.6659591
2017-12-15,-4884242.650114001
2017-12-20,-4114068.4430545
2017-12-25,-4482576.1120599
2017-12-29,-980289.9815866
2018-01-04,-72136.40227206337
2018-01-05,-71213.9832521707
2018-01-09,-71435.59661406832
2018-01-14,206391.0480792
2018-01-21,18377213.2006644
2018-01-24,35192356.7032643
2018-01-29,25380367.5252258
2018-02-03,20182735.6641358
2018-02-06,9997931.7595037
2018-02-08,5750063.0068033
2018-02-13,7006230.6470919
2018-02-18,5774006.3559474
2018-02-22,6246535.3510032
2018-02-23,-509120.1879598
2018-02-28,3912481.002538501
2018-03-05,-3460730.0921714
2018-03-10,222975.7157754
2018-03-15,-1681384.6790065002
2018-03-20,-729754.241345
2018-03-25,-1203872.5731457002
2018-03-26,-9873115.6671134
2018-03-30,8220470.5239519
2018-04-04,-5671358.5723889
2018-04-09,-12570187.4807153
2018-04-11,-7148894.075516799
2018-04-14,-2901281.4563979
2018-04-19,-11193875.923164
2018-04-24,-3910386.0466166
2018-04-27,-7869765.7526835
2018-04-29,-6085493.9538079
2018-05-04,-7495951.199408299
2018-05-06,-8672564.698793799
2018-05-09,-9949334.1802759
2018-05-13,-11803987.8091953
2018-05-14,-13376897.3891749
2018-05-19,-7923912.845497001
2018-05-22,-5687218.743462
2018-05-24,-5665209.4365273
2018-05-29,-902953.5956187
2018-06-03,-93030.7038962477
2018-06-08,93207.6754328644
2018-06-13,6509900.2511973
2018-06-14,8481316.289505599
2018-06-18,21211272.524723
2018-06-23,17627653.697735097
2018-06-28,14218769.4068948
2018-06-30,11080584.3974409
2018-07-03,10788192.0540652
2018-07-13,10462078.8767848
2018-07-18,8941753.383784499
2018-07-23,11465364.0537915
2018-07-28,3650605.7335331
2018-08-01,-3839854.7155689
2018-08-02,5080086.7978722
2018-08-07,-7559930.4823371
2018-08-12,2385233.7443452
2018-08-17,0.0
2018-08-22,-5391399.2648
2018-08-27,5391399.2648
2018-09-01,-8432290.9486315
2018-09-02,47802218.4737055
2018-09-06,-6397619.043989301
2018-09-11,17284968.4535369
2018-09-18,-10138431.4328965
2018-09-21,3587428.9944529
2018-09-26,-4004694.7097975
2018-10-01,540108.9350274999
2018-10-04,-1363683.876991
2018-10-06,-49878.36143815911
2018-10-11,-705915.6464421
2018-10-16,-377948.8458318
2018-10-20,-541573.0151862
2018-10-21,13558683.306418302
2018-10-26,-8458972.135176599
2018-10-29,1637394.4344287
2018-10-31,-3387938.5646163
2018-11-05,-29761588.7957533
2018-11-10,35874041.4238858
2018-11-15,-19934908.6860933
2018-11-20,7674323.6059599
2018-11-21,-6578212.2582699
2018-11-25,26716589.8450679
2018-11-30,-48689736.6187259
2018-12-07,28117056.9373814
2018-12-10,-16674413.4758365
2018-12-15,4716970.153499099
2018-12-20,27219340.4020102
2018-12-23,-9196670.6363527
2018-12-25,8557292.819722
2018-12-30,-339346.2710308
2019-01-04,-4496738.537966601
2019-01-08,21141471.2894314
2019-01-09,-31531621.2587151
2019-01-14,19341630.8413903
2019-01-19,-5916650.4005049
