date,inflow (m3/d)
2015-10-24,30776.30362000508
2015-10-25,745709.0392024812
2015-10-26,1186701.8997839144
2015-10-27,826719.9005928205
2015-10-28,795469.4653047097
2015-10-29,1075889.3012438505
2015-10-30,1111075.0288879222
2015-10-31,791969.6854213114
2015-11-01,558416.7277710162
2015-11-02,972397.989606034
2015-11-03,1763491.9477639538
2015-11-04,1884733.475955573
2015-11-05,1630123.713262239
2015-11-06,1435723.2434670965
2015-11-07,1040760.5445587534
2015-11-08,598725.6800977307
2015-11-09,347023.98809042736
2015-11-10,525218.2849671121
2015-11-11,1119044.0931601224
2015-11-12,1342047.8010183745
2015-11-13,1313464.049929766
2015-11-14,1558925.5869976748
2015-11-15,1347577.6832611796
2015-11-16,810065.6691622218
2015-11-17,615316.484056397
2015-11-18,447198.2961667603
2015-11-19,266273.4056432516
2015-11-20,185354.6057114697
2015-11-21,182709.7797075214
2015-11-22,402994.29520581337
2015-11-23,510489.85103918455
2015-11-24,377361.8090951148
2015-11-25,312753.32130535983
2015-11-26,394026.3063568503
2015-11-27,382600.5048054446
2015-11-28,228993.0496554048
2015-11-29,145154.8670507368
2015-11-30,76692.22636087029
2015-12-01,46427.36101671459
2015-12-02,34363.26257573166
2015-12-03,21112.274611976674
2015-12-04,17390.625064772998
2015-12-05,15231.981336953511
2015-12-06,13010.395072947653
2015-12-07,5605.820107709892
2015-12-08,4299.364992824542
2015-12-09,5512.4148185833765
2015-12-10,5746.476331220199
2015-12-11,6018.268614409293
2015-12-12,6470.115575439865
2015-12-13,5437.173787335927
2015-12-14,11412.773340711885
2015-12-15,18494.777811430413
2015-12-16,16160.04591642983
2015-12-17,11049.605104977523
2015-12-18,7284.416788053046
2015-12-19,4662.048194950015
2015-12-20,3441.9788013292905
2015-12-21,3108.870832386277
2015-12-22,2979.9793590083395
2015-12-23,2914.15847558267
2015-12-24,2873.585249054865
2015-12-25,2538.9308975502527
2015-12-26,2277.040297188747
2015-12-27,2218.363196713793
2015-12-28,2182.2929683862976
2015-12-29,2149.699553937222
2015-12-30,2143.921001752385
2015-12-31,2677.752629758567
2016-01-01,2889.906232425607
2016-01-02,2508.8029829441
2016-01-03,2329.928785160081
2016-01-04,2134.214154417741
2016-01-05,2036.0903409082828
2016-01-06,1990.6192095225265
2016-01-07,1971.8088061394187
2016-01-08,1963.1908513053795
2016-01-09,2143.8905247603734
2016-01-10,2212.002357094146
2016-01-11,2048.159880533359
2016-01-12,2004.46784263872
2016-01-13,2516.658129764108
2016-01-14,2730.2833965745062
2016-01-15,2337.184714242263
2016-01-16,2157.345858619074
2016-01-17,1961.403884734037
2016-01-18,1865.1126811099537
2016-01-19,1823.0559514595568
2016-01-20,1800.1320496017552
