date,inflow (m3/d)
2015-10-24,28700.215670638776
2015-10-25,692436.7373471829
2015-10-26,1036427.8182325691
2015-10-27,689111.8949575386
2015-10-28,510598.3003949546
2015-10-29,520813.171809219
2015-10-30,752468.7807376969
2015-10-31,707304.4181242917
2015-11-01,853219.1913057675
2015-11-02,1232184.7013351896
2015-11-03,1145037.3170539076
2015-11-04,940244.9489752012
2015-11-05,1821158.497534991
2015-11-06,2732531.334683904
2015-11-07,2495524.560965647
2015-11-08,1852689.2198613647
2015-11-09,1137706.3245863314
2015-11-10,849858.7341153936
2015-11-11,761720.8634965267
2015-11-12,651965.7287471474
2015-11-13,920630.3097137476
2015-11-14,1289784.951354563
2015-11-15,1197188.8426356416
2015-11-16,1043381.0863428016
2015-11-17,849340.1212566532
2015-11-18,498747.66322682094
2015-11-19,305184.9180365736
2015-11-20,182541.48809167527
2015-11-21,130754.96320631992
2015-11-22,104423.55161657624
2015-11-23,97127.83925818995
2015-11-24,287080.3663879792
2015-11-25,391967.1973973572
2015-11-26,276683.0171340209
2015-11-27,186102.6041141993
2015-11-28,98706.3761840186
2015-11-29,48964.34490495189
2015-11-30,28361.37620694565
2015-12-01,22727.109789423543
2015-12-02,22926.636493189297
2015-12-03,29318.33442811336
2015-12-04,33005.01800643136
2015-12-05,22095.34873078437
2015-12-06,15874.1159739183
2015-12-07,11784.111401817456
2015-12-08,9014.605410764529
2015-12-09,9053.514476582264
2015-12-10,8615.891490060614
2015-12-11,6542.639562176053
2015-12-12,5853.1221448694205
2015-12-13,14687.40749773922
2015-12-14,114455.31054944092
2015-12-15,192320.3053615433
2015-12-16,161053.3150751076
2015-12-17,120266.37552182976
2015-12-18,74561.82761415846
2015-12-19,41180.48664887567
2015-12-20,23319.75414137543
2015-12-21,15797.978957761652
2015-12-22,12779.7511572739
2015-12-23,11545.518146163826
2015-12-24,10774.196905408791
2015-12-25,6300.71270049905
2015-12-26,4217.314970475444
2015-12-27,3383.2635073629376
2015-12-28,2905.722658514313
2015-12-29,2685.9390918437234
2015-12-30,2559.1973999628844
2015-12-31,2474.5050025892465
2016-01-01,2411.9799573997125
2016-01-02,2361.6399473286942
2016-01-03,2319.6610872858814
2016-01-04,2283.7926843177665
2016-01-05,2252.2920989094027
