date,inflow (m3/d)
2015-10-24,273226.60035621666
2015-10-25,6638088.769474282
2015-10-26,10960002.748468054
2015-10-27,7772849.473332569
2015-10-28,5143281.268870645
2015-10-29,4561365.419963876
2015-10-30,4900947.835263626
2015-10-31,3821865.540034756
2015-11-01,4979003.504922248
2015-11-02,7955477.141315104
2015-11-03,8392561.807811711
2015-11-04,8111028.802002486
2015-11-05,11230348.175790176
2015-11-06,14682413.743389746
2015-11-07,13992402.974117246
2015-11-08,10595361.45404225
2015-11-09,6728427.496302067
2015-11-10,5137621.752374115
2015-11-11,5204753.853516558
2015-11-12,4385201.21321372
2015-11-13,3299432.059936187
2015-11-14,2736895.585136446
2015-11-15,2894933.55379206
2015-11-16,2917902.4457282145
2015-11-17,2228141.210038927
2015-11-18,1531472.540386338
2015-11-19,1571799.374733972
2015-11-20,2289413.711287267
2015-11-21,2235966.398540948
2015-11-22,1559315.1796931608
2015-11-23,1110279.1138131272
2015-11-24,1281800.7281000635
2015-11-25,1714604.3375001752
2015-11-26,1484229.322501927
2015-11-27,1007739.9115283352
2015-11-28,627078.6457118022
2015-11-29,363529.3772024168
2015-11-30,223450.7172787837
2015-12-01,153485.72455872933
2015-12-02,188451.93027292297
2015-12-03,756045.7623135473
2015-12-04,1551803.429328524
2015-12-05,1457597.2781513904
2015-12-06,922300.606435364
2015-12-07,587697.6868426119
2015-12-08,368602.5792007347
2015-12-09,314802.3308008554
2015-12-10,335667.47355947
2015-12-11,352367.6223205689
2015-12-12,385165.12276486703
2015-12-13,1923516.86607888
2015-12-14,3942779.904799984
2015-12-15,5134216.510617734
2015-12-16,5767248.222750553
2015-12-17,4552106.525938629
2015-12-18,2696720.0250035487
2015-12-19,1478543.6912576477
2015-12-20,742197.5377754753
2015-12-21,495227.7602592705
2015-12-22,426142.9492827676
2015-12-23,369108.7243103149
2015-12-24,277000.7857101819
2015-12-25,190964.91912649403
2015-12-26,107756.6450823669
2015-12-27,44632.25297581594
2015-12-28,35646.98812270416
2015-12-29,34166.939320168385
2015-12-30,33500.47133606603
2015-12-31,34680.96069051598
2016-01-01,32558.429641556897
2016-01-02,30744.88200516332
2016-01-03,28990.29072382807
2016-01-04,27558.43725831603
2016-01-05,26601.72858785755
2016-01-06,26046.495385824062
2016-01-07,25766.63992349332
2016-01-08,25832.66125485633
2016-01-09,27046.62783695104
2016-01-10,27811.55825530269
2016-01-11,26978.22672152059
2016-01-12,25959.080708267426
2016-01-13,25057.350260972904
2016-01-14,24445.132325744376
2016-01-15,24080.088178183443
2016-01-16,23873.008797736733
2016-01-17,23912.04383773113
2016-01-18,23920.728153481232
2016-01-19,23885.90924825372
2016-01-20,24166.60691976238
2016-01-21,25055.030907322296
2016-01-22,25601.299856427744
2016-01-23,24977.31323208016
2016-01-24,24052.07067967328
2016-01-25,23316.29162528471
2016-01-26,22832.754048427258
2016-01-27,22571.37558973208
2016-01-28,22427.435914997808
2016-01-29,22332.466187581904
2016-01-30,22242.33561540453
2016-01-31,22170.868573785006
2016-02-01,22629.230520929686
2016-02-02,22846.359161643013
2016-02-03,23187.041997707496
2016-02-04,23528.06547049009
2016-02-05,22961.866031662285
2016-02-06,22670.188153412742
2016-02-07,22698.15899572658
2016-02-08,22779.87591681036
2016-02-09,22742.947794308875
2016-02-10,26420.59024829408
2016-02-11,28713.82768319768
2016-02-12,26322.88820973529
2016-02-13,24530.367667170907
2016-02-14,23108.88322935389
2016-02-15,22335.79573228981
2016-02-16,21823.63170426014
2016-02-17,21626.58289224263
2016-02-18,22245.466816230102
2016-02-19,23432.85544042064
2016-02-20,23827.51536092141
2016-02-21,23546.13639151076
2016-02-22,23032.38808346373
2016-02-23,22188.276864275365
2016-02-24,21610.03090320555
2016-02-25,21360.817943722875
2016-02-26,21269.264076201376
2016-02-27,21272.663617436658
2016-02-28,21770.61355512275
2016-02-29,33638.68988953065
2016-03-01,47330.10410164201
2016-03-02,44443.77882403101
2016-03-03,36088.59501503856
2016-03-04,29755.251479716928
2016-03-05,25270.715383401795
2016-03-06,23228.748600373103
2016-03-07,22616.66370992466
2016-03-08,22908.474584022784
2016-03-09,24934.696576695773
2016-03-10,26351.708380762
2016-03-11,27434.13629470034
2016-03-12,127413.54477780046
2016-03-13,1383015.9953682132
2016-03-14,2877980.4486885103
2016-03-15,3134902.249771456
2016-03-16,4510937.338065101
2016-03-17,6269383.982132085
2016-03-18,5531738.459698677
2016-03-19,3612672.587409557
2016-03-20,2073767.1277703703
2016-03-21,1046954.4102881588
2016-03-22,546624.8500086066
2016-03-23,389641.4263790104
2016-03-24,312593.20516647433
2016-03-25,263341.14321787795
2016-03-26,239232.8022540108
2016-03-27,146076.9806531676
2016-03-28,60373.49702021512
2016-03-29,37813.91595544024
2016-03-30,42217.25094220129
2016-03-31,44478.679469348666
2016-04-01,38164.86498962808
2016-04-02,36021.98112306989
2016-04-03,32954.699531118604
2016-04-04,29783.6376282356
2016-04-05,28059.686280844056
2016-04-06,26870.30753867883
2016-04-07,26252.513197126256
2016-04-08,30303.24012679811
2016-04-09,130741.74778366268
2016-04-10,377450.0619694653
2016-04-11,636204.9965049594
2016-04-12,641884.129644496
2016-04-13,442733.6773975909
2016-04-14,272022.44478685845
2016-04-15,158785.16678347
2016-04-16,102113.47978441628
2016-04-17,75180.70456540555
2016-04-18,65412.00413022162
2016-04-19,60117.21431360539
2016-04-20,55023.78280509775
2016-04-21,48409.753195035686
2016-04-22,37532.92210149175
2016-04-23,31793.93300105571
2016-04-24,29487.843949283742
2016-04-25,29612.87032255913
2016-04-26,30199.7096112332
2016-04-27,32690.749745953766
2016-04-28,33177.02890647555
2016-04-29,30801.26236079262
2016-04-30,30492.08273286553
2016-05-01,43911.049713504806
2016-05-02,51808.81196560856
2016-05-03,43604.56058474393
2016-05-04,38498.10032729584
2016-05-05,50847.97127365167
2016-05-06,435771.48662621534
2016-05-07,794835.870733399
2016-05-08,717888.4264156115
2016-05-09,546572.3244774623
2016-05-10,368811.03967309673
2016-05-11,715095.3374421516
2016-05-12,1137308.9664599511
2016-05-13,1107728.309219434
2016-05-14,914871.43288973
2016-05-15,630255.6537719767
2016-05-16,677442.2774700525
2016-05-17,2538323.9510801737
2016-05-18,5196522.349974956
2016-05-19,5307157.6231635
2016-05-20,3725037.0512870974
2016-05-21,2640635.435896208
2016-05-22,1678465.9793824812
2016-05-23,859854.3923576181
2016-05-24,534520.9898212844
2016-05-25,364878.5095009664
2016-05-26,314307.461958127
2016-05-27,306167.024852794
2016-05-28,287491.9317787569
2016-05-29,416205.1916982383
2016-05-30,566130.6313361682
2016-05-31,484860.4647397468
2016-06-01,354472.01494748704
2016-06-02,721069.9141556746
2016-06-03,1323654.2818813557
2016-06-04,1254145.7925183747
2016-06-05,840985.417955105
2016-06-06,588266.212289776
2016-06-07,428814.2232580595
2016-06-08,543701.5860882191
2016-06-09,1739177.3095898533
2016-06-10,3188314.1507828194
2016-06-11,3243578.647755476
2016-06-12,2356278.5142612057
2016-06-13,1394930.9554549414
2016-06-14,729368.3975969518
2016-06-15,373503.7575768152
2016-06-16,237184.66887723067
2016-06-17,236243.81475050843
2016-06-18,426216.6425858369
2016-06-19,755161.6702082452
2016-06-20,867037.0269285503
2016-06-21,696938.950196727
2016-06-22,468318.565380365
2016-06-23,403191.51855653286
2016-06-24,603187.649225546
2016-06-25,965971.5475087664
2016-06-26,1246698.401770966
2016-06-27,1060007.2433186104
2016-06-28,726820.9497049553
2016-06-29,1164592.8984274163
2016-06-30,1650397.8563304043
2016-07-01,1340956.070490105
2016-07-02,867660.9917783753
2016-07-03,521456.9196691902
2016-07-04,283277.284529829
2016-07-05,331017.1278982352
2016-07-06,758809.5070594911
2016-07-07,924933.0214507064
2016-07-08,830345.6375268452
2016-07-09,1509115.7327289877
2016-07-10,2362450.0549884364
2016-07-11,2552746.856649571
2016-07-12,2412824.664531318
2016-07-13,2555830.7651691693
2016-07-14,2267008.5201512305
2016-07-15,1459221.060578065
2016-07-16,1961985.7709304544
2016-07-17,3208021.4638806987
2016-07-18,4679289.922574831
2016-07-19,6608435.979845918
2016-07-20,6764947.529996668
2016-07-21,4964864.915901096
2016-07-22,3244753.248691818
2016-07-23,1952286.6767938323
2016-07-24,1099002.5264598192
2016-07-25,1072319.113808388
2016-07-26,2814445.6454855404
2016-07-27,4549759.110066119
2016-07-28,6443872.113349102
2016-07-29,8803906.664266614
2016-07-30,8323831.897088959
2016-07-31,6034299.482847661
2016-08-01,3894865.899502283
2016-08-02,2249669.550933379
2016-08-03,1249262.124283726
2016-08-04,780860.0474924857
2016-08-05,585264.9613261748
2016-08-06,446532.820269056
2016-08-07,372035.9076447828
2016-08-08,249890.59730758707
2016-08-09,126437.01077143809
2016-08-10,76178.87706483474
2016-08-11,61964.157706676895
2016-08-12,51388.269355052165
2016-08-13,49188.3355051282
2016-08-14,48840.54818056341
2016-08-15,44258.16055992151
2016-08-16,40390.018874611626
2016-08-17,34308.85146878733
2016-08-18,34656.33786455569
2016-08-19,37491.0078579566
2016-08-20,35736.558722662594
2016-08-21,32212.65805061313
2016-08-22,30511.75197724737
2016-08-23,32302.19121796518
2016-08-24,58555.56071654472
2016-08-25,133523.18004776782
2016-08-26,154992.84594335445
2016-08-27,154553.35754081546
