date,inflow (m3/d)
2015-10-24,30596.42746878374
2015-10-25,735156.2418758457
2015-10-26,1029977.5587220225
2015-10-27,580730.0451008423
2015-10-28,387667.8081100372
2015-10-29,172190.78524774042
2015-10-30,76518.56818148754
2015-10-31,58980.0836609135
2015-11-01,303884.9888195295
2015-11-02,533031.3409008272
2015-11-03,726489.2943657977
2015-11-04,822900.0376727616
2015-11-05,836273.6999454257
2015-11-06,1367948.2923579202
2015-11-07,2133359.849370142
2015-11-08,2312459.217737735
2015-11-09,1684710.2421222758
2015-11-10,1449216.592217174
2015-11-11,1612017.2019066045
2015-11-12,1340015.159113514
2015-11-13,887883.9157867566
2015-11-14,526881.7875483411
2015-11-15,299304.0060225861
2015-11-16,174090.89835530656
2015-11-17,112289.7591601266
2015-11-18,110746.02477193484
2015-11-19,329955.6370441448
2015-11-20,403713.977432086
2015-11-21,234446.270654304
2015-11-22,145356.7479473894
2015-11-23,65645.20657677476
2015-11-24,32096.07089514615
2015-11-25,19698.97272172389
2015-11-26,18099.233600651725
2015-11-27,17207.667843059724
2015-11-28,16693.372382849815
2015-11-29,15015.481515095957
2015-11-30,5123.039109885043
2015-12-01,4697.793667281485
2015-12-02,4316.083789384722
2015-12-03,4073.687650045564
2015-12-04,3849.573032953068
2015-12-05,3710.9347449818056
2015-12-06,3785.448115720008
2015-12-07,4782.109243084171
2015-12-08,5947.19649902002
2015-12-09,5849.748292677739
2015-12-10,5022.747273210958
2015-12-11,4258.0025254801385
2015-12-12,4323.956698343445
2015-12-13,19155.715996473537
2015-12-14,75610.85071908926
2015-12-15,345251.2508026669
2015-12-16,606632.6258159345
2015-12-17,507120.3219465568
2015-12-18,304929.4001294905
2015-12-19,168669.2411172904
2015-12-20,74268.64712258446
2015-12-21,36522.79636774744
2015-12-22,27302.476521052733
2015-12-23,26848.591978481207
2015-12-24,26063.8920061489
2015-12-25,24126.19758933274
2015-12-26,12901.22877266934
2015-12-27,4428.814676887002
2015-12-28,4033.383913817988
2015-12-29,3891.0442505820415
2015-12-30,3775.181281486981
2015-12-31,3789.824378858651
2016-01-01,3754.778578211773
2016-01-02,3613.133644577758
2016-01-03,3523.0663408449022
2016-01-04,3434.6121867212514
2016-01-05,3370.5946007589223
2016-01-06,3320.741513053152
2016-01-07,3279.90346918448
2016-01-08,3242.9467462144635
2016-01-09,3209.634833681698
2016-01-10,3179.474844469678
2016-01-11,3146.716494127823
2016-01-12,3120.975069346236
2016-01-13,3097.0267398078163
2016-01-14,3074.396674123849
2016-01-15,3053.1936959761624
2016-01-16,3033.9223137152667
2016-01-17,3016.371999512448
2016-01-18,2998.855227860836
2016-01-19,2985.4642144741515
2016-01-20,3068.2669747322043
2016-01-21,3094.923027328912
2016-01-22,3020.001054002957
2016-01-23,2984.515750518742
2016-01-24,2947.4394634000914
2016-01-25,2928.886444661236
2016-01-26,2919.955391763817
2016-01-27,2915.744199079611
2016-01-28,2911.757283978889
2016-01-29,2907.9182154405225
2016-01-30,2904.3084154998355
2016-01-31,2896.743187886152
2016-02-01,2893.70473674084
2016-02-02,2891.018298890105
2016-02-03,2888.371544495279
2016-02-04,2885.7530725141737
2016-02-05,2883.2302616382776
2016-02-06,2880.7485532321302
2016-02-07,2878.209717286185
2016-02-08,2875.65015884506
2016-02-09,2873.175472110839
2016-02-10,2870.731979215269
2016-02-11,2868.2269549438465
2016-02-12,2865.800098762226
2016-02-13,2863.48786464657
2016-02-14,2861.1345035953987
2016-02-15,2858.6860686171503
2016-02-16,2856.2834090680303
2016-02-17,2853.980520871089
2016-02-18,2851.6367748619496
2016-02-19,2849.302081182459
2016-02-20,2846.9516315562346
2016-02-21,2844.695693144687
2016-02-22,2842.484355805985
2016-02-23,2840.2027528165977
2016-02-24,2837.894310893088
2016-02-25,2835.657602565604
2016-02-26,2833.4605776940457
2016-02-27,2831.2874558659123
2016-02-28,2829.02975591995
2016-02-29,2826.731809805688
2016-03-01,2824.5044473969274
2016-03-02,2822.312364608039
2016-03-03,2820.258244216157
2016-03-04,2818.1513267232394
2016-03-05,2815.9420445080186
2016-03-06,2813.667438724799
2016-03-07,2811.4456055768496
2016-03-08,2809.25354725372
2016-03-09,2807.085098384939
2016-03-10,2804.836719891943
2016-03-11,2802.542859558901
2016-03-12,2800.3204636985693
2016-03-13,2798.123707950319
2016-03-14,2795.9599320409097
2016-03-15,2793.811594023409
2016-03-16,2791.6682225543364
2016-03-17,2789.420749294297
2016-03-18,2787.127158084572
2016-03-19,2784.9003828539444
2016-03-20,2782.703357982386
2016-03-21,2780.5489035259334
2016-03-22,2778.5137440947988
