date,inflow (m3/d)
2015-10-24,986.1445075506308
2015-10-25,24653.613912053697
2015-10-26,57205.56893599357
2015-10-27,75520.14368477355
2015-10-28,95763.31579731908
2015-10-29,108680.5133688043
2015-10-30,108828.58061226942
2015-10-31,115723.14436472832
2015-11-01,196022.2181388791
2015-11-02,851218.9542944751
2015-11-03,1065926.419774682
2015-11-04,649142.8478228401
2015-11-05,655540.6943447193
2015-11-06,521472.7857118317
2015-11-07,324790.5612396168
2015-11-08,250426.34598169505
2015-11-09,186384.9068860836
2015-11-10,232810.01876586667
2015-11-11,309980.6514516973
2015-11-12,296684.13460024685
2015-11-13,545340.6742917272
2015-11-14,639566.1265036181
2015-11-15,391854.9411699833
2015-11-16,285509.70645689045
2015-11-17,180645.89234126144
2015-11-18,133606.91532030847
2015-11-19,109525.95691965672
2015-11-20,93072.18908447683
2015-11-21,77848.21888800239
2015-11-22,80836.8846668158
2015-11-23,94477.96401155804
2015-11-24,87720.38916367682
2015-11-25,98841.7317547386
2015-11-26,103845.87034961623
2015-11-27,100980.83346010644
2015-11-28,99397.03272691566
2015-11-29,92477.66192135523
2015-11-30,76488.03565221185
2015-12-01,56696.498700648845
2015-12-02,39523.473609374814
2015-12-03,25498.63518396087
2015-12-04,15995.0184483262
2015-12-05,10056.610073258173
2015-12-06,6323.173609947358
2015-12-07,4237.425430297529
2015-12-08,2858.354459762936
2015-12-09,2223.6622690163013
2015-12-10,1599.7876953837524
2015-12-11,882.3363448025001
2015-12-12,524.2582169037158
2015-12-13,268.1356606849325
2015-12-14,272.7150385282992
2015-12-15,404.9114318309232
2015-12-16,375.8663201987434
2015-12-17,262.4740988512148
2015-12-18,193.3867904103648
2015-12-19,138.77479734702624
2015-12-20,95.8781935304208
2015-12-21,89.00207304332544
2015-12-22,87.69773950092
2015-12-23,86.43592328292864
2015-12-24,85.11267771128449
2015-12-25,78.87928192625088
2015-12-26,72.18273886349183
2015-12-27,70.97764038390433
2015-12-28,69.8954336403984
2015-12-29,68.86519118359487
2015-12-30,67.87748953833696
2015-12-31,66.90869062533216
2016-01-01,65.94933867461567
2016-01-02,64.98999112773312
2016-01-03,64.04009494698144
2016-01-04,63.20361613837536
2016-01-05,62.40966859966176
2016-01-06,61.55428241030976
2016-01-07,60.779242497000965
2016-01-08,60.0183795105504
2016-01-09,59.28114971024064
2016-01-10,58.55809267760544
2016-01-11,57.84449141494368
2016-01-12,57.23958171903264
2016-01-13,56.57323312781568
2016-01-14,55.90689358893408
2016-01-15,55.3256170791552
2016-01-16,54.78214163004864
2016-01-17,54.27174143621952
2016-01-18,53.66683638879264
2016-01-19,53.024120983716486
2016-01-20,52.34359962482496
2016-01-21,51.65835735369024
2016-01-22,51.18576776216928
2016-01-23,50.8029711643296
2016-01-24,50.5052419994352
2016-01-25,50.34456314816832
2016-01-26,50.1318921192336
2016-01-27,49.91922598345056
2016-01-28,49.79162703594528
2016-01-29,49.59786363241536
2016-01-30,49.39937907198336
2016-01-31,51.85209800406528
2016-02-01,110.58979501835424
2016-02-02,133.56218335567104
2016-02-03,95.08425504404256
2016-02-04,79.57871506972224
2016-02-05,61.5873669625728
2016-02-06,53.855864934609606
2016-02-07,51.266095688900165
2016-02-08,51.13849674140352
2016-02-09,50.97781348629408
2016-02-10,50.88802489645536
2016-02-11,50.82658600114944
2016-02-12,48.24154256083488
2016-02-13,48.22736538931776
2016-02-14,48.22263958392288
2016-02-15,48.21791377853665
2016-02-16,48.21318821780064
2016-02-17,48.20846241240576
2016-02-18,48.2037368516784
2016-02-19,48.2037368516784
2016-02-20,48.2037368516784
2016-02-21,48.2037368516784
2016-02-22,48.2037368516784
2016-02-23,48.2037368516784
2016-02-24,48.2037368516784
2016-02-25,48.2037368516784
2016-02-26,48.2037368516784
2016-02-27,48.2037368516784
2016-02-28,48.2037368516784
2016-02-29,48.2037368516784
2016-03-01,48.2037368516784
2016-03-02,48.2037368516784
2016-03-03,48.2037368516784
2016-03-04,48.2037368516784
2016-03-05,48.2037368516784
2016-03-06,48.2037368516784
2016-03-07,48.2037368516784
2016-03-08,48.2037368516784
2016-03-09,48.2037368516784
2016-03-10,48.2037368516784
2016-03-11,48.2037368516784
2016-03-12,48.2037368516784
2016-03-13,48.2037368516784
2016-03-14,48.2037368516784
2016-03-15,48.2037368516784
2016-03-16,48.2037368516784
2016-03-17,48.2037368516784
2016-03-18,48.2037368516784
2016-03-19,48.2037368516784
2016-03-20,48.2037368516784
2016-03-21,48.2037368516784
2016-03-22,48.2037368516784
2016-03-23,48.2037368516784
2016-03-24,48.2037368516784
2016-03-25,48.2037368516784
2016-03-26,48.2037368516784
2016-03-27,48.2037368516784
2016-03-28,48.2037368516784
2016-03-29,48.2037368516784
2016-03-30,48.2037368516784
2016-03-31,48.2037368516784
2016-04-01,48.2037368516784
2016-04-02,48.2037368516784
2016-04-03,48.2037368516784
2016-04-04,48.2037368516784
2016-04-05,48.2037368516784
2016-04-06,48.2037368516784
2016-04-07,48.2037368516784
2016-04-08,48.2037368516784
2016-04-09,48.2037368516784
2016-04-10,48.2037368516784
2016-04-11,48.2037368516784
2016-04-12,48.2037368516784
2016-04-13,48.2037368516784
2016-04-14,48.2037368516784
2016-04-15,50.4957769324848
2016-04-16,103.21273989368927
2016-04-17,123.8411099180016
2016-04-18,89.46049035647232
2016-04-19,75.70822687377695
2016-04-20,59.66394165957888
2016-04-21,52.7878214171424
2016-04-22,50.4957769324848
2016-04-23,50.4957769324848
2016-04-24,50.4957769324848
2016-04-25,50.4957769324848
2016-04-26,50.4957769324848
2016-04-27,48.2037368516784
2016-04-28,48.2037368516784
2016-04-29,48.2037368516784
2016-04-30,48.2037368516784
2016-05-01,48.2037368516784
2016-05-02,48.2037368516784
2016-05-03,48.2037368516784
2016-05-04,68.59108150402176
2016-05-05,552.5519509229789
2016-05-06,1082.2306783547492
2016-05-07,911.8872198784712
2016-05-08,563.7853170720806
2016-05-09,330.7627133967312
2016-05-10,502.0561600450071
2016-05-11,8208.327033261656
2016-05-12,11423.292734942115
2016-05-13,9688.990611309371
2016-05-14,9117.47838467635
2016-05-15,6104.129961129679
2016-05-16,11250.228437315862
2016-05-17,150192.81878808644
2016-05-18,242400.44139765625
2016-05-19,189705.97959207307
2016-05-20,161392.17582400827
2016-05-21,127206.79225985134
2016-05-22,104040.57421680256
2016-05-23,79827.12543009351
2016-05-24,55148.50849423424
2016-05-25,35038.86044592889
2016-05-26,22403.77689302181
2016-05-27,16772.359439366286
2016-05-28,8507.2186885427
2016-05-29,10645.65541466768
2016-05-30,20485.15903765305
2016-05-31,28844.783087735574
2016-06-01,28617.00323129972
2016-06-02,29106.93366121829
2016-06-03,47508.42887928757
2016-06-04,64081.37821868029
2016-06-05,64057.74723446046
2016-06-06,67413.7156926165
2016-06-07,71503.29081730565
2016-06-08,63309.47824047162
2016-06-09,59555.76313973331
2016-06-10,89404.97633326107
2016-06-11,131155.0852291336
2016-06-12,136244.20954133125
2016-06-13,122472.05833505352
2016-06-14,127415.8315919958
2016-06-15,124485.39871584148
2016-06-16,111574.62218196808
2016-06-17,107041.88145164202
2016-06-18,99831.00532480772
2016-06-19,98849.95420595056
2016-06-20,101667.32764396786
2016-06-21,107575.30587894825
2016-06-22,117227.33524112275
2016-06-23,221813.3081600967
2016-06-24,383729.3792441816
2016-06-25,384195.6916567309
2016-06-26,390688.098324808
2016-06-27,440088.8704769322
2016-06-28,871453.3772080862
2016-06-29,1493046.939922543
2016-06-30,1642834.1382538553
2016-07-01,1308993.6450093477
2016-07-02,799161.1301109102
2016-07-03,473720.47459426575
2016-07-04,278567.82470941107
2016-07-05,424008.0551980836
2016-07-06,676656.7432154472
2016-07-07,1100533.4295377198
2016-07-08,1287703.329006575
2016-07-09,977484.2220658947
2016-07-10,840571.2591942113
2016-07-11,813627.1957201285
2016-07-12,663709.4848144583
2016-07-13,568568.6952805226
2016-07-14,506526.70931338734
2016-07-15,423575.4174518284
2016-07-16,600836.830166403
2016-07-17,702782.9409386247
2016-07-18,549094.6827368777
2016-07-19,374327.22109264974
2016-07-20,269994.52477286936
2016-07-21,377664.1226533319
2016-07-22,597148.4878098412
2016-07-23,660691.6583012972
2016-07-24,566378.9612041949
2016-07-25,396116.0635686441
2016-07-26,273667.28244298144
2016-07-27,196024.5325993785
2016-07-28,152004.43681031943
2016-07-29,189858.46119185863
2016-07-30,328850.0197528789
2016-07-31,370101.8235906197
2016-08-01,276694.648154332
2016-08-02,203897.89857842075
2016-08-03,144811.087950946
2016-08-04,107425.76408438056
2016-08-05,86861.38473369516
2016-08-06,85578.39413802711
2016-08-07,86553.83623770779
2016-08-08,72131.97682402882
2016-08-09,48960.97572571957
2016-08-10,26135.846772610454
2016-08-11,13477.43081556744
2016-08-12,7706.82412958561
2016-08-13,7603.667670961233
2016-08-14,7651.998915258488
2016-08-15,5599.695937579058
2016-08-16,4022.02106265628
2016-08-17,2066.9055377402965
2016-08-18,1053.114733466349
2016-08-19,780.9715183690945
2016-08-20,570.4298273440138
2016-08-21,429.6465800761277
2016-08-22,326.3865823731744
2016-08-23,359.22185060471134
2016-08-24,2683.1858624796328
2016-08-25,3852.0605397433337
2016-08-26,4358.9604912876
2016-08-27,5624.015265838543
2016-08-28,4845.846842937031
2016-08-29,4674.79903737022
2016-08-30,5774.836815161033
2016-08-31,29566.9476095924
2016-09-01,51341.245438416525
2016-09-02,47729.330188478
2016-09-03,37059.48281427556
2016-09-04,21986.279265967536
2016-09-05,11670.671790300934
2016-09-06,5780.101185235507
2016-09-07,3468.2072903774983
2016-09-08,2687.178918485048
2016-09-09,2379.799962845704
2016-09-10,2243.888948518197
2016-09-11,1139.0780852624275
2016-09-12,536.7580920474278
2016-09-13,337.0811881136256
2016-09-14,2613.611956578765
2016-09-15,11190.779904647943
2016-09-16,19459.65501057504
2016-09-17,28991.067511574976
2016-09-18,34315.153602825914
2016-09-19,26517.63415802163
2016-09-20,16579.415956707606
2016-09-21,8934.318170587147
2016-09-22,5328.904621857328
2016-09-23,3781.456234070866
2016-09-24,2678.417315412362
2016-09-25,2262.348202247925
2016-09-26,1671.3512593030944
2016-09-27,1689.054543197525
2016-09-28,1970.0823556150733
2016-09-29,4794.372434059615
2016-09-30,5641.222888199759
2016-10-01,3290.326027953221
2016-10-02,2105.1754259012496
2016-10-03,943.0448198561654
2016-10-04,440.530215585673
2016-10-05,276.7840019876909
2016-10-06,263.86350423039937
2016-10-07,261.68488250036546
2016-10-08,239.2228892190672
2016-10-09,212.49814656635127
2016-10-10,69.8150873643552
2016-10-11,163.1602247389776
2016-10-12,2555.563672513014
2016-10-13,12137.173225279625
2016-10-14,185672.26198981164
2016-10-15,272706.6981521455
2016-10-16,189681.0979184164
2016-10-17,160170.56785240205
2016-10-18,105285.9066318158
2016-10-19,65306.76125640769
2016-10-20,38212.8853964978
2016-10-21,23791.926493892865
2016-10-22,15920.098212068911
2016-10-23,12422.888505249692
2016-10-24,11284.85017301732
2016-10-25,3470.9812177710096
2016-10-26,2578.300188700496
2016-10-27,1569.079242644328
2016-10-28,707.0023883688365
2016-10-29,253.05074112227905
2016-10-30,159.88993878286945
2016-10-31,1472.3929929077826
2016-11-01,3665.322893908368
2016-11-02,6148.869779268844
2016-11-03,6100.20721970645
2016-11-04,4124.113554492075
2016-11-05,2803.005140014889
2016-11-06,1350.0497472663744
2016-11-07,731.5437311294083
2016-11-08,436.9007941088227
2016-11-09,362.8654915788317
2016-11-10,340.7531922384567
2016-11-11,284.118512630953
