date,inflow (m3/d)
2015-10-24,7458.675136891517
2015-10-25,181423.38274467224
2015-10-26,304244.6427696338
2015-10-27,217443.17516122755
2015-10-28,146582.39692788242
2015-10-29,274851.14856104803
2015-10-30,480826.9154618852
2015-10-31,442982.1198080944
2015-11-01,415820.4138634946
2015-11-02,526483.1229506008
2015-11-03,588492.5914816918
2015-11-04,505172.7230088854
2015-11-05,595758.3631374354
2015-11-06,828822.2772414599
2015-11-07,1942645.2215313187
2015-11-08,2377045.8869664604
2015-11-09,1490390.8567350323
2015-11-10,1026532.20780557
2015-11-11,728985.5207514345
2015-11-12,581126.209298339
2015-11-13,455011.9123662834
2015-11-14,388480.7807097812
2015-11-15,282702.44936424214
2015-11-16,186777.26396731887
2015-11-17,126104.9632462148
2015-11-18,44270.02278162502
2015-11-19,25510.667687324803
2015-11-20,20746.64715186576
2015-11-21,17867.837216192336
2015-11-22,10619.677161369882
2015-11-23,35718.85407847214
2015-11-24,674209.8691524264
2015-11-25,1071804.9072322687
2015-11-26,738889.2709353908
2015-11-27,484072.8019643861
2015-11-28,236762.2597741637
2015-11-29,101430.21483566392
2015-11-30,47083.46726391715
2015-12-01,37333.48631247458
2015-12-02,38274.67880059963
2015-12-03,77279.95938360403
2015-12-04,126417.43033774984
2015-12-05,91541.74473949752
2015-12-06,54305.43078196848
2015-12-07,30853.123157351514
2015-12-08,14287.586452653495
2015-12-09,7043.381825504029
2015-12-10,4786.396548734699
2015-12-11,4298.863909679844
2015-12-12,4161.466353582873
2015-12-13,6147.047520844756
2015-12-14,34763.35646292617
2015-12-15,111275.36146076064
2015-12-16,128283.38460171437
2015-12-17,81555.23204145145
2015-12-18,50937.166079600895
2015-12-19,23728.59546597001
2015-12-20,10581.538081818922
2015-12-21,6002.397947739952
2015-12-22,5339.034374460563
2015-12-23,5216.670707252783
2015-12-24,5141.317084597109
2015-12-25,3946.744433734134
2015-12-26,979.3426849154235
2015-12-27,590.7833397705916
2015-12-28,505.1157642827856
2015-12-29,472.6313912607667
2015-12-30,455.00025443364
2015-12-31,440.6597813352874
2016-01-01,429.51037676696353
2016-01-02,421.209997229615
2016-01-03,415.0511640159523
2016-01-04,410.3881548795072
2016-01-05,406.6320839711414
2016-01-06,403.39358857346974
2016-01-07,400.5729976439088
2016-01-08,397.9993273548423
2016-01-09,395.6108236920202
2016-01-10,393.45502117243103
2016-01-11,391.5271122750288
2016-01-12,389.72268204719904
2016-01-13,387.9895254591801
2016-01-14,386.2895811346771
2016-01-15,384.6085928777693
2016-01-16,383.1555324951273
2016-01-17,381.7927776637382
2016-01-18,380.2922512682487
2016-01-19,378.74425885992
2016-01-20,377.2484347826938
2016-01-21,375.8857166499466
2016-01-22,374.7080159023392
2016-01-23,373.63964772429216
2016-01-24,372.7421165793284
2016-01-25,371.9207448856138
2016-01-26,371.146658158152
2016-01-27,370.39171099146046
2016-01-28,369.6461684612957
2016-01-29,368.91487968047136
2016-01-30,368.1931080786537
2016-01-31,370.32513966990433
2016-02-01,434.7622008018605
2016-02-02,506.8110062890253
2016-02-03,484.0515240965568
2016-02-04,435.88284496034686
2016-02-05,403.74506851456607
2016-02-06,380.4631983972317
2016-02-07,370.9947062419776
2016-02-08,368.4352554501812
2016-02-09,368.07440512461983
2016-02-10,367.7562475429392
2016-02-11,368.6537395426982
2016-02-12,395.1027971658231
2016-02-13,404.2674221873616
2016-02-14,384.7701329236455
2016-02-15,376.8259013935863
2016-02-16,367.60433232540674
2016-02-17,363.5158818915101
2016-02-18,361.9963602832119
2016-02-19,361.8729183122813
2016-02-20,361.7922033372931
2016-02-21,361.7494763413507
2016-02-22,361.61651719141344
2016-02-23,360.163459255343
2016-02-24,360.0684880844429
2016-02-25,360.00202685879515
2016-02-26,359.9735193601229
2016-02-27,359.9592998628528
2016-02-28,359.9497851304176
2016-02-29,359.8310454777504
2016-03-01,359.66957882914943
2016-03-02,359.5793099765213
2016-03-03,359.51755351570847
2016-03-04,359.49381928600326
2016-03-05,359.484304553568
2016-03-06,359.47482651976605
2016-03-07,359.3561211191606
2016-03-08,359.19465447055103
2016-03-09,359.1044614617696
2016-03-10,359.04273925301857
2016-03-11,360.14439064526783
2016-03-12,386.0189238178973
2016-03-13,396.137987332416
2016-03-14,379.13839239968354
2016-03-15,372.2246120193293
2016-03-16,364.2566829581981
2016-03-17,360.81876963150427
2016-03-18,359.6696497798358
2016-03-19,359.66013504740926
2016-03-20,359.6506570136074
2016-03-21,359.5319540595735
2016-03-22,360.4959072849889
2016-03-23,385.16430316204224
2016-03-24,395.23108824955006
2016-03-25,378.32646448770913
2016-03-26,371.5646360235293
2016-03-27,363.6773852387443
2016-03-28,360.18245202157146
2016-03-29,358.8955630523741
2016-03-30,358.80533334495937
2016-03-31,358.74357443757503
2016-04-01,358.7198402078611
2016-04-02,358.7103254754259
2016-04-03,357.57546181966944
2016-04-04,357.45675886564413
2016-04-05,357.29532646909627
2016-04-06,357.205096761673
2016-04-07,358.10255450937024
2016-04-08,443.4756332479431
2016-04-09,2451.4742122908942
2016-04-10,15492.657506128216
2016-04-11,19522.948703754515
2016-04-12,11095.334220418548
2016-04-13,7403.075263338246
2016-04-14,3414.884982963903
2016-04-15,1701.877427482294
2016-04-16,1135.6438515854084
2016-04-17,1113.7580953575118
2016-04-18,1095.0871002975734
2016-04-19,1078.2726328458805
2016-04-20,1028.7838182249045
2016-04-21,513.2546747249529
2016-04-22,492.1761098386973
2016-04-23,455.9784638549588
2016-04-24,432.1789790817255
2016-04-25,413.5791842643399
2016-04-26,426.281396101727
2016-04-27,946.8155481988376
2016-04-28,1149.490441810996
2016-04-29,804.0046451471194
2016-04-30,664.7932688652375
2016-05-01,501.76337589867165
2016-05-02,430.2843533985254
2016-05-03,405.8723219437066
2016-05-04,404.4810571670823
2016-05-05,403.16091923573566
2016-05-06,1376.131246053693
2016-05-07,23793.95174469289
2016-05-08,32757.463947521253
2016-05-09,18274.937949055715
2016-05-10,15195.299364421213
2016-05-11,76494.24188048765
2016-05-12,160140.14248313676
2016-05-13,145354.06943644356
2016-05-14,90947.44143804155
2016-05-15,57779.12968036039
2016-05-16,94743.2249165766
2016-05-17,327210.3712835628
2016-05-18,555495.5532261747
2016-05-19,585612.2943216542
2016-05-20,455659.4328458003
2016-05-21,265135.0654035926
2016-05-22,137179.12803103687
2016-05-23,61935.83198857507
2016-05-24,34058.560425774995
2016-05-25,27010.833702231263
2016-05-26,29681.55157089357
2016-05-27,38770.703894947525
2016-05-28,36333.56867068359
2016-05-29,34708.60014416739
2016-05-30,28057.18734854582
2016-05-31,15378.094427104994
2016-06-01,18442.044321361853
2016-06-02,228645.6212434777
2016-06-03,393157.2973900037
2016-06-04,298704.97911765624
2016-06-05,210680.03777910589
2016-06-06,179589.8135570133
2016-06-07,139431.03717725695
2016-06-08,87703.16967542404
2016-06-09,311312.7629239313
2016-06-10,565641.3969570023
2016-06-11,551492.1677786489
2016-06-12,505150.138669699
2016-06-13,499363.63756079896
2016-06-14,392483.3832531212
2016-06-15,224507.97213191364
2016-06-16,131861.1598466833
2016-06-17,72003.00950680788
2016-06-18,55074.05944396806
2016-06-19,49271.146706072
2016-06-20,32562.211802747253
2016-06-21,22790.482825049112
2016-06-22,18103.17792087157
2016-06-23,36480.96848833029
2016-06-24,71155.36795245369
2016-06-25,73403.44111282058
2016-06-26,53327.10955214433
2016-06-27,36898.25617473398
2016-06-28,25758.56230955576
2016-06-29,84775.5929316027
2016-06-30,219734.78660200007
2016-07-01,302682.12014892686
2016-07-02,247910.2582954933
2016-07-03,147890.96916248085
2016-07-04,79683.8087024336
2016-07-05,36565.55052067947
2016-07-06,22045.15380753845
2016-07-07,67316.12570721931
