date,inflow (m3/d)
2015-10-24,88457.76649249504
2015-10-25,2126637.442578289
2015-10-26,3006942.9216898032
2015-10-27,1722653.6665774556
2015-10-28,1273826.3596520042
2015-10-29,1214397.1524845993
2015-10-30,1091227.960053141
2015-10-31,627030.4114742267
2015-11-01,515975.15912148345
2015-11-02,2139957.42208956
2015-11-03,3945027.25573124
2015-11-04,3300331.9104348053
2015-11-05,2005998.297993297
2015-11-06,1141324.3719333054
2015-11-07,536678.0205218235
2015-11-08,271666.4484672474
2015-11-09,197541.52836304784
2015-11-10,731481.000931519
2015-11-11,1457065.3754940953
2015-11-12,1452301.5405313938
2015-11-13,1553657.4736625613
2015-11-14,1624898.45903815
2015-11-15,1083271.21428899
2015-11-16,640983.0901101455
2015-11-17,349967.52433607745
2015-11-18,182683.0315413541
2015-11-19,118863.19518815204
2015-11-20,239991.62675368544
2015-11-21,2898446.0289561464
2015-11-22,5151882.498914017
2015-11-23,3990394.0333287455
2015-11-24,2633699.785576733
2015-11-25,1768321.037790546
2015-11-26,1182752.047856672
2015-11-27,759617.3687628469
2015-11-28,488742.6712987556
2015-11-29,343284.9869398896
2015-11-30,253729.3477911297
2015-12-01,218161.5134835336
2015-12-02,95452.56620184178
2015-12-03,39194.42656444384
2015-12-04,36104.19731683244
2015-12-05,28971.77185928432
2015-12-06,17839.491901020105
2015-12-07,11068.757485802167
2015-12-08,11918.987614983878
2015-12-09,13998.14498914236
2015-12-10,13704.894525506734
2015-12-11,12855.156696263395
2015-12-12,12551.502316764962
2015-12-13,11256.924837009286
2015-12-14,16192.321557409592
2015-12-15,75541.50693808752
2015-12-16,111780.44182064822
2015-12-17,80426.03905857392
2015-12-18,54688.66482752056
2015-12-19,32241.706731799084
2015-12-20,19435.710179639707
2015-12-21,14467.162824968927
2015-12-22,13390.943561416218
2015-12-23,13079.54168442333
2015-12-24,12843.834653982369
2015-12-25,12503.404989558996
2015-12-26,9839.559600634657
2015-12-27,9030.20602442125
2015-12-28,8895.209635462299
2015-12-29,8799.82051606034
2015-12-30,8714.040248854702
2015-12-31,8634.214995544242
2016-01-01,8558.782617620616
2016-01-02,8486.970853501756
2016-01-03,8417.993398261739
2016-01-04,8351.165430929745
2016-01-05,8286.052390751116
2016-01-06,8222.525954836628
2016-01-07,8162.593269327028
2016-01-08,8142.482515915877
2016-01-09,8102.624423430341
2016-01-10,8023.118815219515
2016-01-11,7959.104727860266
2016-01-12,7906.360766448214
2016-01-13,8092.819013351852
2016-01-14,8147.120415847134
2016-01-15,7948.955745172967
2016-01-16,7836.977301990567
2016-01-17,7717.278787425967
2016-01-18,7636.764064651088
2016-01-19,7575.069208613662
2016-01-20,7526.311575124181
2016-01-21,7480.5982156299
2016-01-22,7439.077699502968
2016-01-23,7403.368681147651
2016-01-24,7363.532167458742
2016-01-25,7338.254466612741
2016-01-26,7315.843736429588
2016-01-27,7294.60136841505
2016-01-28,7274.027478246445
2016-01-29,7254.082382467874
2016-01-30,7235.362825329231
2016-01-31,7219.875977437009
2016-02-01,7239.5772474932
2016-02-02,7278.658943683925
2016-02-03,7260.578701210305
2016-02-04,7212.533290338154
2016-02-05,7177.201656266172
2016-02-06,7147.436568818651
2016-02-07,7128.346624602826
2016-02-08,7114.941592338065
2016-02-09,7103.739138671431
2016-02-10,7092.955514278471
2016-02-11,7082.861922062323
2016-02-12,7072.215379299164
2016-02-13,7062.186523472882
2016-02-14,7054.464690556269
2016-02-15,7047.49356489088
2016-02-16,7040.84675728447
2016-02-17,7034.182456662662
2016-02-18,7029.06625120536
2016-02-19,7055.655805877786
2016-02-20,7063.896802132636
2016-02-21,7036.835914674573
2016-02-22,7020.866675475092
2016-02-23,7004.074359318705
2016-02-24,6992.920323382821
2016-02-25,6985.119148020123
2016-02-26,6978.978072052024
2016-02-27,6972.872006580488
2016-02-28,6966.652762522578
2016-02-29,6960.263775050877
2016-03-01,6952.659769214242
2016-03-02,6946.491854312021
2016-03-03,6940.378179990426
2016-03-04,6934.26394295645
2016-03-05,6928.021945745646
2016-03-06,7189.170010418379
2016-03-07,13343.570714171228
2016-03-08,15962.65761758472
2016-03-09,12050.015169035654
2016-03-10,10329.000250587707
2016-03-11,8416.50654088402
2016-03-12,7609.311774031605
2016-03-13,8489.162936290644
2016-03-14,8973.384722475019
2016-03-15,8219.516079694104
2016-03-16,7883.378393880611
2016-03-17,7509.709994000089
2016-03-18,7069.924136801986
2016-03-19,6996.085947526818
2016-03-20,6984.866588022918
2016-03-21,6976.72125287327
2016-03-22,6998.9155834463045
2016-03-23,7004.105284034048
2016-03-24,6925.374310583612
2016-03-25,6906.917246539032
2016-03-26,6889.569631123087
2016-03-27,6877.816526690482
2016-03-28,6869.163722833866
2016-03-29,6861.8636061501165
2016-03-30,6854.2753562602165
2016-03-31,6846.604240855401
2016-04-01,6838.965224522202
2016-04-02,6830.215609669855
2016-04-03,7018.379437808134
2016-04-04,11507.42574727496
2016-04-05,13417.650967634365
2016-04-06,10547.105344081085
2016-04-07,9266.10146564769
2016-04-08,7852.554575316254
2016-04-09,7449.054027351529
2016-04-10,12667.460653376163
2016-04-11,14969.788584507778
2016-04-12,11500.541523974189
2016-04-13,9962.960982875034
2016-04-14,8261.87246836822
2016-04-15,7300.279894803837
2016-04-16,7029.889303696499
2016-04-17,7017.380819053318
2016-04-18,7012.506677783982
2016-04-19,7007.701970329632
2016-04-20,7002.907758684512
2016-04-21,6761.939856772167
2016-04-22,6749.098882507556
2016-04-23,6744.562490997152
2016-04-24,6739.882020650791
2016-04-25,6734.981064913082
2016-04-26,6730.156515730769
2016-04-27,6725.330792192175
2016-04-28,6720.338261130486
2016-04-29,6715.261714663351
2016-04-30,6709.907530799303
2016-05-01,6704.539328057178
