date,outflow (m3/d)
2017-08-02,2786089.755780402
2017-08-14,536976.5458708251
2017-08-17,189102.0916430544
2017-08-30,680726.6804173386
2017-09-06,2099448.1456098487
2017-09-11,1970100.0062212977
2017-09-15,1170481.6361409987
2017-09-26,960678.6625378
2017-10-01,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-21,205286.7707126587
2017-11-02,189708.2221088017
2017-11-05,602120.7780833383
2017-11-10,539028.1040300059
2017-11-18,214814.5627009684
2017-11-25,642961.6664011228
2017-12-04,329233.99179067754
2017-12-05,5610077.466164651
2017-12-15,0.0
2017-12-20,378231.1989103123
2017-12-25,53004.623849657306
2018-01-04,965130.5278486612
2018-01-05,0.0
2018-01-14,2496377.6053344817
2018-01-21,0.0
2018-01-24,5625236.583471004
2018-01-29,0.0
2018-02-03,760109.5093306211
2018-02-06,0.0
2018-02-08,3453899.2471686816
2018-02-13,0.0
2018-02-18,156352.78508374174
2018-02-22,175516.94330530378
2018-02-23,2498759.2256965744
2018-02-28,465215.9723887302
2018-03-05,354677.961327248
2018-03-10,28794.9693591997
2018-03-15,28722.45676690849
2018-03-20,50129.53258415463
2018-03-25,49864.801734372486
2018-03-26,247483.4463704121
2018-03-30,53158.48463554671
2018-04-04,28084.162969282523
2018-04-09,28453.33370183411
2018-04-11,48876.90914008315
2018-04-14,24338.10908388374
2018-04-24,90219.46491444598
2018-04-27,297781.1929846207
2018-04-29,1428236.9097471558
2018-05-04,801469.2752389875
2018-05-09,1383422.2234254028
2018-05-13,1806574.091777049
2018-05-14,3120329.9051839747
2018-05-19,1494217.515115837
2018-05-24,589626.8585031212
2018-05-29,862382.9976053454
2018-06-03,1115879.5095715693
2018-06-08,1052595.008331278
2018-06-13,909817.4927106446
2018-06-14,3141968.271227259
2018-06-18,3341561.784356992
2018-06-23,1251760.3522512163
2018-06-28,808769.7968196239
2018-06-30,382298.8691142881
2018-07-03,171704.92200455084
2018-07-08,16359.933226914629
2018-07-13,799595.9553549706
2018-07-18,1823246.3945672675
2018-07-23,2470531.33475526
2018-07-28,515189.9942435182
2018-08-01,210091.0808701141
2018-08-02,1461746.918842103
2018-08-07,655865.0102806058
2018-08-12,1213956.8973108418
2018-08-17,5653081.596481519
2018-08-22,7270619.320853758
2018-08-27,611053.5712179282
2018-09-01,52760.9047536212
2018-09-02,15553.655627751894
2018-09-06,9585.27436483779
2018-09-11,4119.274786184436
2018-09-21,8169.459879216076
2018-09-26,13663.315477325406
2018-10-01,532748.6025298624
2018-10-04,3302069.6132466146
2018-10-06,6056153.713772858
2018-10-11,2248028.912184286
2018-10-16,784955.0904397917
2018-10-20,1442346.862379245
2018-10-21,3628730.9569817954
2018-10-26,2215327.9908193927
2018-10-31,473910.2946800668
2018-11-05,120356.57295071956
2018-11-10,178118.57913381307
2018-11-15,19753.94395396308
2018-11-20,45605.42069259284
2018-11-21,91096.75145552529
2018-11-25,33433.32839584205
2018-11-30,18628.58802404444
2018-12-07,5635.619404808057
2018-12-10,6444.843960280162
2018-12-15,5826.94977091242
2018-12-20,6556.022786285588
2018-12-23,8328.238828396261
2018-12-25,11658.385339239174
2018-12-30,5759.840623274219
2019-01-04,5740.315682655876
2019-01-08,6633.421194181752
2019-01-09,20692.0766928958
2019-01-14,5676.697910635508
2019-01-19,5711.011919019456
2019-01-24,5661.743016618826
2019-01-29,5640.311899223041
2019-02-03,2793.4296568524087
2019-02-08,1392.0269239700897
2019-02-09,2929.5193430143845
2019-02-13,1727.5732138774051
2019-02-18,1901.465432307752
2019-02-23,1805.2280989321216
2019-02-25,1773.409596703203
2019-02-28,31235.646701637805
2019-03-05,28109.04204459808
2019-03-10,0.0
2019-03-13,164356.60294147787
2019-03-15,72468.68122284066
2019-03-20,37944.30161148553
2019-03-25,24375.147584355
2019-03-29,63767.555516135006
2019-04-02,6184.334799853407
2019-04-07,29245.29152006234
2019-04-12,17299.119013769945
2019-04-14,53000.09507007583
2019-04-17,32056.62767923009
2019-04-22,2474169.9648860795
2019-04-27,2966375.855533769
2019-04-30,655262.7002873117
2019-05-02,270619.87702915724
2019-05-07,80567.25723545358
2019-05-12,37666.80601660126
2019-05-16,40798.3093148829
2019-05-17,56665.28299582136
2019-05-22,7247.810620205473
2019-05-27,11409.51344065968
2019-06-01,53974.44810890388
2019-06-06,25854.11466217323
2019-06-11,300118.0110734108
2019-06-16,750848.8716060235
2019-06-17,625759.3100504369
2019-06-21,144766.01030929282
2019-06-26,324789.20960190473
2019-07-01,133586.14891093408
2019-07-03,8108.299195776503
2019-07-06,0.0
2019-07-11,7756.710939796939
2019-07-16,17578.11529777251
2019-07-19,126345.5261157574
2019-07-21,1128997.6849177412
2019-07-26,3462953.083092837
2019-07-31,1067059.019695157
2019-08-04,187699.7681664009
2019-08-05,0.0
2019-08-10,4061128.609728857
2019-08-15,8209484.132231512
2019-08-20,1670884.6552091464
2019-08-25,1108431.2388017066
2019-08-30,939133.3005821704
2019-09-04,1046602.262248862
2019-09-05,920444.5934137984
2019-09-09,790080.7924030009
2019-09-14,467004.61261699937
2019-09-19,380412.90920970816
2019-09-21,835625.4866805134
2019-09-24,524465.7774596162
2019-09-29,258097.499893012
2019-10-04,309220.28262056323
2019-10-07,356716.97505080584
2019-10-09,746400.4611224809
2019-10-14,578121.8429509656
2019-10-19,2524582.204561748
2019-10-23,4398627.551934759
2019-10-24,5402012.594330073
2019-10-29,1017022.5311168594
2019-11-03,93261.0111889516
2019-11-08,0.0
2019-11-13,0.0
2019-11-18,241690.85126234303
2019-11-23,114747.6128289287
2019-11-24,35022.36415009158
2019-11-28,56044.58405245535
2019-12-03,40230.91860318162
2019-12-08,95242.4917707768
2019-12-10,82901.06158756866
2019-12-13,57941.61108652728
2019-12-18,33934.728350614416
2019-12-23,33834.90911834789
2019-12-26,53040.38707386057
2019-12-28,76315.31120942168
2020-01-02,20247.02662887451
2020-01-07,14401.499522143573
2020-01-11,20904.36140197696
2020-01-12,875259.949331496
2020-01-17,256742.28875881445
2020-01-22,215697.10180158413
2020-01-27,215913.59774664068
2020-02-01,15433.15956297454
2020-02-06,15636.734003316846
2020-02-11,15425.122116057722
2020-02-12,69467.04921690123
2020-02-16,18678.03956652395
2020-02-21,12901.195104846063
2020-02-26,11690.033226935013
2020-02-28,27709.09537339687
2020-03-02,18586.29617578902
2020-03-07,12307.44216206856
2020-03-12,12211.599093827144
2020-03-15,20247.313391333624
2020-03-17,40502.603269081534
2020-03-22,12510.1372159491
2020-03-27,210858.02729053205
2020-03-31,85464.0637320788
2020-04-01,80520.46997370048
2020-04-06,25621.08866506385
2020-04-11,563788.209838053
2020-04-16,224304.7911079275
2020-04-21,44249.04755243808
2020-04-26,38630.43363296693
2020-05-01,843094.9484098243
2020-05-02,2243946.5172575912
2020-05-06,948712.0224372364
2020-05-11,401002.2177412736
2020-05-16,633220.6320570986
2020-05-18,1638524.714417125
2020-05-21,877153.9965080039
2020-05-26,231368.0097063047
2020-05-31,31853.82972314744
2020-06-03,49503.60187472898
2020-06-05,49110.749811992806
2020-06-10,50831.64415430153
2020-06-15,46271.636797036816
2020-06-19,42086.9213432651
2020-06-20,27179.60288679192
2020-06-25,115867.3775134588
2020-06-30,128555.15228628564
2020-07-05,743801.9137628251
2020-07-10,958803.6784609418
2020-07-15,410754.9915982319
2020-07-20,357014.9229277402
2020-07-21,1633197.0553779015
2020-07-25,1978600.315667187
2020-07-30,933478.1098353186
2020-08-04,1785990.575731289
2020-08-06,2647137.9760436863
2020-08-09,2879940.1627475163
2020-08-14,2931569.637764537
2020-08-19,324736.7607471129
2020-08-22,26416.40793594913
2020-08-24,0.0
2020-08-29,197.23342497732577
2020-09-03,41607.336757428886
2020-09-07,226939.59127346548
2020-09-08,1280232.9305646666
2020-09-13,1011762.8252235004
2020-09-18,1132905.4001098317
2020-09-23,854231.917232542
2020-09-28,540340.3027067116
2020-10-03,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-13,49118.061412239935
2020-10-18,169230.5719354967
2020-10-23,17035.437818257662
2020-10-25,0.0
2020-10-28,0.0
2020-11-02,0.0
2020-11-07,13328.794224137053
2020-11-10,115009.41189981964
2020-11-12,78776.80549456413
2020-11-17,30928.840062670268
2020-11-22,134916.69325069795
2020-11-26,50710.45172431988
2020-11-27,85641.27819991398
2020-12-02,87914.02470790752
2020-12-07,346347.145600734
2020-12-12,203067.30929003644
2020-12-17,122380.0072576344
2020-12-22,105428.24016253004
2020-12-27,107305.12885103526
2020-12-28,515196.0011612455
2021-01-01,134857.6359130539
2021-01-06,114760.94089811052
2021-01-11,1149613.927887752
2021-01-16,1403646.1014242491
2021-01-21,455481.3967841955
2021-01-26,55519.37676425322
2021-01-29,18186.51575470078
2021-01-31,23165.636635425704
2021-02-05,10469.682270221418
2021-02-10,10274.340781247503
2021-02-14,12170.546072461942
2021-02-15,42287.55422749821
2021-02-20,10029.010925961464
2021-02-25,9962.332252506694
2021-03-02,9914.278929715869
2021-03-07,9875.069067141105
2021-03-12,206220.9461425877
2021-03-17,948004.8725905884
2021-03-18,374791.79419181775
2021-03-22,110067.53881833045
2021-03-27,849035.9580453874
2021-04-01,390041.9794375594
2021-04-03,237154.81263652333
2021-04-06,113284.47217397948
2021-04-11,33050.311683852386
2021-04-16,357699.7317670208
2021-04-19,981831.4182292984
2021-04-21,856543.8948571589
2021-04-26,749449.1808034743
2021-05-01,515498.7622002837
2021-05-05,110582.31024189906
2021-05-06,641252.2164590985
2021-05-11,639597.054866061
2021-05-16,3736012.463872408
2021-05-21,6774007.144972578
2021-05-26,1570936.5688727575
2021-05-31,605626.5098786576
2021-06-05,417626.7458173504
2021-06-06,2265147.5935988226
2021-06-10,1221812.95354051
2021-06-15,494767.1601736838
2021-06-20,1454706.9763713288
2021-06-22,460125.1892371796
2021-06-25,231068.5934579945
2021-06-30,150572.1110043939
2021-07-05,99804.96886289831
2021-07-08,296970.885067892
2021-07-10,365662.1559571702
2021-07-15,1879985.106148353
2021-07-20,3659848.446379556
2021-07-24,1392887.653371458
2021-07-25,782544.6228638266
2021-07-30,631699.7925213092
2021-08-04,131848.9992302792
2021-08-09,14752.500754935096
2021-08-14,26028.63902443814
2021-08-19,212454.8789560709
2021-08-24,874012.8478685691
2021-08-25,510669.28901755245
2021-08-29,443113.4724758308
2021-09-03,958999.3746331304
2021-09-08,286729.86229832727
2021-09-10,250779.4741274425
2021-09-13,0.0
2021-09-18,240036.57468258368
2021-09-23,47456.97061433814
2021-09-26,13778.758063293344
2021-09-28,87332.0641696094
2021-10-03,392182.1467777905
2021-10-08,2253714.1278765346
2021-10-12,1823114.391435992
2021-10-13,2281669.944659978
2021-10-18,2406234.777803021
2021-10-23,3533102.860000721
2021-10-28,3428766.3837150494
2021-11-02,1214568.7732961222
2021-11-07,2542729.291883509
2021-11-12,940321.0290517831
2021-11-17,538844.5781915054
2021-11-22,787587.8082094197
2021-11-27,692796.982016069
2021-11-29,1216817.9618112412
2021-12-02,509954.3700686636
2021-12-07,135450.66518648554
2021-12-12,5398.053578777316
2021-12-15,0.0
2021-12-17,0.0
2021-12-22,110864.46408675084
2021-12-27,170883.1015543426
2021-12-31,174738.40789241085
2022-01-01,523217.56139496295
2022-01-06,74807.5997806432
2022-01-11,90203.6433554374
2022-01-16,82295.1724920486
2022-01-21,85985.10156928087
2022-01-26,83918.51008403537
2022-01-31,84722.01722541288
2022-02-01,257861.3059025276
2022-02-05,8469.86998985501
2022-02-10,13413.755539341297
2022-02-15,16570.47076678398
2022-02-17,47144.21154664527
2022-02-20,20254.70477300809
2022-02-25,16286.120326426608
2022-03-02,14519.640407095609
2022-03-05,24220.766052592284
2022-03-07,34202.28112008107
2022-03-12,14949.29306726716
2022-03-17,14796.057210931696
2022-03-21,18050.008827926875
2022-03-22,65779.69390992733
2022-03-27,262999.759358027
2022-04-01,438860.4627162306
2022-04-06,135992.5151099931
2022-04-11,830805.0823723638
2022-04-16,2643175.916440013
2022-04-21,569803.6254387653
2022-04-22,335093.97386387043
2022-04-26,651082.3649368737
2022-05-01,601162.0878443272
2022-05-06,171412.48763425002
2022-05-08,329319.6498065351
2022-05-11,930455.2385217444
2022-05-16,604188.1026463202
2022-05-21,249826.0090756647
2022-05-24,310225.1651410752
2022-05-26,85683.66646527904
2022-05-31,21054.60315182264
2022-06-05,4827.029994718439
2022-06-09,283544.40954818536
2022-06-10,261803.4872851524
2022-06-15,50493.149186299546
2022-06-20,256077.7943701888
2022-06-25,170849.37624702248
2022-06-30,36039.9951053522
2022-07-05,361992.4739314093
2022-07-10,706418.4588747777
2022-07-11,1254163.9687497767
2022-07-15,601545.1091485255
2022-07-20,302220.37064424285
2022-07-25,268826.50918859587
2022-07-27,71329.80748278605
2022-07-30,607935.9655763505
2022-08-04,1525691.3874298346
2022-08-09,2438216.771908146
2022-08-12,495955.2740300606
2022-08-14,132552.44079480023
2022-08-19,0.0
2022-08-24,19424.668443957744
2022-08-28,0.0
2022-08-29,34219.05615367512
2022-09-03,1620202.7939649972
2022-09-08,1591502.6797726334
2022-09-13,620546.4632274769
2022-09-18,37077.084403276
2022-09-23,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-10-03,0.0
2022-10-08,0.0
2022-10-13,23131.9341769508
2022-10-15,65646.10254622326
2022-10-18,373209.4636647457
2022-10-23,1384168.1241932393
2022-10-28,645977.2550726298
2022-10-31,171812.68738156394
2022-11-02,226301.52226689988
2022-11-07,188350.0527234012
2022-11-12,354235.184649632
2022-11-16,1897273.8370532133
2022-11-17,4019511.3007598254
2022-11-22,751039.2047179342
2022-11-27,81932.1612751954
2022-12-02,10560.59640860876
2022-12-07,8800.711773799936
2022-12-12,122810.6544579482
2022-12-17,628056.549632798
2022-12-18,213866.01111914977
2022-12-22,60556.62823869285
2022-12-27,17882.95056180103
2023-01-01,16641.14995115098
2023-01-03,48818.23011145314
2023-01-06,29231.49860657352
2023-01-11,16509.975304674037
2023-01-16,15986.23623509604
2023-01-19,25468.34895534029
2023-01-21,34193.79425469821
2023-01-26,15779.381767892508
2023-01-31,15632.391425177804
2023-02-04,25527.51192710673
2023-02-05,93940.94186649188
2023-02-10,21716.48562686699
2023-02-15,15948.428353630696
2023-02-20,14840.617308224462
2023-02-25,14508.90469704659
2023-03-02,15379.354287758346
2023-03-07,15732.171264464032
2023-03-08,84410.68747061322
2023-03-12,16692.28242157967
2023-03-17,16384.54615296048
2023-03-22,15313.522489629357
2023-03-24,38792.63485257236
2023-03-27,220286.5491742003
2023-04-01,229437.7958008428
2023-04-06,233916.6494842739
2023-04-09,48113.87417478779
2023-04-11,51483.07738167695
2023-04-16,21739.67751020284
2023-04-21,22109.763190444985
2023-04-25,26602.82848448561
2023-04-26,145619.50296664162
2023-05-01,925228.4748511564
2023-05-06,2462716.9222725183
2023-05-11,559135.6266412988
2023-05-16,81430.60386989043
2023-05-21,23575.53515985124
2023-05-26,26872.010287226512
2023-05-27,86009.96316127152
2023-05-31,23682.77835241838
2023-06-05,24106.104984385885
2023-06-10,41966.0764337142
2023-06-12,139056.85791017325
2023-06-15,116968.57992392396
2023-06-20,52426.1404955321
2023-06-25,16712.146262190225
2023-06-28,0.0
2023-06-30,0.0
2023-07-05,120317.99443451987
2023-07-10,2115393.940840944
2023-07-12,2639668.319908753
2023-07-14,1763574.9853230796
2023-07-15,1173487.5550321147
2023-07-20,221114.76269594423
2023-07-25,58700.906059378525
2023-07-28,333739.3087979338
2023-07-30,212595.5484168585
2023-08-04,27011.88626917453
2023-08-09,0.0
2023-08-11,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-19,0.0
2023-08-24,0.0
2023-08-27,0.0
2023-08-29,11081.08076582862
2023-09-03,3999.421348529461
2023-09-08,7867.233584789881
2023-09-12,38141.72787999146
2023-09-13,152099.42144415417
2023-09-18,24547.35929646422
2023-09-23,27000.35128827046
2023-09-28,1123.449315522696
2023-10-03,194350.741707372
2023-10-08,165722.21556166836
2023-10-13,67814.07154082185
2023-10-14,547033.6587571842
2023-10-18,2411816.2333423635
2023-10-23,876460.9278327201
2023-10-28,899381.3463445487
2023-10-30,1703489.406154992
2023-11-02,5626515.288603397
2023-11-07,5502074.670929012
2023-11-12,1896956.5945957752
2023-11-15,318859.7463053102
2023-11-17,106146.2451421592
2023-11-22,21284.172607071272
2023-11-27,997541.8306861584
2023-12-02,0.0
2023-12-03,1787515.743902084
2023-12-07,0.0
2023-12-11,624268.9527112596
2023-12-12,1390222.8804740412
2023-12-17,179608.24523580767
2023-12-19,421065.202664089
2023-12-22,396819.55499492295
2023-12-27,88552.57065330511
2024-01-01,0.0
2024-01-04,849004.2261553069
2024-01-06,506033.2413059019
2024-01-11,763700.6049509011
2024-01-12,954274.0400538368
2024-01-16,234566.02854742025
2024-01-20,188902.2809517822
2024-01-21,0.0
2024-01-26,39257.04862948075
2024-01-28,43507.10556436631
2024-01-31,0.0
2024-02-05,57751.2083799317
2024-02-10,77068.31210599147
2024-02-13,23448.99848915386
2024-02-15,141457.92060279005
2024-02-20,63454.04243023192
2024-02-21,27521.792015750663
2024-02-25,18999.48221951536
2024-02-29,10535.690243846471
2024-03-01,3892.671834987165
2024-03-08,278.36650614067776
2024-03-13,41945.0921913491
2024-03-16,6119.92898391075
2024-03-18,3845.172022702416
2024-03-23,0.0
2024-03-24,31472.478521640165
2024-03-28,29338.26663974517
2024-04-02,28394.46851199612
2024-04-07,48492.49920511449
2024-04-12,74782.90199420498
2024-04-17,20459.65487038973
2024-04-22,0.0
2024-04-27,0.0
2024-05-02,0.0
2024-05-07,0.0
2024-05-12,4840.479780299119
2024-05-17,258342.9299550405
2024-05-19,1455759.4717394826
2024-05-22,612609.2171778313
2024-05-27,5076251.0676011415
2024-06-01,2147107.7266321373
2024-06-06,0.0
2024-06-11,9063661.73182252
2024-06-12,7272744.304967914
2024-06-16,2051312.179512793
2024-06-20,907001.5961368328
2024-06-21,2039757.102800092
2024-06-26,3641466.099912517
2024-06-28,10698982.90204946
2024-07-01,5146264.673492976
2024-07-06,3113550.1365622925
2024-07-11,3236370.4529243256
2024-07-16,1897322.1388291933
2024-07-21,277214.43002662004
2024-07-22,
2024-07-26,
2024-07-31,0.0
2024-08-05,131004.0186764
2024-08-10,0.0
2024-08-15,4852682.64732454
2024-08-20,0.0
2024-08-23,0.0
2024-08-25,0.0
