date,outflow (m3/d)
2017-07-13,0.0
2017-07-16,1190087.6849609967
2017-07-20,0.0
2017-07-21,0.0
2017-07-29,162059.77775678094
2017-07-31,101191.45532350826
2017-08-05,71744.44167173107
2017-08-14,321695.91203036724
2017-08-15,591021.6670831819
2017-08-20,742328.6545826647
2017-08-21,1323788.7878931076
2017-08-30,765100.509700669
2017-09-06,2462637.245361076
2017-09-09,4854336.476179919
2017-09-14,3155012.451804443
2017-09-15,4169680.433117672
2017-09-19,3385949.329152619
2017-09-22,2930787.366674341
2017-09-24,1158023.3334023077
2017-10-01,349048.1078389777
2017-10-04,213850.032969773
2017-10-08,402599.78346403816
2017-10-09,1096189.457361319
2017-10-14,657738.6886336417
2017-10-17,1379953.654204289
2017-10-19,1030536.2137539996
2017-10-24,269963.6809790287
2017-10-29,87413.87831126449
2017-11-02,211479.7129455903
2017-11-03,87550.85051587934
2017-11-08,86663.23574178231
2017-11-09,527990.1411191899
2017-11-13,1402636.6202643495
2017-11-18,0.0
2017-11-23,444401.8397560847
2017-11-25,0.0
2017-11-28,929185.5234437448
2017-12-03,0.0
2017-12-04,2348587.260271616
2017-12-08,0.0
2017-12-11,0.0
2017-12-13,1685403.6212474126
2017-12-18,0.0
2017-12-20,421000.3397390071
2017-12-23,0.0
2017-12-27,0.0
2017-12-28,1097420.9012391316
2018-01-02,0.0
2018-01-05,706319.2083400727
2018-01-12,0.0
2018-01-17,0.0
2018-01-21,0.0
2018-01-22,157501.1458775423
2018-01-27,151142.80895828333
2018-01-28,122974.1533227909
2018-02-06,14463.767847224632
2018-02-11,40532.367192939295
2018-02-13,78655.28019723052
2018-02-16,34750.585411345
2018-02-21,20487.69272649665
2018-02-22,87597.86216278993
2018-02-26,23061.031545457576
2018-03-01,11335.6573816391
2018-03-03,2580.4962774395885
2018-03-08,4386.2444806747135
2018-03-10,5925.082899753749
2018-03-13,5415.109511259948
2018-03-17,37858.72493655791
2018-03-18,26370.271534572767
2018-03-23,843051.3104107669
2018-03-26,0.0
2018-03-28,384952.1614471751
2018-04-02,0.0
2018-04-07,362345.9517211415
2018-04-11,0.0
2018-04-12,4909988.171109272
2018-04-17,0.0
2018-04-18,2544164.296162813
2018-04-22,0.0
2018-04-27,979826.7286775792
2018-05-02,459482.62019101967
2018-05-04,1893002.4832960807
2018-05-07,1083456.99157183
2018-05-12,1287567.2976165486
2018-05-13,364188.5691346
2018-05-17,1768616.3545124773
2018-05-20,1510102.2553180044
2018-05-22,3237955.10118952
2018-05-29,953503.6632085844
2018-06-01,1138423.190807148
2018-06-05,415695.7720654973
2018-06-06,0.0
2018-06-11,236469.0880798113
2018-06-14,2035076.1481456105
2018-06-16,9126507.935242578
2018-06-21,3426093.0387999467
2018-06-26,815792.925548484
2018-06-30,633510.8792548063
2018-07-01,1869153.8545088256
2018-07-06,845073.9662355907
2018-07-07,633333.9714550371
2018-07-11,2646634.8692715955
2018-07-16,4066035.992703317
2018-07-21,1763759.6626934677
2018-07-23,2164362.3071847213
2018-07-26,1052081.2432570553
2018-07-31,177223.64972085264
2018-08-01,679049.1464338563
2018-08-05,1490632.0115366643
2018-08-08,1255187.1192304716
2018-08-10,12812748.131429613
2018-08-15,11959633.92303105
2018-08-17,16766038.687983882
2018-08-20,9981388.63446294
2018-08-24,1875209.9147732109
2018-08-25,912285.7418901456
2018-08-30,182433.55058397725
2018-09-02,289873.0656921606
2018-09-04,401475.2437256986
2018-09-09,101452.3183377918
2018-09-14,47633.55160154339
2018-09-18,0.0
2018-09-19,129695.0219857265
2018-09-24,157003.72101546763
2018-09-25,1808700.2377627185
