date,outflow (m3/d)
2017-08-14,0.0
2017-08-17,0.0
2017-08-30,0.0
2017-09-06,1314776.3323894988
2017-09-11,0.0
2017-09-15,0.0
2017-09-26,0.0
2017-10-01,0.0
2017-10-17,1177814.8410927237
2017-10-21,0.0
2017-11-02,566657.259445104
2017-11-05,0.0
2017-11-18,450126.54265770747
2017-11-25,0.0
2017-11-30,2040540.3511061987
2017-12-04,3132323.33908178
2017-12-05,3698389.423887115
2017-12-20,54723.25077320215
2017-12-25,503031.2359463632
2018-01-04,164463.27040495814
2018-01-05,2042305.623369575
2018-01-09,457454.18793377926
2018-01-14,1356506.8539309686
2018-01-21,490973.40594639134
2018-01-24,1124481.542367337
2018-01-29,663968.1791236753
2018-02-06,0.0
2018-02-08,213288.93456431647
2018-02-13,385112.6636045434
2018-02-18,1613.7384644712758
2018-02-22,0.0
2018-02-23,1056178.5576106114
2018-02-28,209903.5562319664
2018-03-05,208720.19454167987
2018-03-10,130695.83873462946
2018-03-15,290394.4518922611
2018-03-20,1392031.344348612
2018-03-25,1078054.8661129463
2018-03-26,1210946.957552742
2018-03-30,318950.15921349934
2018-04-04,107654.72375678996
2018-04-09,105250.37714114126
2018-04-11,159646.13616306082
2018-04-14,1701263.9704746332
2018-04-19,890180.114590665
2018-04-24,863199.8612168791
2018-04-27,5442280.691073488
2018-04-29,0.0
2018-05-04,1108654.1438128643
2018-05-09,2221200.262226933
2018-05-13,1995086.188197557
2018-05-14,7681019.81674931
2018-05-19,1558644.7442039065
2018-05-24,1918240.4753084464
2018-05-29,2038771.9948013856
2018-06-03,1849041.951191632
2018-06-08,0.0
2018-06-13,0.0
2018-06-14,0.0
2018-06-18,19749.9040341184
2018-06-23,0.0
2018-06-28,0.0
2018-06-30,0.0
2018-07-03,0.0
2018-07-08,0.0
2018-07-13,0.0
2018-07-16,0.0
2018-07-18,0.0
2018-07-23,0.0
2018-07-28,0.0
2018-08-01,0.0
2018-08-02,36055.94205087248
2018-08-07,503725.1960657973
2018-08-12,2236486.328130322
2018-08-17,2939113.0764279943
2018-08-22,2514102.2664933726
2018-08-27,232757.9127133771
2018-09-01,0.0
2018-09-02,109388.09532156932
2018-09-06,46927.87735102055
2018-09-11,0.0
2018-09-18,600423.4788590261
2018-09-21,9859.87529485186
2018-09-26,140592.89724831402
2018-10-01,1228939.250564606
2018-10-04,1267112.3463900683
2018-10-06,905180.2006797348
2018-10-11,1467697.6803846678
2018-10-16,706956.6753617247
2018-10-20,349289.9385538764
2018-10-21,3959744.581330791
2018-10-26,1105158.4831604855
2018-10-31,347651.64606842183
2018-11-05,168277.78272079272
2018-11-10,178363.74837777816
2018-11-15,163989.98344984773
2018-11-20,175895.5849988683
2018-11-21,872027.5815561551
2018-11-25,225213.7651913187
2018-11-30,169582.61658982624
2018-12-07,120973.71827560617
2018-12-10,276238.58502843964
2018-12-15,359441.3871280964
2018-12-20,453427.9303707797
2018-12-23,2529106.2268772754
2018-12-25,0.0
2018-12-30,668714.3589322873
2019-01-04,264242.556825028
2019-01-08,575607.7452337218
2019-01-09,1794603.7630379458
2019-01-14,407936.1514416289
2019-01-19,0.0
2019-01-24,620676.6904809278
2019-01-29,369400.9902013216
2019-02-03,605283.6654665988
2019-02-08,479876.0694917828
2019-02-09,2362844.455458749
2019-02-13,363204.51133296
2019-02-18,647646.3913331853
2019-02-23,452274.4683288981
2019-02-25,914216.8033098156
2019-02-28,605009.842387261
2019-03-05,225301.9449334521
2019-03-10,0.0
2019-03-13,0.0
2019-03-15,0.0
2019-03-20,26931.565617078795
2019-03-25,232790.7847382904
2019-03-29,161980.93357784423
2019-03-30,963510.9170776076
2019-04-04,176745.5693515235
2019-04-09,216319.0361162383
2019-04-14,188095.19842164428
2019-04-19,273951.8697292266
2019-04-24,1750440.045810458
2019-04-29,578426.332531958
2019-04-30,1067804.0437595083
2019-05-04,263807.7252555852
2019-05-09,162291.34057586038
2019-05-14,150872.9545603474
2019-05-16,395907.2922294503
2019-05-19,449829.1874539129
2019-05-24,201650.52123471108
2019-05-29,152516.77399666203
2019-06-01,5592967.806051046
2019-06-03,0.0
2019-06-08,1559983.2073014402
2019-06-13,807573.9023109884
2019-06-17,3909763.85851134
2019-06-18,0.0
2019-06-23,0.0
2019-06-28,0.0
2019-07-03,0.0
2019-07-08,0.0
2019-07-13,0.0
2019-07-18,0.0
2019-07-19,0.0
2019-07-23,0.0
2019-07-28,0.0
2019-08-02,0.0
2019-08-04,0.0
2019-08-07,0.0
2019-08-12,6252413.413966125
2019-08-17,2080004.258786584
2019-08-20,0.0
2019-08-22,0.0
2019-08-27,0.0
2019-09-01,0.0
2019-09-05,0.0
2019-09-06,0.0
2019-09-11,0.0
2019-09-16,0.0
2019-09-21,0.0
