date,outflow (m3/d)
2017-08-02,71785.44433045927
2017-08-14,203044.39969375927
2017-08-17,0.0
2017-08-30,441067.752397962
2017-09-06,1673073.0405541991
2017-09-11,1391194.855360476
2017-09-15,675289.6881208346
2017-09-26,766892.7250461255
2017-10-01,52358.53900609982
2017-10-16,109324.30718918637
2017-10-17,148814.62168601312
2017-10-21,63722.22398494165
2017-11-02,91744.60532111904
2017-11-05,175374.03003614902
2017-11-10,34824.791508254595
2017-11-18,36779.24155065291
2017-11-25,39776.87226827271
2017-12-04,449626.165340886
2017-12-05,389530.75409052544
2017-12-15,95251.02451498562
2017-12-20,0.0
2017-12-25,24262.90384905834
2018-01-04,3954.940214827136
2018-01-05,635683.7455461613
2018-01-14,0.0
2018-01-21,30160.298654121936
2018-01-24,0.0
2018-01-29,19885.2991602234
2018-02-03,9474.35018247154
2018-02-06,247501.5382774433
2018-02-08,135702.6065910776
2018-02-13,972443.8024924304
2018-02-18,477771.4286782363
2018-02-22,59288.93607977215
2018-02-23,22798.965975202733
2018-02-28,12825.723256691466
2018-03-05,14995.595567210805
2018-03-10,12558.014667183206
2018-03-15,40047.77159749353
2018-03-20,3126624.271525299
2018-03-25,1080357.2927936453
2018-03-26,466591.61749935336
2018-03-30,108269.86647122208
2018-04-04,66655.80705215922
2018-04-09,50510.44563948773
2018-04-11,0.0
2018-04-14,0.0
2018-04-24,58065.2112601605
2018-04-27,107919.95338630075
2018-04-29,309751.81567089766
2018-05-04,165271.57360255733
2018-05-09,350614.8599005274
2018-05-13,1909874.0854107467
2018-05-14,4722719.281471692
2018-05-19,2453862.479870887
2018-05-24,786478.1728787814
2018-05-29,526789.436176452
2018-06-03,687747.531265951
2018-06-08,414407.6033514222
2018-06-13,610873.996951258
2018-06-14,1529359.2031306403
2018-06-18,1162231.4296330402
2018-06-23,227329.94053207664
2018-06-28,34624.78417020244
2018-06-30,0.0
2018-07-03,5205.531474810234
2018-07-08,0.0
2018-07-13,615956.6085202618
2018-07-18,1017323.2724211612
2018-07-23,995205.791380334
2018-07-28,207924.30597692973
2018-08-01,283584.1114543733
2018-08-02,1614781.9550964
2018-08-07,610121.6920068454
2018-08-12,1542104.9693774113
2018-08-17,4107959.283082096
2018-08-22,5357693.8476091605
2018-08-27,469040.4059268858
2018-09-01,51533.96037035253
2018-09-02,15194.23112813381
2018-09-06,5354.735520538795
2018-09-11,3557.3295467498488
2018-09-21,4789.648957147361
2018-09-26,141508.68412713503
2018-10-01,471112.5057627725
2018-10-04,1116648.6934766995
2018-10-06,2549372.6486289054
2018-10-11,1574579.6771430052
2018-10-16,488393.00498313765
2018-10-20,299578.3323049082
2018-10-21,359621.93588564784
2018-10-26,312412.09244726814
2018-10-31,52389.15297606616
2018-11-05,10853.336117004346
2018-11-10,5380.823761216471
2018-11-15,2853.658021613074
2018-11-20,274212.5458174695
2018-11-21,381138.03791347466
2018-11-25,81505.98008677387
2018-11-30,53309.605497446064
2018-12-07,5734.287944280357
2018-12-10,4909.008077989935
2018-12-15,3231.898564341398
2018-12-20,3593.142769060676
2018-12-23,3652.3393240534174
2018-12-25,4651.6579868311655
2018-12-30,2942.365715181724
2019-01-04,2822.6109672033726
2019-01-08,3026.115212825866
2019-01-09,6847.00111885492
2019-01-14,2742.7677458029484
2019-01-19,2724.848796870017
2019-01-24,2710.0912850638506
2019-01-29,2699.023212480364
2019-02-03,0.0
2019-02-08,0.0
2019-02-09,482623.11425932735
2019-02-13,0.0
2019-02-18,75953.49668557924
2019-02-23,11218.258345672646
2019-02-25,14089.61363348472
2019-02-28,21967.45238578783
2019-03-05,10309.379282771994
2019-03-10,6670.898820511519
2019-03-13,13032.9136269902
2019-03-15,15975.786300397918
2019-03-20,13540.02016465379
2019-03-25,16153.697947263365
2019-03-29,81702.1267388405
2019-03-30,0.0
2019-04-04,39192.62158365558
2019-04-09,33192.514922086346
