date,outflow (m3/d)
2017-07-20,410165.2262904939
2017-07-21,587623.9571929539
2017-07-31,199796.93000465565
2017-08-05,0.0
2017-08-15,203131.53886158665
2017-08-20,329156.3488755968
2017-08-21,730823.8697022254
2017-08-25,237359.9435595696
2017-08-30,660555.7219135344
2017-09-06,649148.7214686264
2017-09-09,681830.433390695
2017-09-14,192950.77831517672
2017-09-19,1053055.2288619664
2017-09-22,1250016.1922292963
2017-09-24,418605.3597042414
2017-10-04,261646.40339426385
2017-10-08,182113.04076898823
2017-10-09,65771.98613187621
2017-10-14,131003.06657037942
2017-10-19,230116.06338779847
2017-10-24,0.0
2017-10-29,21649.554852184552
2017-11-03,40145.581445342206
2017-11-08,56982.07602581724
2017-11-09,0.0
2017-11-13,17059.41809728914
2017-11-18,9351.586828416628
2017-11-23,294.6496323193027
2017-11-25,56533.1419966863
2017-11-28,169895.3550728762
2017-12-03,0.0
2017-12-08,125211.40433818156
2017-12-11,0.0
2017-12-13,143817.72272184532
2017-12-18,0.0
2017-12-23,0.0
2017-12-27,64.49969132606591
2017-12-28,0.0
2018-01-02,18259.328343385703
2018-01-07,0.0
2018-01-12,0.0
2018-01-17,2327.751433692386
2018-01-22,45024.43733767959
2018-01-27,57.84448422201408
2018-01-28,0.0
2018-02-06,0.0
2018-02-11,0.0
2018-02-13,59174.0593197921
2018-02-16,0.0
2018-02-21,3927.354041334562
2018-02-26,0.0
2018-03-01,23503.64459651113
2018-03-03,0.0
2018-03-08,0.0
2018-03-13,18548.429299393047
2018-03-17,0.0
2018-03-18,0.0
2018-03-23,0.0
2018-03-28,1072.20406033946
2018-04-02,0.0
2018-04-07,114.65968832326368
2018-04-12,0.0
2018-04-17,18767.39130358257
2018-04-18,19219.965737992727
2018-04-22,28988.463394876075
2018-04-27,99378.08951067436
2018-05-02,13629.660513987445
2018-05-04,125293.38328622287
2018-05-07,351742.742771372
2018-05-12,334591.4699106192
2018-05-17,578631.2545016876
2018-05-20,294343.4712363287
2018-05-22,445053.0652740648
2018-06-01,636764.9093627433
2018-06-05,454278.9972867853
2018-06-06,359990.4359053123
2018-06-11,763327.6472132909
2018-06-16,714102.0398244417
2018-06-21,284987.4459241809
2018-06-26,308346.2549624939
