date,outflow (m3/d)
2017-07-20,
2017-07-21,3996244.9791582297
2017-07-31,586309.5884120445
2017-08-05,558300.7704984623
2017-08-15,2421038.402482095
2017-08-20,1617385.9585534392
2017-08-21,4766205.031417048
2017-08-30,1491085.174874416
2017-09-06,3524783.987711527
2017-09-09,5546737.492735261
2017-09-14,1856837.8421568896
2017-09-19,3104198.130849769
2017-09-22,3336462.822807482
2017-09-24,255958.6644372672
2017-09-29,642217.1304867521
2017-10-04,1188605.2670816605
2017-10-08,726253.4850983385
2017-10-09,349882.9325795812
2017-10-14,943172.2782067067
2017-10-19,2274141.040749339
2017-10-24,558981.4597698228
2017-10-29,277812.6900371644
2017-11-03,732547.4292839583
2017-11-08,153322.50355207507
2017-11-09,0.0
2017-11-13,1736162.1359784803
2017-11-18,186698.685595834
2017-11-23,0.0
2017-11-25,17678.765158034064
2017-11-28,321307.8738179339
2017-12-03,0.0
2017-12-08,0.0
2017-12-11,495715.8277659053
2017-12-13,0.0
2017-12-18,1847185.026235115
2017-12-23,5880.596555490198
2017-12-27,0.0
2017-12-28,42095108.91578617
2018-01-02,105445.50066452452
2018-01-07,0.0
2018-01-12,2521182.038949584
2018-01-17,1363861.868878841
2018-01-22,0.0
2018-01-27,168325.43076111574
2018-01-28,804743.3891667223
2018-02-06,94597.4781998616
2018-02-11,97855.62622322315
2018-02-13,560872.0673052028
2018-02-16,261165.3882955557
2018-02-21,157574.71999268874
2018-02-26,155692.01208880727
2018-03-01,251954.5031822031
2018-03-03,288412.34059856896
2018-03-08,22119.93041055561
2018-03-13,27502.00186970473
2018-03-17,105228.42695715764
2018-03-18,375707.560528024
2018-03-23,86814.63816584722
2018-03-28,34912.58181961671
2018-04-02,26661.14934313708
2018-04-07,9492.701854056317
2018-04-12,8789.917743734944
2018-04-17,16158.609841910034
2018-04-18,77777.01505801134
2018-04-22,184116.745850132
2018-04-27,378046.4040972688
2018-05-02,132693.0405728684
2018-05-04,2173257.4859064785
2018-05-07,5151236.604847596
2018-05-12,2224983.02291523
2018-05-17,3669581.78472635
2018-05-20,4294185.490098608
2018-05-22,4206529.914303062
2018-06-01,3658705.947836124
2018-06-05,1636646.711883586
2018-06-06,1271466.0466069314
2018-06-11,1531819.8916214518
2018-06-16,2878833.0547253764
2018-06-21,4549144.0645660125
2018-06-26,3800224.32548274
2018-07-01,3972042.901923116
2018-07-06,1467870.1438632782
2018-07-07,469660.6651533665
2018-07-11,2006290.5593320369
2018-07-16,3779702.925546687
2018-07-23,3359109.7240952
2018-07-26,1896906.853044815
2018-07-31,289008.2301160696
2018-08-05,3550408.474130299
2018-08-08,1530439.1134434035
2018-08-10,3154428.087557633
2018-08-15,8871419.007837718
2018-08-20,11974941.203796295
2018-08-24,2063173.6649088084
2018-08-25,1170258.1470237523
2018-08-30,233956.80449363185
2018-09-04,33289.1600097283
2018-09-09,13614.591858542932
2018-09-14,10935.468321928123
2018-09-19,6429.673857184303
2018-09-24,18948.115582564325
2018-09-25,166413.05045664814
2018-09-29,738559.1043396724
2018-10-04,2889788.2917132555
2018-10-09,7736104.621355123
2018-10-11,7804709.693365869
2018-10-14,3563393.659954667
2018-10-19,2276252.629463408
2018-10-24,1273457.104000714
2018-10-27,292797.79723157553
2018-10-29,132983.59999063102
2018-11-03,18933.73615421677
2018-11-08,113147.72891672303
2018-11-12,40831.31269149502
2018-11-18,14179.565920768278
2018-11-23,10123.830449585248
2018-11-28,404566.137168325
2018-12-03,172093.16975939658
2018-12-08,29896.1467949037
2018-12-13,10467.261276602898
2018-12-14,485136.97841583873
2018-12-18,0.0
2018-12-23,57236.889275603295
2018-12-28,0.0
2018-12-30,71896.88198896985
2019-01-02,0.0
2019-01-07,8205.288774838888
2019-01-12,7996.426572240535
2019-01-15,8312.56571301336
2019-01-17,8770.365762504938
2019-01-22,8129.455098738711
2019-01-27,53074.31937705944
2019-01-31,18878.38671436356
2019-02-01,67912.941407094
2019-02-06,17840.26338257397
2019-02-11,18467.87911856268
2019-02-16,18091.57991211237
2019-02-21,18212.90962488452
2019-02-26,18088.445168288017
2019-03-03,18086.22407574461
2019-03-04,62727.00674471392
2019-03-08,20817.424034004747
2019-03-13,18122.741797195635
2019-03-18,17978.363719713496
2019-03-20,34627.51516531808
2019-03-23,23229.216325722395
2019-03-28,15996.075193842664
2019-04-02,16260.11027228021
2019-04-05,22600.467028725576
2019-04-07,31112.02315289687
2019-04-12,16324.184019230011
2019-04-17,16280.333712209052
2019-04-21,37371.39221316948
2019-04-22,119736.8137090297
2019-04-27,329482.6300494382
2019-05-02,987724.5407926724
2019-05-07,449300.7563770811
2019-05-12,58817.6658904333
2019-05-17,21459.97938067164
2019-05-22,18196.224065631293
2019-05-23,0.0
2019-05-27,15909.884406181223
2019-06-01,463717.8638545699
2019-06-06,206425.19630017207
2019-06-08,135284.1057762363
2019-06-11,128345.3527138074
2019-06-16,1724736.2774818917
2019-06-21,726383.8235775128
2019-06-24,1162272.8281571984
2019-07-21,622030.0440625994
2019-07-26,4204732.710128461
2019-07-31,2036096.575026009
2019-08-05,351483.40964624577
2019-08-10,9385073.193338746
2019-08-15,15169672.0879096
2019-08-20,3633378.4193077856
2019-08-25,2114643.572783688
2019-08-27,2319104.34280944
2019-08-30,3167858.6520214416
2019-09-04,2992853.3666128
2019-09-09,2922928.119983156
2019-09-14,696967.693468653
2019-09-19,283216.45244804147
2019-09-24,476114.914842555
2019-09-28,845966.00733575
2019-09-29,1029899.8577968372
2019-10-04,170341.59424071928
2019-10-09,598084.6374406753
2019-10-14,1456060.5461926616
2019-10-19,7730152.34919627
2019-10-24,9010316.680931622
2019-10-29,5232747.698385912
2019-10-30,4190131.020187709
2019-11-03,1672164.5063605043
2019-11-08,667715.7169897911
2019-11-13,140670.8201193462
2019-11-15,216052.61316257625
2019-11-18,62869.66798945183
2019-11-23,108233.80310846672
2019-11-28,113957.5024736659
2019-12-03,721706.0945592202
2019-12-08,1664228.4520193776
2019-12-13,170626.3279499583
2019-12-17,35757.881405644875
2019-12-18,17740.879762809902
2019-12-23,10548.469721003588
2019-12-28,14340.239328991687
2020-01-02,12080.980618481915
2020-01-07,9456.976855058989
2020-01-12,8880.468837139282
2020-01-17,8622.1682946818
2020-01-18,27870.776254418462
2020-01-22,14385.634850449498
2020-01-27,12113.24127939631
2020-02-01,12393.671495506896
2020-02-03,19628.17305121154
2020-02-06,16596.58709596987
2020-02-11,12437.97796167722
2020-02-16,12123.752635309602
2020-02-19,15384.886208733236
2020-02-21,19544.516236643696
2020-02-26,14761.002262957263
2020-03-02,15256.746483372108
2020-03-06,14529.973584598012
2020-03-07,32835.0037567644
2020-03-12,12053.143942721768
2020-03-17,11938.15251712167
2020-03-22,14370.376264718188
2020-03-27,15307.881729394305
2020-04-01,14721.19645225733
2020-04-06,33986.39760072974
2020-04-07,347227.19694040413
2020-04-11,967568.6960808672
2020-04-16,312995.615251956
2020-04-21,61126.3756180354
2020-04-23,52886.83129852176
2020-04-26,70813.72001338322
2020-05-01,2218561.07226141
2020-05-06,1302555.100753145
2020-05-09,3046779.142754392
2020-05-11,3469052.382923472
2020-05-16,624449.079063277
2020-05-21,364743.69287238
2020-05-25,141000.20252096397
2020-05-26,31535.974745389805
2020-05-31,1120018.849838484
2020-06-05,6378623.155157197
2020-06-10,2437848.4149978366
2020-06-15,848393.2427770302
2020-06-20,1224315.830512265
2020-06-25,788905.0273903211
2020-06-26,796613.8867960561
2020-06-30,181522.09422220231
2020-07-05,1988897.3682653604
2020-07-10,3146298.628532997
2020-07-12,2277167.072368663
2020-07-15,690133.7102123605
2020-07-20,2154018.3735800185
2020-07-25,2029732.42058495
2020-07-28,1461679.783382359
2020-07-30,1437586.0008384492
2020-08-04,2962496.0273735705
2020-08-09,4727810.752398687
2020-08-13,7547187.462887734
2020-08-14,3387553.922961428
2020-08-19,676621.6974263989
2020-08-24,81722.09462423311
2020-08-29,22801.360567203574
2020-09-03,46663.27807291621
2020-09-08,1080647.3552806766
2020-09-13,3826241.401425066
2020-09-18,4077453.5124608
2020-09-23,3172346.827406122
2020-09-28,1007769.1187444358
2020-09-30,271482.1843484966
2020-10-03,94526.61845817544
2020-10-08,23157.07790202207
2020-10-13,2409770.35555375
2020-10-16,4304513.311217043
2020-10-18,1882220.824421971
2020-10-23,305715.4844735731
2020-10-28,49984.41837900338
2020-11-01,11360.141097652458
2020-11-02,19732.08792327984
2020-11-07,53625.7170147976
2020-11-12,86582.7590642337
2020-11-17,1862264.8823826725
2020-11-22,2622053.4235172016
2020-11-27,365318.6741371005
2020-12-02,51100.17422297631
2020-12-03,0.0
2020-12-07,20661.009641885244
2020-12-12,148702.35462535298
2020-12-17,260498.8464731341
2020-12-19,37099.39274713625
2020-12-22,23604.234553322527
2020-12-27,9880.14758079666
2021-01-01,7533.899764539197
2021-01-04,18536.575043999823
2021-01-06,50407.23410613522
2021-01-11,4623976.129179725
2021-01-16,4622100.142185625
2021-01-20,1020165.8082143608
2021-01-21,393116.6988559654
2021-01-26,86572.88301736253
2021-01-31,11506.162053048707
2021-02-05,11040.435339186814
2021-02-10,10536.485845190644
2021-02-15,10213.797918083596
2021-02-20,9906.42935731835
2021-02-21,19391.22209122662
2021-02-25,10607.354987880257
2021-03-02,9573.029529715684
2021-03-07,9436.453671346637
2021-03-09,12753.05430954924
2021-03-12,189424.62092036137
2021-03-17,414074.5031747822
2021-03-22,60927.98691892783
2021-03-25,38462.03296483905
2021-03-27,167358.37594189102
2021-04-01,617788.4825835626
2021-04-06,165382.7334735292
2021-04-10,47656.73615582052
2021-04-11,56127.50673450688
2021-04-16,27943.6659158902
2021-04-21,497549.568717356
2021-04-26,177638.20827332683
2021-05-01,52593.18679400238
2021-05-06,31807.27345324108
2021-05-11,96553.70233596092
2021-05-12,212354.7835419273
2021-05-16,1856565.251348205
2021-05-21,5764427.153221829
2021-05-26,775255.8701696736
2021-05-28,625112.5773405102
2021-05-31,308808.77500392456
2021-06-05,80936.34506534912
2021-06-10,1165330.8606695717
2021-06-15,952431.5035384294
2021-06-20,3722631.3327109977
2021-06-25,728643.351146516
2021-06-29,140251.93151065274
2021-06-30,48609.82628857701
2021-07-05,140763.5896476877
2021-07-10,1126920.0201263395
2021-07-15,5109716.563063151
2021-07-20,6668190.466812457
2021-07-25,2486218.092231327
2021-07-30,2466597.530376383
2021-07-31,1570455.3988722223
2021-08-04,285438.859024794
2021-08-09,301585.82945376873
2021-08-14,153524.6838351826
2021-08-16,611285.696790859
2021-08-19,473386.6938974312
2021-08-24,990549.85403514
2021-08-29,1749134.5394436263
2021-09-01,3895198.71158902
2021-09-03,2282783.4721715185
2021-09-08,2579238.531678997
2021-09-13,1615100.1282945496
2021-09-17,183796.3263189621
2021-09-18,124832.58231304314
2021-09-23,19684.16932543874
2021-09-28,26826.525967556725
2021-10-03,758505.3758136558
2021-10-08,3943154.660588769
2021-10-13,1828342.9163062857
2021-10-18,4595719.290593537
2021-10-19,13593013.524781585
2021-10-23,5100673.414600265
2021-10-28,2799558.797199142
2021-11-02,1655190.856967531
2021-11-04,4810362.569000604
2021-11-07,5677527.158602136
2021-11-12,1499531.043899953
2021-11-17,890014.3603768961
2021-11-22,1641478.8964491242
2021-11-27,266417.92859251366
2021-12-02,79945.32481983175
2021-12-06,58867.61784307427
2021-12-07,50149.63050260035
2021-12-12,16953.301828705957
2021-12-17,11051.350045083464
2021-12-22,9755.81464729221
2021-12-27,9250.231914425483
2022-01-01,8824.411419020113
2022-01-06,8494.159876086396
2022-01-07,4157.676929128614
2022-01-11,5898.399162248827
2022-01-16,6351.344845559569
2022-01-21,5980.313679361296
2022-01-23,4131.071433003056
2022-01-26,5042.056374272148
2022-01-31,5858.893151600916
2022-02-05,5790.249437582638
2022-02-08,4897.457957431769
2022-02-10,3938.4154098022377
2022-02-15,5896.854308260736
2022-02-20,5686.496866447537
2022-02-24,5312.760281651794
2022-02-25,345.6244652702227
2022-03-02,5598.138037173628
2022-03-07,5561.142335764402
2022-03-12,8446.856988948946
2022-03-17,9879.747039908634
2022-03-22,106346.50421333058
2022-03-27,1202473.2658775805
2022-03-28,1503150.6543178149
2022-04-01,271244.8377633391
2022-04-06,219240.40575218303
2022-04-11,1007791.4382507348
2022-04-16,3890954.7466334216
2022-04-21,2301264.9599957084
2022-04-26,2467243.7399941976
2022-04-29,2815613.966594675
2022-05-01,2914620.892929871
2022-05-06,5305392.366137839
2022-05-11,1858555.549224724
2022-05-15,584958.4574061247
2022-05-16,334332.3762371518
2022-05-21,1976373.8152764896
2022-05-26,1384986.5266761328
2022-05-31,285795.77514969104
2022-06-05,977101.6657220488
2022-06-10,508288.91463857226
2022-06-15,122338.05447491317
2022-06-16,100706.60118767296
2022-06-20,2132797.0973700746
2022-06-25,2081838.6570389068
2022-06-30,1761526.0838146866
2022-07-02,2408591.699750763
2022-07-05,2642891.854029643
2022-07-10,3062893.0679090186
2022-07-15,3666997.4144534287
2022-07-20,2382671.48667342
2022-07-25,762857.7252248925
2022-07-30,637803.4989919096
2022-08-04,3765345.579929298
2022-08-09,2932851.91997672
2022-08-14,435786.04142106406
2022-08-19,48458.77199773237
2022-08-24,175886.91581461986
2022-08-29,3100225.731349312
2022-09-03,3962435.2219710327
2022-09-04,6692772.171023622
2022-09-08,3815143.7055312046
2022-09-13,3074609.5657477323
2022-09-18,288096.144999936
2022-09-20,87602.29466920918
2022-09-23,14891.207658051051
2022-09-28,11055.463790951211
2022-10-03,14952.391156097005
2022-10-08,45004.20408274004
2022-10-13,113539.77966007304
2022-10-18,768549.6099405151
2022-10-22,711460.1237021151
2022-10-23,181303.9808983589
2022-10-28,67732.82830101952
2022-11-02,22448.57430624356
2022-11-07,943126.2808226346
2022-11-12,1614157.847207734
2022-11-17,1688311.8932530377
2022-11-22,506624.4967181778
2022-11-23,191751.0674637411
2022-11-27,55167.60271986337
2022-12-02,133088.61021622154
2022-12-07,178068.66544948315
2022-12-09,389055.2002267458
2022-12-12,315510.7627959602
2022-12-17,956591.9813176031
2022-12-22,112719.89927633772
2022-12-25,40912.89304781961
2022-12-27,15051.253262028984
2023-01-01,10900.895043628838
2023-01-06,11392.852065727162
2023-01-10,12454.01481815904
2023-01-11,23750.172125963527
2023-01-16,11093.110276897862
2023-01-21,10738.773276333632
2023-01-26,10572.93066616966
2023-01-31,10412.510577968718
2023-02-05,10627.232844397622
2023-02-10,12403.877505715824
2023-02-11,27453.98830689653
2023-02-15,12212.839131206105
2023-02-20,10506.609407946851
2023-02-25,10255.792883837354
2023-02-27,14817.165634295225
2023-03-02,12223.67974558086
2023-03-07,10138.54591830829
2023-03-12,10098.667134311789
2023-03-15,12104.08268484175
2023-03-17,14624.542351747845
2023-03-22,10024.080618621092
2023-03-27,17653.954165596944
2023-03-31,22464.01866049241
2023-04-01,40909.447008584575
2023-04-06,13653.783263103936
2023-04-11,10849.852559817547
2023-04-16,10289.408186367766
2023-04-21,10187.363971452252
2023-04-26,10279.001508833777
2023-05-01,29833.374625224315
2023-05-02,117955.03723223964
2023-05-06,36219.147542289975
2023-05-11,89576.88396030515
2023-05-16,225155.12497252383
2023-05-18,77332.53599270554
2023-05-21,365134.7821316504
2023-05-26,2058526.7596904149
2023-05-31,507168.3347431446
2023-06-03,2308726.1945253024
2023-06-05,3054310.8005617103
2023-06-10,875936.0942859048
2023-06-15,331059.9574325881
2023-06-19,829089.4106738531
2023-06-20,386999.4702330741
2023-06-25,155518.60144967423
2023-06-30,54492.068796701125
2023-07-05,113672.58807607395
2023-07-10,4149755.05547828
2023-07-15,1664127.446701408
2023-07-19,228582.45103408128
2023-07-20,112884.65063390529
2023-07-21,106502.34616455558
2023-07-25,638059.0443832562
2023-07-30,2768234.722893973
2023-08-04,419248.3504293955
2023-08-06,164038.53072153637
2023-08-09,36539.63140908994
2023-08-14,43942.75894634563
2023-08-19,27186.08376017125
2023-08-20,53290.78899789299
2023-08-24,21336.37271823642
2023-08-29,15689.940982469348
2023-09-03,6447.721703791058
2023-09-05,0.0
2023-09-08,973711.1500306262
2023-09-13,2069756.6574521435
2023-09-18,1741133.336396236
2023-09-21,1061009.554516726
2023-09-23,755334.2116840974
2023-09-28,284662.54760377563
2023-10-03,2390158.679761783
2023-10-07,1184722.719141784
2023-10-08,399795.0202996038
2023-10-13,152666.05310059994
2023-10-18,1799832.4723276235
2023-10-23,1156734.3600228005
2023-10-28,127523.5001932501
2023-11-02,1071289.6418053044
2023-11-07,7382038.857195641
2023-11-08,7592285.257388974
2023-11-12,4298278.896591774
2023-11-16,2502774.7674509166
2023-11-17,625881.5187370406
2023-11-22,178593.7977959007
2023-11-24,1024835.1485074644
2023-11-27,1350816.646159101
2023-12-02,188435.2964663527
2023-12-07,40923.44397787217
2023-12-10,15985.5239004733
2023-12-12,74774.96779019525
2023-12-17,97642.52025385947
2023-12-18,27727.771487464048
2023-12-22,17428.077251408355
2023-12-26,10187.225749907187
2023-12-27,9451.562053393454
2024-01-01,8331.010901431706
2024-01-03,9520.714213359082
2024-01-06,15876.399820487442
2024-01-11,119445.73345326175
2024-01-16,130678.22583058366
2024-01-19,25786.599240297164
2024-01-21,20665.33075432486
2024-01-26,10730.41651715259
2024-01-27,11070.081911998448
2024-01-31,9356.825670746266
2024-02-04,8909.831497557288
2024-02-05,9429.217556968795
2024-02-10,8342.058744544689
2024-02-12,8250.93080745946
2024-02-15,9816.129704376057
2024-02-20,9362.289002023315
2024-02-25,8870.165542069897
2024-02-28,9883.937048724789
2024-03-01,10892.729135454418
2024-03-07,1223.684807115099
2024-03-15,0.0
2024-03-16,0.0
2024-03-21,56963.50731258767
2024-03-26,25551.48399031824
2024-03-31,0.0
2024-04-05,0.0
2024-04-06,
2024-04-10,0.0
2024-04-15,0.0
2024-04-30,133180.25103994666
2024-05-05,64736.90029969337
2024-05-10,20102.26048122405
2024-05-15,0.0
2024-05-20,3226363.819739856
2024-05-25,8982890.025806468
2024-05-30,6218557.078480997
2024-06-04,3108647.207827233
2024-06-09,9459062.446214931
2024-06-14,6011415.036914255
2024-06-19,2630832.562916599
2024-06-24,6479031.909738593
2024-06-29,15965816.33749243
2024-07-04,14108136.397035304
2024-07-09,7901390.851531195
2024-07-14,8192703.695810936
2024-07-19,2562946.806399368
2024-07-24,0.0
2024-07-29,0.0
2024-08-03,0.0
2024-08-08,0.0
2024-08-13,959.7943939472927
2024-08-18,0.0
2024-08-23,48541.09727712
