date,outflow (m3/d)
2017-08-02,0.0
2017-08-14,0.0
2017-08-17,0.0
2017-08-30,343189.52466551535
2017-09-06,0.0
2017-09-11,1922422.1265667705
2017-09-15,0.0
2017-09-26,2964553.245492106
2017-10-01,0.0
2017-10-10,0.0
2017-10-16,0.0
2017-10-17,4052967.4894080553
2017-10-21,583539.3309958526
2017-10-26,850597.1886941682
2017-11-02,4541454.198599692
2017-11-11,9130242.5852893
2017-11-18,675952.654282162
2017-11-25,16877231.83578608
2017-11-30,2716655.5874557174
2017-12-04,38639529.97086337
2017-12-05,23533706.11610944
2017-12-15,2098278.679253864
2017-12-20,843843.9910163105
2017-12-25,911723.3657795262
2017-12-29,258638.0513753227
2018-01-04,23739.39883160474
2018-01-05,90456.18589115156
2018-01-09,29660.944835109003
2018-01-14,0.0
2018-01-21,0.0
2018-01-24,0.0
2018-01-29,0.0
2018-02-03,0.0
2018-02-06,0.0
2018-02-08,0.0
2018-02-13,0.0
2018-02-18,0.0
2018-02-22,0.0
2018-02-23,531052.1109710478
2018-02-28,0.0
2018-03-05,703759.7307938706
2018-03-10,0.0
2018-03-15,4721071.042557171
2018-03-20,11120304.656167949
2018-03-25,3673840.477816209
2018-03-26,10656497.363358382
2018-03-30,0.0
2018-04-04,1160868.2792008878
2018-04-09,2554487.311208729
2018-04-11,3684547.304441538
2018-04-14,1289974.180026441
2018-04-19,2982727.9241102184
2018-04-24,880915.4599435278
2018-04-27,2661241.519104365
2018-04-29,3065979.794661062
2018-05-04,1517252.480261327
2018-05-06,4458721.771636994
2018-05-09,4328084.503657651
2018-05-13,8039347.335573147
2018-05-14,24091456.5192946
2018-05-19,5894247.783381293
2018-05-22,3540658.873795457
2018-05-24,3536437.6535977107
2018-05-29,3580059.6101398533
2018-06-03,2802755.5237715486
2018-06-08,2314475.108207076
2018-06-13,2538966.259842002
2018-06-14,0.0
2018-06-18,0.0
2018-06-23,0.0
2018-06-28,0.0
2018-06-30,0.0
2018-07-03,0.0
2018-07-13,0.0
2018-07-18,1341301.3113628265
2018-07-23,2550146.5871370267
2018-07-28,0.0
2018-08-01,1241183.8505012486
2018-08-02,0.0
2018-08-07,2752206.245939743
2018-08-12,1586006.588827778
2018-08-17,11128175.377557512
2018-08-22,15083923.963243848
2018-08-27,683777.3372532272
2018-09-01,1916403.996881532
2018-09-02,0.0
2018-09-06,1624602.6799372174
2018-09-11,0.0
2018-09-18,1468035.3667323096
2018-09-21,0.0
2018-09-26,1270433.6365541094
2018-10-01,3424217.169376798
2018-10-04,9989945.865872456
2018-10-06,17293567.882676244
2018-10-11,13351124.879844869
2018-10-16,3076854.5970219327
2018-10-20,778095.9349670869
2018-10-21,0.0
2018-10-26,10926532.619861169
2018-10-29,4691548.794499414
2018-10-31,3189609.324446315
2018-11-05,9909793.682220072
2018-11-10,0.0
2018-11-15,4876469.139228251
2018-11-20,0.0
2018-11-21,9883161.73025316
2018-11-25,0.0
2018-11-30,10042595.498574672
2018-12-07,0.0
2018-12-10,5600416.404449566
2018-12-15,0.0
2018-12-20,0.0
2018-12-23,3082946.1980137564
2018-12-25,0.0
2018-12-30,85386.54693432992
2019-01-04,911550.7886728942
2019-01-08,0.0
2019-01-09,31550135.56864035
2019-01-14,0.0
2019-01-19,1194092.8876685998
2019-01-24,0.0
2019-01-29,0.0
2019-02-03,2349491.33026766
2019-02-08,0.0
2019-02-09,4397546.884088944
2019-02-13,299606.028630771
2019-02-18,556133.9011364982
2019-02-23,355184.2776790201
2019-02-25,10671749.455451868
2019-02-28,0.0
2019-03-05,2824777.529713389
2019-03-10,1887510.049861412
2019-03-13,565153.9008508011
2019-03-15,3177111.0703643127
2019-03-20,802058.7736314384
2019-03-25,1029266.6698581188
2019-03-29,1289959.1400637657
2019-03-30,5691653.588462053
2019-04-04,10540313.685412647
2019-04-09,7530314.000215921
2019-04-14,0.0
2019-04-19,4886893.903388697
