date,area (km2)
2017-07-29,6.52
2017-08-02,4.589
2017-08-14,4.745
2017-08-17,5.055
2017-08-30,5.18
2017-09-06,5.486
2017-09-11,5.692
2017-09-15,5.941
2017-09-26,6.161
2017-10-01,6.39
2017-10-16,6.608
2017-10-17,6.681
2017-10-21,6.712
2017-11-02,6.725
2017-11-05,6.712
2017-11-10,6.747
2017-11-18,6.758
2017-11-25,6.781
2017-12-04,6.768
2017-12-05,6.634
2017-12-15,6.67
2017-12-20,6.621
2017-12-25,6.614
2018-01-04,6.307
2018-01-05,6.839
2018-01-14,5.618
2018-01-21,6.688
2018-01-24,6.066
2018-01-29,6.285
2018-02-03,6.086
2018-02-06,6.473
2018-02-08,6.185
2018-02-13,6.434
2018-02-18,6.415
2018-02-22,6.395
2018-02-23,6.274
2018-02-28,6.152
2018-03-05,6.031
2018-03-10,5.91
2018-03-15,5.789
2018-03-20,5.667
2018-03-25,5.596
2018-03-26,5.425
2018-03-30,5.303
2018-04-04,5.214
2018-04-09,5.124
2018-04-11,5.034
2018-04-14,4.979
2018-04-24,4.379
2018-04-27,4.274
2018-04-29,3.757
2018-05-04,3.747
2018-05-09,3.483
2018-05-13,3.336
2018-05-14,3.125
2018-05-19,2.936
2018-05-24,2.726
2018-05-29,2.245
2018-06-03,2.173
2018-06-08,2.306
2018-06-13,2.691
2018-06-14,2.917
2018-06-18,3.206
2018-06-23,3.445
2018-06-28,3.696
2018-06-30,3.928
2018-07-03,4.158
2018-07-08,4.38
2018-07-13,4.598
2018-07-18,4.81
2018-07-23,5.017
2018-07-28,5.221
2018-08-01,5.42
2018-08-02,5.512
2018-08-07,5.546
2018-08-12,5.609
2018-08-17,5.657
2018-08-22,5.712
2018-08-27,5.763
2018-09-01,5.816
2018-09-02,5.831
2018-09-06,5.829
2018-09-11,5.829
2018-09-21,5.821
2018-09-26,5.817
2018-10-01,5.811
2018-10-04,5.806
2018-10-06,5.801
2018-10-11,5.796
2018-10-16,5.791
2018-10-20,5.786
2018-10-21,5.781
2018-10-26,5.773
2018-10-31,5.764
2018-11-05,5.756
2018-11-10,5.748
2018-11-15,5.739
2018-11-20,5.731
2018-11-21,5.722
2018-11-25,5.714
2018-11-30,5.705
2018-12-07,5.697
2018-12-10,5.688
2018-12-15,5.674
2018-12-20,5.656
2018-12-23,5.64
2018-12-25,5.624
2018-12-30,5.607
2019-01-04,5.591
2019-01-08,5.574
2019-01-09,5.558
2019-01-14,5.541
2019-01-19,5.524
2019-01-24,5.508
2019-01-29,5.491
2019-02-03,5.488
2019-02-08,5.493
2019-02-09,5.494
2019-02-13,5.497
2019-02-18,5.499
2019-02-23,5.501
2019-02-25,5.503
2019-02-28,5.416
2019-03-05,5.283
2019-03-10,5.409
2019-03-13,5.162
2019-03-15,5.096
2019-03-20,4.939
2019-03-25,4.824
2019-03-29,4.538
2019-04-02,4.521
2019-04-07,4.357
2019-04-12,4.263
2019-04-14,4.132
2019-04-17,4.017
2019-04-22,3.891
2019-04-27,3.766
2019-04-30,3.638
2019-05-02,3.508
2019-05-07,3.274
2019-05-12,2.982
