date,area (km2)
2017-02-03,25.83
2017-02-19,26.721
2017-02-23,25.538
2017-03-07,25.76
2017-03-15,25.281
2017-03-23,26.179
2017-04-04,25.35
2017-04-08,25.255
2017-04-24,24.671
2017-05-10,24.324
2017-05-14,23.854
2017-05-26,23.297
2017-06-03,22.634
2017-06-11,22.011
2017-06-23,21.724
2017-06-27,21.621
2017-07-08,21.425
2017-07-13,21.847
2017-07-28,22.519
2017-07-29,23.053
2017-08-02,23.645
2017-08-14,25.271
2017-08-17,25.316
2017-08-30,27.244
2017-09-06,26.943
2017-09-11,28.383
2017-09-15,27.663
2017-09-26,28.681
2017-10-01,28.818
2017-10-16,29.394
2017-10-17,29.464
2017-10-21,29.5
2017-11-02,30.362
2017-11-05,30.004
2017-11-10,30.256
2017-11-18,30.11
2017-11-25,30.255
2017-12-04,30.191
2017-12-05,30.167
2017-12-15,30.123
2017-12-20,30.089
2017-12-25,30.05
2018-01-04,30.014
2018-01-05,29.976
2018-01-09,29.939
2018-01-14,29.872
2018-01-21,29.79
2018-01-24,29.716
2018-01-29,29.638
2018-02-03,29.561
2018-02-06,29.511
2018-02-08,29.475
2018-02-13,29.432
2018-02-18,29.393
2018-02-22,29.352
2018-02-23,29.312
2018-02-28,29.164
2018-03-05,28.962
2018-03-10,28.089
2018-03-15,28.251
2018-03-20,27.897
2018-03-25,27.799
2018-03-26,27.572
2018-03-30,27.409
2018-04-04,27.213
2018-04-09,25.7
2018-04-11,25.96
2018-04-14,25.336
2018-04-24,24.539
2018-04-27,24.493
2018-04-29,24.071
2018-05-04,23.833
2018-05-09,23.5
2018-05-13,23.212
2018-05-14,22.899
2018-05-19,22.595
2018-05-24,22.283
2018-05-29,21.972
2018-06-03,21.657
2018-06-08,22.005
2018-06-13,22.665
2018-06-14,23.157
2018-06-18,23.724
2018-06-23,24.244
2018-06-28,24.778
2018-06-30,27.314
2018-07-03,26.856
2018-07-08,27.901
2018-07-13,28.179
2018-07-18,28.837
2018-07-23,29.296
2018-07-28,29.849
2018-08-01,30.347
2018-08-02,30.494
2018-08-07,30.436
2018-08-12,30.481
2018-08-17,30.474
2018-08-22,30.493
2018-08-27,30.499
2018-09-01,30.511
2018-09-02,30.5
2018-09-06,30.481
2018-09-11,29.434
2018-09-21,29.789
2018-09-26,29.527
2018-10-01,29.475
2018-10-04,29.366
2018-10-06,29.334
2018-10-11,28.723
2018-10-16,28.723
2018-10-20,28.638
2018-10-21,28.791
2018-10-26,28.582
2018-10-31,28.661
2018-11-05,28.596
2018-11-10,28.602
2018-11-15,28.573
2018-11-20,28.41
2018-11-21,28.466
2018-11-25,28.183
2018-11-30,28.299
2018-12-07,28.215
2018-12-10,28.048
2018-12-15,28.184
2018-12-20,27.731
2018-12-23,27.939
2018-12-25,27.663
2018-12-30,27.677
2019-01-04,27.652
2019-01-08,27.647
2019-01-09,27.632
2019-01-14,27.622
2019-01-19,27.609
2019-01-24,27.598
2019-01-29,27.586
2019-02-03,27.572
2019-02-08,27.557
2019-02-09,27.542
2019-02-13,27.527
2019-02-18,27.512
2019-02-23,27.497
2019-02-25,26.808
2019-02-28,26.573
2019-03-05,26.573
2019-03-10,25.85
2019-03-13,25.862
2019-03-15,24.5
2019-03-20,25.077
2019-03-25,23.786
2019-03-29,24.102
2019-03-30,23.617
2019-04-04,24.523
2019-04-09,23.731
2019-04-14,23.783
2019-04-19,23.414
2019-04-24,23.252
2019-04-29,22.985
2019-04-30,22.795
2019-05-04,22.59
2019-05-09,22.39
2019-05-14,22.187
2019-05-16,21.984
2019-05-19,21.779
2019-05-24,21.574
2019-05-29,21.368
2019-06-01,21.161
2019-06-03,20.953
2019-06-08,20.744
2019-06-13,20.533
2019-06-17,20.322
2019-06-18,20.109
2019-06-23,19.896
2019-06-28,19.681
2019-07-03,19.945
2019-07-08,20.437
2019-07-13,20.808
2019-07-18,21.234
2019-07-19,21.627
2019-07-23,22.031
2019-07-28,22.423
2019-08-02,22.816
2019-08-04,23.204
2019-08-07,23.589
2019-08-12,23.971
2019-08-17,24.35
2019-08-20,24.726
2019-08-22,25.099
2019-08-27,25.47
2019-09-05,25.649
2019-09-06,25.73
2019-09-11,25.86
2019-09-16,25.965
2019-09-21,26.082
2019-09-26,26.192
2019-10-01,26.306
2019-10-06,26.417
2019-10-07,26.529
2019-10-11,26.641
2019-10-16,26.753
2019-10-21,26.864
2019-10-23,26.975
2019-10-26,27.007
2019-11-05,26.998
2019-11-08,27.01
2019-11-10,27.012
2019-11-15,27.021
2019-11-20,27.028
2019-11-24,27.035
2019-11-25,27.055
2019-11-30,27.081
2019-12-05,27.104
2019-12-10,27.129
2019-12-15,27.153
2019-12-20,27.177
2019-12-25,27.201
2019-12-26,27.114
2019-12-30,26.972
2020-01-04,26.92
2020-01-09,26.886
2020-01-11,26.843
2020-01-14,26.804
2020-01-19,26.763
2020-01-24,26.723
2020-01-27,26.674
2020-01-29,26.62
2020-02-03,26.569
2020-02-08,26.517
2020-02-12,26.465
2020-02-13,26.704
2020-02-18,26.49
2020-02-23,26.501
2020-02-28,26.399
2020-03-04,26.967
2020-03-09,26.601
2020-03-14,26.686
2020-03-15,26.546
2020-03-19,26.518
2020-03-24,25.924
2020-03-29,26.162
2020-03-31,25.641
2020-04-03,24.988
2020-04-08,25.675
2020-04-13,24.976
2020-04-16,24.906
2020-04-18,24.521
2020-04-23,24.29
2020-04-28,23.98
2020-05-02,23.707
2020-05-03,23.413
2020-05-13,23.127
2020-05-18,22.834
2020-05-23,22.542
2020-05-28,22.332
2020-06-03,22.165
2020-06-07,21.976
2020-06-12,21.796
2020-06-17,21.611
2020-06-19,21.427
2020-06-27,21.241
