date,area (km2)
2017-07-29,2.139
2017-08-02,2.403
2017-08-14,2.799
2017-08-17,2.791
2017-08-30,2.784
2017-09-06,2.779
2017-09-11,2.773
2017-09-15,2.768
2017-09-26,2.762
2017-10-01,2.756
2017-10-16,2.751
2017-10-17,2.75
2017-10-21,2.752
2017-11-02,2.751
2017-11-05,2.752
2017-11-10,2.753
2017-11-18,2.755
2017-11-25,2.755
2017-12-04,2.65
2017-12-05,2.671
2017-12-15,2.573
2017-12-20,2.605
2017-12-25,2.557
2018-01-04,2.548
2018-01-05,2.515
2018-01-14,2.399
2018-01-21,2.283
2018-01-24,2.219
2018-01-29,2.051
2018-02-03,2.011
2018-02-06,2.021
2018-02-08,2.0
2018-02-13,1.994
2018-02-18,1.977
2018-02-22,1.962
2018-02-23,1.956
2018-02-28,1.95
2018-03-05,1.945
2018-03-10,1.939
2018-03-15,1.933
2018-03-20,1.927
2018-03-25,1.921
2018-03-26,1.916
2018-03-30,1.912
2018-04-04,1.811
2018-04-09,1.712
2018-04-11,1.655
2018-04-14,1.575
2018-04-24,1.615
2018-04-27,1.557
2018-04-29,1.616
2018-05-04,1.588
2018-05-09,1.603
2018-05-13,1.596
2018-05-14,1.601
2018-05-19,1.6
2018-05-24,1.601
2018-05-29,1.601
2018-06-03,1.602
2018-06-08,1.776
2018-06-13,1.779
2018-06-14,1.929
2018-06-18,1.943
2018-06-23,2.082
2018-06-28,2.101
2018-06-30,2.18
2018-07-03,2.141
2018-07-08,2.244
2018-07-13,2.465
2018-07-18,2.439
2018-07-23,2.618
2018-07-28,2.695
2018-08-01,2.702
2018-08-02,2.71
2018-08-07,2.718
2018-08-12,2.725
2018-08-17,2.733
2018-08-22,2.738
2018-08-27,2.749
2018-09-01,2.752
2018-09-02,2.742
2018-09-06,2.744
2018-09-11,2.739
2018-09-21,2.74
2018-09-26,2.738
2018-10-01,2.737
2018-10-04,2.729
2018-10-06,2.726
2018-10-11,2.724
2018-10-16,2.722
2018-10-20,2.716
2018-10-21,2.707
2018-10-26,2.705
2018-10-31,2.695
2018-11-05,2.679
2018-11-10,2.606
2018-11-15,2.66
2018-11-20,2.534
2018-11-21,2.587
2018-11-25,2.55
2018-11-30,2.622
2018-12-07,2.613
2018-12-10,2.607
2018-12-15,2.571
2018-12-20,2.52
2018-12-23,2.362
2018-12-25,2.372
2018-12-30,2.299
2019-01-04,2.174
2019-01-08,2.111
2019-01-09,2.048
2019-01-14,1.84
2019-01-19,1.923
2019-01-24,1.958
2019-01-29,1.931
2019-02-03,1.931
2019-02-08,1.947
2019-02-09,1.949
2019-02-13,1.958
2019-02-18,1.963
2019-02-23,1.97
2019-02-25,1.977
2019-02-28,1.983
2019-03-05,1.99
2019-03-10,1.996
2019-03-13,2.002
2019-03-15,2.009
2019-03-20,2.001
2019-03-25,1.986
2019-03-29,1.974
2019-03-30,1.951
2019-04-04,1.925
2019-04-09,1.9
2019-04-14,1.873
2019-04-19,1.847
2019-04-24,1.82
2019-04-29,1.792
2019-04-30,1.764
2019-05-04,1.736
2019-05-09,1.716
