date,area (km2)
2017-07-16,2.496
2017-07-20,2.557
2017-07-21,2.887
2017-07-31,1.997
2017-08-05,2.533
2017-08-15,2.518
2017-08-20,2.518
2017-08-21,2.371
2017-08-25,2.533
2017-08-30,2.533
2017-09-06,1.515
2017-09-09,1.67
2017-09-14,2.325
2017-09-19,2.533
2017-09-22,2.194
2017-09-24,2.033
2017-10-04,2.631
2017-10-08,2.331
2017-10-09,2.533
2017-10-14,2.533
2017-10-19,1.734
2017-10-24,2.77
2017-10-29,2.77
2017-11-03,2.533
2017-11-08,2.243
2017-11-09,2.578
2017-11-13,2.578
2017-11-18,2.533
2017-11-23,2.533
2017-11-25,2.369
2017-11-28,1.409
2017-12-03,2.752
2017-12-08,1.772
2017-12-11,2.486
2017-12-13,2.034
2017-12-18,2.237
2017-12-23,2.28
2017-12-27,2.28
2017-12-28,2.383
2018-01-02,2.243
2018-01-07,2.312
2018-01-12,2.548
2018-01-17,2.533
2018-01-22,2.194
2018-01-27,2.194
2018-01-28,2.194
2018-02-06,2.196
2018-02-11,2.364
2018-02-13,2.281
2018-02-16,2.324
2018-02-21,2.304
2018-02-26,2.465
2018-03-01,2.362
2018-03-03,2.426
2018-03-08,2.501
2018-03-13,2.366
2018-03-17,2.435
2018-03-18,2.481
2018-03-23,2.496
2018-03-28,2.49
2018-04-02,2.557
2018-04-07,2.557
2018-04-12,2.633
2018-04-17,2.533
2018-04-18,2.533
2018-04-22,2.533
2018-04-27,2.521
2018-05-02,2.533
2018-05-04,2.533
2018-05-07,2.419
2018-05-12,2.464
2018-05-17,2.533
2018-05-20,2.557
2018-05-22,2.533
2018-06-01,2.533
2018-06-05,2.493
2018-06-06,2.446
2018-06-11,2.402
2018-06-16,2.356
2018-06-21,2.31
2018-06-26,2.263
2018-07-01,2.216
2018-07-06,2.168
2018-07-07,2.12
2018-07-11,2.072
2018-07-16,2.022
2018-07-21,1.972
2018-07-23,1.922
2018-07-26,1.898
2018-07-31,1.887
2018-08-05,1.87
2018-08-08,1.855
2018-08-10,1.839
2018-08-15,1.824
2018-08-24,1.808
2018-08-25,1.793
2018-08-30,1.777
2018-09-04,1.917
2018-09-09,1.897
2018-09-14,1.878
2018-09-19,1.862
2018-09-24,1.905
2018-09-25,1.902
2018-09-29,1.999
2018-10-04,2.046
2018-10-09,2.093
2018-10-11,2.133
2018-10-14,2.175
2018-10-19,2.234
2018-10-24,2.266
2018-10-27,2.327
2018-10-29,2.374
2018-11-03,2.421
2018-11-08,2.468
2018-11-12,2.515
2018-11-18,2.551
2018-11-23,2.533
2018-11-28,2.6
2018-12-03,2.624
2018-12-08,2.669
2018-12-13,2.797
2018-12-14,2.844
2018-12-18,2.878
2018-12-23,2.937
2018-12-28,2.805
2018-12-30,2.927
2019-01-02,2.92
2019-01-07,2.978
2019-01-12,3.003
2019-01-15,3.044
2019-01-17,3.077
2019-01-22,3.114
2019-01-27,3.115
2019-01-31,3.101
2019-02-01,3.095
2019-02-06,3.085
2019-02-11,3.077
2019-02-16,3.068
2019-02-21,3.059
2019-02-26,3.04
2019-03-03,3.017
2019-03-04,2.995
2019-03-08,2.89
2019-03-13,2.909
2019-03-18,2.867
2019-03-20,2.855
2019-03-23,2.827
2019-03-28,2.808
2019-04-02,2.698
2019-04-05,2.698
2019-04-07,2.665
2019-04-12,2.649
2019-04-17,2.624
2019-04-21,2.603
2019-04-22,2.533
2019-04-27,2.399
2019-05-02,2.374
2019-05-07,2.362
2019-05-12,2.351
2019-05-17,2.339
2019-05-22,2.328
2019-05-23,2.304
2019-05-27,2.274
2019-06-01,2.247
2019-06-06,2.218
2019-06-08,2.189
2019-06-11,2.16
2019-06-16,2.131
2019-06-21,2.101
2019-06-24,2.071
2019-06-26,2.04
2019-07-01,2.009
2019-07-06,1.977
