date,area (km2)
2017-07-21,4.731
2017-07-26,4.942
2017-07-28,5.154
2017-07-29,5.3
2017-08-02,5.577
2017-08-14,5.686
2017-08-15,6.031
2017-08-17,6.108
2017-08-30,6.33
2017-09-06,6.475
2017-09-11,6.655
2017-09-15,7.348
2017-09-19,7.258
2017-09-24,7.651
2017-09-26,7.72
2017-10-01,7.789
2017-10-09,7.83
2017-10-14,7.825
2017-10-16,7.842
2017-10-17,7.86
2017-10-21,7.878
2017-11-02,7.896
2017-11-03,7.906
2017-11-05,7.92
2017-11-08,7.932
2017-11-10,7.945
2017-11-18,7.984
2017-11-23,7.962
2017-11-25,7.79
2017-11-28,7.79
2017-12-04,7.894
2017-12-05,7.817
2017-12-08,7.848
2017-12-13,7.826
2017-12-15,7.813
2017-12-18,7.78
2017-12-20,7.772
2017-12-25,7.752
2017-12-28,7.712
2018-01-02,7.69
2018-01-04,7.253
2018-01-05,7.644
2018-01-14,7.593
2018-01-17,7.578
2018-01-21,7.524
2018-01-22,7.508
2018-01-24,7.313
2018-01-27,7.475
2018-01-29,7.376
2018-02-03,7.408
2018-02-06,7.394
2018-02-08,7.064
2018-02-11,7.329
2018-02-13,7.297
2018-02-16,7.265
2018-02-18,7.246
2018-02-21,7.2
2018-02-22,7.168
2018-02-23,7.149
2018-02-26,7.047
2018-02-28,6.986
2018-03-03,6.925
2018-03-05,6.89
2018-03-08,6.804
2018-03-10,6.743
2018-03-13,6.707
2018-03-15,6.34
2018-03-18,6.561
2018-03-20,6.113
2018-03-23,6.271
2018-03-25,6.211
2018-03-26,6.211
2018-03-28,6.143
2018-03-30,6.182
2018-04-02,6.094
2018-04-04,6.019
2018-04-07,5.72
2018-04-09,5.566
2018-04-11,5.412
2018-04-12,5.339
2018-04-14,5.266
2018-04-17,5.193
2018-04-22,5.12
2018-04-24,5.047
2018-04-27,4.973
2018-04-29,4.9
2018-05-04,4.827
2018-05-07,4.288
2018-05-09,4.681
2018-05-12,4.406
2018-05-13,4.534
