date,area (km2)
2017-07-29,7.164
2017-08-02,7.511
2017-08-14,6.9
2017-08-17,7.528
2017-08-30,7.527
2017-09-06,7.723
2017-09-11,7.819
2017-09-15,7.963
2017-09-26,8.082
2017-10-01,8.996
2017-10-16,8.736
2017-10-17,9.009
2017-10-21,9.015
2017-11-02,9.022
2017-11-05,9.028
2017-11-10,9.034
2017-11-18,9.04
2017-11-25,9.044
2017-12-04,8.529
2017-12-05,8.48
2017-12-15,8.513
2017-12-20,8.504
2017-12-25,9.089
2018-01-04,8.805
2018-01-05,9.105
2018-01-14,8.964
2018-01-21,8.994
2018-01-24,8.919
2018-01-29,8.897
2018-02-03,8.825
2018-02-06,8.768
2018-02-08,8.735
2018-02-13,8.691
2018-02-18,8.597
2018-02-22,8.582
2018-02-23,8.432
2018-02-28,8.324
2018-03-05,8.215
2018-03-10,8.107
2018-03-15,8.045
2018-03-20,7.89
2018-03-25,7.782
2018-03-26,7.674
2018-03-30,7.565
2018-04-04,7.41
2018-04-09,6.999
2018-04-11,7.04
2018-04-14,6.963
2018-04-24,6.845
2018-04-27,6.395
2018-04-29,6.556
2018-05-04,6.332
2018-05-09,6.298
2018-05-13,6.168
2018-05-14,6.085
2018-05-19,5.977
2018-05-24,5.88
2018-05-29,5.777
2018-06-03,5.675
2018-06-08,5.787
2018-06-13,6.0
2018-06-14,6.158
2018-06-18,6.34
2018-06-23,6.506
2018-06-28,6.677
2018-06-30,6.842
2018-07-03,7.007
2018-07-08,7.169
2018-07-13,7.528
2018-07-18,7.591
2018-07-23,7.801
2018-07-28,7.934
2018-08-01,8.104
2018-08-02,8.153
2018-08-07,8.159
2018-08-12,8.186
2018-08-17,8.203
2018-08-22,8.225
2018-08-27,8.245
2018-09-01,8.266
2018-09-02,8.233
2018-09-06,8.173
2018-09-11,8.113
2018-09-21,8.113
2018-09-26,8.308
2018-10-01,8.209
2018-10-04,8.254
2018-10-06,8.224
2018-10-11,8.472
2018-10-16,8.34
2018-10-20,8.398
2018-10-21,8.442
2018-10-26,8.417
2018-10-31,8.431
2018-11-05,8.425
2018-11-10,8.429
2018-11-15,8.429
2018-11-20,8.534
2018-11-21,8.483
2018-11-25,8.258
2018-11-30,8.372
2018-12-07,8.316
2018-12-10,8.128
2018-12-15,8.209
2018-12-20,8.269
2018-12-23,8.256
2018-12-25,8.234
2018-12-30,8.375
2019-01-04,8.276
2019-01-08,8.297
2019-01-09,8.258
2019-01-14,8.248
2019-01-19,8.224
2019-01-24,8.266
2019-01-29,8.64
2019-02-03,8.654
2019-02-08,8.661
2019-02-09,8.672
2019-02-13,8.694
2019-02-18,8.708
2019-02-23,8.721
2019-02-25,8.573
2019-02-28,8.426
2019-03-05,8.343
2019-03-10,7.528
2019-03-13,7.983
2019-03-15,7.603
2019-03-20,7.638
2019-03-25,7.54
2019-03-29,7.392
2019-03-30,7.308
2019-04-04,7.19
2019-04-09,6.949
2019-04-14,6.801
2019-04-19,6.654
2019-04-24,6.472
2019-04-29,6.386
2019-04-30,6.298
2019-05-04,6.21
2019-05-09,6.077
2019-05-14,5.921
2019-05-16,5.771
2019-05-19,5.614
2019-05-24,5.455
2019-05-29,5.29
2019-06-01,5.172
2019-06-03,5.073
2019-06-08,4.962
2019-06-13,4.854
2019-06-17,4.741
2019-06-18,4.627
2019-06-23,4.713
2019-06-28,4.886
2019-07-03,5.009
2019-07-08,5.152
2019-07-13,5.28
2019-07-18,5.411
2019-07-19,5.536
2019-07-23,5.661
2019-07-28,5.783
2019-08-02,5.903
2019-08-04,6.02
2019-08-07,6.136
2019-08-12,6.251
2019-08-17,6.364
2019-08-20,6.475
2019-08-22,6.584
2019-08-27,6.693
2019-09-01,6.8
2019-09-05,6.906
2019-09-06,7.01
2019-09-11,7.114
2019-09-16,7.216
2019-09-21,7.318
2019-09-26,7.418
2019-10-01,7.517
2019-10-06,7.616
2019-10-07,7.713
2019-10-11,7.81
2019-10-16,7.906
2019-10-21,8.001
2019-10-23,8.095
2019-10-26,8.189
2019-10-31,8.281
2019-11-05,8.374
2019-11-08,8.465
2019-11-10,8.556
2019-11-15,8.575
2019-11-20,8.559
2019-11-24,8.56
2019-11-25,8.557
2019-11-30,8.559
2019-12-05,8.559
2019-12-10,8.56
2019-12-15,8.56
2019-12-20,8.561
2019-12-25,8.561
2019-12-26,8.562
2019-12-30,8.562
2020-01-04,8.562
2020-01-09,8.562
2020-01-11,8.561
2020-01-14,8.561
2020-01-19,8.561
2020-01-24,8.56
2020-01-27,8.523
2020-01-29,8.466
2020-02-03,8.419
2020-02-08,8.367
2020-02-12,8.317
2020-02-13,8.265
2020-02-18,8.218
2020-02-23,8.171
2020-02-28,8.123
2020-03-04,8.076
2020-03-09,8.028
2020-03-14,7.98
2020-03-15,7.932
2020-03-19,7.884
2020-03-24,7.835
2020-03-29,7.749
2020-03-31,7.643
2020-04-03,7.546
2020-04-08,7.435
2020-04-13,7.322
2020-04-16,7.208
2020-04-18,7.093
2020-04-23,6.976
2020-04-28,6.858
2020-05-02,6.738
2020-05-03,6.616
2020-05-08,6.493
2020-05-13,6.368
2020-05-18,6.241
2020-05-23,6.112
2020-05-28,6.024
2020-06-02,5.955
2020-06-03,5.876
2020-06-07,5.8
2020-06-12,5.721
2020-06-17,5.643
2020-06-19,5.563
2020-06-22,5.482
2020-06-27,5.4
2020-07-02,5.317
2020-07-05,5.233
2020-07-07,5.148
2020-07-12,5.214
2020-07-17,5.349
2020-07-21,5.446
2020-07-22,5.78
2020-07-27,6.201
2020-08-01,6.546
2020-08-06,6.907
2020-08-11,7.239
2020-08-16,7.568
2020-08-21,7.883
2020-08-22,8.191
2020-08-26,8.491
2020-08-31,8.581
2020-09-05,8.557
2020-09-07,8.59
2020-09-10,8.594
2020-09-15,8.613
2020-09-20,8.624
2020-09-23,8.627
2020-09-25,8.621
2020-09-30,8.62
2020-10-05,8.616
2020-10-09,8.613
2020-10-10,8.61
2020-10-15,8.608
2020-10-20,8.607
2020-10-25,8.605
2020-10-30,8.603
2020-11-04,8.602
2020-11-09,8.6
2020-11-10,8.598
2020-11-14,8.596
2020-11-19,8.595
2020-11-24,8.612
2020-11-26,8.638
2020-11-29,8.659
2020-12-04,8.665
2020-12-09,8.66
2020-12-12,8.661
2020-12-14,8.66
2020-12-19,8.659
2020-12-24,8.658
2020-12-28,8.657
2020-12-29,8.656
2021-01-03,8.656
2021-01-08,8.655
2021-01-13,8.654
2021-01-18,8.653
2021-01-23,8.623
2021-01-28,8.577
2021-01-29,8.539
2021-02-02,8.497
2021-02-07,8.457
2021-02-12,8.416
2021-02-14,8.375
2021-02-17,8.334
2021-02-22,8.293
2021-02-27,8.251
2021-03-02,8.209
2021-03-04,8.168
2021-03-09,8.09
2021-03-14,7.994
2021-03-18,7.906
2021-03-19,7.812
2021-03-24,7.719
2021-03-29,7.625
2021-04-03,7.529
2021-04-08,7.433
2021-04-13,7.336
2021-04-18,7.238
2021-04-19,7.139
2021-04-23,7.039
2021-04-28,6.937
2021-05-03,6.832
2021-05-05,6.726
2021-05-08,6.619
2021-05-13,6.511
2021-05-18,6.402
2021-05-21,6.361
2021-05-23,6.355
2021-05-28,6.331
2021-06-02,6.316
2021-06-06,6.296
2021-06-07,6.279
2021-06-12,6.343
2021-06-17,6.448
2021-06-22,6.532
2021-06-27,6.624
2021-07-02,6.711
2021-07-07,6.799
2021-07-08,6.885
2021-07-12,6.971
2021-07-17,7.056
2021-07-22,6.759
2021-07-24,6.236
2021-07-27,5.781
2021-08-01,5.903
2021-08-06,6.272
2021-08-09,6.604
2021-08-11,6.843
2021-08-16,7.117
2021-08-21,7.363
2021-08-25,7.613
2021-08-26,7.853
2021-08-31,8.09
2021-09-05,8.321
2021-09-10,8.548
2021-09-15,8.771
2021-09-20,8.83
2021-09-25,8.802
2021-09-26,8.817
2021-09-30,8.811
2021-10-05,8.815
2021-10-10,8.814
2021-10-12,8.816
2021-10-15,8.817
2021-10-20,8.818
2021-10-25,8.819
2021-10-28,8.82
2021-10-30,8.82
2021-11-04,8.818
2021-11-09,8.813
2021-11-14,8.809
2021-11-19,8.812
2021-11-24,8.819
2021-11-29,8.823
2021-12-04,8.829
2021-12-09,8.834
2021-12-14,8.839
2021-12-15,8.844
2021-12-19,8.849
2021-12-24,8.849
2021-12-29,8.846
2021-12-31,8.844
2022-01-03,8.842
2022-01-08,8.839
2022-01-13,8.837
2022-01-16,8.814
2022-01-18,8.78
2022-01-23,8.751
2022-01-28,8.72
2022-02-01,8.69
2022-02-02,8.659
2022-02-07,8.563
2022-02-12,8.434
2022-02-17,8.319
2022-02-22,8.196
2022-02-27,8.075
2022-03-04,7.951
2022-03-05,7.826
2022-03-09,7.7
2022-03-14,7.572
2022-03-19,7.386
2022-03-21,7.17
2022-03-24,6.961
2022-03-29,6.815
2022-04-03,6.703
2022-04-06,6.572
2022-04-08,6.447
2022-04-13,6.317
2022-04-18,6.186
2022-04-22,6.052
2022-04-23,5.916
2022-04-28,5.777
2022-05-03,5.636
2022-05-08,5.491
2022-05-13,5.344
2022-05-18,5.332
2022-05-23,5.384
2022-05-24,5.404
2022-05-28,5.439
2022-06-02,5.467
2022-06-07,5.498
2022-06-09,5.527
2022-06-12,5.557
2022-06-17,5.586
2022-06-22,5.616
2022-06-27,5.645
2022-07-02,5.674
2022-07-07,5.703
2022-07-11,5.732
2022-07-12,6.042
2022-07-17,6.475
2022-07-22,6.817
2022-07-27,7.182
2022-08-01,7.516
2022-08-06,7.849
2022-08-11,8.167
2022-08-12,8.48
2022-08-16,8.784
2022-08-21,8.871
2022-08-26,8.842
2022-08-28,8.871
2022-08-31,8.87
2022-09-05,8.885
2022-09-10,8.892
2022-09-13,8.894
2022-09-15,8.89
2022-09-20,8.888
2022-09-25,8.886
2022-09-29,8.884
2022-09-30,8.881
2022-10-05,8.881
2022-10-10,8.882
2022-10-15,8.882
2022-10-20,8.883
2022-10-25,8.883
2022-10-30,8.884
2022-10-31,8.884
2022-11-04,8.885
2022-11-09,8.885
2022-11-14,8.882
2022-11-16,8.878
2022-11-19,8.875
2022-11-24,8.876
2022-11-29,8.879
2022-12-02,8.881
2022-12-04,8.884
2022-12-09,8.887
2022-12-14,8.889
2022-12-18,8.892
2022-12-19,8.894
2022-12-24,8.897
2022-12-29,8.9
2023-01-03,8.902
2023-01-08,8.905
2023-01-13,8.906
2023-01-18,8.906
2023-01-19,8.907
2023-01-23,8.908
2023-01-28,8.909
2023-02-02,8.91
2023-02-04,8.91
2023-02-07,8.911
2023-02-12,8.912
2023-02-17,8.913
2023-02-20,8.913
2023-02-22,8.914
2023-02-27,8.877
2023-03-04,8.822
2023-03-08,8.775
2023-03-09,8.727
2023-03-14,8.683
2023-03-19,8.636
2023-03-24,8.59
2023-03-29,8.544
2023-04-03,8.497
2023-04-08,8.45
2023-04-09,8.404
2023-04-13,8.357
2023-04-18,8.333
2023-04-23,8.321
2023-04-25,8.303
2023-04-28,8.288
2023-05-03,8.271
2023-05-08,8.256
2023-05-11,8.248
2023-05-13,8.244
2023-05-18,8.238
2023-05-23,8.233
2023-05-27,8.228
2023-05-28,8.223
2023-06-02,8.134
2023-06-07,8.003
2023-06-12,7.891
2023-06-17,7.768
2023-06-22,7.648
2023-06-27,7.524
2023-06-28,7.401
2023-07-02,7.275
2023-07-07,7.148
2023-07-12,7.178
2023-07-14,7.282
2023-07-17,7.348
2023-07-22,7.442
2023-07-27,7.531
2023-07-28,7.622
2023-07-30,7.71
2023-08-01,7.799
2023-08-06,7.886
2023-08-11,7.973
2023-08-13,8.059
2023-08-16,8.145
2023-08-21,8.23
2023-08-26,8.314
2023-08-27,8.398
2023-08-29,8.481
2023-08-31,8.564
2023-09-05,8.646
2023-09-10,8.709
2023-09-12,8.763
2023-09-15,8.82
2023-09-20,8.838
2023-09-25,8.838
2023-09-28,8.847
2023-09-30,8.852
2023-10-05,8.859
2023-10-10,8.864
2023-10-14,8.87
2023-10-15,8.876
2023-10-20,8.882
2023-10-25,8.888
2023-10-30,8.894
2023-11-04,8.9
2023-11-09,8.901
2023-11-14,8.901
2023-11-15,8.901
2023-11-19,8.901
2023-11-24,8.901
2023-11-29,8.901
2023-12-19,7.845
2023-12-24,7.845
2023-12-27,8.079
2023-12-29,8.128
2024-01-03,8.06
2024-01-04,7.992
2024-01-08,7.954
2024-01-12,7.901
2024-01-13,7.856
2024-01-18,7.806
2024-01-20,7.758
2024-01-23,7.709
2024-01-28,7.66
2024-02-02,7.611
2024-02-05,7.562
2024-02-07,7.512
2024-02-12,7.463
2024-02-13,7.413
2024-02-17,7.363
2024-02-21,7.313
2024-02-22,7.262
2024-02-27,7.211
2024-02-29,7.161
2024-03-08,6.906
2024-03-13,6.582
2024-03-16,6.476
2024-03-18,6.582
2024-03-23,6.356
2024-03-24,5.448
2024-03-28,5.533
2024-04-01,5.392
2024-04-02,5.897
2024-04-07,5.362
2024-04-12,5.362
2024-04-17,4.689
2024-05-01,4.34
2024-05-02,3.93
2024-05-07,4.383
2024-05-12,4.087
2024-05-17,3.791
2024-05-22,7.431
2024-05-27,7.431
2024-06-01,7.431
2024-06-06,7.712
2024-06-10,3.009
2024-06-11,2.984
2024-06-16,3.123
2024-06-18,3.337
2024-06-21,3.659
2024-06-26,4.194
2024-07-01,4.73
2024-07-06,5.265
2024-07-11,4.194
2024-07-16,4.194
2024-07-21,7.712
2024-07-26,7.712
2024-07-31,7.712
2024-08-05,7.712
2024-08-10,6.831
2024-08-15,6.831
2024-08-20,6.831
2024-08-21,7.245
2024-08-25,7.428
