Date	Temperature
2000-01-28	25.08
2000-04-17	30.82
2000-05-03	30.39
2000-06-04	10.19
2000-08-07	13.97
2000-09-08	29.04
2000-10-10	29.41
2000-10-26	32.85
2000-11-27	23.14
2001-01-14	29.43
2001-03-03	33.86
2001-07-25	19.75
2001-09-11	24.62
2001-10-13	14.29
2001-10-29	23.23
2001-11-30	25.99
2002-02-18	29.19
2002-05-25	34.98
2002-09-14	27.77
2002-09-30	30.56
2002-11-17	26.76
2002-12-03	28.84
2003-01-20	27.27
2003-02-21	32.97
2003-05-28	15.29
2003-10-03	17.18
2003-11-04	20.17
2003-11-20	24.12
2003-12-06	26.93
2003-12-22	26.49
2004-01-23	27.95
2004-02-24	29.38
2004-03-11	32.23
2004-04-12	34.01
2004-04-28	22.17
2004-09-19	21.01
2004-10-21	17.44
2004-11-22	24.98
2004-12-08	27.0
2004-12-24	27.39
2005-01-25	29.76
2005-02-10	25.05
2005-02-26	33.56
2005-03-14	32.58
2005-04-15	35.27
2005-06-02	28.95
2005-09-22	29.24
2005-10-24	17.93
2005-12-27	27.04
2006-01-28	25.84
2006-03-01	32.98
2006-08-08	25.74
2006-09-09	19.11
2006-10-11	13.63
2006-11-28	14.27
2006-12-30	25.8
2007-01-15	25.98
2007-01-31	29.6
2007-02-16	28.85
2007-03-04	33.23
2007-03-20	34.86
2007-04-05	33.66
2007-08-27	18.62
2007-09-12	4.35
2007-10-14	4.13
2007-10-30	15.95
2007-11-15	30.07
2007-12-01	30.93
2007-12-17	25.37
2008-01-02	27.18
2008-01-18	26.84
2008-02-03	27.38
2008-02-19	30.42
2008-03-06	31.56
2008-05-25	27.71
2008-07-12	18.17
2008-08-29	25.24
2008-09-30	27.77
2008-11-01	26.99
2008-11-17	30.36
2008-12-03	32.47
2009-01-20	26.51
2009-02-05	29.67
2009-03-25	31.99
2009-05-12	29.83
2009-05-28	25.06
2009-06-29	17.05
2009-10-19	25.5
2009-11-04	16.59
2009-11-20	23.42
2010-01-07	27.78
2010-01-23	28.23
2010-02-08	26.49
2010-02-24	29.78
2010-05-15	24.27
2011-03-31	33.12
2011-05-02	31.08
2011-05-18	33.84
2011-08-22	11.51
2011-09-23	27.47
2011-10-09	27.64
2011-11-10	29.21
