Date	Temperature
2000-01-28	24.35
2000-04-17	30.66
2000-05-03	29.87
2000-06-04	7.92
2000-08-07	13.97
2000-09-08	29.14
2000-10-10	28.79
2000-10-26	32.12
2000-11-27	21.9
2001-01-14	28.61
2001-03-03	32.94
2001-07-25	18.57
2001-09-11	20.79
2001-10-13	14.29
2001-10-29	21.03
2001-11-30	25.82
2002-02-18	28.55
2002-05-25	32.88
2002-09-14	27.89
2002-09-30	30.34
2002-11-17	26.76
2002-12-03	27.75
2003-01-20	26.27
2003-02-21	31.92
2003-05-28	15.29
2003-10-03	17.18
2003-11-04	17.79
2003-11-20	22.33
2003-12-06	26.52
2003-12-22	26.15
2004-01-23	26.08
2004-02-24	29.38
2004-03-11	31.06
2004-04-12	32.54
2004-04-28	22.15
2004-09-19	7.73
2004-10-21	17.44
2004-11-22	24.16
2004-12-08	26.2
2004-12-24	26.28
2005-01-25	28.82
2005-02-10	24.96
2005-02-26	33.56
2005-03-14	31.66
2005-04-15	34.36
2005-06-02	28.95
2005-09-22	26.13
2005-10-24	17.28
2005-12-27	26.21
2006-01-28	24.64
2006-03-01	31.48
2006-08-08	25.74
2006-09-09	19.11
2006-10-11	10.52
2006-11-28	14.27
2006-12-30	25.12
2007-01-15	25.41
2007-01-31	28.69
2007-02-16	27.63
2007-03-04	32.04
2007-03-20	34.79
2007-04-05	33.38
2007-08-27	20.71
2007-09-12	4.3
2007-10-14	4.13
2007-10-30	12.4
2007-11-15	29.47
2007-12-01	30.35
2007-12-17	23.97
2008-01-02	26.32
2008-01-18	25.87
2008-02-03	26.7
2008-02-19	30.15
2008-03-06	30.82
2008-05-25	27.44
2008-07-12	18.17
2008-08-29	25.06
2008-09-30	26.54
2008-11-01	28.19
2008-11-17	27.3
2008-12-03	31.22
2009-01-20	26.08
2009-02-05	29.36
2009-03-25	31.04
2009-05-12	29.92
2009-05-28	25.06
2009-06-29	17.05
2009-10-19	25.5
2009-11-04	16.56
2009-11-20	23.42
2010-01-07	27.05
2010-01-23	27.67
2010-02-08	26.04
2010-02-24	29.73
2010-05-15	24.27
2011-03-31	32.74
2011-05-02	30.1
2011-05-18	29.0
2011-08-22	17.19
2011-09-23	24.36
2011-10-09	27.64
2011-11-10	28.93
2011-12-12	22.76
2012-01-13	27.09
2012-01-29	18.83
2012-02-14	32.53
2012-03-01	29.3
2012-03-17	33.07
2012-04-02	31.69
2012-04-18	23.19
2012-05-04	28.28
2012-06-21	13.52
2012-09-25	22.57
2012-10-27	24.05
2012-11-12	29.54
2012-11-28	30.28
2012-12-14	28.61
2013-01-15	28.97
2013-01-31	28.68
2013-08-11	13.47
2013-08-27	21.24
2013-09-28	16.24
2013-10-14	29.86
2013-10-30	20.77
2013-12-17	26.9
2014-01-02	25.5
2014-01-18	23.09
2014-02-03	26.42
2014-02-19	27.79
2014-03-07	27.03
2014-03-23	36.85
2014-04-08	34.09
2014-04-24	27.82
2014-05-10	32.1
2014-06-27	18.17
2014-08-14	22.45
2014-08-30	14.84
2014-09-15	21.58
2014-10-01	24.43
2014-10-17	6.21
2014-11-02	6.97
2014-11-18	24.61
2014-12-04	25.5
2014-12-20	19.61
2015-01-05	28.64
2015-01-21	26.95
2015-02-06	25.49
2015-02-22	27.96
2015-03-10	31.14
2015-04-11	29.79
2015-04-27	30.16
2015-05-29	25.32
2015-06-30	24.82
2015-07-16	0.19
2015-08-17	23.83
2015-09-18	14.15
2015-10-20	7.85
2015-11-21	27.03
2015-12-23	27.81
2016-01-08	24.94
2016-01-24	26.62
2016-02-09	27.06
2016-02-25	35.59
2016-03-28	31.49
2016-04-13	29.05
2016-04-29	29.95
2016-05-15	20.46
2016-05-31	25.8
2016-07-02	8.59
2016-08-03	15.0
2016-08-19	22.28
2016-09-20	22.11
2016-10-06	26.26
2016-10-22	14.02
2016-11-07	29.43
2016-11-23	26.07
2016-12-09	25.16
2017-01-10	28.34
2017-02-11	29.87
2017-02-27	27.59
2017-03-31	35.79
2017-04-16	30.0
2017-05-02	33.17
2017-07-05	9.64
2017-07-21	23.1
2017-09-07	19.09
2017-09-23	28.68
2017-10-09	21.98
2017-10-25	30.71
2017-11-10	22.0
2017-12-12	25.93
2018-01-29	25.64
2018-02-14	28.54
2018-03-02	30.65
2018-04-03	30.9
2018-05-05	23.16
2018-05-21	5.87
2018-06-22	1.36
2018-08-25	8.87
2018-09-10	27.17
2018-09-26	27.82
2018-10-12	31.66
2018-10-28	13.95
2018-11-13	17.8
2018-11-29	12.74
2018-12-15	29.12
2018-12-31	28.64
2019-01-16	26.54
2019-02-01	27.4
2019-02-17	28.53
2019-03-05	27.16
2019-03-21	35.08
2019-04-06	30.33
2019-06-25	28.7
2019-07-11	13.02
2019-08-12	15.96
2019-09-13	8.66
2019-09-29	12.42
2019-10-15	13.46
2019-12-18	23.35
2020-01-03	30.03
2020-01-19	18.87
2020-02-04	29.96
2020-02-20	28.73
2020-03-07	28.52
2020-04-08	25.56
2020-05-10	21.07
2020-05-26	31.17
2020-08-14	1.36
2020-08-30	27.76
2020-09-15	8.99
2020-10-01	22.37
2020-10-17	25.27
2020-11-02	19.3
2020-12-20	27.29
2021-01-05	26.95
2021-01-21	25.38
2021-02-06	24.52
2021-03-09	26.89
2021-03-25	30.23
2021-04-26	8.51
2021-10-27	16.77
2021-12-30	22.15
2022-01-15	23.02
2022-01-31	25.49
2022-02-16	22.86
2022-03-04	26.35
2022-03-20	22.46
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-14	19.25
2022-10-30	17.16
2022-10-30	17.16
2022-10-30	17.16
2022-10-30	17.16
2022-10-30	17.16
2022-10-30	17.16
2022-10-30	17.16
2022-10-30	17.16
2022-10-30	17.16
2022-10-30	17.16
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-01-18	25.05
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-02-19	24.82
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-03-07	24.9
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-04-24	18.72
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-05-10	23.69
2023-06-27	2.16
2023-06-27	2.16
2023-06-27	2.16
2023-06-27	2.16
2023-06-27	2.16
2023-06-27	2.16
2023-06-27	2.16
2023-06-27	2.16
2023-06-27	2.16
2023-06-27	2.16
2023-06-27	2.16
2023-06-27	2.16
2023-06-27	2.16
