Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	15.40	22.89	19.79	16.46	23.13
2023-08-01	26.65	26.65	26.65	26.65	26.65
2023-07-01	21.08	23.02	22.05	21.01	23.09
2023-06-01	16.46	23.92	20.19	16.20	24.18
2023-05-01	25.97	25.97	25.97	25.97	25.97
2023-04-01	24.99	30.22	27.48	25.09	29.88
2023-03-01	22.59	30.79	26.06	23.68	28.44
2023-02-01	20.47	27.11	23.43	21.42	25.45
2023-01-01	17.57	24.11	21.98	20.02	23.94
2022-12-01	16.63	22.35	19.87	18.09	21.65
2022-11-01	17.27	17.34	17.30	17.27	17.34
2022-10-01	10.85	18.33	14.59	10.59	18.59
2022-09-01	15.40	22.89	19.79	16.46	23.13
2022-08-01	26.65	26.65	26.65	26.65	26.65
2022-07-01	21.08	23.02	22.05	21.01	23.09
2022-06-01	16.46	23.92	20.19	16.20	24.18
2022-05-01	25.97	25.97	25.97	25.97	25.97
2022-04-01	24.99	30.22	27.48	25.09	29.88
2022-03-01	22.59	30.79	26.06	23.68	28.44
2022-02-01	20.47	27.11	23.43	21.42	25.45
2022-01-01	17.57	24.11	21.98	20.02	23.94
2021-12-01	16.63	22.35	19.87	18.09	21.65
2021-11-01	17.27	17.34	17.30	17.27	17.34
2021-10-01	10.85	18.33	14.59	10.59	18.59
2021-09-01	15.40	22.89	19.79	16.46	23.13
2021-08-01	26.65	26.65	26.65	26.65	26.65
2021-07-01	21.08	23.02	22.05	21.01	23.09
2021-06-01	16.46	23.92	20.19	16.20	24.18
2021-05-01	25.97	25.97	25.97	25.97	25.97
2021-04-01	24.99	30.22	27.48	25.09	29.88
2021-03-01	22.59	30.79	26.06	23.68	28.44
2021-02-01	20.47	27.11	23.43	21.42	25.45
2021-01-01	17.57	24.11	21.98	20.02	23.94
2020-12-01	16.63	22.35	19.87	18.09	21.65
2020-11-01	17.27	17.34	17.30	17.27	17.34
2020-10-01	10.85	18.33	14.59	10.59	18.59
2020-09-01	15.40	22.89	19.79	16.46	23.13
2020-08-01	26.65	26.65	26.65	26.65	26.65
2020-07-01	21.08	23.02	22.05	21.01	23.09
2020-06-01	16.46	23.92	20.19	16.20	24.18
2020-05-01	25.97	25.97	25.97	25.97	25.97
2020-04-01	24.99	30.22	27.48	25.09	29.88
2020-03-01	22.59	30.79	26.06	23.68	28.44
2020-02-01	20.47	27.11	23.43	21.42	25.45
