Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	13.56	22.10	18.58	14.78	22.39
2023-08-01	nan	nan	nan	nan	nan
2023-07-01	nan	nan	nan	nan	nan
2023-06-01	nan	nan	nan	nan	nan
2023-05-01	22.78	22.78	22.78	22.78	22.78
2023-04-01	24.89	33.51	29.75	25.99	33.51
2023-03-01	22.80	31.72	27.73	24.98	30.49
2023-02-01	21.37	28.63	26.77	24.40	29.14
2023-01-01	23.80	25.37	24.74	24.18	25.30
2022-12-01	22.00	22.94	22.47	21.97	22.97
2022-11-01	26.09	27.46	26.78	26.04	27.51
2022-10-01	14.64	25.90	20.76	15.76	25.75
2022-09-01	13.56	22.10	18.58	14.78	22.39
2022-08-01	nan	nan	nan	nan	nan
2022-07-01	nan	nan	nan	nan	nan
2022-06-01	nan	nan	nan	nan	nan
2022-05-01	22.78	22.78	22.78	22.78	22.78
2022-04-01	24.89	33.51	29.75	25.99	33.51
2022-03-01	22.80	31.72	27.73	24.98	30.49
2022-02-01	21.37	28.63	26.77	24.40	29.14
2022-01-01	23.80	25.37	24.74	24.18	25.30
2021-12-01	22.00	22.94	22.47	21.97	22.97
2021-11-01	26.09	27.46	26.78	26.04	27.51
2021-10-01	14.64	25.90	20.76	15.76	25.75
2021-09-01	13.56	22.10	18.58	14.78	22.39
2021-08-01	nan	nan	nan	nan	nan
2021-07-01	nan	nan	nan	nan	nan
2021-06-01	nan	nan	nan	nan	nan
2021-05-01	22.78	22.78	22.78	22.78	22.78
2021-04-01	24.89	33.51	29.75	25.99	33.51
2021-03-01	22.80	31.72	27.73	24.98	30.49
2021-02-01	21.37	28.63	26.77	24.40	29.14
2021-01-01	23.80	25.37	24.74	24.18	25.30
2020-12-01	22.00	22.94	22.47	21.97	22.97
2020-11-01	26.09	27.46	26.78	26.04	27.51
2020-10-01	14.64	25.90	20.76	15.76	25.75
2020-09-01	13.56	22.10	18.58	14.78	22.39
2020-08-01	nan	nan	nan	nan	nan
2020-07-01	nan	nan	nan	nan	nan
2020-06-01	nan	nan	nan	nan	nan
2020-05-01	22.78	22.78	22.78	22.78	22.78
2020-04-01	24.89	33.51	29.75	25.99	33.51
2020-03-01	22.80	31.72	27.73	24.98	30.49
2020-02-01	21.37	28.63	26.77	24.40	29.14
2020-01-01	23.80	25.37	24.74	24.18	25.30
2019-12-01	22.00	22.94	22.47	21.97	22.97
2019-11-01	26.09	27.46	26.78	26.04	27.51
2019-10-01	14.64	25.90	20.76	15.76	25.75
2019-09-01	13.56	22.10	18.58	14.78	22.39
2019-08-01	nan	nan	nan	nan	nan
2019-07-01	nan	nan	nan	nan	nan
2019-06-01	nan	nan	nan	nan	nan
2019-05-01	22.78	22.78	22.78	22.78	22.78
2019-04-01	24.89	33.51	29.75	25.99	33.51
2019-03-01	22.80	31.72	27.73	24.98	30.49
2019-02-01	21.37	28.63	26.77	24.40	29.14
2019-01-01	23.80	25.37	24.74	24.18	25.30
2018-12-01	22.00	22.94	22.47	21.97	22.97
2018-11-01	26.09	27.46	26.78	26.04	27.51
2018-10-01	14.64	25.90	20.76	15.76	25.75
2018-09-01	13.56	22.10	18.58	14.78	22.39
2018-08-01	nan	nan	nan	nan	nan
2018-07-01	nan	nan	nan	nan	nan
2018-06-01	nan	nan	nan	nan	nan
2018-05-01	22.78	22.78	22.78	22.78	22.78
2018-04-01	24.89	33.51	29.75	25.99	33.51
