Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	24.37	24.37	24.37	24.37	24.37
2023-08-01	20.29	20.29	20.29	20.29	20.29
2023-07-01	22.03	22.03	22.03	22.03	22.03
2023-06-01	9.15	24.70	16.93	8.61	25.24
2023-05-01	nan	nan	nan	nan	nan
2023-04-01	30.54	30.54	30.54	30.54	30.54
2023-03-01	29.39	34.62	32.64	30.78	34.49
2023-02-01	27.77	32.92	30.26	28.10	32.41
2023-01-01	26.99	29.46	28.21	27.29	29.13
2022-12-01	23.56	28.75	26.03	24.32	27.74
2022-11-01	9.55	26.77	20.39	12.34	28.43
2022-10-01	14.39	14.39	14.39	14.39	14.39
2022-09-01	24.37	24.37	24.37	24.37	24.37
2022-08-01	20.29	20.29	20.29	20.29	20.29
2022-07-01	22.03	22.03	22.03	22.03	22.03
2022-06-01	9.15	24.70	16.93	8.61	25.24
2022-05-01	nan	nan	nan	nan	nan
2022-04-01	30.54	30.54	30.54	30.54	30.54
2022-03-01	29.39	34.62	32.64	30.78	34.49
2022-02-01	27.77	32.92	30.26	28.10	32.41
2022-01-01	26.99	29.46	28.21	27.29	29.13
2021-12-01	23.56	28.75	26.03	24.32	27.74
2021-11-01	9.55	26.77	20.39	12.34	28.43
2021-10-01	14.39	14.39	14.39	14.39	14.39
2021-09-01	24.37	24.37	24.37	24.37	24.37
2021-08-01	20.29	20.29	20.29	20.29	20.29
2021-07-01	22.03	22.03	22.03	22.03	22.03
2021-06-01	9.15	24.70	16.93	8.61	25.24
2021-05-01	nan	nan	nan	nan	nan
2021-04-01	30.54	30.54	30.54	30.54	30.54
2021-03-01	29.39	34.62	32.64	30.78	34.49
2021-02-01	27.77	32.92	30.26	28.10	32.41
2021-01-01	26.99	29.46	28.21	27.29	29.13
2020-12-01	23.56	28.75	26.03	24.32	27.74
2020-11-01	9.55	26.77	20.39	12.34	28.43
2020-10-01	14.39	14.39	14.39	14.39	14.39
2020-09-01	24.37	24.37	24.37	24.37	24.37
2020-08-01	20.29	20.29	20.29	20.29	20.29
2020-07-01	22.03	22.03	22.03	22.03	22.03
2020-06-01	9.15	24.70	16.93	8.61	25.24
2020-05-01	nan	nan	nan	nan	nan
2020-04-01	30.54	30.54	30.54	30.54	30.54
2020-03-01	29.39	34.62	32.64	30.78	34.49
2020-02-01	27.77	32.92	30.26	28.10	32.41
2020-01-01	26.99	29.46	28.21	27.29	29.13
2019-12-01	23.56	28.75	26.03	24.32	27.74
2019-11-01	9.55	26.77	20.39	12.34	28.43
2019-10-01	14.39	14.39	14.39	14.39	14.39
2019-09-01	24.37	24.37	24.37	24.37	24.37
2019-08-01	20.29	20.29	20.29	20.29	20.29
2019-07-01	22.03	22.03	22.03	22.03	22.03
2019-06-01	9.15	24.70	16.93	8.61	25.24
2019-05-01	nan	nan	nan	nan	nan
2019-04-01	30.54	30.54	30.54	30.54	30.54
2019-03-01	29.39	34.62	32.64	30.78	34.49
2019-02-01	27.77	32.92	30.26	28.10	32.41
2019-01-01	26.99	29.46	28.21	27.29	29.13
2018-12-01	23.56	28.75	26.03	24.32	27.74
2018-11-01	9.55	26.77	20.39	12.34	28.43
2018-10-01	14.39	14.39	14.39	14.39	14.39
2018-09-01	24.37	24.37	24.37	24.37	24.37
2018-08-01	20.29	20.29	20.29	20.29	20.29
2018-07-01	22.03	22.03	22.03	22.03	22.03
2018-06-01	9.15	24.70	16.93	8.61	25.24
2018-05-01	nan	nan	nan	nan	nan
2018-04-01	30.54	30.54	30.54	30.54	30.54
2018-03-01	29.39	34.62	32.64	30.78	34.49
2018-02-01	27.77	32.92	30.26	28.10	32.41
2018-01-01	26.99	29.46	28.21	27.29	29.13
2017-12-01	23.56	28.75	26.03	24.32	27.74
2017-11-01	9.55	26.77	20.39	12.34	28.43
2017-10-01	14.39	14.39	14.39	14.39	14.39
2017-09-01	24.37	24.37	24.37	24.37	24.37
2017-08-01	20.29	20.29	20.29	20.29	20.29
2017-07-01	22.03	22.03	22.03	22.03	22.03
2017-06-01	9.15	24.70	16.93	8.61	25.24
2017-05-01	nan	nan	nan	nan	nan
2017-04-01	30.54	30.54	30.54	30.54	30.54
2017-03-01	29.39	34.62	32.64	30.78	34.49
2017-02-01	27.77	32.92	30.26	28.10	32.41
2017-01-01	26.99	29.46	28.21	27.29	29.13
2016-12-01	23.56	28.75	26.03	24.32	27.74
2016-11-01	9.55	26.77	20.39	12.34	28.43
2016-10-01	14.39	14.39	14.39	14.39	14.39
2016-09-01	24.37	24.37	24.37	24.37	24.37
2016-08-01	20.29	20.29	20.29	20.29	20.29
2016-07-01	22.03	22.03	22.03	22.03	22.03
