Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	4.35	30.56	22.25	15.57	28.93
2023-08-01	1.36	28.61	17.83	10.54	25.12
2023-07-01	0.19	25.02	6.89	-2.14	15.92
2023-06-01	1.36	28.95	9.82	0.58	19.06
2023-05-01	5.87	34.98	25.77	17.72	33.83
2023-04-01	22.17	35.27	30.00	26.60	33.41
2023-03-01	19.54	36.85	31.22	28.80	33.65
2023-02-01	24.39	35.69	29.70	27.47	31.93
2023-01-01	15.78	30.76	27.76	24.84	30.69
2022-12-01	20.01	32.47	26.51	23.88	29.14
2022-11-01	6.97	31.54	23.86	17.53	30.19
2022-10-01	1.36	32.85	21.04	13.53	28.56
2022-09-01	4.35	30.56	22.25	15.57	28.93
2022-08-01	1.36	28.61	17.83	10.54	25.12
2022-07-01	0.19	25.02	6.89	-2.14	15.92
2022-06-01	1.36	28.95	9.82	0.58	19.06
2022-05-01	5.87	34.98	25.77	17.72	33.83
2022-04-01	22.17	35.27	30.00	26.60	33.41
2022-03-01	19.54	36.85	31.22	28.80	33.65
2022-02-01	24.39	35.69	29.70	27.47	31.93
2022-01-01	15.78	30.76	27.76	24.84	30.69
2021-12-01	20.01	32.47	26.51	23.88	29.14
2021-11-01	6.97	31.54	23.86	17.53	30.19
2021-10-01	1.36	32.85	21.04	13.53	28.56
2021-09-01	4.35	30.56	22.25	15.57	28.93
2021-08-01	1.36	28.61	17.83	10.54	25.12
2021-07-01	0.19	25.02	6.89	-2.14	15.92
2021-06-01	1.36	28.95	9.82	0.58	19.06
2021-05-01	5.87	34.98	25.77	17.72	33.83
2021-04-01	22.17	35.27	30.00	26.60	33.41
2021-03-01	19.54	36.85	31.22	28.80	33.65
2021-02-01	24.39	35.69	29.70	27.47	31.93
2021-01-01	15.78	30.76	27.76	24.84	30.69
2020-12-01	20.01	32.47	26.51	23.88	29.14
2020-11-01	6.97	31.54	23.86	17.53	30.19
2020-10-01	1.36	32.85	21.04	13.53	28.56
2020-09-01	4.35	30.56	22.25	15.57	28.93
2020-08-01	1.36	28.61	17.83	10.54	25.12
2020-07-01	0.19	25.02	6.89	-2.14	15.92
2020-06-01	1.36	28.95	9.82	0.58	19.06
2020-05-01	5.87	34.98	25.77	17.72	33.83
2020-04-01	22.17	35.27	30.00	26.60	33.41
2020-03-01	19.54	36.85	31.22	28.80	33.65
2020-02-01	24.39	35.69	29.70	27.47	31.93
2020-01-01	15.78	30.76	27.76	24.84	30.69
2019-12-01	20.01	32.47	26.51	23.88	29.14
2019-11-01	6.97	31.54	23.86	17.53	30.19
2019-10-01	1.36	32.85	21.04	13.53	28.56
2019-09-01	4.35	30.56	22.25	15.57	28.93
2019-08-01	1.36	28.61	17.83	10.54	25.12
2019-07-01	0.19	25.02	6.89	-2.14	15.92
2019-06-01	1.36	28.95	9.82	0.58	19.06
2019-05-01	5.87	34.98	25.77	17.72	33.83
2019-04-01	22.17	35.27	30.00	26.60	33.41
2019-03-01	19.54	36.85	31.22	28.80	33.65
2019-02-01	24.39	35.69	29.70	27.47	31.93
2019-01-01	15.78	30.76	27.76	24.84	30.69
2018-12-01	20.01	32.47	26.51	23.88	29.14
2018-11-01	6.97	31.54	23.86	17.53	30.19
2018-10-01	1.36	32.85	21.04	13.53	28.56
2018-09-01	4.35	30.56	22.25	15.57	28.93
2018-08-01	1.36	28.61	17.83	10.54	25.12
2018-07-01	0.19	25.02	6.89	-2.14	15.92
2018-06-01	1.36	28.95	9.82	0.58	19.06
2018-05-01	5.87	34.98	25.77	17.72	33.83
2018-04-01	22.17	35.27	30.00	26.60	33.41
2018-03-01	19.54	36.85	31.22	28.80	33.65
2018-02-01	24.39	35.69	29.70	27.47	31.93
2018-01-01	15.78	30.76	27.76	24.84	30.69
2017-12-01	20.01	32.47	26.51	23.88	29.14
2017-11-01	6.97	31.54	23.86	17.53	30.19
2017-10-01	1.36	32.85	21.04	13.53	28.56
2017-09-01	4.35	30.56	22.25	15.57	28.93
2017-08-01	1.36	28.61	17.83	10.54	25.12
2017-07-01	0.19	25.02	6.89	-2.14	15.92
2017-06-01	1.36	28.95	9.82	0.58	19.06
2017-05-01	5.87	34.98	25.77	17.72	33.83
2017-04-01	22.17	35.27	30.00	26.60	33.41
2017-03-01	19.54	36.85	31.22	28.80	33.65
2017-02-01	24.39	35.69	29.70	27.47	31.93
2017-01-01	15.78	30.76	27.76	24.84	30.69
2016-12-01	20.01	32.47	26.51	23.88	29.14
2016-11-01	6.97	31.54	23.86	17.53	30.19
2016-10-01	1.36	32.85	21.04	13.53	28.56
2016-09-01	4.35	30.56	22.25	15.57	28.93
2016-08-01	1.36	28.61	17.83	10.54	25.12
2016-07-01	0.19	25.02	6.89	-2.14	15.92
2016-06-01	1.36	28.95	9.82	0.58	19.06
2016-05-01	5.87	34.98	25.77	17.72	33.83
2016-04-01	22.17	35.27	30.00	26.60	33.41
2016-03-01	19.54	36.85	31.22	28.80	33.65
2016-02-01	24.39	35.69	29.70	27.47	31.93
2016-01-01	15.78	30.76	27.76	24.84	30.69
2015-12-01	20.01	32.47	26.51	23.88	29.14
2015-11-01	6.97	31.54	23.86	17.53	30.19
2015-10-01	1.36	32.85	21.04	13.53	28.56
2015-09-01	4.35	30.56	22.25	15.57	28.93
2015-08-01	1.36	28.61	17.83	10.54	25.12
2015-07-01	0.19	25.02	6.89	-2.14	15.92
2015-06-01	1.36	28.95	9.82	0.58	19.06
2015-05-01	5.87	34.98	25.77	17.72	33.83
2015-04-01	22.17	35.27	30.00	26.60	33.41
2015-03-01	19.54	36.85	31.22	28.80	33.65
2015-02-01	24.39	35.69	29.70	27.47	31.93
2015-01-01	15.78	30.76	27.76	24.84	30.69
2014-12-01	20.01	32.47	26.51	23.88	29.14
2014-11-01	6.97	31.54	23.86	17.53	30.19
2014-10-01	1.36	32.85	21.04	13.53	28.56
2014-09-01	4.35	30.56	22.25	15.57	28.93
2014-08-01	1.36	28.61	17.83	10.54	25.12
2014-07-01	0.19	25.02	6.89	-2.14	15.92
2014-06-01	1.36	28.95	9.82	0.58	19.06
2014-05-01	5.87	34.98	25.77	17.72	33.83
2014-04-01	22.17	35.27	30.00	26.60	33.41
2014-03-01	19.54	36.85	31.22	28.80	33.65
2014-02-01	24.39	35.69	29.70	27.47	31.93
2014-01-01	15.78	30.76	27.76	24.84	30.69
2013-12-01	20.01	32.47	26.51	23.88	29.14
2013-11-01	6.97	31.54	23.86	17.53	30.19
2013-10-01	1.36	32.85	21.04	13.53	28.56
2013-09-01	4.35	30.56	22.25	15.57	28.93
2013-08-01	1.36	28.61	17.83	10.54	25.12
2013-07-01	0.19	25.02	6.89	-2.14	15.92
2013-06-01	1.36	28.95	9.82	0.58	19.06
2013-05-01	5.87	34.98	25.77	17.72	33.83
2013-04-01	22.17	35.27	30.00	26.60	33.41
2013-03-01	19.54	36.85	31.22	28.80	33.65
2013-02-01	24.39	35.69	29.70	27.47	31.93
2013-01-01	15.78	30.76	27.76	24.84	30.69
2012-12-01	20.01	32.47	26.51	23.88	29.14
2012-11-01	6.97	31.54	23.86	17.53	30.19
2012-10-01	1.36	32.85	21.04	13.53	28.56
2012-09-01	4.35	30.56	22.25	15.57	28.93
2012-08-01	1.36	28.61	17.83	10.54	25.12
2012-07-01	0.19	25.02	6.89	-2.14	15.92
2012-06-01	1.36	28.95	9.82	0.58	19.06
2012-05-01	5.87	34.98	25.77	17.72	33.83
2012-04-01	22.17	35.27	30.00	26.60	33.41
2012-03-01	19.54	36.85	31.22	28.80	33.65
2012-02-01	24.39	35.69	29.70	27.47	31.93
2012-01-01	15.78	30.76	27.76	24.84	30.69
2011-12-01	20.01	32.47	26.51	23.88	29.14
2011-11-01	6.97	31.54	23.86	17.53	30.19
2011-10-01	1.36	32.85	21.04	13.53	28.56
2011-09-01	4.35	30.56	22.25	15.57	28.93
2011-08-01	1.36	28.61	17.83	10.54	25.12
2011-07-01	0.19	25.02	6.89	-2.14	15.92
2011-06-01	1.36	28.95	9.82	0.58	19.06
2011-05-01	5.87	34.98	25.77	17.72	33.83
2011-04-01	22.17	35.27	30.00	26.60	33.41
2011-03-01	19.54	36.85	31.22	28.80	33.65
2011-02-01	24.39	35.69	29.70	27.47	31.93
2011-01-01	15.78	30.76	27.76	24.84	30.69
2010-12-01	20.01	32.47	26.51	23.88	29.14
2010-11-01	6.97	31.54	23.86	17.53	30.19
2010-10-01	1.36	32.85	21.04	13.53	28.56
2010-09-01	4.35	30.56	22.25	15.57	28.93
2010-08-01	1.36	28.61	17.83	10.54	25.12
2010-07-01	0.19	25.02	6.89	-2.14	15.92
2010-06-01	1.36	28.95	9.82	0.58	19.06
2010-05-01	5.87	34.98	25.77	17.72	33.83
2010-04-01	22.17	35.27	30.00	26.60	33.41
2010-03-01	19.54	36.85	31.22	28.80	33.65
2010-02-01	24.39	35.69	29.70	27.47	31.93
2010-01-01	15.78	30.76	27.76	24.84	30.69
2009-12-01	20.01	32.47	26.51	23.88	29.14
2009-11-01	6.97	31.54	23.86	17.53	30.19
2009-10-01	1.36	32.85	21.04	13.53	28.56
2009-09-01	4.35	30.56	22.25	15.57	28.93
2009-08-01	1.36	28.61	17.83	10.54	25.12
2009-07-01	0.19	25.02	6.89	-2.14	15.92
2009-06-01	1.36	28.95	9.82	0.58	19.06
2009-05-01	5.87	34.98	25.77	17.72	33.83
2009-04-01	22.17	35.27	30.00	26.60	33.41
2009-03-01	19.54	36.85	31.22	28.80	33.65
2009-02-01	24.39	35.69	29.70	27.47	31.93
2009-01-01	15.78	30.76	27.76	24.84	30.69
2008-12-01	20.01	32.47	26.51	23.88	29.14
2008-11-01	6.97	31.54	23.86	17.53	30.19
2008-10-01	1.36	32.85	21.04	13.53	28.56
2008-09-01	4.35	30.56	22.25	15.57	28.93
2008-08-01	1.36	28.61	17.83	10.54	25.12
2008-07-01	0.19	25.02	6.89	-2.14	15.92
2008-06-01	1.36	28.95	9.82	0.58	19.06
2008-05-01	5.87	34.98	25.77	17.72	33.83
2008-04-01	22.17	35.27	30.00	26.60	33.41
2008-03-01	19.54	36.85	31.22	28.80	33.65
2008-02-01	24.39	35.69	29.70	27.47	31.93
2008-01-01	15.78	30.76	27.76	24.84	30.69
2007-12-01	20.01	32.47	26.51	23.88	29.14
2007-11-01	6.97	31.54	23.86	17.53	30.19
2007-10-01	1.36	32.85	21.04	13.53	28.56
2007-09-01	4.35	30.56	22.25	15.57	28.93
2007-08-01	1.36	28.61	17.83	10.54	25.12
2007-07-01	0.19	25.02	6.89	-2.14	15.92
2007-06-01	1.36	28.95	9.82	0.58	19.06
2007-05-01	5.87	34.98	25.77	17.72	33.83
2007-04-01	22.17	35.27	30.00	26.60	33.41
2007-03-01	19.54	36.85	31.22	28.80	33.65
2007-02-01	24.39	35.69	29.70	27.47	31.93
2007-01-01	15.78	30.76	27.76	24.84	30.69
2006-12-01	20.01	32.47	26.51	23.88	29.14
2006-11-01	6.97	31.54	23.86	17.53	30.19
2006-10-01	1.36	32.85	21.04	13.53	28.56
2006-09-01	4.35	30.56	22.25	15.57	28.93
2006-08-01	1.36	28.61	17.83	10.54	25.12
2006-07-01	0.19	25.02	6.89	-2.14	15.92
2006-06-01	1.36	28.95	9.82	0.58	19.06
2006-05-01	5.87	34.98	25.77	17.72	33.83
2006-04-01	22.17	35.27	30.00	26.60	33.41
2006-03-01	19.54	36.85	31.22	28.80	33.65
2006-02-01	24.39	35.69	29.70	27.47	31.93
2006-01-01	15.78	30.76	27.76	24.84	30.69
2005-12-01	20.01	32.47	26.51	23.88	29.14
2005-11-01	6.97	31.54	23.86	17.53	30.19
2005-10-01	1.36	32.85	21.04	13.53	28.56
2005-09-01	4.35	30.56	22.25	15.57	28.93
2005-08-01	1.36	28.61	17.83	10.54	25.12
2005-07-01	0.19	25.02	6.89	-2.14	15.92
2005-06-01	1.36	28.95	9.82	0.58	19.06
2005-05-01	5.87	34.98	25.77	17.72	33.83
2005-04-01	22.17	35.27	30.00	26.60	33.41
2005-03-01	19.54	36.85	31.22	28.80	33.65
2005-02-01	24.39	35.69	29.70	27.47	31.93
2005-01-01	15.78	30.76	27.76	24.84	30.69
2004-12-01	20.01	32.47	26.51	23.88	29.14
2004-11-01	6.97	31.54	23.86	17.53	30.19
2004-10-01	1.36	32.85	21.04	13.53	28.56
2004-09-01	4.35	30.56	22.25	15.57	28.93
